image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,2395.42,1194.67,1200.75,0,0,9.91945,13.8329,212.106,2497.16,7687.9,16072.6,-212.106,0,81.3051,254.517,290.569,0,0,0.0289436,324.26,-915.584,315.496,12.6027,0,1,17.7541,18.5653,66.2764
0,0,0,0,0,1,0,1850.73,1023.86,826.873,0,0,109.073,-50.9074,-0.144636,1097.68,9661.24,5182.79,0.144636,0,35.0902,230.688,257.51,0,0,0.891451,185.377,-827.716,194.728,18.121,0,1,36.1167,37.0654,140.641
0,0,0,0,0,1,0,1375.41,627.861,747.547,0,0,170.091,-106.97,-218.476,979.59,11376.6,3561.12,218.476,0,33.8215,183.771,208.192,0,0,0.855406,216.337,-821.865,247.689,25.7931,0,1,35.9543,36.9084,165.895
0,0,0,0,0,1,0,1613.86,809.916,803.944,0,0,390.407,25.7554,182.064,885.6,9577.28,3033.63,-182.064,0,32.8722,219.348,242.9,0,0,1.67311,207.722,-833.209,191.137,22.075,0,1,46.4007,41.7593,147.613
0,0,0,0,0,1,0,10909.3,4768.5,6140.76,0,0,13.7648,72.5543,-61.3152,10671.4,10447.4,12066.3,61.3152,0,339.111,318.257,366.003,0,0,5.9615,1057.3,-1325.81,1548.51,1.37771,0,1,4.99092,5.09426,20.9248
0,0,0,0,0,1,0,27957.6,14759,13198.6,0,0,33.141,38.0045,94.2541,26501.4,10724.1,8251.96,-94.2541,0,837.562,411.793,443.797,0,0,16.4506,3748.12,-2767.34,7101.49,0.432143,0,1,2.50368,2.58402,9.89546
0,0,0,0,0,1,0,13952.7,6328.17,7624.55,0,0,41.6761,-64.9844,270.222,13610.7,10814.2,7466.73,-270.222,0,458.078,370.329,436.175,0,0,8.87553,2308.21,-2066.68,3636.17,1.04443,0,1,4.36738,4.67594,17.072
0,0,0,0,0,2,0,2730.18,1398.78,1331.4,0,0,160.941,-155.534,184.607,2206.84,9214.61,1734.57,-184.607,0,75.8421,404.673,430.48,0,0,2.43912,248.041,-914.092,265.765,13.7139,0,1,23.0646,24.9608,85.1971
0,0,0,0,0,2,0,6006.36,2316.78,3689.58,0,0,52.264,76.965,-166.361,6247.4,8632.46,16305.6,166.361,0,202.658,462.285,521.503,0,0,0.498944,475.451,-1042.46,790.59,4.05087,0,1,9.53496,9.74847,42.8524
0,0,0,0,0,3,0,12417.7,6382.31,6035.38,0,0,85.9215,-69.8181,209.44,14274,7611.9,16748.4,-209.44,0,470.845,786.521,851.186,0,0,10.3676,932.433,-1356.57,1405.38,1.72402,0,1,5.53863,5.84025,20.6473
0,0,0,0,0,3,0,8629.21,6066.42,2562.79,0,0,49.6768,-52.2061,444.181,13071.5,10510.2,2618.15,-444.181,0,477.457,580.529,649.817,0,0,19.8122,411.29,-1039.36,2509.53,2.59382,0,1,5.69899,6.31015,25.6107
0,0,0,0,0,3,0,7477.67,2833.97,4643.7,0,0,101.903,-64.503,-288.063,7908.38,10359.2,1347.47,288.063,0,275.981,550.028,578.316,0,0,9.27786,410.089,-1028.1,662.492,3.09795,0,1,8.15451,8.25005,40.356
0,0,0,0,0,3,0,32601.5,13230,19371.5,0,0,71.8553,-23.8616,-159.727,36923.9,10685.4,10583.7,159.727,0,1209.86,902.018,1010.69,0,0,22.197,1126.6,-1447.94,3546.46,0.449719,0,1,2.47695,2.52923,11.1023
0,0,0,0,0,3,0,24379.5,13240.4,11139.1,0,0,16.3962,7.57236,120.344,25594.7,9260.46,14105.1,-120.344,0,816.406,931.11,996.178,0,0,41.1343,570.144,-1164.56,7668.67,0.678633,0,1,3.46241,3.58919,13.1999
0,0,0,0,0,3,0,66715.8,19131.2,47584.6,0,0,37.4064,-8.36275,-312.771,87281.5,6969.58,17575.2,312.771,0,3054.13,998.597,1199.26,0,0,76.0957,3323.93,-2551.12,1,0.184165,0,1,1.34424,1.35733,6.37514
1,0,0,0,1,1,0,1572.37,919.361,653.006,0,0,171.055,-144.542,-95.2902,983.996,9697.95,5079.04,95.2902,0,33.3307,230.616,250.432,0,0,0.795602,184.999,-826.004,195.029,23.8079,0,1,38.0562,39.8007,162.034
1,0,0,0,1,1,0,1801.35,907,894.354,0,0,351.987,-129.035,454.444,1265.39,10503.9,4866.15,-454.444,0,54.0899,204.772,229.316,0,0,1.22277,254.569,-852.004,287.916,17.4516,0,1,31.3165,32.4948,131.055
1,0,0,0,1,1,0,1738.47,698.333,1040.14,0,0,175.407,-93.3254,-137.366,1039.84,11272.6,3744.86,137.366,0,34.7254,188.091,210.894,0,0,0.935009,252.972,-841.001,286.146,17.4751,0,1,33.9508,34.9326,148.653
1,0,0,0,1,1,0,1461.74,641.278,820.466,0,0,393.532,-285.139,375.825,868.95,10561.1,2061.56,-375.825,0,43.6328,189.186,212.488,0,0,1.99233,244.855,-840.574,255.357,23.6331,0,1,39.7031,45.7784,140.743
1,0,0,0,1,3,0,101112,45216.2,55895.3,0,0,60.914,-9.28027,-21.7177,107904,10795,8101.86,21.7177,0,3425.34,1146.02,1240.88,0,0,47.0398,7540.46,-4573.78,1,0.113114,0,1,1.09135,1.12074,4.62119
1,0,0,0,1,2,0,14096.2,8595.75,5500.49,0,0,11.6825,-46.5603,428.509,15839.9,10548.1,6954.86,-428.509,0,574.489,621.459,694.544,0,0,8.82553,2668.59,-2202.14,3045.85,1.26658,0,1,4.90682,5.38589,21.4928
2,0,0,0,2,1,0,1069.88,463.444,606.44,0,0,256.109,47.7632,-266.475,673.317,12771,2024.73,266.475,0,23.3066,148.523,161.691,0,0,0.620536,141.666,-761.109,152.253,33.6122,0,1,48.0858,47.8714,232.578
2,0,0,0,2,1,0,1573.12,1039.61,533.506,0,0,271.431,-60.4507,347.395,938.399,9400.19,3119.84,-347.395,0,34.1514,215.676,237.193,0,0,1.8372,209.957,-832.059,217.664,22.7348,0,1,41.8853,44.5602,171.1
2,0,0,0,2,1,0,1689.97,997,692.973,0,0,35.9782,-140.027,307.076,1463.52,9339.57,1324.31,-307.076,0,51.7197,192.294,195.822,0,0,2.04431,231.397,-831.182,267.495,18.0049,0,1,25.0478,27.7194,97.1791
2,0,0,0,2,1,0,2306.14,872.834,1433.3,0,0,-154.883,81.6577,-142.42,1636.14,5681.52,17879.9,142.42,0,56.9992,280.118,321.519,0,0,2.33442,275.11,-892.427,270.905,14.4179,0,1,26.9494,26.2556,112.225
2,0,0,0,2,3,0,10926.9,3360.53,7566.41,0,0,46.5551,-55.9716,-350.444,14493.3,11006.7,5681.3,350.444,0,524.084,631.58,698.111,0,0,20.4785,410.64,-1049.65,4192.72,1.87282,0,1,5.17519,5.2223,26.6509
3,0,0,0,3,1,0,1028.63,419,609.632,0,0,185.742,-40.0543,-220.38,607.917,11953.1,1619.09,220.38,0,20.5559,160.065,176.847,0,0,1.06155,148.916,-772.115,168.696,38.3145,0,1,54.3541,54.9225,253.371
3,0,0,0,3,1,0,5393.16,2571.67,2821.49,0,0,101.354,-36.3426,101.336,6434.43,10655.9,6451.19,-101.336,0,205.487,230.612,268.759,0,0,4.60872,337.547,-917.332,686.876,3.29525,0,1,6.93678,7.16802,26.576
3,0,0,0,3,1,0,9848.81,3838.92,6009.89,0,0,71.807,-14.759,-310.527,10862.5,9402.43,14226.1,310.527,0,378.667,284.809,317.111,0,0,10.8043,700.45,-1123.67,1386.69,1.51162,0,1,4.90001,4.94872,24.0411
3,0,0,0,3,1,0,5015.08,2527.5,2487.58,0,0,221.735,-284.247,306.453,5407.17,7476.09,16962.9,-306.453,0,227.839,266.244,289.271,0,0,6.92372,635.559,-1080.43,843.094,3.8809,0,1,7.78002,10.3642,30.2372
3,0,0,0,3,3,0,9298.7,4065,5233.7,0,0,55.1667,61.8477,-76.3938,10026.8,8629.55,16320.7,76.3938,0,318.031,700.613,792.395,0,0,4.25578,513.812,-1103.52,2157.44,2.58452,0,1,7.28699,7.46053,30.5869
3,0,0,0,3,2,0,3926.53,1754.5,2172.03,0,0,180.379,-184.384,-9.88361,2791.77,10280.8,1368.66,9.88361,0,96.2706,354.525,374.173,0,0,13.837,380.962,-967.753,3126.77,6.71345,0,1,16.5078,17.8684,65.5442
3,0,0,0,3,3,0,13680.1,9466.33,4213.75,0,0,72.3302,-58.5746,567.318,22387.8,10487.5,3808.79,-567.318,0,897.216,613.886,673.022,0,0,9.31996,437.637,-1064.79,1532.06,1.31021,0,1,3.86173,4.46471,19.954
3,0,0,0,3,3,0,9472.26,6203.83,3268.43,0,0,58.9598,25.5103,433.16,12427.7,10500.9,2639.12,-433.16,0,444.017,569.656,635.369,0,0,11.5192,340.938,-1002.39,876.35,2.21385,0,1,5.96689,6.55518,26.5952
3,0,0,0,3,2,0,21987.2,9549.53,12437.7,0,0,43.1394,74.9577,-104.34,21304.9,10615.4,10583.6,104.34,0,680.015,659.856,734.355,0,0,22.0338,1395.88,-1562.05,2669.53,0.686709,0,1,3.56034,3.64276,15.4767
3,0,0,0,3,3,0,45406.2,25953.4,19452.7,0,0,83.8698,-83.392,287.124,54770.4,10772,7583.83,-287.124,0,1864.73,976.362,1108.57,0,0,31.0222,8702.24,-5567.62,1,0.29702,0,1,1.8718,2.02727,7.36833
3,0,0,0,3,3,0,89986,26984.2,63001.8,0,0,101.468,12.7278,-321.037,102127,7004.21,17554.1,321.037,0,3555.17,1111.29,1354.66,0,0,87.6155,5986.63,-3903.79,1,0.13087,0,1,1.24685,1.25381,5.93949
4,0,0,0,4,1,0,7099.79,3871.89,3227.91,0,0,45.8527,21.2327,0.537784,6220.54,10415.3,11130.7,-0.537784,0,196.375,365.528,386.332,0,0,2.79044,1076.72,-1325.76,1771.62,2.67884,0,1,8.42326,8.66629,33.5216
4,0,0,0,4,3,0,16042.2,5488.5,10553.7,0,0,59.0025,23.6792,-407.202,20196.6,8724.41,15273.3,407.202,0,741.508,831.559,959.526,0,0,6.01824,805.636,-1273.66,1769.51,1.2172,0,1,4.59276,4.60836,24.6708
4,0,0,0,4,3,0,5535.07,1823.33,3711.74,0,0,-0.789757,-9.51401,-586.625,7169.66,5330.05,17675,586.625,0,312.125,800.173,929.749,0,0,21.7219,383.764,-1056.39,2896.77,6.86279,0,1,14.357,14.0618,81.1795
4,0,0,0,4,3,0,25650,13002,12648,0,0,-17.3637,53.3652,77.0298,25227.7,9195.53,14158,-77.0298,0,801.642,925.501,1000.32,0,0,28.2093,1033.94,-1397.67,5977.19,0.630705,0,1,3.49096,3.58244,13.4588
4,0,0,0,4,3,0,77310.3,36460.8,40849.4,0,0,69.5825,1.83445,2.25633,79841.3,10786.3,8090.75,-2.25633,0,2523.46,1109.75,1158.94,0,0,34.0101,7143.01,-4401.41,1,0.154793,0,1,1.37002,1.40827,5.65884
5,0,0,0,5,1,0,3866.13,1091.97,2774.16,0,0,66.4323,11.2232,-523.906,5804.49,11085.5,5614.11,523.906,0,233.73,213.882,245.9,0,0,3.71515,269.562,-871.374,540.972,5.22407,0,1,9.1955,9.15476,51.8067
5,0,0,0,5,1,0,4024.93,2227.83,1797.1,0,0,82.2494,-5.49438,155.407,4272.41,10181.5,1288.46,-155.407,0,136.765,179.723,190.369,0,0,6.14633,391.037,-912.54,616.239,4.40602,0,1,9.03393,9.41961,33.9938
5,0,0,0,5,1,0,8797.78,3493,5304.78,0,0,36.9778,-19.2458,-224.835,9845.09,10720.2,10480.4,224.835,0,331.21,305.316,355.319,0,0,3.50403,856.138,-1246.81,2039.33,1.83727,0,1,5.35605,5.44711,24.5659
5,0,0,0,5,3,0,7704.76,3667.75,4037.01,0,0,123.095,-153.692,-89.4716,8482.73,10831.5,6469.85,89.4716,0,287.422,725.041,863.969,0,0,32.7204,575.766,-1147.65,10200.5,3.65974,0,1,8.35386,8.80048,34.9094
6,0,0,0,6,1,0,1382.4,1000,382.396,0,0,63.2825,-91.4623,131.659,880.725,9509.65,2361.33,-131.659,0,28.7646,205.51,220.808,0,0,1.13542,186.871,-815.414,203.698,27.2472,0,1,41.9516,44.145,155.743
6,0,0,0,6,1,0,1765.56,1098.44,667.113,0,0,225.333,-201.458,173.28,1062.21,9150.22,1583.12,-173.28,0,38.3698,194.514,203.205,0,0,2.12085,272.925,-854.225,269.389,17.0025,0,1,31.8701,35.7834,117.09
6,0,0,0,6,1,0,2205.22,1001.72,1203.5,0,0,75.8766,-125.941,181.543,1794.82,10187.9,1211.53,-181.543,0,60.184,179.692,191.842,0,0,2.93642,281.579,-853.474,331.89,11.2379,0,1,19.7129,21.0398,73.0038
6,0,0,0,6,1,0,5777.49,2312.89,3464.6,0,0,44.6262,61.2063,-100.007,6240.49,8640.09,16321.3,100.007,0,199.103,234.813,270.989,0,0,1.55397,363.217,-924.659,775.98,2.99628,0,1,7.16601,7.32302,30.7535
6,0,0,0,6,3,0,40368.7,19402.1,20966.7,0,0,56.1697,-11.1667,-25.9835,43483.2,7641.65,16887.2,25.9835,0,1381.92,869.424,911.89,0,0,39.0145,5327.52,-3982.83,8147.73,0.330176,0,1,2.07903,2.13838,8.67806
6,0,0,0,6,3,0,8701.92,5734.67,2967.26,0,0,78.7109,-74.5462,443.222,13424.9,10481.1,2640.49,-443.222,0,493.288,568.36,637.9,0,0,20.7684,359.038,-1014.32,2685.91,2.53017,0,1,5.4942,6.11039,24.5399
6,0,0,0,6,3,0,51191.5,25030.2,26161.3,0,0,84.1992,-47.6897,50.8068,60683,10475.6,10410.1,-50.8068,0,1936.29,893.857,1051.9,0,0,51.1085,1863.38,-1899.94,12137.2,0.249156,0,1,1.63093,1.67932,6.50986
6,0,0,0,6,3,0,65253.3,17893.8,47359.4,0,0,-9.46152,38.1173,-374.738,88693.2,7016.45,17528.7,374.738,0,3224.02,944.879,1155.18,0,0,84.3348,3641.99,-2762.18,1,0.187184,0,1,1.36307,1.36179,6.64806
6,0,0,0,6,3,0,14541.8,10670.5,3871.3,0,0,65.8152,18.1212,595.446,24893.1,10494,3830.79,-595.446,0,1007.8,636.112,693.221,0,0,15.869,552.495,-1130.24,1746.5,1.21583,0,1,3.69054,4.29384,19.9551
7,0,0,0,7,3,0,21120.1,9766,11354.1,0,0,169.86,-103.61,79.5304,23657.9,10192.6,12341.2,-79.5304,0,775.742,853.521,972.84,0,0,45.4982,1044.43,-1393.17,13455.7,0.815142,0,1,3.52192,3.68297,13.6268
7,0,0,0,7,3,0,10733.8,3602.39,7131.46,0,0,61.9439,75.9609,-368.918,11994.6,8721.47,15221,368.918,0,427.178,802.114,916.101,0,0,1.06436,684.479,-1208.96,1140.84,2.23437,0,1,7.12742,7.15926,37.9679
7,0,0,0,7,3,0,42324.5,22035.9,20288.6,0,0,36.6643,-18.7909,161.62,53231.2,9240.2,14131.5,-161.62,0,1714.84,875.595,925.425,0,0,28.3924,776.792,-1273.38,1,0.311485,0,1,1.80145,1.88142,6.97968
7,0,0,0,7,3,0,80996.3,41580,39416.3,0,0,25.3494,7.05179,48.4048,68373.3,10731.9,8085.53,-48.4048,0,2165.46,1413.79,1438.88,0,0,17.3041,12781.2,-7515.42,1,0.154439,0,1,1.68412,1.7347,6.68655
8,0,0,0,8,2,0,2474.64,1224.61,1250.03,0,0,145.755,-126.37,-7.99958,1763.35,9525.87,2001.48,7.99958,0,58.2121,400.668,428.064,0,0,2.4173,268.749,-922.541,256.702,16.2084,0,1,28.2653,29.5877,111.97
8,0,0,0,8,3,0,9074.75,3634.67,5440.08,0,0,129.719,-74.0381,-239.353,11255.5,10824.9,6488.89,239.353,0,385.425,712.043,841.75,0,0,9.62368,536.454,-1129.3,935.28,2.75358,0,1,6.70478,6.83323,30.9056
9,0,0,0,9,1,0,2287.29,865,1422.29,0,0,-156.249,121.467,-6.37585,1599.8,5682.89,17938.8,6.37585,0,54.2482,252.804,293.826,0,0,1.56115,245.817,-869.278,239.649,13.652,0,1,26.3738,25.7904,99.2252
9,0,0,0,9,1,0,16046.5,4805.67,11240.8,0,0,78.0294,14.9689,-398.577,17936.1,7027.65,17551.9,398.577,0,654.46,318.071,372.89,0,0,14.1639,1037.76,-1303.99,2819.13,0.823807,0,1,3.57997,3.59115,18.3906
9,0,0,0,9,3,0,8604.95,5839.94,2765.01,0,0,63.8401,36.4253,415.762,11403.2,10496,2628.2,-415.762,0,402.749,563.163,620.105,0,0,11.8259,433.427,-1045.99,869.794,2.54756,0,1,6.37948,6.97918,27.8442
