image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1640,620.222,1019.78,0,0,112.409,-24.3078,-529.162,1657.63,7388.03,4267.98,529.162,0,67.379,168.851,190.391,0,0,0.731668,201.056,-806.411,220.152,17.9358,0,1,26.5024,26.199,154.4
0,0,0,0,0,1,0,6531.49,3804.42,2727.07,0,0,63.1195,-21.5611,333.166,6863.64,8621.6,11963.1,-333.166,0,234.087,222.28,241.562,0,0,4.26498,555.317,-1015.97,844.645,2.41944,0,1,6.68648,7.25474,27.0523
0,0,0,0,0,1,0,10745,5148.06,5596.93,0,0,-13.5911,-137.85,189.687,10864.6,8007.48,7440.91,-189.687,0,370.802,236.706,273.549,0,0,4.6443,1693.81,-1633.3,1884.09,1.26835,0,1,4.32042,4.64161,16.5809
0,0,0,0,0,2,0,8026.04,4159,3867.04,0,0,133.563,59.2412,57.6731,7826.82,8156.4,16323.3,-57.6731,0,245.865,446.348,484.843,0,0,10.177,722.187,-1188.89,839.706,2.48525,0,1,7.55309,7.77013,29.0412
0,0,0,0,0,2,0,7056.53,2542.33,4514.2,0,0,-4.23479,-18.0748,-54.414,5319.53,8294.19,11071.4,54.414,0,171.317,419.12,488.388,0,0,9.45504,1146.92,-1383.42,6707.71,2.98745,0,1,10.5123,10.7464,42.9479
0,0,0,0,0,3,0,6805.4,4137.97,2667.43,0,0,48.6608,-65.7034,412.958,7208.83,8537.37,13092.8,-412.958,0,259.53,644.211,721.616,0,0,11.6705,421.833,-1053.18,2059.24,4.07469,0,1,10.1643,11.213,44.7632
0,0,0,0,0,3,0,10092.8,6615.33,3477.48,0,0,27.0488,-26.1962,460.879,13987,9052.43,15520.5,-460.879,0,514.024,572.952,635.028,0,0,28.2292,667.884,-1163.52,8084.57,2.00927,0,1,5.40153,5.97483,24.6601
0,0,0,0,0,2,0,10187.3,3656.44,6530.81,0,0,129.635,74.8848,-153.462,12465.4,8752.47,16603.7,153.462,0,402.063,401.773,448.429,0,0,8.18239,753.224,-1190.19,1690.38,1.66317,0,1,4.77632,4.87116,21.3993
0,0,0,0,0,3,0,11536.9,2286.67,9250.26,0,0,-13.9552,28.3836,-505.017,15732.7,7711.78,5596.95,505.017,0,632.341,516.251,602.111,0,0,10.8012,339.985,-997.846,7991.15,1.57501,0,1,5.1901,5.16656,28.0741
0,0,0,0,0,3,0,23621.7,11288,12333.7,0,0,1.8685,11.6396,0.709714,24963,7695.95,9265.22,-0.709714,0,793.811,688.677,777.427,0,0,5.16806,1915.91,-1860.64,4707.47,0.633857,0,1,3.14594,3.21853,12.6239
0,0,0,0,0,3,0,24365.7,10369.5,13996.2,0,0,41.1584,30.1212,-21.0272,27768.3,7952.73,10332.3,21.0272,0,877.547,625.187,701.477,0,0,4.06284,1514,-1625.15,4029.99,0.58578,0,1,2.7662,2.83576,11.3893
0,0,0,0,0,3,0,23943.7,13626.2,10317.5,0,0,23.0197,21.0512,290.401,29486.6,8464.32,14289,-290.401,0,983.56,687.165,744.492,0,0,28.4681,1304.5,-1527.35,5433.38,0.616839,0,1,2.83735,3.02985,11.0884
0,0,0,0,0,2,0,28855,15073,13782,0,0,124.066,-9.59374,-59.0382,22665.6,8067.2,7904.79,59.0382,0,722.553,654.671,668.518,0,0,23.255,4479.42,-2991.92,6636.73,0.467483,0,1,3.26703,3.35355,13.8997
1,0,0,0,1,1,0,2480.84,937.723,1543.12,0,0,51.4349,30.9893,-435.87,2525.98,7547.7,18424,435.87,0,94.6144,220.878,235.803,0,0,1.78669,321.887,-891.225,382.492,10.5688,0,1,17.716,17.7522,101.779
1,0,0,0,1,3,0,18602.4,8399.42,10203,0,0,-50.0012,-38.8819,81.7539,19990,8438.65,11980.4,-81.7539,0,649.778,658.004,753.127,0,0,32.932,1069.87,-1409.03,20132.4,0.87292,0,1,3.73825,3.8416,14.4649
2,0,0,0,2,1,0,1495.56,692,803.561,0,0,181.494,-3.8075,-143.229,1062,9292.75,18360.1,143.229,0,34.6628,186.557,194.55,0,0,1.40303,208.553,-815.102,267.075,21.8934,0,1,33.0707,33.734,148.017
2,0,0,0,2,1,0,6863.78,3343.97,3519.81,0,0,-11.6635,-159.909,95.5658,8135.15,8005.55,7265.59,-95.5658,0,276.383,203.014,232.947,0,0,1.6678,1009.12,-1272.19,1066.7,2.20041,0,1,5.11452,5.49462,19.878
2,0,0,0,2,1,0,7929.67,3738,4191.67,0,0,133.904,66.2367,185.312,6306.5,8452.13,16415,-185.312,0,202.151,250.304,280.282,0,0,9.39632,1387.84,-1481.82,1560.35,1.9446,0,1,7.39809,7.72259,28
2,0,0,0,2,3,0,25731.8,9922.33,15809.5,0,0,56.9333,-22.3677,-82.514,26182.7,8430.41,11174.3,82.514,0,841.28,690.936,806.82,0,0,19.0444,1605.44,-1671.92,4722.08,0.567839,0,1,3.02808,3.10384,12.884
2,0,0,0,2,3,0,7102.26,1957.94,5144.32,0,0,83.3611,80.9888,-372.673,8198.75,8107.91,17781.9,372.673,0,292.094,613.006,703.435,0,0,3.98685,332.468,-1004.24,481.141,3.7038,0,1,9.12573,9.14545,48.7663
3,0,0,0,3,1,0,3176.88,1656.78,1520.11,0,0,13.8803,-20.3418,304.058,3322.92,7190.49,12455.3,-304.058,0,112.356,189.828,215.918,0,0,3.74843,245.095,-844.381,396.349,6.61324,0,1,12.0551,12.9124,47.9964
3,0,0,0,3,1,0,8267.55,3971.78,4295.77,0,0,52.9627,-73.2198,165.271,7962.43,8039.62,7573.66,-165.271,0,260.199,241.126,276.388,0,0,3.52762,1300.97,-1417.84,1521.9,1.81659,0,1,5.79302,6.09252,22.1637
3,0,0,0,3,1,0,4460.02,2353,2107.02,0,0,-35.504,-43.2954,208.357,4776.59,8226.77,16327.1,-208.357,0,158.547,221.017,235.871,0,0,4.30208,419.402,-952.87,423.569,4.19265,0,1,8.85558,9.26682,33.1549
3,0,0,0,3,2,0,7286.63,1710.33,5576.3,0,0,-18.2677,49.2927,-471.814,10378.9,7814.78,5576.04,471.814,0,405.13,346.795,412.512,0,0,8.97846,259.544,-919.36,3135.29,2.5843,0,1,6.25538,6.24609,33.4666
3,0,0,0,3,2,0,12824.2,5422.61,7401.61,0,0,-13.3,32.5715,-43.5575,13624.5,7711.12,9244.29,43.5575,0,435.35,450.975,512.216,0,0,3.89823,1269.19,-1488.64,2972.28,1.26099,0,1,4.55867,4.64987,18.8384
3,0,0,0,3,3,0,20984.7,10044.2,10940.5,0,0,-20.2881,-52.53,18.9904,20681.9,8507.63,14461.3,-18.9904,0,668.82,701.261,763.153,0,0,31.5747,1183.57,-1459.29,20992.9,0.747635,0,1,3.66079,3.75657,14.5236
3,0,0,0,3,3,0,31778.9,14903.4,16875.5,0,0,9.73563,21.8659,101.663,35839.4,7984.15,10340.6,-101.663,0,1139.21,677.588,773.533,0,0,16.0175,1995.69,-1859.17,4650.44,0.423627,0,1,2.31933,2.39077,9.06807
3,0,0,0,3,2,0,8164.72,4157.44,4007.27,0,0,92.8632,11.6595,-14.7056,7022.38,8690.55,16568.3,14.7056,0,221.725,432.282,466.831,0,0,3.47029,824.505,-1223.58,1046.92,2.37665,0,1,8.15329,8.36295,32.6332
