image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,4450.67,2532.5,1918.17,0,0,-47.4952,-73.2861,245.259,4509.18,9817.81,12409.5,-245.259,0,153.264,484.938,541.457,0,0,8.66673,793.43,-1218.81,837.055,6.84948,0,1,13.2103,13.9784,49.9264
0,0,0,0,0,1,0,17748.9,7130.17,10618.8,0,0,82.5667,-59.2901,-154.22,21470.3,11168.1,14665.4,154.22,0,708.624,540.356,600.697,0,0,16.9487,2186.16,-1986.63,3051.39,0.855254,0,1,3.25356,3.32704,14.5412
0,0,0,0,0,1,0,13330,6910.28,6419.71,0,0,-16.0128,-31.4224,132.788,16452.8,12845.7,7531.86,-132.788,0,532.717,459.467,490.595,0,0,14.8772,1670,-1677.85,2613.45,1.18742,0,1,3.87095,4.01058,14.8548
0,0,0,0,0,1,0,6461.93,3504.45,2957.48,0,0,-56.463,-303.317,392.183,7084.3,9234.63,13034.3,-392.183,0,316.942,503.702,540.086,0,0,2.24131,807.618,-1223.17,1096.63,3.73586,0,1,8.11757,11.5156,33.5935
0,0,0,0,0,1,0,34276.1,19281.1,14995.1,0,0,24.4151,108.408,310.319,34120.5,11226.2,17063.7,-310.319,0,1146.01,945.571,1129.14,0,0,16.6736,4127.93,-3044.7,6793.38,0.432366,0,1,2.84934,3.06431,11.5939
0,0,0,0,0,3,0,26398.4,12736,13662.4,0,0,-152.372,-76.5228,104.192,29479,10613.5,11327.2,-104.192,0,1020.85,1577.41,1707.87,0,0,86.1678,2078.16,-1984.23,1,0.785032,0,1,3.69357,3.67283,13.5093
0,0,0,0,0,3,0,31247.3,16841.1,14406.2,0,0,-32.9484,-90.461,124.189,39923.8,11184.9,8281.73,-124.189,0,1319.14,1149.57,1206.87,0,0,33.0743,2788.17,-2369.79,3909.19,0.518806,0,1,2.45939,2.57573,9.47658
0,0,0,0,0,3,0,38518.3,23862.5,14655.8,0,0,67.3046,48.2073,446.338,33680.8,9308.25,13867.1,-446.338,0,1211.21,2111.13,2085.05,0,0,35.4676,3715.71,-2710.32,3901.58,0.50114,0,1,4.13951,4.54816,18.1019
0,0,0,0,0,3,0,58641.5,34915.8,23725.7,0,0,69.056,62.0525,334.218,72126.9,11082.9,15136.2,-334.218,0,2436.51,1804.1,1965.99,0,0,24.2347,4418.93,-3247.89,1,0.25891,0,1,1.88994,2.04318,7.66495
0,0,0,0,0,3,0,133583,51334.1,82248.9,0,0,3.69474,-9.4333,-247.634,135488,12135.2,8990.22,247.634,0,4620.3,2381.66,2855.81,0,0,154.332,16611.5,-8905.58,1,0.0962834,0,1,1.19749,1.21108,5.47908
0,0,0,0,0,3,0,68770.5,31618.1,37152.3,0,0,-109.532,88.7584,-238.568,68439.6,11458.9,9780.24,238.568,0,2398.14,2081.74,2114.46,0,0,91.878,9188.7,-5527.05,1,0.216467,0,1,1.94642,1.92211,9.01353
0,0,0,0,0,3,0,72814,45904.3,26909.6,0,0,127.55,-60.049,343.76,67859.7,14182.5,5389.31,-343.76,0,2355.89,1804.39,1839.35,0,0,137.832,11136.4,-6290.85,1,0.190553,0,1,1.95532,2.13525,7.84156
1,0,0,0,1,3,0,25006.3,11017.2,13989.1,0,0,-186.352,-9.21931,207.162,26301.6,10746.2,10075.6,-207.162,0,941.923,1522.53,1577.63,0,0,48.6305,2581.22,-2208.82,3381.1,0.827272,0,1,4.22614,4.07846,14.4319
1,0,0,0,1,3,0,116252,74954.5,41297.2,0,0,24.6746,51.2175,433.489,128151,11226,16923.5,-433.489,0,4586.39,2944.47,3454.78,0,0,48.1339,10111.8,-6114.25,1,0.123183,0,1,1.43336,1.57051,6.35801
2,0,0,0,2,1,0,4600.77,2442.42,2158.36,0,0,-226.653,-175.659,-159.018,4575.27,9898.27,11130.2,159.018,0,188.572,421.599,445.571,0,0,7.61022,666.859,-1124.35,886.568,5.78759,0,1,11.5383,10.6617,43.9686
2,0,0,0,2,1,0,2340.35,1469.33,871.013,0,0,-86.086,205.528,374.356,1804.23,8474.74,16275.7,-374.356,0,66.2214,342.442,357.57,0,0,1.39421,338.238,-939.475,343.177,15.7338,0,1,27.6749,30.0481,115.684
2,0,0,0,2,1,0,2670.87,1397.61,1273.26,0,0,-272.065,242.592,149.887,2564.76,8068.58,15942.6,-149.887,0,105.415,317.134,323.926,0,0,3.78904,304.699,-916.526,395.102,11.7499,0,1,19.4077,16.6435,57.1969
2,0,0,0,2,1,0,4344.47,2349.22,1995.25,0,0,-206.575,-210.794,-320.838,4287.89,9483.44,12349.7,320.838,0,193.606,449.447,475.961,0,0,5.80334,716.78,-1156.88,993.159,6.64895,0,1,12.5606,12.2467,55.1805
2,0,0,0,2,2,0,18110.4,9732.75,8377.65,0,0,-21.1103,59.148,186.989,15974.7,11370.5,10994.1,-186.989,0,517.436,1238.46,1340.78,0,0,18.7198,2792.47,-2288.42,3515.25,1.23566,0,1,6.12141,6.3619,22.79
2,0,0,0,2,2,0,9061.94,4110.22,4951.72,0,0,93.5473,-103.557,-564.916,10883,13723.1,6814.48,564.916,0,471.011,763.161,852.13,0,0,6.83066,1036.59,-1394.35,1651.39,2.83228,0,1,8.89947,8.89788,49.0681
