image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,64510.6,25233.2,39277.4,0,0,-155.112,-19.6534,-308.435,57168,16932.4,9789.96,308.435,0,2178.65,4739.54,5319.79,0,0,170.184,6105.81,-3965.35,1,0.36599,0,1,3.34159,3.20137,15.5201
0,0,0,0,0,3,0,47935.7,23383.2,24552.4,0,0,23.7326,-16.9377,46.1511,38405.9,1160.55,10182,-46.1511,0,1221.77,5591.42,6961.83,0,0,88.4552,1799.33,-1961.42,1,0.693716,0,1,5.31668,5.46603,20.1182
0,0,0,0,0,3,0,64804.5,25444.1,39360.4,0,0,-114.903,-33.7875,-182.767,55933.4,2483.46,10494.9,182.767,0,1952.14,5830.84,7274.13,0,0,79.7787,2345.12,-2235.07,1,0.428781,0,1,3.73817,3.70907,16.0235
0,0,0,0,0,3,0,206101,120082,86019.3,0,0,-115.785,104.066,119.563,182953,6037.18,11047.9,-119.563,0,6052.33,12240.9,14859.4,0,0,101.295,20628.2,-11181.8,1,0.103467,0,1,1.70122,1.71855,6.36771
0,0,0,0,0,3,0,200892,78926.6,121965,0,0,151.509,-133.196,-193.55,158702,14257.2,10199.6,193.55,0,5488.72,12486.8,15425.7,0,0,460.875,20380.5,-10909.4,1,0.109498,0,1,1.92555,1.99745,8.54267
0,0,0,0,0,3,0,354990,174690,180299,0,0,-14.428,12.0156,181.757,360858,8304.39,11041.3,-181.757,0,11707.6,18478.1,21720.9,0,0,532.095,13680.1,-8161.7,1,0.0553975,0,1,1.08621,1.13019,4.10326
0,0,0,0,0,3,0,147837,53354.7,94482.5,0,0,178.048,-73.2506,-218.304,131173,13342.5,10435.7,218.304,0,4472,13040.1,16765.1,0,0,355.193,11701.9,-6974.07,1,0.187354,0,1,2.4607,2.4986,10.9385
0,0,0,0,0,3,0,585035,190960,394075,0,0,64.8794,67.0262,-227.537,532358,9014.6,11183.6,227.537,0,17649.2,18699.6,23750.2,0,0,439.144,22903.5,-12279.8,1,0.0271828,0,1,0.797627,0.808617,3.60301
0,0,0,0,0,3,0,560122,221622,338501,0,0,76.3613,-54.8211,135.871,410675,17885.2,9627.75,-135.871,0,13249.2,18083.8,21175.1,0,0,600.951,39639.8,-20820.1,1,0.0280345,0,1,0.942357,0.981073,3.58579
0,0,0,0,0,3,0,801214,416845,384369,0,0,-31.9084,-40.439,215.112,907743,4571.65,10699,-215.112,0,30140.3,9989.57,12641.3,0,0,733.145,40485.6,-20648.6,1,0.0147882,0,1,0.39562,0.414102,1.55465
0,0,0,0,0,3,0,797576,385823,411753,0,0,40.9065,-95.2147,-104.544,698088,10716.3,10753.7,104.544,0,23084.6,20469.3,24388,0,0,1121.53,118826,-58158.7,1,0.0180883,0,1,0.602589,0.623903,2.58801
1,0,0,0,1,1,0,89544.7,35439.1,54105.6,0,0,31.7269,-99.0393,-86.3194,74430.9,16054.7,9770.66,86.3194,0,2457.42,4116.44,4757.62,0,0,223.647,15550.2,-8914.33,1,0.205179,0,1,2.35593,2.44213,9.94445
1,0,0,0,1,1,0,19785.2,10853.1,8932.07,0,0,54.9222,-290.95,200.173,16820.9,833.288,9666.5,-200.173,0,675.97,1506.64,1936.09,0,0,6.86492,7542.35,-3758.07,1,1.27239,0,1,5.68704,7.45508,21.276
2,0,0,0,2,1,0,59434.8,24059.9,35374.9,0,0,-180.189,-10.3916,-266.799,52699,16957.5,9780.7,266.799,0,2006.18,4598.21,5160.43,0,0,158.522,5594.81,-3725.45,1,0.410029,0,1,3.55496,3.32438,15.4346
3,0,0,0,3,1,0,14488.3,6633,7855.27,0,0,-75.2802,-291.916,373.886,17706.8,864.8,9568.78,-373.886,0,775.455,1423.66,1839.85,0,0,8.66855,6805.46,-3617.71,1,2.06051,0,1,5.44732,7.43199,23.5176
3,0,0,0,3,1,0,89876.7,30545.2,59331.5,0,0,-25.4482,-25.6445,-374.982,75975.6,15421.1,9894.64,374.982,0,2809.97,4013.85,4772.83,0,0,215.274,10313.2,-6024.52,1,0.20294,0,1,2.54077,2.54603,13.0338
3,0,0,0,3,3,0,45421.2,21943.3,23477.8,0,0,25.4852,-16.4766,60.8461,34503.5,1158.79,10181.5,-60.8461,0,1097.71,5383.69,6724.77,0,0,74.5096,1578.1,-1845.55,1,0.741514,0,1,5.80239,5.97418,21.8645
3,0,0,0,3,3,0,58891.2,23146.4,35744.8,0,0,-141.754,-45.0097,-221.747,51112.5,2510.31,10506.2,221.747,0,1853.01,5622.89,6966.98,0,0,71.8434,2109.24,-2112.62,1,0.489936,0,1,4.01208,3.91553,17.2824
3,0,0,0,3,3,0,196254,101583,94671,0,0,-101.76,16.2304,89.5289,148470,6023.16,11037,-89.5289,0,4877.5,11793.5,14222.5,0,0,131.283,17811.2,-9764.39,1,0.10918,0,1,2.02515,2.04647,7.57282
3,0,0,0,3,3,0,202288,79555,122733,0,0,98.5571,-111.943,-115.953,168062,14310.2,10178.3,115.953,0,5596.38,11935.4,14879.7,0,0,434.317,18795.1,-10122.1,1,0.10582,0,1,1.79521,1.85586,7.57706
3,0,0,0,3,3,0,128850,86011.6,42838.5,0,0,123.211,136.447,419.083,112624,14482.9,11212.9,-419.083,0,4020.12,13666.5,13799.4,0,0,76.3035,5925.16,-4020.13,1,0.224355,0,1,2.98273,3.26997,12.873
3,0,0,0,3,3,0,322699,161215,161485,0,0,-34.905,4.9224,175.75,333312,8324.86,11048.4,-175.75,0,10860.5,17429,20422.5,0,0,533.119,12930.8,-7828.39,1,0.0620996,0,1,1.13254,1.1788,4.28832
3,0,0,0,3,3,0,572691,188729,383962,0,0,67.4771,52.3514,-219.599,524756,9012,11198.3,219.599,0,17358.2,17667.6,22466.8,0,0,433.155,22336.4,-11999.5,1,0.0273718,0,1,0.788015,0.798467,3.54133
3,0,0,0,3,3,0,536003,211233,324770,0,0,84.078,-52.7144,121.914,385601,17877.5,9625.65,-121.914,0,12402.1,17427.1,20378.3,0,0,609.57,39268.5,-20522.4,1,0.0293725,0,1,0.982751,1.0202,3.73938
3,0,0,0,3,3,0,214985,97704.3,117281,0,0,-140.672,-55.7502,150.281,208497,7443.73,10911.7,-150.281,0,7166.74,14786.7,18107.4,0,0,482.007,16434.3,-9097.59,1,0.108344,0,1,1.6142,1.61992,5.95457
3,0,0,0,3,3,0,745444,360094,385350,0,0,36.6158,-88.095,-64.6319,654603,10720.6,10746.6,64.6319,0,21413.5,19505.1,23276.8,0,0,1083.4,109641,-53929.4,1,0.0194943,0,1,0.626306,0.648184,2.6228
5,0,0,0,5,1,0,56225.4,22686.3,33539.1,0,0,49.3134,-233.893,-159.761,57485.8,9227.55,9609.44,159.761,0,2145.2,2288.93,2666.05,0,0,101.036,14031.9,-7622.68,1,0.308785,0,1,2.20389,2.53456,9.65042
5,0,0,0,5,2,0,104562,52862.4,51700,0,0,-235.632,366.833,366.94,103648,7143.93,10982.5,-366.94,0,4941.28,8570.62,11357.3,0,0,113.105,12776,-7129.22,1,0.25492,0,1,2.39667,2.63115,8.98236
