image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,2,0,2286.08,1135.83,1150.25,0,0,-241.144,280.372,134.272,1876.83,4484.81,4950.2,-134.272,0,75.7064,402.907,443.85,0,0,12.0663,232.005,-904.634,5089.24,11.8204,0,1,27.7407,25.6954,89.9284
0,0,0,0,0,3,0,11626.8,5789.17,5837.63,0,0,-19.6257,-3.84164,314.69,14159.3,7224,6023.93,-314.69,0,499.906,724.379,831.919,0,0,8.49857,468.35,-1092.97,942.054,1.23726,0,1,5.5311,5.72501,20.9744
0,0,0,0,0,3,0,142912,70239,72673.4,0,0,-34.2888,-9.51427,174.52,161251,10988.9,7411.26,-174.52,0,5473.34,1962.46,2332.72,0,0,178.482,11958.2,-7290.27,1,0.0619152,0,1,0.955491,0.963859,3.69862
0,0,0,0,0,3,0,166460,98459.7,68000.2,0,0,43.7082,55.2286,307.959,200699,14858.5,11294.1,-307.959,0,6971.03,1169.76,1188.75,0,0,143.451,8891.52,-5484.54,1,0.0480915,0,1,0.718944,0.744811,2.79612
2,0,0,0,2,3,0,17834.1,9986,7848.1,0,0,0.152931,81.6381,354.608,25458.4,2960.55,3076.44,-354.608,0,906.214,705.35,816.599,0,0,12.3648,506.352,-1113.81,2060.09,0.661495,0,1,3.28756,3.43061,12.7578
3,0,0,0,3,2,0,8082.62,3894.33,4188.29,0,0,-39.2296,-13.6473,285.38,8825.33,7243.6,6033.74,-285.38,0,309.676,481.949,553.433,0,0,20.3932,373.569,-1001.27,3911.82,1.74183,0,1,7.13574,7.34206,26.872
3,0,0,0,3,3,0,18592.3,6614.25,11978.1,0,0,-25.3321,62.9318,-111.658,21754.6,12460.3,9312.62,111.658,0,739.135,884.748,1079.44,0,0,3.10627,1185.29,-1505.82,1,0.692054,0,1,3.96203,3.99366,17.6066
3,0,0,0,3,3,0,119847,54511.4,65335.7,0,0,45.9298,11.7836,51.8273,118722,11106,7389.97,-51.8273,0,3926.27,2019.8,2397.95,0,0,178.892,9915.69,-6046.28,1,0.0768565,0,1,1.22104,1.23482,4.99143
3,0,0,0,3,3,0,152709,89217.5,63491.3,0,0,36.5972,-11.7534,309.36,172709,14865.6,11262.4,-309.36,0,6055.82,1247.6,1264.37,0,0,112.084,9575.72,-5812.79,1,0.0532203,0,1,0.809882,0.841908,3.12147
4,0,0,0,4,3,0,13112.6,8678.69,4433.88,0,0,-31.1802,45.5539,456.864,15384.5,623.32,743.966,-456.864,0,584.829,746.982,728.568,0,0,14.7318,614.27,-1166.21,1025.1,1.01141,0,1,5.38261,5.70009,21.7167
5,0,0,0,5,3,0,15009.2,6562.92,8446.3,0,0,-37.1837,13.404,62.0029,17403.1,7044.17,5908,-62.0029,0,581.564,706.21,801.394,0,0,16.191,678.73,-1201.91,1347.27,0.83989,0,1,4.34172,4.38359,17.2472
5,0,0,0,5,3,0,29872,16793.2,13078.7,0,0,11.6443,65.7772,344.795,42426,2949.06,3092.3,-344.795,0,1500.99,702.918,829.416,0,0,24.8212,737.993,-1241.57,1,0.334108,0,1,2.12935,2.21255,8.24957
