image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,3,0,12011.8,3947.42,8064.4,0,0,-10.8439,-10.7056,-169.762,17029.5,11261.5,15307.7,169.762,0,594.017,361.439,379.531,0,0,10.4183,267.392,-926.662,1891.65,0.877817,0,1,3.37155,3.41036,15.8753
0,0,0,0,0,2,0,2853.2,1023.78,1829.42,0,0,58.3727,-1.93741,-193.654,3079.45,15830.7,16680.5,193.654,0,107.453,242.382,252.247,0,0,2.4999,134.448,-808.031,193.092,5.78725,0,1,13.3278,13.5531,65.0714
3,0,0,0,3,3,0,11914.5,3970.22,7944.29,0,0,-6.10162,-1.06763,-182.413,17504.3,11256.8,15298,182.413,0,611.981,360.676,376.045,0,0,10.71,329.503,-958.101,2091.12,0.885668,0,1,3.30263,3.33954,15.6764
3,0,0,0,3,3,0,6268.33,2410.5,3857.83,0,0,30.6418,30.3961,-35.9752,6667.6,6186.83,14181,35.9752,0,221.725,369.238,388.747,0,0,5.60624,220.858,-897.456,469.717,2.18705,0,1,7.776,7.8764,33.6449
5,0,0,0,5,1,0,721.899,368.222,353.677,0,0,-20.2993,25.9173,57.4762,577.202,5053.49,13988.1,-57.4762,0,19.1929,118.782,126.688,0,0,0.538136,78.0405,-706.386,83.222,35.2035,0,1,48.6069,49.09,189.985
5,0,0,0,5,1,0,868.972,457.445,411.528,0,0,30.322,-36.949,214.175,545.052,14378.4,15531.3,-214.175,0,18.6247,119.868,124.527,0,0,0.195009,90.5054,-711.727,104.126,25.637,0,1,52.8236,53.7995,190.52
5,0,0,0,5,2,0,1377.81,634.778,743.03,0,0,-0.263648,50.5108,34.6711,839.256,16086.7,17318.9,-34.6711,0,27.7607,240.117,248.234,0,0,1.03645,84.2981,-777.415,1548.01,19.0086,0,1,46.7552,47.2133,186.935
6,0,0,0,6,1,0,1096.64,499.139,597.497,0,0,-48.1415,49.3381,-177.665,580.399,9522.38,13964.6,177.665,0,20.298,118.443,124.882,0,0,0.911098,115.834,-723.173,100.362,17.42,0,1,47.2514,47.7775,228.192
6,0,0,0,6,3,0,8207.15,2871.22,5335.93,0,0,-7.24805,-15.8278,-202.085,11005.2,11257.9,15312.8,202.085,0,389.092,364.4,384.622,0,0,6.09336,169.15,-873.613,947.53,1.47729,0,1,4.96337,5.01526,23.9245
8,0,0,0,8,1,0,866.776,387,479.776,0,0,-46.1634,37.8268,152.627,490.804,9619.09,13976.2,-152.627,0,16.5264,119.125,127.081,0,0,0.711827,108.047,-721.694,109.433,25.8688,0,1,58.0961,58.5831,211.933
9,0,0,0,9,3,0,8657.86,3064.11,5593.75,0,0,26.5983,-12.6326,-170.011,10549.8,11224.1,15309.6,170.011,0,366.291,372.139,397.331,0,0,9.1588,359.775,-977.103,1098.5,1.38554,0,1,5.18205,5.25786,24.4522
9,0,0,0,9,3,0,6598.91,2449.67,4149.24,0,0,36.8404,21.624,-65.0124,7290.23,6180.63,14189.7,65.0124,0,243.848,367.054,390.378,0,0,5.26051,221.247,-897.187,532.788,2.02763,0,1,7.14785,7.25285,31.6487
12,0,0,0,12,1,0,913.119,353.333,559.786,0,0,-5.54719,10.3015,108.548,478.148,8887.65,14102.4,-108.548,0,15.9359,117.551,125.573,0,0,0.133263,108.495,-717.34,101.178,23.5146,0,1,58.9119,59.4767,219.289
12,0,0,0,12,3,0,7802.4,3028.92,4773.48,0,0,18.7886,-23.3625,-130.826,9009.09,11231.9,15320.3,130.826,0,309.51,369.638,391.881,0,0,7.5114,247.898,-915.207,800.96,1.59727,0,1,5.89023,5.9713,27.189
