image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
17,0,0,0,17,1,0,855.42,319.5,535.92,0,0,-29.4624,-45.281,-20.0455,461.249,8220.73,6756.2,20.0455,0,15.6472,130.828,142.154,0,0,0.209111,118.702,-736.319,118.613,28.3957,0,1,61.9518,62.7398,260.311
24,0,0,0,24,1,0,948.821,445,503.821,0,0,41.4763,39.5297,10.2196,598.857,8445.86,6671.39,-10.2196,0,19.7735,128.842,139.605,0,0,0.829972,138.575,-744.441,134.747,23.5642,0,1,48.7742,49.4027,199.002
54,0,0,0,54,1,0,910.51,413.444,497.066,0,0,3.39425,5.786,141.24,476.744,8385.26,6705.13,-141.24,0,15.9474,127.199,138.733,0,0,0.629091,130.047,-739.304,137.067,25.0896,0,1,62.1766,62.8024,226.457
61,0,0,0,61,1,0,734.012,345.833,388.179,0,0,-29.1846,22.7357,345.525,510.235,8121.76,6786.87,-345.525,0,18.2293,127.096,138.693,0,0,0.400246,116.537,-733.308,120.098,36.2174,0,1,59.9509,62.2752,228.107
62,0,0,0,62,2,0,1481.47,716.389,765.077,0,0,92.2113,-18.6319,-48.1224,932.975,8395.13,6729.55,48.1224,0,31.286,255.788,274.984,0,0,0.397002,117.544,-802.687,119.279,17.8102,0,1,43.2473,43.8036,186.092
71,0,0,0,71,1,0,903.745,390.833,512.912,0,0,4.53974,-0.53289,-306.234,567.757,11838.3,7106.21,306.234,0,21.0235,127.848,133.869,0,0,0.204228,105.762,-725.993,119.867,25.1426,0,1,52.8247,53.2402,285.001
81,0,0,0,81,1,0,896.818,415.111,481.706,0,0,75.8673,10.7626,-318.634,621.253,11964.3,7193.61,318.634,0,22.9684,126.827,138.479,0,0,0.538717,113.763,-730.991,120.126,25.6962,0,1,49.8538,50.1871,268.858
84,0,0,0,84,1,0,893.869,364,529.869,0,0,76.313,29.4993,-128.541,520.742,8114.96,6780.11,128.541,0,17.6596,125.957,134.995,0,0,0.311451,90.6912,-717.794,114.901,25.5547,0,1,54.7317,55.4909,252.39
90,0,0,0,90,1,0,847.647,480.5,367.147,0,0,11.8258,4.09762,394.52,605.296,10153.2,7397.65,-394.52,0,22.1067,125.177,133.959,0,0,0.336714,90.8042,-717.742,104.099,27.8168,0,1,51.1113,53.6543,201.417
129,0,0,0,129,1,0,871.679,477.222,394.457,0,0,-18.0196,12.6419,365.14,522.582,9985.71,7290.42,-365.14,0,18.8404,126.451,133.029,0,0,0.356189,107.453,-726.427,117.511,26.5623,0,1,58.5829,61.1069,223.342
131,0,0,0,131,1,0,834.136,401.25,432.886,0,0,14.6693,-41.7915,22.9919,480.989,8275.29,6752.71,-22.9919,0,16.1276,125.919,134.431,0,0,0.613043,119.898,-733.415,123.363,28.6786,0,1,58.9127,59.6132,237.219
134,0,0,0,134,1,0,956.321,451.694,504.627,0,0,42.9876,10.3273,35.8785,537.519,8148.28,6700.59,-35.8785,0,17.7879,125.149,133.612,0,0,0.192989,126.596,-735.802,125.888,22.6939,0,1,53.2649,54.1378,212.316
