image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,950.76,531.444,419.315,0,0,51.1259,-13.3496,247.748,680.605,3501.71,11165.3,-247.748,0,23.3363,124.694,131.538,0,0,0.759884,96.5948,-719.8,106.455,22.7689,0,1,43.8853,45.0404,159.598
0,0,0,0,0,2,0,4745.79,3128.11,1617.68,0,0,132.654,-27.4052,598.867,6041.46,2433.29,15324.4,-598.867,0,258.105,271.921,288.817,0,0,7.31091,355.138,-935.596,595.3,2.85737,0,1,8.97989,9.86933,43.4212
1,0,0,0,1,1,0,754.603,459.333,295.269,0,0,57.4646,-65.4615,490.864,626.949,3199.31,11217.4,-490.864,0,24.709,125.667,132.309,0,0,0.750656,81.5298,-712.874,91.0015,33.8122,0,1,50.2862,54.3474,218.906
2,0,0,0,2,1,0,1877.18,1159.56,717.626,0,0,-112.518,21.327,516.724,1993.55,2283.7,15374.3,-516.724,0,81.4505,140.008,144.897,0,0,2.7875,172.815,-771.611,224.407,8.18197,0,1,17.8387,18.8646,76.556
3,0,0,0,3,3,0,7324.92,4833,2491.92,0,0,82.8883,-37.7836,500.667,7792.19,2384.36,15334.7,-500.667,0,306.839,415.311,432.07,0,0,10.3106,400.668,-998.857,740.008,1.83348,0,1,7.98582,8.59852,34.1406
6,0,0,0,6,1,0,812.936,450.167,362.769,0,0,69.8776,-18.7584,51.2401,439.776,3186.89,11072,-51.2401,0,14.6126,127.308,131.62,0,0,0.706319,98.1879,-721.162,106.777,29.8547,0,1,64.7688,65.7417,254.803
6,0,0,0,6,3,0,6483.93,4422.72,2061.2,0,0,4.54667,-50.9053,490.269,7487.44,2265.32,15446.5,-490.269,0,294.47,421.593,432.575,0,0,23.4686,330.35,-964.648,6360.02,2.20371,0,1,8.26322,8.87088,34.7893
7,0,0,0,7,1,0,918.632,474.333,444.299,0,0,158.168,90.4187,264.222,507.283,2999.91,16193.4,-264.222,0,17.4809,125.104,134.055,0,0,0.533975,120.769,-732.007,154.489,24.2948,0,1,59.0444,60.5699,216.703
8,0,0,0,8,1,0,874.682,489,385.682,0,0,63.9759,22.709,204.027,508.334,3192.79,8859.39,-204.027,0,17.1164,122.902,127.911,0,0,0.613586,100.82,-719.586,110.252,25.8055,0,1,57.7377,58.7305,207.914
8,0,0,0,8,2,0,1461.1,789,672.096,0,0,-77.2091,35.6239,630.602,1300.43,3235.29,11215,-630.602,0,57.4439,252.564,262.51,0,0,0.822193,130.136,-807.029,130.117,17.8544,0,1,38.1203,41.5691,199.705
9,0,0,0,9,1,0,874.505,381.361,493.143,0,0,116.542,-21.4705,-63.4886,497.358,3732.37,8607.5,63.4886,0,16.7582,119.647,128.376,0,0,0.490288,91.2874,-713.481,87.9809,25.612,0,1,55.3815,56.1468,242.377
9,0,0,0,9,1,0,730.343,458.667,271.676,0,0,40.9134,-4.2548,504.592,652.826,2722.41,13623.5,-504.592,0,25.562,120.79,129.164,0,0,0.657077,86.8454,-712.269,100.066,34.9568,0,1,48.4813,52.3382,216.472
9,0,0,0,9,2,0,4835.72,2979.78,1855.95,0,0,-39.1414,-24.779,440.029,4741.07,2407.7,15321.7,-440.029,0,180.449,274.093,290.742,0,0,6.58702,301.805,-907.119,2448.87,2.78934,0,1,10.2945,10.9034,42.0366
10,0,0,0,10,1,0,934.892,531.667,403.225,0,0,50.3516,42.4786,607.861,835.99,3502.49,11208.2,-607.861,0,35.3008,122.893,129.722,0,0,0.716158,107.209,-724.857,120.018,23.1955,0,1,41.2971,45.4453,215.702
