image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,853.189,349.444,503.744,0,0,59.5779,13.9638,-274.317,558.536,11881.9,6993.03,274.317,0,20.1663,131.712,144.396,0,0,0.640158,106.747,-731.836,119.662,28.7476,0,1,54.7547,55.389,285.246
0,0,0,0,0,1,0,845.406,408.472,436.934,0,0,-27.2601,36.0452,180.778,575.307,6935.56,6477.49,-180.778,0,19.4031,131.828,142.799,0,0,0.505267,106.273,-730.534,115.18,29.095,0,1,52.8878,53.4006,191.493
1,0,0,0,1,1,0,794.013,381.889,412.124,0,0,-52.4359,-9.46266,306.424,493.085,8046.33,6917.76,-306.424,0,17.4858,133.411,142.927,0,0,0.599475,98.1486,-726.547,98.911,32.5422,0,1,62.3087,64.3786,231.332
2,0,0,0,2,1,0,1025.15,346.166,678.983,0,0,94.5802,-61.3325,-557.832,958.111,5826.82,6180.11,557.832,0,43.1878,129.194,135.592,0,0,0.158912,133.142,-742.147,165.047,20.5332,0,1,40.974,41.5918,252.939
4,0,0,0,4,1,0,882.496,466.666,415.83,0,0,-5.68086,-8.13172,221.671,500.859,11651.1,7409.88,-221.671,0,17.1049,132.799,145.497,0,0,0.26305,103.639,-730.434,112.183,27.2929,0,1,61.2985,62.2894,221.834
6,0,0,0,6,2,0,892.427,442.112,450.315,0,0,-1.54609,93.0972,-61.4719,514.984,11844.3,7407.34,61.4719,0,17.197,269.389,289.667,0,0,1.29175,93.7047,-794.66,1779,45.6165,0,1,80.1214,81.1717,349.824
12,0,0,0,12,1,0,715.018,381.166,333.852,0,0,-12.8052,6.71174,172.478,426.993,1887.92,5717.31,-172.478,0,14.3936,129.161,135.478,0,0,0.701037,82.6832,-715.356,88.9726,37.7962,0,1,69.5207,70.3772,250.367
17,0,0,0,17,1,0,855.42,319.5,535.92,0,0,-29.4624,-45.281,-20.0455,461.249,8220.73,6756.2,20.0455,0,15.6472,130.828,142.154,0,0,0.209111,118.702,-736.319,118.613,28.3957,0,1,61.9518,62.7398,260.311
18,0,0,0,18,1,0,950.102,549,401.102,0,0,33.9117,38.562,109.172,586.181,10328.5,8152.71,-109.172,0,19.3896,128.881,136.914,0,0,0.342804,72.724,-711.064,85.5465,23.3596,0,1,50.5492,51.0708,188.741
24,0,0,0,24,1,0,948.821,445,503.821,0,0,41.4763,39.5297,10.2196,598.857,8445.86,6671.39,-10.2196,0,19.7735,128.842,139.605,0,0,0.829972,138.575,-744.441,134.747,23.5642,0,1,48.7742,49.4027,199.002
