image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1254.02,760.111,493.912,0,0,365.029,332.643,-337.866,906.378,17399.2,10918,337.866,0,39.919,186.37,200.323,0,0,1.06342,158.796,-791.307,194.945,31.8206,0,1,41.5192,37.447,174.315
0,0,0,0,0,1,0,2384.73,1135.33,1249.4,0,0,55.4847,24.5702,-163.378,1413.99,8925.31,13101.2,163.378,0,46.386,214.752,246.366,0,0,2.21019,291.397,-876.355,288.315,11.9724,0,1,29.0862,27.9945,121.356
0,0,0,0,0,3,0,2414.94,1234.33,1180.6,0,0,130.526,52.6429,-163.657,1404.68,11712.3,12974.4,163.657,0,46.0978,592.354,648.286,0,0,11.8977,202.318,-929.163,1654.19,24.8875,0,1,46.876,44.9848,197.145
0,0,0,0,0,2,0,3002.83,1465.5,1537.33,0,0,99.5624,19.635,250.178,3149.41,16973.8,10836.3,-250.178,0,106.796,379.407,426.504,0,0,1.8284,209.085,-891.035,267.267,11.9689,0,1,18.3039,18.1375,67.2134
0,0,0,0,0,2,0,2775.29,1562,1213.29,0,0,32.1317,-20.1922,-37.3276,2039.91,12600.2,12849.9,37.3276,0,66.1074,398.452,441.433,0,0,15.0681,190.052,-883.039,2735.19,14.1678,0,1,26.949,26.0721,102.659
0,0,0,0,0,3,0,6044.67,3152.33,2892.33,0,0,21.1554,53.778,109.757,6781.77,13598.1,11591.6,-109.757,0,220.337,623.567,704.048,0,0,2.18408,402.375,-1040.33,2201.94,5.15228,0,1,10.7618,10.4464,38.8485
0,0,0,0,0,3,0,8093.93,4740.53,3353.4,0,0,81.3315,-16.3424,347.23,9043.15,17880.2,9687.96,-347.23,0,323.401,578.739,614.969,0,0,2.03497,499.024,-1076.05,726.752,2.97381,0,1,8.28502,8.38602,32.5462
1,0,0,0,1,1,0,1620.72,928.084,692.633,0,0,309.983,329.22,322.269,999.335,9164.26,13586.1,-322.269,0,42.8493,192.423,220.257,0,0,0.825494,199.33,-817.811,227.207,21.3322,0,1,36.2535,40.4851,136.677
2,0,0,0,2,1,0,1304.74,488,816.739,0,0,-12.0851,104.056,-416.686,673.252,13730,12528.3,416.686,0,24.8509,194.138,218.499,0,0,0.596516,209.181,-821.518,210.801,31.1535,0,1,61.4486,57.8545,331.654
2,0,0,0,2,1,0,1624.61,688,936.614,0,0,35.8645,90.9811,-192.735,1116.4,12497.8,12936.1,192.735,0,36.9945,196.032,216.313,0,0,0.869789,182.485,-808.862,194.097,21.248,0,1,34.6646,33.2897,150.696
2,0,0,0,2,3,0,3555.05,1689,1866.05,0,0,91.932,29.2627,41.0676,2703.9,17968.3,10431.9,-41.0676,0,87.1381,574.033,603.767,0,0,11.252,251.279,-949.879,2546.41,11.8628,0,1,24.4738,23.7067,88.3123
2,0,0,0,2,2,0,2481.63,1122,1359.63,0,0,173.409,128.327,205.937,1427.67,16801.3,11023.6,-205.937,0,48.422,380.988,430.64,0,0,1.76158,248.613,-910.314,272.187,16.8052,0,1,38.7282,38.1153,140.344
3,0,0,0,3,1,0,1581.84,834.334,747.509,0,0,49.6204,204.24,214.504,1131.63,4194.05,13316.3,-214.504,0,38.8576,186.639,211.605,0,0,0.334629,194.548,-813.09,227.583,21.6831,0,1,34.1847,34.4748,125.255
3,0,0,0,3,2,0,2430.12,1147.89,1282.23,0,0,130.625,-39.8572,-109.755,1787.9,12699.1,12869.6,109.755,0,58.5277,392.248,432.65,0,0,13.4811,203.731,-888.918,2735.39,17.6721,0,1,30.1413,29.0604,121.2
3,0,0,0,3,3,0,4968.6,2512.56,2456.04,0,0,34.4538,22.8431,190.203,6236.09,13584.8,11622.6,-190.203,0,206.452,591.956,674.352,0,0,2.14919,280.657,-972.83,2072.05,6.96383,0,1,11.5433,11.3581,41.8516
3,0,0,0,3,3,0,4198.43,1429.33,2769.09,0,0,-15.6736,45.1216,-697.595,4635.45,15115.2,12192.4,697.595,0,216.024,565.849,633.53,0,0,13.8357,199.783,-926.367,1830.97,8.96617,0,1,21.8782,19.3032,118.95
3,0,0,0,3,3,0,8161.69,4973.17,3188.53,0,0,63.386,-22.7368,414.308,10189.7,17898.2,9694.36,-414.308,0,380.753,562.094,604.04,0,0,1.88857,445.044,-1048.01,697.381,2.89327,0,1,7.5045,7.73483,32.4182
4,0,0,0,4,1,0,1261.98,807,454.982,0,0,68.331,29.7256,172.808,834.588,4274.03,14576.4,-172.808,0,27.4606,175.258,195.93,0,0,0.132772,152.43,-783.747,146.294,30.4892,0,1,45.4771,44.607,163.215
4,0,0,0,4,1,0,1297.33,769.444,527.889,0,0,46.7038,250.954,-118.232,733.766,1137.58,13763,118.232,0,25.0351,174.454,193.766,0,0,0.50515,152.207,-782.641,166.497,28.8811,0,1,47.1666,46.8764,193.827
4,0,0,0,4,1,0,1508.97,733,775.97,0,0,-84.9369,235.951,14.9218,1019.32,11533,13087.2,-14.9218,0,35.1661,181.455,202.906,0,0,1.2691,245.125,-832.09,232.06,22.9298,0,1,35.4839,34.4926,130.227
4,0,0,0,4,3,0,4634.53,2093,2541.53,0,0,124.256,-15.3629,-151.535,3766.25,9053.91,13141.1,151.535,0,123.674,575.158,661.742,0,0,5.92018,279.847,-969.064,357.003,7.71896,0,1,17.8418,17.1766,73.3928
5,0,0,0,5,1,0,1083,630.917,452.085,0,0,7.97495,25.0551,214.629,731.539,5716.05,14679.8,-214.629,0,24.473,174.114,192.748,0,0,0.374845,142.01,-778.795,176.898,39.5874,0,1,51.9436,51.0835,186.828
5,0,0,0,5,1,0,1318.59,593.889,724.697,0,0,89.8358,24.2608,3.71282,923.097,13529.4,11029,-3.71282,0,29.7257,200.414,231.476,0,0,0.817947,180.68,-813.397,199.658,31.6468,0,1,43.1109,41.6418,158.043
5,0,0,0,5,2,0,2004.39,965.333,1039.05,0,0,40.5556,30.8705,11.1084,1399.06,4104.42,14575.2,-11.1084,0,45.0717,358.62,399.883,0,0,0.29473,175.911,-866.79,180.396,23.3335,0,1,37.4953,36.3264,137.504
5,0,0,0,5,2,0,3205.15,1413,1792.14,0,0,-4.52536,84.0391,-64.2396,2030.99,11551.3,12943,64.2396,0,66.0721,373.771,412.55,0,0,1.15339,254.93,-909.273,266.15,10.5098,0,1,26.2184,25.2478,101.928
5,0,0,0,5,2,0,2786.41,1425.25,1361.16,0,0,61.2986,-31.8542,130.917,2488.74,17012.1,10789.1,-130.917,0,81.5322,374.289,414.327,0,0,1.76496,216.687,-891.119,274.426,13.4192,0,1,22.1541,21.6601,79.6563
5,0,0,0,5,3,0,3258.36,1374.72,1883.64,0,0,86.8321,-2.86404,-233.038,2647.88,12545.5,12832.6,233.038,0,88.581,572.126,634.605,0,0,25.4074,169.155,-909.841,7494.6,14.1115,0,1,25.3767,24.0141,113.913
6,0,0,0,6,3,0,5274.31,2235.28,3039.03,0,0,91.4423,32.8593,33.6947,5888.85,13626.5,11612.6,-33.6947,0,189.688,587.969,664.862,0,0,3.45358,316.633,-993.723,510.506,6.2383,0,1,11.8463,11.4535,43.1565
