image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1609.3,815.277,794.022,0,0,-66.669,-18.2665,-234.734,1058.44,7271.04,12749.3,234.734,0,36.4951,199.628,219.002,0,0,0.897864,225.537,-831.344,240.212,21.8388,0,1,36.6805,34.4926,164.996
0,0,0,0,0,1,0,1369.92,699.472,670.452,0,0,22.6441,-40.3094,375.652,892.164,4418.41,10698.8,-375.652,0,32.6385,182.126,204.476,0,0,0.87813,215.494,-819.915,204.031,27.2283,0,1,45.118,45.8775,189.856
0,0,0,0,0,3,0,4873.68,2452.56,2421.13,0,0,40.7644,-82.8717,311.154,5523.64,14664,18241.8,-311.154,0,196.282,508.565,558.956,0,0,12.436,233.051,-932.233,1770.55,6.38138,0,1,12.1602,12.3097,46.8935
0,0,0,0,0,2,0,35425.2,14805,20620.2,0,0,-63.6148,-38.919,-314.081,37774.2,8649.65,13559.4,314.081,0,1348.86,594.848,654.329,0,0,50.8091,7733.99,-4569.21,16856.1,0.367498,0,1,2.28758,2.12288,10.6692
1,0,0,0,1,1,0,1438.69,704.305,734.387,0,0,37.6834,-52.7726,298.694,989.483,5686.34,13375.9,-298.694,0,34.6402,189.244,209.292,0,0,0.407862,210.694,-821.288,217.06,25.5795,0,1,40.4778,40.5995,154.863
1,0,0,0,1,1,0,1532.89,621,911.887,0,0,-107.295,-177.455,267.86,823.138,7509.04,12513.7,-267.86,0,30.9892,196.181,219.555,0,0,0.801189,222.446,-828.623,238.196,23.6298,0,1,47.1759,46.9404,170.535
1,0,0,0,1,1,0,1268.19,592.667,675.519,0,0,72.3443,120.126,139.773,671.863,10980.9,14979.4,-139.773,0,22.022,192.672,214.2,0,0,0.642414,195.262,-815.623,199.86,32.4143,0,1,58.2558,57.0488,208.706
1,0,0,0,1,1,0,1584.07,927,657.066,0,0,32.7377,-13.7937,215.019,1207.31,6678.18,12152.7,-215.019,0,40.4452,195.55,219.305,0,0,0.73989,149.256,-794.257,170.715,22.2869,0,1,33.5609,33.2111,121.723
2,0,0,0,2,1,0,1294.98,651.083,643.9,0,0,-35.7485,-24.5536,157.041,750.019,4279.42,10683.1,-157.041,0,24.9679,185.607,205.983,0,0,0.738345,203.194,-813.478,200.933,30.3439,0,1,51.3111,49.9707,183.576
2,0,0,0,2,2,0,3482.37,1722.67,1759.7,0,0,-14.9852,-78.6538,123.627,2667.22,5739.01,11329.3,-123.627,0,88.6936,386.055,433.035,0,0,13.6505,260.762,-919.654,3029.47,9.38435,0,1,20.861,20.3654,75.1241
2,0,0,0,2,3,0,32794.8,13148.8,19646,0,0,101.531,-4.29981,-41.2623,27046.1,9076.64,13623.5,41.2623,0,874.058,982.238,1095.4,0,0,47.309,4681.06,-3192.62,6444.15,0.481184,0,1,3.5254,3.40243,13.7271
3,0,0,0,3,3,0,5534.18,2892.67,2641.51,0,0,41.6949,-18.2852,362.679,6518.72,14663.1,18275.9,-362.679,0,235.262,501.36,544.513,0,0,3.68268,248.988,-940.545,410.448,5.08633,0,1,10.6216,10.8083,43.0058
4,0,0,0,4,2,0,2304.72,1199.44,1105.28,0,0,69.8673,-25.0525,11.3893,1695.43,6641.05,12163.9,-11.3893,0,54.8223,400.398,443.759,0,0,1.77191,215.274,-897.438,227.631,19.7769,0,1,32.5942,31.6118,119.571
4,0,0,0,4,2,0,4408.45,2271.11,2137.34,0,0,25.8798,79.7659,-37.7562,4568.42,5796.83,11368.3,37.7562,0,147.637,394.814,438.338,0,0,4.77153,191.218,-886.765,349.44,6.38312,0,1,12.3863,11.9673,47.5851
