image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1927.91,781.084,1146.83,0,0,99.8607,-64.4857,-94.4866,1690.26,16381.4,6578.03,94.4866,0,54.0134,192.626,222.954,0,0,2.02691,272.205,-857.871,294.39,13.4621,0,1,22.4507,22.4622,90.7458
0,0,0,0,0,1,0,1215.58,709.334,506.249,0,0,-173.36,-170.782,96.1878,1094.82,16259.8,5500.04,-96.1878,0,40.4784,160.241,178.597,0,0,1.12263,162.656,-780.82,178.455,25.5339,0,1,30.3861,29.8353,106.226
0,0,0,0,0,2,0,2871.5,1493.56,1377.95,0,0,214.59,250.228,202.738,1733.39,16167.9,9618.77,-202.738,0,59.9157,427.776,480.922,0,0,3.30649,328.603,-959.785,361.735,11.8595,0,1,31.6822,32.7554,120.268
0,0,0,0,0,3,0,3914.15,1490.22,2423.93,0,0,-10.4534,-109.016,66.1059,4193.93,16393,7214.7,-66.1059,0,137.241,617.172,685.366,0,0,26.9929,386.86,-1026.34,14628.6,9.0368,0,1,15.8355,16.1088,60.4644
0,0,0,0,0,3,0,6172.73,3092.33,3080.4,0,0,26.008,-11.69,165.087,6973.72,17146.1,5439.64,-165.087,0,225.821,515.355,587.994,0,0,8.63705,391.561,-1017.33,1980.39,3.72836,0,1,9.37896,9.50048,35.2775
0,0,0,0,0,3,0,3468.38,1576,1892.38,0,0,65.5425,-178.095,-144.299,3047.73,16415.7,6000.8,144.299,0,104.541,534.323,612.547,0,0,2.40967,310.13,-977.472,310.23,10.1421,0,1,19.2886,20.5133,80.9766
0,0,0,0,0,3,0,9011.61,3934,5077.61,0,0,109.106,132.557,-118.873,8895.1,15385.2,12203.7,118.873,0,282.315,661.869,730.465,0,0,5.80355,349.828,-1018.13,508.043,2.33971,0,1,8.02011,7.98499,33.1782
0,0,0,0,0,3,0,7388.89,3377.5,4011.39,0,0,-1.72281,55.9207,-44.1079,7480.27,17272.5,6062.86,44.1079,0,236.557,546.541,597.574,0,0,6.27623,390.32,-1019.16,7225.93,2.85759,0,1,8.68343,8.6171,34.2712
0,0,0,0,0,3,0,9993.89,4771.25,5222.64,0,0,22.8453,47.4397,-96.1267,9432.29,14287.2,11104.5,96.1267,0,298.487,715.359,759.844,0,0,6.47472,574.436,-1138.29,1007.18,2.05535,0,1,7.76857,7.72752,31.7713
0,0,0,0,0,3,0,10556.6,4424.08,6132.56,0,0,19.2951,-24.3596,-157.95,10675,13501.2,14137,157.95,0,344.178,589.518,640.342,0,0,28.4689,814.511,-1249.08,8582.47,1.70901,0,1,6.36223,6.33932,27.4083
0,0,0,0,0,3,0,14053.3,8008.11,6045.19,0,0,72.054,12.2573,231.032,15093,16211.8,8080.32,-231.032,0,497.29,707.674,750.054,0,0,13.1175,719.477,-1208.16,3207.49,1.21116,0,1,5.28715,5.43281,20.0995
0,0,0,0,0,3,0,21383.1,12648.3,8734.76,0,0,3.15064,29.1944,259.263,26731.7,13912.1,15563.8,-259.263,0,897.518,608.266,658.636,0,0,15.5245,653.256,-1175.33,2603.21,0.629022,0,1,3.02908,3.11338,11.6776
0,0,0,0,0,3,0,16756.8,7029.58,9727.19,0,0,78.8431,19.4427,-233.381,17992,14823.3,9356.11,233.381,0,586.594,707.965,774.433,0,0,12.1119,653.403,-1180.54,1625.08,0.94243,0,1,4.33342,4.31715,19.9834
0,0,0,0,0,3,0,16335.4,10334,6001.39,0,0,-57.8293,0.160375,560.344,19535.9,14367.9,12040,-560.344,0,823.569,687.929,739.863,0,0,31.1282,947.095,-1323.63,19876.2,0.961682,0,1,4.78325,5.31774,25.3578
1,0,0,0,1,2,0,3449.19,1286.64,2162.55,0,0,40.8659,-99.2282,-252.204,3022.54,16341.7,6415.39,252.204,0,102.456,375.186,417.545,0,0,13.4913,243.786,-907.288,2612.58,7.86247,0,1,17.0157,17.2647,80.4498
1,0,0,0,1,3,0,7075.52,4296.75,2778.77,0,0,-3.05757,74.3725,434.625,7520.38,15793.5,9005.11,-434.625,0,280.193,683.226,753.038,0,0,18.9037,561.546,-1128.23,4603.4,3.52934,0,1,10.6737,11.4118,49.7227
1,0,0,0,1,2,0,6031.44,2646.67,3384.77,0,0,-146.329,62.6542,-329.711,6498.11,14061.6,9411.59,329.711,0,237.73,397.783,426.994,0,0,8.78477,423.549,-1002.67,3517.03,3.26082,0,1,8.75518,8.25074,41.3776
1,0,0,0,1,2,0,7427.17,4027.22,3399.95,0,0,-29.5478,37.5635,298.425,7159.9,15523.9,7364.19,-298.425,0,246.884,413.497,483.337,0,0,8.51917,645.558,-1119.93,1156.03,2.47214,0,1,8.52956,8.8403,34.0446
2,0,0,0,2,2,0,3852.23,1749.5,2102.73,0,0,111.558,-5.7525,-408.679,3160.26,14691.9,14907.9,408.679,0,112.828,442.675,469.707,0,0,3.0293,499.438,-1049.7,572.949,7.19066,0,1,18.7592,18.668,105.818
2,0,0,0,2,2,0,4026.33,2824.78,1201.56,0,0,-43.5106,87.0916,620.41,4936.76,14254.9,16492.8,-620.41,0,217.677,421.568,440.072,0,0,2.21678,456.301,-1027.28,492.214,6.42544,0,1,14.7198,16.8507,86.9913
3,0,0,0,3,1,0,1610.07,648.25,961.824,0,0,14.8083,-38.8017,-224.658,1350.64,15084.8,16224,224.658,0,44.5794,214.981,243.22,0,0,0.755119,314.619,-885.204,275.515,19.5622,0,1,29.1676,29.0259,132.515
3,0,0,0,3,1,0,3392.3,1691.56,1700.75,0,0,58.599,55.1207,-123.594,2995.08,14744.9,9419.12,123.594,0,94.8038,232.071,249.602,0,0,1.81484,339.574,-906.407,426.975,5.92153,0,1,13.9672,13.9201,58.3014
3,0,0,0,3,1,0,3455.18,1539.67,1915.51,0,0,2.52979,11.2591,-12.9321,3139.57,14307.5,11634.2,12.9321,0,99.2709,245.313,257.371,0,0,1.82787,431.054,-955.829,630.56,5.89622,0,1,13.6951,13.6565,53.6395
3,0,0,0,3,1,0,2347.72,1373.44,974.272,0,0,79.4263,-180.581,514.822,2675.5,16401.8,7286.26,-514.822,0,115.843,201.468,223.522,0,0,1.77219,304.528,-873.998,354.864,9.88554,0,1,16.1508,19.1555,83.9585
3,0,0,0,3,1,0,4666.67,2453.78,2212.89,0,0,-54.5909,56.5802,298.207,4235.68,15450.2,7542.55,-298.207,0,147.172,216.238,259.509,0,0,5.4607,481.14,-970.826,735.266,3.61012,0,1,10.5152,10.8614,42.1228
3,0,0,0,3,3,0,6106.34,1716.89,4389.45,0,0,117.878,47.9703,-550.011,7866.83,16067.3,12387,550.011,0,309.265,614.626,678.384,0,0,3.55168,488.094,-1082.25,883.176,4.2044,0,1,10.3866,10.3971,63.2657
3,0,0,0,3,3,0,5143.31,2023.22,3120.09,0,0,134.319,46.5659,-166.01,4692.27,17235.1,6072.21,166.01,0,149.847,523.921,566.237,0,0,4.03871,353.116,-995.524,563.247,4.99639,0,1,13.1755,13.1172,56.9386
3,0,0,0,3,2,0,3625.52,1218.5,2407.02,0,0,26.4785,-51.4879,-346.617,3842.48,15369.2,12289,346.617,0,134.32,443.137,480.631,0,0,14.0877,245.304,-922.072,5404.97,8.03537,0,1,15.027,14.9773,78.1834
