image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,2007.89,911.528,1096.36,0,0,84.4244,78.3199,180.161,1067.68,12942.7,1796.79,-180.161,0,36.5149,259.7,262.265,0,0,0.577166,242.175,-862.133,289.078,26.1381,0,1,41.2461,41.5151,146.735
0,0,0,0,0,1,0,7405.96,4643.06,2762.9,0,0,6.74069,63.7736,315.103,9163.56,9862.26,16220.1,-315.103,0,334.334,263.044,263.125,0,0,3.19992,461.441,-988.249,1041.75,3.0968,0,1,5.71797,5.88812,22.0805
0,0,0,0,0,1,0,3487.82,2125.39,1362.43,0,0,-6.99412,153.326,405.697,2399.86,9579.92,17709.6,-405.697,0,93.5038,215.546,242.82,0,0,0.918498,543.451,-994.113,429.732,9.27266,0,1,18.4245,19.5044,83.2001
0,0,0,0,0,3,0,6944.51,4429.56,2514.95,0,0,-24.8811,-46.3736,234.702,7222.53,11571.6,3697.9,-234.702,0,259.499,725.958,800.768,0,0,5.82479,418.367,-1061.62,10046.5,6.64809,0,1,10.4849,10.6566,38.8818
0,0,0,0,0,2,0,4432.08,2433.72,1998.36,0,0,8.48474,29.4765,166.234,5920.25,8873.62,15168.8,-166.234,0,203.12,435.98,469.814,0,0,3.82915,335.124,-969.157,566.945,9.87488,0,1,10.0807,10.0945,36.4842
0,0,0,0,0,2,0,4426.72,2219.94,2206.77,0,0,77.8702,-113.806,-220.943,3055.84,12653.1,1396.78,220.943,0,107.272,507.568,491.953,0,0,18.7049,355.295,-985.152,6539.44,10.6478,0,1,17.8962,17.8703,83.1434
0,0,0,0,0,3,0,17369.8,5301.83,12067.9,0,0,162.976,-46.4471,-643.536,23234.7,9804.71,14948.6,643.536,0,1039.98,733.201,756.934,0,0,39.2425,873.026,-1301.53,11274.1,1.45304,0,1,4.21481,4.16676,24.9292
0,0,0,0,0,3,0,31781,20491.6,11289.4,0,0,39.6882,34.1711,273.45,33576.8,11507,7663.65,-273.45,0,1197.61,951.1,933.206,0,0,16.3743,1859,-1808.21,3290.15,0.663777,0,1,2.91716,2.99376,10.8478
0,0,0,0,0,3,0,32488.6,15485.1,17003.5,0,0,80.5252,24.9366,-20.3028,38124.1,10479.3,13100.8,20.3028,0,1254.22,730.004,784.969,0,0,21.7673,2015.85,-1930.33,4611.97,0.588235,0,1,2.25119,2.21206,8.87173
0,0,0,0,0,3,0,34311.1,19449,14862.1,0,0,54.3493,-34.8156,240.929,33062.6,11196.3,9015.61,-240.929,0,1175.08,981.099,1020.15,0,0,49.7976,2027.6,-1868.41,1,0.610397,0,1,2.94796,3.0182,10.8859
0,0,0,0,0,3,0,59255.7,30397.3,28858.4,0,0,-18.4865,4.46217,64.298,68011.8,11269.1,5522.18,-64.298,0,2289.2,1179.74,1135.84,0,0,47.4023,6315.62,-4220.81,1,0.302642,0,1,1.61315,1.60266,6.13672
1,0,0,0,1,1,0,3843.12,1545,2298.12,0,0,29.1585,53.5799,-461.486,3872.41,9839.84,15638.1,461.486,0,146.109,256.535,267.814,0,0,1.2351,437.993,-967.232,663.369,8.62785,0,1,12.0014,11.7855,69.5384
1,0,0,0,1,2,0,13749.6,7823.75,5925.81,0,0,15.8855,-53.2642,118.288,14669.4,10445.3,11106.5,-118.288,0,503.395,606.943,604.02,0,0,23.6816,1340.7,-1509.16,6265.44,1.86172,0,1,4.8356,4.84125,17.6213
2,0,0,0,2,1,0,2383.21,1209,1174.21,0,0,273.279,-161.355,-206.82,1518.75,12753.8,1444.33,206.82,0,56.8317,250.06,234.528,0,0,2.9176,281.85,-876.369,310.118,18.2989,0,1,24.1798,23.9976,109.658
2,0,0,0,2,1,0,3349.06,1702.56,1646.5,0,0,370.266,-358.214,-526.678,2899.47,9301.35,18023.7,526.678,0,185.227,245.939,262.637,0,0,6.36641,612.332,-1039.64,667.808,10.6184,0,1,15.2436,19.9053,70.9736
3,0,0,0,3,1,0,4956.96,3306.97,1649.99,0,0,100.863,48.5241,533.801,5937.35,9866.83,16926.2,-533.801,0,251.056,249.871,261.918,0,0,4.59383,419.389,-950.333,476.762,5.64192,0,1,9.29575,10.2482,48.8298
3,0,0,0,3,3,0,29560,18157.9,11402.1,0,0,64.1373,50.8742,220.208,28251.5,11186.5,9028.61,-220.208,0,982.071,885.598,913.321,0,0,20.178,1752.88,-1719.53,3249.83,0.721912,0,1,3.27251,3.32061,11.9863
3,0,0,0,3,2,0,15634,5870,9764.01,0,0,-47.4534,-17.8959,-663.349,19238.2,9817.76,14920.1,663.349,0,888.382,532.138,549.026,0,0,8.74176,1319.5,-1499.25,7215.58,1.44796,0,1,4.48306,4.41989,24.7769
3,0,0,0,3,3,0,51146.7,23170.9,27975.8,0,0,-17.8852,20.2036,-16.4766,58176.9,11268.5,5506.44,16.4766,0,1934.2,1014.71,1069.24,0,0,48.1524,3999.53,-2958.71,9200.8,0.3557,0,1,1.75113,1.71752,6.91864
3,0,0,0,3,3,0,27384,17112.5,10271.5,0,0,-42.7962,12.9656,193.962,28701,10701.3,11139,-193.962,0,1007.02,918.104,897.623,0,0,18.1599,1326.49,-1529.35,15644.6,0.81042,0,1,3.19604,3.22039,11.5592
3,0,0,0,3,2,0,12818.3,4371.72,8446.58,0,0,73.1739,-0.79537,-404.469,9573.24,9795.83,15495.1,404.469,0,350.649,547.769,625.212,0,0,15.1373,1858.95,-1826.73,5275.38,2.03646,0,1,7.17909,7.07762,38.1298
3,0,0,0,3,3,0,27555.6,16102.8,11452.8,0,0,96.825,77.0947,207.685,30404.3,11548.6,7719.42,-207.685,0,1050.93,821.583,836.006,0,0,15.5892,1843.26,-1780.91,3093.45,0.770468,0,1,2.97828,3.01244,10.8693
3,0,0,0,3,2,0,16212.1,8678.11,7534.04,0,0,53.1308,39.1476,189.069,17114.8,10408,13580.1,-189.069,0,588.674,477.767,536.548,0,0,4.23314,1881.89,-1793.82,3298.49,1.33182,0,1,4.02232,4.05903,14.9149
4,0,0,0,4,3,0,23780.3,7569.56,16210.7,0,0,0.242093,25.3159,-297.32,31762,10855.7,6981.67,297.32,0,1111.01,793.29,873.145,0,0,14.6692,2920.93,-2445.04,1,0.957532,0,1,2.71831,2.66205,12.9146
4,0,0,0,4,3,0,16269.3,8497.14,7772.19,0,0,100.743,10.0741,200.936,18520,12432.9,1865.04,-200.936,0,642.016,785.74,840.496,0,0,10.5906,853.924,-1293.38,1705.74,1.68709,0,1,4.54566,4.59622,16.5736
5,0,0,0,5,1,0,2064.84,985.834,1079,0,0,-68.2405,19.9722,119.795,2592.16,8950.34,15178.3,-119.795,0,89.3963,219.006,231.386,0,0,2.13145,381.04,-921.373,388.089,22.2423,0,1,15.8038,15.6629,57.002
5,0,0,0,5,3,0,18499.6,7339.44,11160.1,0,0,91.7141,99.1543,-139.089,16381.4,9678.6,16184.7,139.089,0,540.876,731.229,811.261,0,0,8.24114,965.981,-1329.04,1519.46,1.34307,0,1,4.7354,4.63659,20.001
5,0,0,0,5,3,0,17165.4,9298.06,7867.38,0,0,68.2495,44.4451,97.1741,20478.7,10491.6,13081.3,-97.1741,0,684.37,617.484,671.952,0,0,12.9426,876.037,-1279.95,1925.47,1.37259,0,1,3.70379,3.6879,13.752
