image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1449.15,650,799.155,0,0,32.1643,36.1879,-404.773,1028.76,7369.59,12892.2,404.773,0,36.6032,170.874,182.62,0,0,1.17247,191.767,-799.21,198.641,19.5054,0,1,35.5654,35.3563,198.691
0,0,0,0,0,1,0,1786.85,658.889,1127.97,0,0,57.7523,95.272,-360.593,1354.24,6159.72,13227.9,360.593,0,46.7327,170.621,191.066,0,0,1.28301,189.742,-800.948,213.287,13.9458,0,1,27.3228,27.2693,142.349
0,0,0,0,0,1,0,4191.72,2576.5,1615.22,0,0,49.9805,-16.2081,433.876,5836.19,12878.4,9490.45,-433.876,0,217.308,175.181,203.299,0,0,2.85022,215.364,-828.716,511.426,3.79935,0,1,7.62493,8.24352,35.2645
0,0,0,0,0,1,0,1560.97,552.222,1008.74,0,0,102.556,38.1443,-546.368,1526.93,9371.68,11607.3,546.368,0,59.8896,174.253,194.299,0,0,1.30246,144.605,-781.602,169.234,17.6948,0,1,27.9611,27.9741,170.917
0,0,0,0,0,2,0,2290.95,978.277,1312.68,0,0,9.08918,43.0254,180.005,1613.66,16176.1,7062.65,-180.005,0,52.4199,349.725,388.855,0,0,3.53176,205.975,-879.872,2615.54,15.0758,0,1,32.1422,32.4103,119.529
0,0,0,0,0,3,0,3295.38,1418,1877.38,0,0,56.6252,20.3171,-511.78,2555,4088.35,13006.8,511.78,0,97.9483,532.363,580.858,0,0,8.20684,233.654,-935.362,1363.81,10.8596,0,1,27.2299,27.3075,166.878
0,0,0,0,0,3,0,2747.53,1752.11,995.414,0,0,115.351,-2.2434,131.35,1874.6,13997.3,8884.34,-131.35,0,59.8224,540.353,596.011,0,0,1.67385,230.828,-934.28,224.304,15.2337,0,1,33.9097,34.1914,125.364
0,0,0,0,0,3,0,3039.05,1135.39,1903.66,0,0,-12.426,20.9077,-484.749,2243.93,10868.3,11032.4,484.749,0,85.3203,517.45,558.955,0,0,13.9368,180.449,-904.789,8097.72,12.2097,0,1,29.4801,29.3363,175.55
0,0,0,0,0,2,0,2030.32,920.667,1109.66,0,0,45.2476,103.616,-93.9558,1295.91,8146.02,12331.3,93.9558,0,40.961,347.829,375.722,0,0,1.21927,162.833,-855.432,183.858,18.3619,0,1,37.8244,37.8762,152.846
0,0,0,0,0,3,0,3528.73,1879.39,1649.34,0,0,131.749,124.506,230.085,2888.87,2434.19,13988.2,-230.085,0,95.5738,510.24,560.315,0,0,3.48969,196.747,-913,227.856,9.35808,0,1,21.8725,22.4648,83.3736
0,0,0,0,0,3,0,3598.57,1421.89,2176.68,0,0,48.7665,53.4747,-499.623,2997.93,3208,13960.5,499.623,0,113.535,508.273,560.117,0,0,27.0158,203.649,-916.52,6906.22,9.03135,0,1,22.7338,22.7251,137.547
0,0,0,0,0,3,0,2543.48,1417.39,1126.09,0,0,98.5547,-17.1995,326.12,2637.56,17863,5741.22,-326.12,0,91.4678,477.203,522.644,0,0,13.1802,160.503,-888.073,3070.01,15.8119,0,1,23.7333,24.9308,95.4267
0,0,0,0,0,2,0,3105.82,2076.39,1029.43,0,0,8.65636,4.38463,603.994,4417.47,6110.12,12430.6,-603.994,0,189.901,336.812,367.153,0,0,3.0733,152.036,-852.023,2431.54,8.65279,0,1,14.5875,16.7425,88.8496
1,0,0,0,1,1,0,1549.58,784,765.585,0,0,101.472,93.5836,-106.582,956.953,6313.38,13130.9,106.582,0,30.1966,171.152,190.544,0,0,0.586288,162.06,-787.154,204.411,17.6861,0,1,36.8255,36.7218,149.254
1,0,0,0,1,3,0,2860.9,1431,1429.89,0,0,21.2386,-16.8525,-271.331,1788.18,768.281,14228.2,271.331,0,59.7785,525.745,572.63,0,0,5.06166,224.736,-928.081,1674.72,13.8018,0,1,33.7606,33.674,163.38
1,0,0,0,1,3,0,2904.17,1410.08,1494.09,0,0,-1.27022,254.857,-8.58824,2198.34,4146.25,13759.1,8.58824,0,72.533,511.536,563.709,0,0,13.6073,178.553,-903.924,1481.56,13.2155,0,1,26.4805,26.8643,102.614
1,0,0,0,1,3,0,3245.15,1300.78,1944.37,0,0,52.0938,41.9662,-296.058,2549.66,7152.28,12886.4,296.058,0,85.2518,508.428,563.659,0,0,4.29348,201.915,-914.576,1431.74,10.8406,0,1,23.9758,23.8787,118.283
1,0,0,0,1,2,0,2898.37,1352,1546.37,0,0,-14.9154,-15.6563,107.802,1988.68,11857.7,10476.8,-107.802,0,63.9337,349.234,389.432,0,0,13.0114,232.584,-894.528,2769.6,10.0483,0,1,25.7178,25.7529,95.9763
1,0,0,0,1,2,0,2544.01,1186.45,1357.56,0,0,83.7259,33.1036,308.505,1511.29,12844.7,9638.52,-308.505,0,51.5528,359.665,406.588,0,0,11.4438,205.528,-883.05,2656.59,12.9041,0,1,35.7984,37.3362,143.51
1,0,0,0,1,2,0,4062.68,1842.55,2220.13,0,0,68.7274,119.261,-155.448,3595.47,9306.82,11723.5,155.448,0,114.813,356.222,394.935,0,0,2.9388,270.874,-917.907,355.095,5.789,0,1,14.3421,14.3151,60.9452
2,0,0,0,2,1,0,843.264,426.833,416.431,0,0,-3.33203,86.0285,-527.551,480.697,1779.75,14125.3,527.551,0,18.7528,172.863,187.548,0,0,1.03016,125.479,-767.309,129.626,50.9617,0,1,82.4987,82.5599,499.987
2,0,0,0,2,1,0,1828.52,890.666,937.858,0,0,55.1857,-44.3352,-141.686,1072.46,11985,9222.51,141.686,0,34.4429,176.844,202.033,0,0,0.918225,202.438,-811.748,221.675,13.8322,0,1,33.2928,33.2682,139.639
2,0,0,0,2,1,0,1652.95,798.028,854.924,0,0,44.4099,114.803,-119.663,1006.24,6074.37,13208.3,119.663,0,31.9585,171.295,190.093,0,0,1.49943,175.553,-793.948,200.505,15.8643,0,1,34.7816,34.7658,143.123
3,0,0,0,3,1,0,1320.21,683.75,636.463,0,0,64.8907,7.00219,-226.906,723.446,13554.3,8776.41,226.906,0,23.5805,180.706,196.836,0,0,1.37237,220.642,-821.548,231.528,23.9585,0,1,49.0811,49.0801,225.872
3,0,0,0,3,1,0,1153.94,694.334,459.604,0,0,149.129,107.598,237.336,706.693,6463.1,13116.9,-237.336,0,23.4422,170.483,190.481,0,0,0.658912,159.518,-784.301,177.751,29.2624,0,1,51.4793,53.0008,197.918
3,0,0,0,3,1,0,1343.1,652.167,690.93,0,0,5.09747,88.59,-9.32383,759.999,8087.48,12346.4,9.32383,0,24.0077,174.554,188.853,0,0,0.312558,177.561,-794.37,197.025,22.6333,0,1,46.3188,46.1666,178.387
3,0,0,0,3,1,0,1569.31,745.5,823.815,0,0,-47.808,146.599,-65.7506,1016.96,12088,10314.5,65.7506,0,32.8346,175.286,195.463,0,0,1.63592,204.076,-811.129,231.613,17.608,0,1,34.4611,34.1909,136.413
3,0,0,0,3,1,0,1181.28,436.778,744.499,0,0,-334.971,265.207,-519.542,646.123,8822.31,11577.6,519.542,0,37.2739,175.009,195.443,0,0,1.71799,195.803,-804.465,188.184,28.6392,0,1,79.7534,54.4898,290.202
3,0,0,0,3,3,0,2640.63,1271.67,1368.97,0,0,-22.1135,-2.5886,-326.795,2444.3,4068.4,13029.7,326.795,0,84.4547,545.559,591.865,0,0,11.5576,191.482,-915.877,8815.63,16.3757,0,1,25.523,25.3955,130.147
3,0,0,0,3,3,0,3454.5,1281.47,2173.03,0,0,-5.85956,42.0939,-401.58,3076.51,3262.63,13971.9,401.58,0,109.98,528.348,579.149,0,0,15.7766,210.335,-923.257,8189.14,9.95896,0,1,21.0303,20.8116,114.997
3,0,0,0,3,3,0,2704.82,1026.92,1677.9,0,0,165.14,56.4047,-58.2446,2106.86,17796.4,5667.62,58.2446,0,66.3522,491.583,530.034,0,0,2.24245,170.515,-894.186,164.206,14.4159,0,1,27.8874,27.7698,110.388
3,0,0,0,3,3,0,4321.12,2637.94,1683.17,0,0,72.3173,36.9623,260.938,4442.66,2394.93,13977,-260.938,0,148.028,528.35,577.058,0,0,6.41838,242.972,-941.979,321.986,6.76007,0,1,14.8399,15.3036,57.2701
3,0,0,0,3,3,0,4218.24,1386.28,2831.96,0,0,-17.1714,-34.839,-374.774,4427.83,9294.03,11680.3,374.774,0,158.062,525.714,583.33,0,0,23.8903,166.366,-902.722,12739,7.05804,0,1,14.464,14.3463,76.2101
3,0,0,0,3,3,0,8226.61,5065,3161.61,0,0,7.68816,43.1108,383.295,11506,12723.3,9529.82,-383.295,0,413.317,527.771,585.942,0,0,7.53042,205.895,-927.997,2116.58,2.37641,0,1,6.30053,6.66738,26.6933
4,0,0,0,4,1,0,1323.66,717.333,606.327,0,0,-2.01054,86.0229,125.537,884.503,11844.8,10473.8,-125.537,0,28.379,170.872,191.179,0,0,0.564965,186.226,-799.361,209.352,23.1311,0,1,40.6945,40.7792,150.555
4,0,0,0,4,2,0,2300.52,1251.39,1049.14,0,0,76.5647,123.954,-355.127,1541.88,14036.1,8856.84,355.127,0,53.0909,359.947,395.188,0,0,0.937366,174.507,-865.028,184.615,15.2207,0,1,33.8625,33.7107,177.259
4,0,0,0,4,3,0,3900.77,1532.89,2367.88,0,0,48.297,85.6221,-128.373,2832.89,6169.17,13138.8,128.373,0,89.8808,530.263,586.05,0,0,2.58816,234.257,-934.289,1782.02,8.11101,0,1,21.6934,21.6842,89.8867
4,0,0,0,4,3,0,6474.83,4282.11,2192.72,0,0,27.0525,7.41373,596.372,10470.1,6091.73,12427.5,-596.372,0,444.954,504.639,560.354,0,0,15.214,268.845,-953.584,1884.83,3.37961,0,1,7.73266,8.86876,46.5729
5,0,0,0,5,1,0,1447.79,715.945,731.846,0,0,27.998,57.6306,-372.685,833.675,4215.67,13759,372.685,0,29.068,173.632,196.095,0,0,0.407955,143.807,-780.429,155.701,20.1394,0,1,44.3692,44.042,234.163
5,0,0,0,5,1,0,2261.72,1730.97,530.745,0,0,89.9728,51.3073,562.875,3726.9,4351.08,12186.3,-562.875,0,151.954,187.422,196.395,0,0,1.88922,167.456,-800.754,266.323,9.86667,0,1,12.8734,14.4651,72.756
5,0,0,0,5,2,0,2071.47,1027.17,1044.31,0,0,83.1138,188.073,-107.012,1115.45,5147.46,13332.5,107.012,0,35.7376,358.261,392.325,0,0,11.8768,235.821,-895.045,4396.38,18.2243,0,1,44.2194,44.3716,180.269
