image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1609.3,815.277,794.022,0,0,-66.669,-18.2665,-234.734,1058.44,7271.04,12749.3,234.734,0,36.4951,199.628,219.002,0,0,0.897864,225.537,-831.344,240.212,21.8388,0,1,36.6805,34.4926,164.996
0,0,0,0,0,1,0,1369.92,699.472,670.452,0,0,22.6441,-40.3094,375.652,892.164,4418.41,10698.8,-375.652,0,32.6385,182.126,204.476,0,0,0.87813,215.494,-819.915,204.031,27.2283,0,1,45.118,45.8775,189.856
0,0,0,0,0,2,0,3247.99,1454.67,1793.33,0,0,-32.8202,90.7625,-249.932,2562.65,5756.84,11357.3,249.932,0,87.6122,397.186,431.226,0,0,4.2996,194.69,-886.585,2786.88,10.6685,0,1,21.7118,20.4509,100.278
0,0,0,0,0,3,0,3875.12,1947.75,1927.37,0,0,-15.8351,33.5472,37.1597,4006.19,12450.8,17434.6,-37.1597,0,130.034,556.571,601.293,0,0,5.83309,157.669,-902.121,7374.64,10.0536,0,1,16.4949,15.9142,59.8895
0,0,0,0,0,3,0,4873.68,2452.56,2421.13,0,0,40.7644,-82.8717,311.154,5523.64,14664,18241.8,-311.154,0,196.282,508.565,558.956,0,0,12.436,233.051,-932.233,1770.55,6.38138,0,1,12.1602,12.3097,46.8935
0,0,0,0,0,2,0,35425.2,14805,20620.2,0,0,-63.6148,-38.919,-314.081,37774.2,8649.65,13559.4,314.081,0,1348.86,594.848,654.329,0,0,50.8091,7733.99,-4569.21,16856.1,0.367498,0,1,2.28758,2.12288,10.6692
1,0,0,0,1,1,0,1438.69,704.305,734.387,0,0,37.6834,-52.7726,298.694,989.483,5686.34,13375.9,-298.694,0,34.6402,189.244,209.292,0,0,0.407862,210.694,-821.288,217.06,25.5795,0,1,40.4778,40.5995,154.863
1,0,0,0,1,1,0,1137.14,563.667,573.477,0,0,26.1434,-74.263,-539.976,635.883,4612.29,10831.5,539.976,0,25.8744,184.67,209.869,0,0,1.05428,237.958,-830.653,241.286,38.3903,0,1,68.0339,65.2439,402.578
1,0,0,0,1,1,0,1532.89,621,911.887,0,0,-107.295,-177.455,267.86,823.138,7509.04,12513.7,-267.86,0,30.9892,196.181,219.555,0,0,0.801189,222.446,-828.623,238.196,23.6298,0,1,47.1759,46.9404,170.535
1,0,0,0,1,1,0,1268.19,592.667,675.519,0,0,72.3443,120.126,139.773,671.863,10980.9,14979.4,-139.773,0,22.022,192.672,214.2,0,0,0.642414,195.262,-815.623,199.86,32.4143,0,1,58.2558,57.0488,208.706
1,0,0,0,1,1,0,1584.07,927,657.066,0,0,32.7377,-13.7937,215.019,1207.31,6678.18,12152.7,-215.019,0,40.4452,195.55,219.305,0,0,0.73989,149.256,-794.257,170.715,22.2869,0,1,33.5609,33.2111,121.723
2,0,0,0,2,1,0,1026.89,428.528,598.364,0,0,102.693,84.2603,-648.887,808.242,13812.6,18370.8,648.887,0,35.193,169.425,185.355,0,0,0.614754,152.024,-779.394,170.035,42.406,0,1,61.9704,56.1788,372.765
2,0,0,0,2,1,0,1294.98,651.083,643.9,0,0,-35.7485,-24.5536,157.041,750.019,4279.42,10683.1,-157.041,0,24.9679,185.607,205.983,0,0,0.738345,203.194,-813.478,200.933,30.3439,0,1,51.3111,49.9707,183.576
2,0,0,0,2,2,0,3482.37,1722.67,1759.7,0,0,-14.9852,-78.6538,123.627,2667.22,5739.01,11329.3,-123.627,0,88.6936,386.055,433.035,0,0,13.6505,260.762,-919.654,3029.47,9.38435,0,1,20.861,20.3654,75.1241
