image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1535.31,629.278,906.035,0,0,237.91,-124.413,-718.43,1755.46,16835.5,13546.3,718.43,0,87.7999,178.677,191.636,0,0,2.19682,227.651,-822.217,247.247,21.6848,0,1,32.2263,28.9559,158.751
0,0,0,0,0,1,0,1420.99,718.445,702.548,0,0,-25.8771,-136.465,137.937,884.717,8710.6,8722.5,-137.937,0,30.182,178.918,194.306,0,0,0.633182,184.083,-800.379,192.052,24.9113,0,1,41.4638,40.9892,148.778
0,0,0,0,0,1,0,1074.28,538.75,535.534,0,0,56.3092,-97.1692,-575.041,788.174,11589.1,10163.5,575.041,0,33.177,174.633,196.797,0,0,1.10419,152.073,-784.081,191.378,40.5341,0,1,55.2201,53.2602,326.973
0,0,0,0,0,1,0,1666.33,615,1051.33,0,0,-11.8003,-5.98148,-698.741,2073.69,6426.65,8592.01,698.741,0,97.2713,178.448,190.888,0,0,1.24126,149.626,-785.001,173.421,18.8255,0,1,27.1533,24.1385,145.488
0,0,0,0,0,1,0,1760.47,952.945,807.529,0,0,39.8126,-122.346,39.7956,1188.84,552.327,10682.2,-39.7956,0,39.4677,215.715,237.269,0,0,3.1737,324.514,-891.492,368.582,19.8049,0,1,33.6183,33.1235,122.715
0,0,0,0,0,1,0,1967.46,1088.44,879.016,0,0,-18.2675,-191.617,289.932,1204.6,3373.73,10159.3,-289.932,0,44.9301,206.09,230.664,0,0,1.6207,204.408,-827.084,224.366,15.95,0,1,33.0284,34.4375,124.826
0,0,0,0,0,1,0,1412.53,609.611,802.915,0,0,264.725,-119.122,-703.206,1236.08,9505.59,9988.12,703.206,0,61.3047,183.509,206.121,0,0,1.88413,213.876,-819.178,217.859,25.9635,0,1,46.0504,40.549,222.827
0,0,0,0,0,2,0,1681.78,571.277,1110.5,0,0,73.2201,33.6638,-371.258,1128.76,10881.4,10131.4,371.258,0,39.9608,362.775,405.168,0,0,0.465094,185.802,-872.015,198.843,32.3819,0,1,49.3971,46.3838,256.262
0,0,0,0,0,2,0,3381.31,1687.56,1693.75,0,0,137.54,-49.9368,-125.052,2271.32,4500.89,10116.3,125.052,0,74.7053,399.847,446.053,0,0,2.74958,259.41,-919.72,287.72,10.101,0,1,24.1185,23.2504,98.0234
0,0,0,0,0,3,0,5231.99,2926.33,2305.66,0,0,59.4681,-113.861,183.616,4728.78,2111.71,10377.6,-183.616,0,160.542,639.697,706.503,0,0,20.6696,379.808,-1028.94,4819.31,6.66337,0,1,15.1302,15.088,54.7218
