image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1613.54,972.223,641.314,0,0,132.733,-19.3633,95.9381,879.75,8255.92,7421.11,-95.9381,0,28.7312,201.994,230.595,0,0,0.371067,208.395,-826.777,234.345,22.2492,0,1,45.4519,44.2794,163.38
0,0,0,0,0,1,0,1293.1,579,714.101,0,0,90.1474,-170.912,-199.847,731.979,7607.67,6585.76,199.847,0,25.5759,206.455,232.792,0,0,0.531925,248.815,-847.802,242.915,33.2137,0,1,52.0065,51.4886,224.601
0,0,0,0,0,1,0,1341.34,633,708.339,0,0,92.2757,0.0243487,-444.621,881.716,9875.41,10855.9,444.621,0,32.6564,199.969,225.774,0,0,0.322207,185.3,-812.847,186.1,30.385,0,1,49.3547,45.9968,272.048
0,0,0,0,0,1,0,1535.43,911.75,623.676,0,0,245.802,171.646,20.6356,1024.37,9425.82,14039.7,-20.6356,0,34.5573,216.42,236.731,0,0,1.78467,229.75,-843.975,228.95,25.1337,0,1,38.7971,37.2705,141.826
0,0,0,0,0,1,0,1880.55,845.334,1035.21,0,0,56.4369,-8.72711,5.39244,1153.47,5174.13,2179.91,-5.39244,0,37.2331,188.393,223.252,0,0,1.11712,245.892,-841.801,247.767,16.5024,0,1,33.7411,32.752,124.226
0,0,0,0,0,1,0,1599.16,783.5,815.66,0,0,34.7472,-9.45193,-376.716,1025.07,7268.31,5634.78,376.716,0,36.6774,200.876,226.36,0,0,1.1813,226.916,-834.295,217.357,22.3983,0,1,40.7886,38.4685,211.228
0,0,0,0,0,1,0,2870.09,1403.44,1466.65,0,0,98.079,-148.108,322.296,2726.9,10067,7352.48,-322.296,0,100.49,195.621,227.528,0,0,1.00294,316.468,-880.584,355.043,8.37269,0,1,15.2694,15.6495,60.1786
0,0,0,0,0,2,0,1857.37,757.333,1100.04,0,0,35.4953,-88.757,-266.306,1099.91,9734.82,9563,266.306,0,37.981,403.064,451.558,0,0,13.8886,192.667,-886.205,3018.79,29.5038,0,1,50.5434,47.8374,235.155
0,0,0,0,0,3,0,3377.66,1636.83,1740.83,0,0,169.161,-37.3547,134.72,3001.53,9009.01,8228.62,-134.72,0,99.7201,601.925,700.15,0,0,13.9013,212.847,-939.793,1895.26,14.0373,0,1,23.1465,22.5266,83.6157
0,0,0,0,0,3,0,3821.52,1643.72,2177.8,0,0,38.1565,-29.4561,-288.983,3378.61,5093.72,5753.48,288.983,0,116.124,594.296,665.654,0,0,16.7553,277.819,-972.484,3113.22,10.9834,0,1,20.7111,19.3933,98.3011
0,0,0,0,0,3,0,5554.95,2555.33,2999.62,0,0,-17.8409,-134.286,-204.055,4756.97,4557.58,1219.88,204.055,0,165.04,529.336,576.298,0,0,5.48495,325.937,-982.048,401.166,5.24523,0,1,13.1133,12.7054,57.6697
0,0,0,0,0,2,0,3546.53,1727,1819.53,0,0,131.964,-85.7465,-4.13471,3500.72,5690.75,2849.07,4.13471,0,115.013,376.412,433.519,0,0,13.1219,247.798,-912.85,2765.47,9.01963,0,1,15.5762,15.1771,58.2292
0,0,0,0,0,3,0,16880.7,9005.67,7875.03,0,0,44.0559,-35.8488,210.721,18757.6,6765.55,7437.6,-210.721,0,629.229,673.78,773.664,0,0,15.2172,760.196,-1236.79,3935.98,1.06484,0,1,4.38509,4.33608,16.1523
1,0,0,0,1,1,0,1337.89,683.195,654.698,0,0,41.7112,-9.2509,39.1378,881.889,11011.6,14615.4,-39.1378,0,28.5038,199.346,219.839,0,0,0.415504,195.502,-817.455,213.472,30.1778,0,1,44.4136,43.239,160.927
1,0,0,0,1,1,0,1577.71,688.195,889.515,0,0,-80.0302,-183.25,389.535,1067.44,5113.22,2157.05,-389.535,0,42.9327,185.706,215.697,0,0,0.658304,187.499,-810.117,211.78,21.8926,0,1,36.5662,38.0146,155.101
1,0,0,0,1,2,0,3487.73,1601.64,1886.09,0,0,25.2341,-14.4616,-58.7478,2886.66,10041.1,7613.59,58.7478,0,93.6901,378.026,433.7,0,0,0.945397,265.572,-919.148,310.502,9.29554,0,1,18.9457,18.2958,73.1839
1,0,0,0,1,2,0,2410.36,1328.22,1082.14,0,0,90.7634,-30.3319,641.99,2225.31,5731.95,4076.62,-641.99,0,100.633,372.693,425.937,0,0,2.68793,204.966,-888.53,229.639,17.4718,0,1,32.0789,35.1102,193.783
1,0,0,0,1,3,0,16974.6,10438.8,6535.8,0,0,42.2571,4.56353,435.145,23428.5,7260.8,8088.02,-435.145,0,884.782,682.408,771.517,0,0,3.27677,1268.17,-1494.4,2653.81,1.05866,0,1,3.89391,4.03898,17.3081
2,0,0,0,2,1,0,1082.97,575.222,507.75,0,0,211.895,-104.561,-114.665,837.381,7189.85,3065.26,114.665,0,28.3144,170.446,191.39,0,0,1.80027,198.975,-805.336,205.132,39.156,0,1,41.9503,40.4651,167.926
2,0,0,0,2,1,0,1467.33,846.528,620.807,0,0,48.6208,-12.3801,-476.629,966.934,6760.99,4157.36,476.629,0,36.7896,187.378,210.094,0,0,0.628687,180.746,-806.042,177.018,24.6623,0,1,44.0483,41.6594,251.275
2,0,0,0,2,1,0,1514.26,781,733.261,0,0,-3.59598,-53.8034,-106.343,791.642,7010.59,4790.92,106.343,0,26.1007,189.158,216.836,0,0,0.318657,216.979,-824.813,220.193,23.7063,0,1,47.6495,45.7826,189.678
2,0,0,0,2,1,0,1365.14,614.333,750.806,0,0,-8.14682,-32.7957,-16.1356,917.274,7212.52,5756.82,16.1356,0,29.9065,197.87,221.848,0,0,0.611158,227.127,-833.289,242.991,29.1433,0,1,42.3108,40.7373,157.989
2,0,0,0,2,1,0,1839.12,814.334,1024.78,0,0,143.819,-10.8807,-357.674,1044.4,9922.56,12741.9,357.674,0,36.8798,213.756,237.085,0,0,1.63479,243.378,-848.735,237.038,18.3043,0,1,40.9321,38.4253,207.963
2,0,0,0,2,1,0,1563.9,722.083,841.822,0,0,52.4573,-70.2585,-626.798,1118.28,9619.16,9939.26,626.798,0,48.9021,205.104,225.251,0,0,0.199542,204.84,-824.465,222.806,23.4191,0,1,45.9803,42.8298,266
2,0,0,0,2,2,0,1961.12,889.528,1071.59,0,0,58.3497,-157.766,-122.581,1491.2,7639.47,6473.93,122.581,0,50.8023,408.211,458.858,0,0,12.7975,193.451,-889.72,5128.08,27.0384,0,1,35.6553,35.3805,144.832
2,0,0,0,2,2,0,3032.8,1461,1571.8,0,0,-60.4627,-41.5831,-83.2696,2403.45,5093.65,2212.76,83.2696,0,79.9621,376.476,423.411,0,0,1.44767,238.149,-904.427,2852.95,11.7,0,1,22.1355,21.1694,86.9747
2,0,0,0,2,3,0,4982.03,2628,2354.03,0,0,146.493,50.5936,108.745,4847.3,5676.22,2910.11,-108.745,0,158.22,563.087,645.899,0,0,4.44064,262.479,-959.351,346.446,6.7034,0,1,14.1274,13.7255,51.0632
3,0,0,0,3,1,0,1498.45,860.861,637.584,0,0,-75.4047,3.71809,453.106,1226.24,11030,11246.9,-453.106,0,48.1884,203.124,220.707,0,0,1.07865,260.278,-853.539,237.004,24.95,0,1,36.1976,36.7918,165.918
3,0,0,0,3,1,0,1270.77,649.277,621.494,0,0,15.9796,-93.2144,147.709,672.176,6694.94,4731.64,-147.709,0,22.4687,186.862,210.841,0,0,0.890637,188.528,-810.39,190.255,31.7291,0,1,56.8249,55.962,204.316
3,0,0,0,3,1,0,1359.47,580.583,778.89,0,0,24.6247,18.5697,-21.4098,896.209,9647,10146.5,21.4098,0,28.9446,201.778,224.74,0,0,0.502552,167.446,-804.536,179.804,29.7234,0,1,43.8118,42.3526,164.32
3,0,0,0,3,1,0,1450.52,643.111,807.406,0,0,50.114,-200.294,147.781,793.486,7252.95,5726.93,-147.781,0,28.0074,195.189,222.331,0,0,0.0547639,226.612,-830.992,243.46,26.0888,0,1,47.0464,48.8332,169.426
3,0,0,0,3,3,0,4076.82,1914.42,2162.41,0,0,81.1961,6.16013,-48.0473,3147.47,8998.28,8185.11,48.0473,0,101.605,606.78,688.854,0,0,1.90691,251.416,-957.061,281.512,10.0055,0,1,21.8057,21.079,83.2175
3,0,0,0,3,3,0,20813.7,9305.67,11508.1,0,0,10.7141,-55.9236,-0.0937422,25307.3,6700.21,7260.29,0.0937422,0,825.68,649.075,738.489,0,0,29.9802,900.204,-1312.57,4762.78,0.773638,0,1,3.18956,3.07972,12.2369
4,0,0,0,4,1,0,2668.61,1182.92,1485.7,0,0,309.466,356.483,-130.312,1470.6,6894.9,7637.41,130.312,0,59.2897,233.216,263.875,0,0,0.788017,355.611,-914.653,433.882,10.4408,0,1,26.0343,27.1057,99.0832
4,0,0,0,4,2,0,2743.45,1362,1381.45,0,0,-65.5871,23.2535,130.853,1690.73,5789.61,4220.42,-130.853,0,56.2155,369.775,410.632,0,0,0.373246,184.914,-874.859,2775.05,13.6802,0,1,32.1772,30.9793,114.295
4,0,0,0,4,3,0,4600.57,2091.44,2509.12,0,0,138.457,5.30674,216.069,3789.77,9927.92,10258.5,-216.069,0,127.58,598.404,676.259,0,0,13.6942,288.292,-974.312,2049.17,7.99681,0,1,18.67,18.4733,67.8902
4,0,0,0,4,2,0,2728.99,1280.44,1448.55,0,0,215.273,-192.455,-406.956,1515.06,9752.42,12331.3,406.956,0,60.0112,426.387,467.409,0,0,2.33362,269.997,-928.64,258.941,15.3084,0,1,37.8679,37.2076,195.042
4,0,0,0,4,3,0,4694.04,1870.81,2823.23,0,0,30.444,1.17542,-339.336,3337.6,10035.9,7597.95,339.336,0,117.04,574.362,650.433,0,0,3.24789,326.656,-990.479,1730.89,7.49916,0,1,21.0476,19.798,104.754
4,0,0,0,4,2,0,3400.07,1392.44,2007.63,0,0,-20.4464,-108.762,-15.1917,2152.84,5053.64,2082.56,15.1917,0,71.6415,369.001,424.222,0,0,0.800213,277.455,-922.111,286.744,9.55086,0,1,24.4752,23.8373,91.7638
5,0,0,0,5,1,0,1394.83,874,520.83,0,0,96.3077,18.1315,473.752,975.157,10167.5,15772.3,-473.752,0,37.8847,199.474,224.68,0,0,0.775188,256.219,-846.896,250.361,28.2828,0,1,45.5314,47.3959,225.7
5,0,0,0,5,1,0,1739.34,778.278,961.066,0,0,64.1025,-22.0016,161.229,1102.78,6844.2,4265.67,-161.229,0,36.3378,184.151,210.064,0,0,0.873708,191.23,-810.147,188.375,18.2977,0,1,35.3693,34.7094,127.622
5,0,0,0,5,1,0,2184.83,995.972,1188.85,0,0,60.4138,-2.58899,-186.059,1259.94,9611.21,12733.6,186.059,0,41.6229,217.098,241.837,0,0,1.60704,253.073,-852.057,252.825,13.8272,0,1,32.4301,31.1882,139.117
5,0,0,0,5,1,0,1982.52,832,1150.52,0,0,-8.33099,-144.582,59.3427,1538.12,4548.07,1131.48,-59.3427,0,51.8981,170.135,186.025,0,0,1.94967,208.258,-809.809,216.259,13.7338,0,1,23.3482,23.0503,84.887
5,0,0,0,5,1,0,1375.28,705,670.28,0,0,129.802,-178.761,294.825,776.778,7469.33,6001.47,-294.825,0,28.8388,200.335,229.137,0,0,0.235026,218.702,-831.826,259.476,29.2596,0,1,50.111,51.9885,192.816
5,0,0,0,5,3,0,6696.79,3080.39,3616.4,0,0,-5.00856,-37.1754,104.823,7465,7604.14,5169.06,-104.823,0,244.848,567.487,654.807,0,0,8.03409,362.211,-1012.7,7872.5,4.10374,0,1,9.39409,9.10171,34.0731
5,0,0,0,5,2,0,4856.45,2231.58,2624.87,0,0,81.1833,-14.5357,-92.6896,6003.34,5741.53,2876.55,92.6896,0,194.957,367.158,416.806,0,0,4.07108,261.561,-918.715,518.577,5.23391,0,1,9.30342,8.9733,37.0835
6,0,0,0,6,1,0,1435.07,793.083,641.989,0,0,100.943,22.3383,-414.165,851.3,8189.02,8465,414.165,0,30.8659,210.468,236.204,0,0,1.21972,238.54,-845.121,287.051,27.9829,0,1,51.4229,48.2137,276.363
6,0,0,0,6,1,0,1797.79,849.778,948.012,0,0,61.9311,-49.7901,-11.8289,1079.12,5168.64,2220.97,11.8289,0,35.0394,181.582,209.97,0,0,0.697785,191.922,-811.647,194.483,17.2134,0,1,34.9196,33.8062,130.366
6,0,0,0,6,1,0,1808.38,869.333,939.047,0,0,30.9554,-129.813,-4.78604,1469.7,4706.16,1314.09,4.78604,0,48.9395,177.053,192.815,0,0,1.05215,198.859,-809.084,222.914,16.4111,0,1,24.6686,24.2618,92.6875
6,0,0,0,6,1,0,5547.13,2871.25,2675.88,0,0,10.5638,-47.2329,242.402,6887.56,6700.36,7251.6,-242.402,0,234.952,215.264,246.717,0,0,4.7704,309.102,-893.349,625.72,3.19692,0,1,6.90302,6.8342,25.5505
6,0,0,0,6,3,0,3926.77,1188.33,2738.44,0,0,-49.7916,14.6788,-514.336,4207.35,5181.67,5808.03,514.336,0,168.148,571.94,635.368,0,0,6.33835,204.806,-929.2,7392.24,10.1336,0,1,17.9932,17.0425,103.905
6,0,0,0,6,3,0,3598.31,1867.75,1730.56,0,0,225.53,-3.18872,132.518,2436.55,9643.47,12734.2,-132.518,0,81.8964,633.643,704.628,0,0,16.8815,258.298,-965.624,2005.24,12.8205,0,1,28.7187,27.8291,102.509
6,0,0,0,6,2,0,2589.24,1407.67,1181.57,0,0,88.7818,-23.293,80.2885,2040.49,8990.7,8214.56,-80.2885,0,66.2615,399.332,454.304,0,0,1.3684,192.17,-886.762,218.36,16.2042,0,1,27.6883,26.9003,99.3147
6,0,0,0,6,2,0,4283.85,2567.83,1716.01,0,0,-26.8892,-82.8741,522.769,3160.56,7231.26,8076.76,-522.769,0,131.649,454.215,514.295,0,0,6.62392,606.548,-1115.6,855.226,7.41765,0,1,21.6728,22.9686,113.403
7,0,0,0,7,1,0,1546.09,605.889,940.206,0,0,7.19124,7.65181,-36.6583,940.377,4828.62,1571.39,36.6583,0,30.4813,179.91,204.472,0,0,0.846975,188.3,-804.593,195.259,21.9833,0,1,39.7336,38.3185,150.359
7,0,0,0,7,1,0,1773.91,866.112,907.802,0,0,11.5194,-71.347,137.088,1030.47,5219.05,2439.91,-137.088,0,34.1659,184.3,210.907,0,0,0.283996,179.48,-803.947,210.322,17.7261,0,1,37.4181,36.5728,134.838
