image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1441.85,695.5,746.354,0,0,-32.9176,-44.2847,-285.129,843.125,12665.2,6261.75,285.129,0,29.4297,207.074,230.708,0,0,1.02058,191.554,-819.541,214.883,27.3351,0,1,47.7785,44.6244,225.999
0,0,0,0,0,1,0,2311.53,1354.36,957.166,0,0,6.828,-117.892,369.616,2147.11,12033.4,13539.7,-369.616,0,80.3243,255.026,303.053,0,0,0.32037,264.391,-880.928,315.8,14.3813,0,1,22.153,22.7253,93.5584
0,0,0,0,0,3,0,6146.65,3324.67,2821.99,0,0,-94.4789,58.1045,134.46,5214.21,12332,17311.3,-134.46,0,175.538,745.143,870.921,0,0,6.49164,358.008,-1033.88,447.927,5.75412,0,1,15.2105,14.3981,53.7562
0,0,0,0,0,3,0,6953.97,3363.89,3590.08,0,0,-40.103,11.0074,15.7325,8426.02,13264.6,6009.08,-15.7325,0,275.249,614.64,689.94,0,0,7.8084,374.808,-1022.53,2187.79,4.02614,0,1,8.49437,8.18864,31.4128
0,0,0,0,0,3,0,8023.27,3908.89,4114.38,0,0,-17.222,-22.098,-75.0247,8061.74,11860,12259.7,75.0247,0,264.069,724.229,828.302,0,0,7.18127,258.61,-982.027,2463.49,3.5605,0,1,9.48797,9.11895,37.2017
0,0,0,0,0,3,0,11747.2,4886.44,6860.74,0,0,7.09152,-46.5043,-289.52,12030.8,13612.1,1230.78,289.52,0,416.877,523.62,533.374,0,0,14.132,610.178,-1127.22,2892.49,1.56735,0,1,5.71127,5.32723,27.3959
1,0,0,0,1,1,0,1695.39,657,1038.39,0,0,-4.94286,-40.5745,-281.245,1072.63,12439.9,8725.3,281.245,0,37.0889,215.228,243.536,0,0,0.816706,195.907,-827.25,182.449,21.3241,0,1,38.9843,36.3829,182.501
1,0,0,0,1,1,0,2279.24,911.999,1367.24,0,0,-84.1301,-74.972,-150.726,1921.79,12025.6,13891.6,150.726,0,65.7704,255.426,298.751,0,0,1.48454,267.221,-881.157,326.352,14.6654,0,1,23.0319,21.9064,93.6578
1,0,0,0,1,1,0,2602.16,1470,1132.16,0,0,31.1534,-36.6089,214.494,2825.11,13193.3,3688.14,-214.494,0,94.964,188.238,206.616,0,0,2.74196,224.544,-828.84,312.597,9.40748,0,1,14.5646,14.3951,52.8753
1,0,0,0,1,1,0,1527.84,766.722,761.119,0,0,-110.292,-218.511,257.037,1044.08,12347.9,9692.75,-257.037,0,40.4176,218.322,249.342,0,0,0.45564,220.502,-840.624,211.602,25.941,0,1,38.4369,39.401,137.828
1,0,0,0,1,1,0,1725.33,866.473,858.854,0,0,-44.8209,-152.422,4.9145,1055.94,12578.5,6764.65,-4.9145,0,36.0012,206.166,231.501,0,0,1.06388,201.257,-823.549,212.6,19.993,0,1,36.3164,35.7883,134.493
1,0,0,0,1,1,0,2021.57,730,1291.57,0,0,-43.4203,-7.68665,209.569,1131.48,10800.6,13429.5,-209.569,0,38.2669,230.02,262.571,0,0,1.42621,272.915,-872.162,300.708,16.5706,0,1,38.5702,37.8438,139.631
1,0,0,0,1,3,0,3612.45,1550.03,2062.42,0,0,-104.54,-110.356,-166.891,2943.72,13427.7,4946.17,166.891,0,103.238,593.499,664.994,0,0,15.0706,273.211,-967.168,9286.87,12.1274,0,1,22.0525,20.9805,91.0333
1,0,0,0,1,3,0,5003.48,2669.33,2334.15,0,0,-45.2423,-56.8853,245.881,4919.09,12085.4,10518,-245.881,0,170.208,669.517,776.555,0,0,17.2309,315.991,-1002.68,11806.8,7.58262,0,1,15.3346,15.1112,56.7443
2,0,0,0,2,1,0,1833.97,770,1063.97,0,0,5.93217,40.8218,-317.182,963.188,12626.4,6867.48,317.182,0,33.4863,208.682,235.12,0,0,0.883947,202.139,-827.713,198.805,18.181,0,1,43.4033,40.4867,211.497
2,0,0,0,2,1,0,2091.09,996.722,1094.36,0,0,-131.794,104.083,-129.398,1550,12270.7,15785,129.398,0,53.5921,258.295,311.026,0,0,1.01398,273.438,-884.874,322.798,17.3365,0,1,29.013,27.0365,113.024
2,0,0,0,2,1,0,1108.47,628.916,479.552,0,0,-38.2669,-61.0324,153.569,656.214,14052.2,2626.97,-153.569,0,21.9831,180.167,194.519,0,0,0.742054,186.645,-802.662,193.366,38.6304,0,1,57.0047,55.5694,203.454
