image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1160.12,394.389,765.727,0,0,174.666,39.0567,-222.41,959.785,4167.69,8744.35,222.41,0,31.3103,146.681,159.983,0,0,0.326859,140.457,-758.318,146.777,25.7691,0,1,33.8471,33.5857,154.603
0,0,0,0,0,1,0,1253.52,777.834,475.684,0,0,19.2053,-11.0998,458.028,971.045,1954.59,8893.2,-458.028,0,36.9027,182.656,203.026,0,0,0.396021,176.152,-799.939,176.709,26.6125,0,1,41.8116,45.243,207.219
0,0,0,0,0,1,0,1368.24,648.834,719.402,0,0,195.329,10.4711,-424.84,926.248,3061.44,1667.26,424.84,0,33.6829,189.157,210.634,0,0,0.943162,196.12,-813.435,192.975,23.4733,0,1,42.5435,42.013,240.088
0,0,0,0,0,1,0,1250.45,476.778,773.673,0,0,347.718,19.9132,-128.594,903.339,3106.43,7875.29,128.594,0,31.3102,167.796,182.846,0,0,1.34448,178.985,-791.815,209.717,24.9386,0,1,38.3274,35.3471,148.118
0,0,0,0,0,1,0,1595.6,825.611,769.991,0,0,165.761,100.202,-58.6364,880.207,3683.15,3748.71,58.6364,0,27.7704,187.552,207.85,0,0,0.432087,160.651,-794.247,192.691,17.9005,0,1,41.581,41.5503,164.138
0,0,0,0,0,1,0,1454.23,752.667,701.566,0,0,173.356,-64.885,48.4536,888.575,2096.51,9637.82,-48.4536,0,28.4694,188.642,207.899,0,0,0.727535,218.778,-824.345,220.319,21.0137,0,1,41.3589,41.4979,158.722
0,0,0,0,0,1,0,1517.47,784.944,732.523,0,0,89.8051,-7.66156,-171.19,1076.65,1094.47,11455.7,171.19,0,34.5388,197.359,225.93,0,0,2.00731,203.493,-821.525,226.326,20.4527,0,1,35.3245,35.2094,150.934
0,0,0,0,0,1,0,2042.57,870.5,1172.07,0,0,141.096,16.3125,-222.796,1177.62,648.424,12418.6,222.796,0,38.3211,210.217,233.366,0,0,1.50094,180.664,-815.067,211.859,12.7806,0,1,33.0472,32.9872,150.723
0,0,0,0,0,1,0,1995.6,1320.78,674.823,0,0,257.877,30.246,370.96,1331.65,1913.3,3127.83,-370.96,0,48.9752,225.829,237.605,0,0,2.61788,265.997,-861.889,297.157,13.696,0,1,32.4409,33.7279,133.265
0,0,0,0,0,2,0,2123.98,993.777,1130.21,0,0,160.58,35.1701,-50.8512,1340.69,2602.74,7860.03,50.8512,0,42.1951,357.543,398.786,0,0,2.27263,216.94,-886.942,241.559,17.5315,0,1,37.6722,37.5447,147.992
