image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1793.21,931.278,861.929,0,0,197.547,216.162,-212.397,1025.1,9276.69,11725.3,212.397,0,35.7544,243.688,281.117,0,0,1.18347,245.193,-862.738,269.781,14.2469,0,1,39.9006,39.2227,181.435
0,0,0,0,0,1,0,3159.1,1218.42,1940.68,0,0,112.865,64.6132,-196.526,2518.62,16763.1,11679.5,196.526,0,84.5668,257.639,293.25,0,0,1.06303,272.932,-885.935,362.099,5.80476,0,1,17.4708,17.0602,78.2308
0,0,0,0,0,1,0,5258.75,2081.72,3177.03,0,0,-11.3852,37.3387,-57.2704,4166.82,9979.08,10818.6,57.2704,0,136.41,247.737,302.226,0,0,5.98336,430.585,-970.033,595.13,2.67365,0,1,10.6951,10.511,42.658
0,0,0,0,0,1,0,2649.01,1098.33,1550.68,0,0,321.78,-276.634,63.9922,1565.37,8560.32,10540.4,-63.9922,0,66.5132,254.518,287.159,0,0,3.53613,308.799,-898.312,378.777,7.61722,0,1,23.3746,26.7025,81.5191
0,0,0,0,0,2,0,6524.35,3079.78,3444.58,0,0,-22.6833,-165.107,22.8862,5828.29,15319.6,10231.5,-22.8862,0,202.221,537.652,612.636,0,0,5.65586,811.405,-1233.19,878.046,2.82861,0,1,10.2426,10.5848,39.5289
0,0,0,0,0,3,0,19015.6,9079,9936.61,0,0,-1.95009,35.1058,35.8249,21784.8,11055.2,10031.3,-35.8249,0,708.486,711.419,811.438,0,0,28.6294,1088.63,-1433.78,2859.95,0.66172,0,1,3.61179,3.57763,14.054
0,0,0,0,0,3,0,23403.9,16260.5,7143.39,0,0,107.169,23.5009,390.216,27211.4,16670.1,10635,-390.216,0,987.837,853.45,902.558,0,0,32.7405,1667.9,-1705.77,3489.68,0.524816,0,1,3.42717,3.577,13.758
0,0,0,0,0,3,0,19097.5,6915.67,12181.8,0,0,84.7156,16.1852,-204.471,22099.6,7909.17,10839.7,204.471,0,746.029,871.466,1052.78,0,0,11.3924,874.148,-1319.76,1842.4,0.724201,0,1,3.9891,3.89981,17.743
0,0,0,0,0,3,0,28142.9,11132.6,17010.3,0,0,83.8855,46.6581,-147.444,26432.9,6528.34,10513.2,147.444,0,874.389,965.113,1157.27,0,0,39.1334,1890.34,-1847.45,3754.86,0.436666,0,1,3.50132,3.42058,14.9797
0,0,0,0,0,2,0,10738,3228.11,7509.85,0,0,49.2949,63.6327,-452.762,10953.2,13569.9,11088.3,452.762,0,422.127,536.688,617.832,0,0,9.29808,648.135,-1147.32,1172.66,1.32752,0,1,6.95354,6.64831,39.1893
0,0,0,0,0,2,0,12805.8,7084.83,5720.96,0,0,72.1741,43.0135,293.572,15257,15915.6,10812.9,-293.572,0,525.272,593.929,708.444,0,0,16.2664,795.414,-1248.11,1466.07,1.08478,0,1,4.85509,4.98435,18.7124
1,0,0,0,1,1,0,3685.76,1642,2043.76,0,0,-3.73419,-10.7569,-90.8412,4032.75,9774.04,10866.7,90.8412,0,133.286,245.541,285.905,0,0,4.20545,378.727,-937.79,566.309,4.47351,0,1,10.809,10.6407,44.349
1,0,0,0,1,1,0,3644.77,1645.03,1999.75,0,0,26.7839,29.3436,-187.13,3254.35,10533,10333.1,187.13,0,109.397,246.756,282.003,0,0,4.26324,636.077,-1083.58,669.749,4.54022,0,1,13.363,13.0866,59.5609
1,0,0,0,1,1,0,4548.67,2776.89,1771.78,0,0,-9.37657,-40.9667,447.848,4809.12,15010.3,10798.2,-447.848,0,184.396,291.099,348.404,0,0,7.18318,489.935,-1006.36,735.495,3.57448,0,1,10.8209,11.4348,49.7846
1,0,0,0,1,2,0,3342.88,1297.67,2045.21,0,0,-102.841,128.806,-388.83,3573.33,12340.4,11615.3,388.83,0,138.307,489.946,574.753,0,0,5.95081,259.834,-944.636,3674.66,8.11014,0,1,18.0118,16.9754,93.4421
1,0,0,0,1,2,0,13791,5724.45,8066.56,0,0,38.3496,68.1252,-158.229,12875.9,8547.68,10491.7,158.229,0,427.564,590.052,680.664,0,0,24.9788,1471.15,-1614.38,2464.62,0.965593,0,1,5.42602,5.32105,23.6483
2,0,0,0,2,1,0,6621.25,1824,4797.25,0,0,60.1966,7.97632,-468.076,7139.96,10006.2,11045.3,468.076,0,279.695,259.599,296.184,0,0,3.65889,466.179,-992.956,704.794,1.93591,0,1,7.68293,7.35333,43.098
2,0,0,0,2,1,0,2963.4,1016.69,1946.71,0,0,2.30606,31.637,-220.611,2309.17,14603.8,10923,220.611,0,78.8164,269.247,309.544,0,0,2.69507,318.764,-912.995,370.298,6.61776,0,1,19.3832,18.9216,88.7077
2,0,0,0,2,1,0,4821.86,2645.61,2176.25,0,0,-29.7824,105.217,391.512,3623.06,15820.2,10750.7,-391.512,0,133.114,291.644,354.235,0,0,3.17641,463.072,-996.838,574.785,3.28689,0,1,13.8279,14.4468,59.7681
2,0,0,0,2,2,0,8283.17,3193.25,5089.92,0,0,82.1992,125.606,-207.532,7988.46,16695.1,11618.5,207.532,0,269.483,492.082,563.854,0,0,1.29186,541.932,-1090.94,957.758,1.86811,0,1,7.86241,7.69539,35.6322
2,0,0,0,2,2,0,11697.5,4925.06,6772.41,0,0,-0.278641,-22.231,45.036,13465.5,13224.7,10878.1,-45.036,0,440.91,514.462,622.8,0,0,15.7065,1402.79,-1572.26,1409.67,1.16389,0,1,4.92598,4.89341,18.9969
2,0,0,0,2,2,0,10291.9,5089,5202.95,0,0,49.4255,-46.0538,20.1992,9952.1,15148.8,10309.8,-20.1992,0,325.88,565.544,648.689,0,0,27.7766,720.481,-1189.66,5573.1,1.44715,0,1,6.63094,6.60967,25.7586
2,0,0,0,2,3,0,12754.6,8227,4527.63,0,0,85.3207,-22.107,437.264,17258.3,12250.9,10187.2,-437.264,0,649.23,742.671,824.198,0,0,18.7442,1130.22,-1448.55,2004.47,1.1916,0,1,4.95852,5.24323,21.6379
3,0,0,0,3,1,0,3905.84,1578.67,2327.17,0,0,134.109,-18.2698,-53.111,3976.45,17334,11466.3,53.111,0,130.463,235.483,274.578,0,0,2.30362,710.866,-1114.29,1278.57,4.00902,0,1,10.7287,10.6193,42.945
3,0,0,0,3,1,0,5914.93,3532.67,2382.27,0,0,41.9863,8.5944,209.407,5365.38,16636.6,10748.6,-209.407,0,179.522,278.281,309.248,0,0,9.79149,756.523,-1138.36,883.978,2.32666,0,1,8.93561,9.10294,32.8853
3,0,0,0,3,3,0,8433.18,2894.5,5538.68,0,0,121.344,7.3317,-134.915,9704.22,9747.66,10848.6,134.915,0,321.627,738.512,840.54,0,0,6.72466,413.383,-1063.86,745.207,2.26755,0,1,7.6896,7.55936,32.6969
3,0,0,0,3,3,0,8559.16,2897.97,5661.18,0,0,33.8941,-35.7945,-248.442,5976.06,7960,10891.7,248.442,0,207.517,855.276,1026.01,0,0,6.55683,655.268,-1200.65,3259.12,2.46309,0,1,13.4245,13.1552,62.4558
3,0,0,0,3,3,0,15821.8,5936.58,9885.22,0,0,59.417,-14.9999,-158.966,18644.8,8822.68,10476.1,158.966,0,623.249,782.624,887.727,0,0,16.2537,559.958,-1152.15,1567.55,0.893668,0,1,4.30396,4.2306,18.8302
3,0,0,0,3,2,0,7796.15,3464.03,4332.12,0,0,-27.027,76.65,-110.687,6769.76,10586.9,10285.8,110.687,0,224.176,500.932,562.667,0,0,7.88436,1635.65,-1714.57,1322.31,2.05549,0,1,9.00389,8.84701,37.8227
3,0,0,0,3,2,0,14738.2,7857.5,6880.67,0,0,-50.0756,-82.593,101.239,19424.7,11103.4,10050.3,-101.239,0,654.871,497.835,556.271,0,0,29.501,1018.45,-1352.84,9114.56,0.818502,0,1,3.42254,3.44362,13.0448
3,0,0,0,3,3,0,36360.2,15032.8,21327.4,0,0,75.1992,-38.1449,-126.069,35989.9,6537.03,10499.3,126.069,0,1197.27,959.364,1126.9,0,0,38.8845,3135.75,-2484.57,1,0.307855,0,1,2.60737,2.56022,11.1148
4,0,0,0,4,3,0,10103.2,6190.11,3913.05,0,0,184.567,-69.8842,264.096,9794.24,16888.8,10925.8,-264.096,0,345.166,728.056,812.66,0,0,13.7069,952.553,-1331.49,1073.23,1.68341,0,1,7.65106,7.8375,28.6137
4,0,0,0,4,2,0,17761.6,5356.42,12405.2,0,0,58.2887,62.6285,-417.215,22837.3,15041.3,10793.3,417.215,0,857.637,588.974,713.016,0,0,22.379,939.136,-1311.5,2481.88,0.684537,0,1,3.70944,3.55957,19.5566
4,0,0,0,4,2,0,14824,5411.22,9412.78,0,0,73.0066,59.9994,-186.841,17656.7,17197.7,11486.7,186.841,0,590.613,490.994,564.109,0,0,13.2707,675.61,-1161.95,2143.97,0.81208,0,1,3.83163,3.74371,17.0829
4,0,0,0,4,2,0,7383.97,2535.25,4848.72,0,0,76.735,-119.493,-701.978,8722.4,13542.5,10975.4,701.978,0,444.943,513.582,584.846,0,0,5.5544,666.289,-1156.78,835.581,2.27168,0,1,10.842,10.4344,54.9418
5,0,0,0,5,1,0,2446.38,850.305,1596.08,0,0,76.4986,18.5322,-571.14,2416.58,12259.8,11626.9,571.14,0,102.956,239.976,282.418,0,0,3.11009,185.622,-835.761,238.165,8.46613,0,1,22.9462,21.598,135.817
5,0,0,0,5,2,0,10357.9,5895.97,4461.89,0,0,61.3501,-82.6235,264.014,7327.34,15531.7,10445.1,-264.014,0,255.276,623.883,693.392,0,0,14.6997,1552.36,-1655.89,1683.35,1.49283,0,1,9.41912,9.75435,35.3289
5,0,0,0,5,3,0,36269.7,19381.2,16888.5,0,0,-14.8735,34.7138,179.482,39062.8,11265.5,10031.7,-179.482,0,1300.51,777.22,877.955,0,0,50.4008,2568.21,-2196.21,1,0.288994,0,1,2.28544,2.29878,8.53308
5,0,0,0,5,3,0,11944.6,8011.17,3933.39,0,0,101.046,24.0156,434.432,13632.6,12235.2,10239.7,-434.432,0,508.614,753.183,842.474,0,0,39.4186,1413.15,-1600.48,5694.92,1.32719,0,1,6.21451,6.53815,27.2724
6,0,0,0,6,1,0,4061.43,1953.33,2108.09,0,0,23.0832,68.5317,-39.735,3417.71,10536.7,10293.9,39.735,0,111.001,249.977,286.727,0,0,3.93786,670.302,-1103.17,602.438,3.88,0,1,12.7357,12.5857,50.5341
6,0,0,0,6,1,0,3619.35,1269.5,2349.85,0,0,57.4074,31.2723,-385.77,3105.72,13561.8,11120.7,385.77,0,114.537,267.615,310.647,0,0,1.2135,410.335,-962.704,486.958,4.81839,0,1,15.8443,15.2375,84.6129
6,0,0,0,6,1,0,3941.46,1544.97,2396.49,0,0,68.1374,45.4526,-455.18,3509.93,15524.9,11007.8,455.18,0,135.436,296.658,354.792,0,0,1.44329,515.196,-1028.56,582.335,4.50677,0,1,15.8223,15.0908,89.5029
6,0,0,0,6,2,0,6665.7,2997.11,3668.59,0,0,120.492,-188.003,-27.7203,5726.57,7577.33,10649.1,27.7203,0,201.684,561.596,634.573,0,0,24.0925,969.842,-1317.81,5919.24,2.79785,0,1,10.4431,11.0332,41.0173
6,0,0,0,6,3,0,19555.2,6753,12802.2,0,0,31.8252,-45.8161,-217.351,23962.1,9639.79,10704.3,217.351,0,823.724,767.823,869.716,0,0,50.8982,772.682,-1256.4,13684.7,0.654921,0,1,3.42351,3.35596,15.6896
6,0,0,0,6,3,0,17206.7,6418.22,10788.5,0,0,62.4227,40.8951,-152.127,16618.1,8819.68,10518.9,152.127,0,550.77,823.633,966.645,0,0,28.4577,1328.09,-1579.53,2445.39,0.815871,0,1,4.9582,4.85847,21.3781
6,0,0,0,6,3,0,9456.31,2950.5,6505.81,0,0,31.9017,115.303,-349.342,9013.73,16745.4,11628.8,349.342,0,325.417,737.929,843.752,0,0,2.47987,526.921,-1120.09,2623.15,1.8931,0,1,8.81978,8.54818,45.7403
6,0,0,0,6,2,0,24457.2,11673.8,12783.4,0,0,42.5329,16.2668,124.816,25484.1,6471.01,10444.9,-124.816,0,834.198,604.105,728.137,0,0,30.9257,1808.15,-1771.26,3679.08,0.450291,0,1,3.00716,3.02412,11.3102
7,0,0,0,7,1,0,4614.07,2645.33,1968.73,0,0,82.7488,-73.0236,229.973,4701.47,16694.6,10435.5,-229.973,0,161.186,239.858,266.73,0,0,3.93534,608.516,-1056.43,703.428,3.12107,0,1,9.40152,9.6399,34.8128
7,0,0,0,7,1,0,2540.49,1325.22,1215.26,0,0,25.7109,-192.857,16.2523,2194.79,15172.5,10357.9,-16.2523,0,77.3957,259.019,291.529,0,0,0.841522,382.802,-942.031,365.463,8.23678,0,1,18.3434,19.5509,70.4611
7,0,0,0,7,1,0,4978.91,1859.39,3119.52,0,0,73.0258,-20.4171,-212.486,5577.69,14927.9,10777.6,212.486,0,189.878,264.578,307.789,0,0,6.18042,373.311,-941.013,752.295,2.95368,0,1,8.41691,8.24679,38.0893
7,0,0,0,7,1,0,5606.72,2428.22,3178.49,0,0,-10.2193,48.1149,16.3421,6243.37,13234.7,10807.8,-16.3421,0,203.123,248.548,299.51,0,0,6.48763,701.469,-1118.88,775.517,2.43422,0,1,7.3775,7.28488,28.7668
7,0,0,0,7,1,0,4010.44,2474.47,1535.97,0,0,72.3941,33.2966,312.432,3072.88,15816.7,10723.9,-312.432,0,106.774,279.422,318.475,0,0,4.4305,427.994,-970.496,468.072,4.18749,0,1,15.5299,15.9927,60.0825
8,0,0,0,8,1,0,3812.14,2488.56,1323.59,0,0,83.6979,-34.5562,458.516,4756.6,14423.7,9804.87,-458.516,0,182.11,237.582,269.143,0,0,3.47458,320.051,-904.713,433.168,4.14702,0,1,10.1265,10.7606,46.0157
8,0,0,0,8,1,0,5059.64,2547.97,2511.66,0,0,22.4376,34.1379,19.4062,5103.84,11030.8,10032.2,-19.4062,0,165.495,236.807,264.94,0,0,7.68115,363.135,-929.875,733.67,2.71777,0,1,8.54265,8.47726,33.2627
8,0,0,0,8,1,0,6762.58,3657,3105.58,0,0,87.4954,18.1432,182.917,7980.68,16591.1,10739.1,-182.917,0,264.628,279.514,309.824,0,0,11.6292,828.88,-1210.48,1564.84,1.92506,0,1,6.22929,6.2985,22.8266
8,0,0,0,8,1,0,4628.1,2818.89,1809.21,0,0,-28.5591,53.8229,408.047,4765.3,12266.1,10209.9,-408.047,0,176.394,248.456,273.648,0,0,6.86515,602.442,-1048.26,847.121,3.15181,0,1,10.0697,10.502,42.5688
8,0,0,0,8,1,0,7686.09,2850,4836.09,0,0,13.884,40.2829,-174.168,6820.71,13506.6,10519.5,174.168,0,228.477,265.552,311.399,0,0,7.71911,887.168,-1212.49,1283.24,1.59666,0,1,7.02597,6.8586,30.8575
8,0,0,0,8,1,0,3862.41,2380.97,1481.44,0,0,-137.359,-254.834,361.461,2809.81,15829.1,10617.3,-361.461,0,123.165,287.727,319.215,0,0,2.83792,577.843,-1042.14,587.923,4.4772,0,1,15.373,17.8418,59.354
