image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,11616.6,5788.44,5828.11,0,0,-21.2289,24.8964,177.007,11027.5,13344.4,15568.1,-177.007,0,367.581,446.511,486.036,0,0,12.607,639.955,-1131.66,1130.7,1.08474,0,1,5.57678,5.6155,20.4079
0,0,0,0,0,1,0,6571.29,3422,3149.29,0,0,-63.805,74.4822,-347.806,6021.23,7268.18,16209.4,347.806,0,222.311,348.387,364.92,0,0,9.70217,569.719,-1066.35,914.646,2.18107,0,1,8.87365,8.52198,46.2428
0,0,0,0,0,1,0,4967.54,2643.5,2324.04,0,0,343.526,-238.435,264.023,2695.38,11104.5,15831.5,-264.023,0,117.081,416.721,476.781,0,0,7.48254,510.855,-1051.21,676.918,3.75855,0,1,18.5856,19.7967,63.9601
0,0,0,0,0,3,0,27421.8,14592.4,12829.4,0,0,2.04824,-31.7304,211.03,28714.3,10261.7,15920.8,-211.03,0,970.977,1280.53,1406.84,0,0,76.8817,2263.28,-2080.45,9084.19,0.498969,0,1,3.61089,3.65974,13.2904
0,0,0,0,0,3,0,41506.7,19698.4,21808.2,0,0,118.678,-15.7431,-15.3401,39835.4,15079.6,15312.7,15.3401,0,1300.23,1327.2,1470.4,0,0,72.3031,4134.07,-3089.06,1,0.284594,0,1,2.65082,2.62972,10.5798
0,0,0,0,0,3,0,25081.9,9044.94,16036.9,0,0,206.925,-4.70373,-70.2604,19381.8,15879.5,15203,70.2604,0,644.712,1081.49,1315.72,0,0,42.7772,2321.95,-2077.98,3749.79,0.538753,0,1,4.78492,4.69393,19.1727
1,0,0,0,1,1,0,3548.84,1396.33,2152.51,0,0,-38.983,109.213,-584.533,3834.02,7440.73,16174.6,584.533,0,168.78,314.761,331.352,0,0,6.39032,344.664,-939.932,410.199,5.30487,0,1,16.0308,15.0099,94.1896
1,0,0,0,1,3,0,19183.5,8180.25,11003.2,0,0,72.4371,-23.9826,-97.8077,15473.3,11671.7,15617,97.8077,0,510.136,1278.97,1434.38,0,0,54.5747,1284.91,-1551.9,7218.22,0.851333,0,1,6.23985,6.15793,25.8174
1,0,0,0,1,2,0,18164.1,8971.33,9192.72,0,0,22.9923,-31.4878,36.7915,14332.1,13497.5,15525.8,-36.7915,0,468.737,927.59,994.311,0,0,49.8889,1429.5,-1585.75,9996.73,0.779711,0,1,5.77771,5.75873,22.2233
2,0,0,0,2,3,0,17416,6274.5,11141.5,0,0,20.6238,88.1516,-195.743,14750,7183.75,16294.4,195.743,0,496.52,980.738,1107.88,0,0,21.4305,1080.02,-1428.44,1477,0.862213,0,1,5.92347,5.80903,26.6954
3,0,0,0,3,1,0,12751,4762.67,7988.36,0,0,126.29,16.9144,-286.654,12791,15170.7,15280,286.654,0,447.106,430.133,490.874,0,0,25.3131,1545.45,-1590.15,2613.28,0.949227,0,1,4.95025,4.8257,23.7651
3,0,0,0,3,3,0,22485.9,9255.77,13230.1,0,0,55.9659,54.7584,-201.407,20237.8,10701.2,15933,201.407,0,680.826,1318.77,1454.55,0,0,36.6577,1520.58,-1680.66,2362.86,0.677289,0,1,4.97856,4.87682,22.6818
3,0,0,0,3,2,0,23411.8,12130.3,11281.5,0,0,73.4921,-2.26438,65.9152,20501.9,13249.7,15595.3,-65.9152,0,667.129,1030.26,1068.92,0,0,31.5092,1157.93,-1475.33,2665.09,0.562895,0,1,4.34353,4.3532,16.4556
4,0,0,0,4,1,0,1918.68,958.778,959.899,0,0,-229.067,-230.891,357.425,1625.87,5163.57,16514.7,-357.425,0,75.0583,230.722,260.3,0,0,1.98766,263.322,-867.608,310.205,12.153,0,1,24.7706,25.1102,85.7942
