image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,3505.5,1382.25,2123.25,0,0,-46.0694,-10.5534,-113.41,2509.33,6658.3,4747.67,113.41,0,87.8042,195.281,225.011,0,0,1.34206,434.893,-938.04,576.803,250,0,1,14.8618,15.0602,67.4757
0,0,0,0,0,1,0,3094.13,1391.31,1702.83,0,0,52.5371,-22.9557,79.4234,2936.03,7645.28,9990.65,-79.4234,0,100.333,236.4,268.73,0,0,1.11572,378.852,-931.336,456.031,250,0,1,14.249,14.5,55.1874
0,0,0,0,0,1,0,4146.85,1811.67,2335.18,0,0,102.991,45.336,-9.93028,3032.61,7594.83,8244.62,9.93028,0,102.597,267.786,321.607,0,0,2.19217,428.349,-970.561,495.705,250,0,1,14.8943,14.9774,60.5922
0,0,0,0,0,1,0,4101.05,2339.14,1761.91,0,0,23.5974,20.3306,139.08,3367.8,8068.98,13697.6,-139.08,0,115.376,235.088,252.231,0,0,1.92267,319.019,-900.04,438.016,250,0,1,12.5325,12.7707,45.9359
0,0,0,0,0,2,0,2895.75,1625.25,1270.5,0,0,25.0062,91.8965,311.295,2688.32,8561.02,17474.9,-311.295,0,96.291,358.248,380.267,0,0,0.0269779,222.082,-890.747,277.85,250,0,1,19.5502,20.4857,70.4368
0,0,0,0,0,3,0,5357.63,1561.22,3796.41,0,0,-24.0856,61.819,-533.483,7407.33,6142.87,1615.91,533.483,0,325.212,504.221,540.468,0,0,5.60123,304.971,-968.848,2119.07,250,0,1,9.79941,9.71734,61.4762
0,0,0,0,0,3,0,7134.88,3410.78,3724.1,0,0,-15.6882,-103.494,58.0646,7612.18,6923.99,5827.51,-58.0646,0,267.812,595.718,671.07,0,0,13.9184,421.805,-1048.13,4139.68,250,0,1,8.49788,8.71162,33.6425
0,0,0,0,0,3,0,21091.3,7430,13661.3,0,0,36.0917,51.1402,-150.373,25211.5,7957.8,11989,150.373,0,870.282,663.261,763.077,0,0,10.2389,483.464,-1097.52,2683.01,250,0,1,3.06447,3.10361,14.6061
0,0,0,0,0,3,0,14381.7,5980.86,8400.83,0,0,49.4508,-29.2853,-63.0423,15450.5,7450.99,11279.9,63.0423,0,530.104,703.885,774.199,0,0,31.1283,779.115,-1238.16,10559.9,250,0,1,4.75338,4.8158,20.6219
0,0,0,0,0,2,0,7553.6,2311.33,5242.26,0,0,45.5912,-7.85875,-202.226,7954.63,6665.33,2869.87,202.226,0,280.467,358.296,428.773,0,0,4.05654,399.365,-990.835,704.614,250,0,1,6.81166,6.90846,33.214
0,0,0,0,0,2,0,7359.73,2208.8,5150.92,0,0,69.3814,52.3761,-305.331,5417.14,7727.13,8928.41,305.331,0,197.959,511.931,619.019,0,0,13.8771,968.998,-1316.38,3720.29,250,0,1,11.873,11.8827,62.9257
0,0,0,0,0,3,0,23975.7,8322.83,15652.9,0,0,61.1668,11.8441,-77.9979,20728.3,7439.27,6797.77,77.9979,0,707.249,764.457,957.248,0,0,17.4875,2314.15,-2065.22,3208.72,250,0,1,3.93252,3.97802,16.9834
0,0,0,0,0,3,0,19239.3,9782.25,9457.03,0,0,-18.3135,15.3859,162.63,20418.6,8110.89,14788.1,-162.63,0,707.003,689.928,729.914,0,0,6.19283,1150.8,-1426.73,2653.45,250,0,1,3.75951,3.83319,13.8177
