image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,8987.51,3988.95,4998.56,0,0,-2.45725,-299.22,141.331,10355.1,13029.5,13425,-141.331,0,445.153,542.016,676.73,0,0,6.23527,1285.37,-1480.3,1671.84,250,0,1,5.66881,7.31644,20.6727
0,0,0,0,0,1,0,22452.9,10376.8,12076.2,0,0,331.903,-154.428,-427.865,19606,15655.9,13773.6,427.865,0,899.256,704.789,818.292,0,0,33.2986,3493.98,-2600.25,3922.96,250,0,1,4.29336,4.08692,21.1284
0,0,0,0,0,3,0,50441,15668.7,34772.3,0,0,1.93399,78.956,-171.499,50651.5,9768.38,15415.4,171.499,0,1764.69,2081.08,2818.79,0,0,63.297,4708.86,-3224.17,1,250,0,1,2.71138,2.73459,12.6058
0,0,0,0,0,3,0,60691.9,20110.3,40581.6,0,0,54.4434,-30.9143,-332.542,79415.9,14551.7,13748.8,332.542,0,2988.06,1975.65,2277.4,0,0,55.064,2192.52,-2067.36,1,250,0,1,1.76568,1.76865,9.39816
0,0,0,0,0,2,0,55351.9,23231.3,32120.6,0,0,100.803,111.415,-124.553,54582.7,12728.9,14494.7,124.553,0,1868.22,1991.89,2384.16,0,0,38.5045,5072.93,-3532.48,1,250,0,1,2.39859,2.42834,11.033
0,0,0,0,0,3,0,128195,59032.4,69163,0,0,-5.33109,9.89143,128.609,124370,8393.98,15780.5,-128.609,0,4276.32,2156.42,2600.19,0,0,204.377,20437.9,-9544.77,1,250,0,1,1.21483,1.23296,4.67154
0,0,0,0,0,3,0,90763.2,26791.2,63972,0,0,-29.5989,-16.1374,-495.213,109600,10984.2,14918.3,495.213,0,4712.49,2571.25,3320.32,0,0,194.919,8696.34,-5325.49,1,250,0,1,1.7031,1.6958,9.24249
0,0,0,0,0,3,0,49156.8,16210.3,32946.5,0,0,364.937,-200.208,287.061,36040.2,13155.6,14214.2,-287.061,0,1610.42,2203.08,3038.8,0,0,83.638,5853.98,-3852.91,1,250,0,1,3.67838,3.63467,12.1716
1,0,0,0,1,1,0,9201.63,4191.67,5009.97,0,0,-34.7712,-235.33,103.781,9286.18,12963.2,13163.7,-103.781,0,362.473,477.989,585.799,0,0,10.6121,1398.6,-1512.86,1669.2,250,0,1,6.1294,6.99452,23.2919
1,0,0,0,1,3,0,9644.92,3267.83,6377.08,0,0,-83.9077,19.0147,-450.768,13072.8,4722.34,17054.4,450.768,0,548.956,536.114,593.819,0,0,10.8735,473.801,-1067.92,3125.67,250,0,1,5.55487,5.47291,31.1481
1,0,0,0,1,2,0,39141.5,12726.9,26414.6,0,0,7.94352,120.935,-351.404,39225,15585.1,13893,351.404,0,1483.24,1401.75,1587.81,0,0,17.8162,4133.95,-2928.03,1,250,0,1,2.91136,2.90862,16.053
2,0,0,0,2,1,0,4171.53,1644,2527.53,0,0,-97.1457,-253.961,-108.593,4445.13,11249.1,12787.6,108.593,0,184.11,334.894,397.155,0,0,5.36412,724.674,-1137.38,845.271,250,0,1,9.9594,11.4981,43.3339
3,0,0,0,3,1,0,13668.5,5799.89,7868.64,0,0,-9.62679,65.4803,-209.234,12462.9,14615.7,13849.8,209.234,0,440.533,675.788,778.515,0,0,14.1181,1023.89,-1363.58,1515.52,250,0,1,5.83055,5.87801,28.777
3,0,0,0,3,2,0,38213.1,18391.3,19821.9,0,0,30.3232,-23.6697,57.4121,29001.7,15858.8,13642.9,-57.4121,0,991.71,1469.91,1848.75,0,0,53.3677,3993.58,-2940.62,1,250,0,1,3.78622,3.83731,15.0073
3,0,0,0,3,3,0,40362,11860,28502,0,0,-34.2599,50.4231,-14.7803,31145.4,9804.57,15443.9,14.7803,0,1067.42,1851.03,2590.43,0,0,44.6958,5233.05,-3513.53,1,250,0,1,4.01728,4.03306,16.2878
3,0,0,0,3,3,0,85625.3,27553.7,58071.6,0,0,-34.2002,-20.7318,-406.073,96865.7,10988.8,14922.9,406.073,0,3884.18,2393.37,3040.16,0,0,111.271,10095.3,-6154.07,1,250,0,1,1.70524,1.6988,9.03874
3,0,0,0,3,3,0,110959,50948.4,60010.2,0,0,64.8181,-22.1079,186.298,106325,8323.83,15812.5,-186.298,0,3685.33,2073.83,2538.8,0,0,175.698,22717.8,-10465.8,1,250,0,1,1.3805,1.41614,5.15749
4,0,0,0,4,1,0,3082.81,963.083,2119.73,0,0,-13.9898,3.74146,-479.75,4242.11,4751.11,17069.6,479.75,0,178.442,177.336,194.599,0,0,3.20954,268.133,-850.883,419.65,250,0,1,10.0978,10.0734,59.3805
4,0,0,0,4,3,0,16637.1,6544.33,10092.7,0,0,-108.136,-200.151,-130.333,18157.3,11260.1,12832.5,130.333,0,712.576,995.309,1181.48,0,0,51.3847,1621.13,-1689.9,1,250,0,1,4.46557,4.80068,20.0918
5,0,0,0,5,1,0,20165.8,8106,12059.8,0,0,-11.3522,28.752,-195.549,17449.9,15604.4,13886.5,195.549,0,615.755,717.692,808.448,0,0,6.98041,2204.67,-1968.38,2537.67,250,0,1,4.34529,4.3869,21.3711
5,0,0,0,5,1,0,30967,18579.2,12387.8,0,0,-85.4699,18.8873,253.908,30912.5,7684.6,16166.3,-253.908,0,1115.82,668.574,661.902,0,0,56.0736,6436.94,-3666.82,10364.1,250,0,1,2.62254,2.67494,9.3811
5,0,0,0,5,1,0,13592.9,6728.39,6864.56,0,0,-92.839,-82.7128,500.958,14920.6,15093.7,13504.6,-500.958,0,625.395,608.483,747.799,0,0,22.3465,1463.66,-1565.73,2103.98,250,0,1,5.14684,5.67083,23.3516
5,0,0,0,5,2,0,38319.5,22829.4,15490.1,0,0,12.8269,-24.2809,513.44,38031.2,12422.1,14531.7,-513.44,0,1535.19,2091.55,2608.83,0,0,73.1601,3042.19,-2462.42,1,250,0,1,3.75583,4.16348,18.1509
5,0,0,0,5,3,0,107511,44183.9,63327.1,0,0,-70.2309,122.875,-380.4,93155.3,11715.7,15075.4,380.4,0,3672.19,2696.79,3333.98,0,0,56.5245,17219,-8895.93,1,250,0,1,1.80689,1.79122,9.6166
6,0,0,0,6,1,0,3038.68,1437.33,1601.35,0,0,-76.5222,113.345,-82.0136,2874.07,6096.61,17946.9,82.0136,0,100.357,234.09,244.098,0,0,1.9156,387.663,-932.626,464.632,250,0,1,13.8029,13.901,61.334
