image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1562.28,770.334,791.948,0,0,-59.6229,5.94502,204.948,834.96,9632.55,6902.36,-204.948,0,27.7264,192.062,218.974,0,0,0.972265,191.741,-812.442,219.391,18.8344,0,1,44.4332,44.5751,162.584
0,0,0,0,0,1,0,1319.2,615,704.203,0,0,-127.474,-245.667,133.585,1185.85,10489.9,4193.27,-133.585,0,46.6584,187.137,214.52,0,0,0.376547,200.214,-816.046,206.676,24.7785,0,1,27.9607,31.0192,95.7915
0,0,0,0,0,1,0,1325.85,662,663.853,0,0,-139.995,83.3589,-63.7796,1010.93,10995.9,2285.2,63.7796,0,35.0753,182.332,205.861,0,0,1.51395,180.867,-803.352,213.875,23.967,0,1,35.1238,33.1631,133.698
0,0,0,0,0,1,0,988.09,496.167,491.923,0,0,-240.08,315.025,189.892,616.52,7641.83,15870.1,-189.892,0,26.517,180.147,195.958,0,0,0.675123,176.775,-796.188,195.828,39.2133,0,1,56.5514,50.3419,164.955
0,0,0,0,0,1,0,991.349,480.389,510.96,0,0,38.9255,60.1053,-534.097,716.476,3612.6,13263,534.097,0,29.1086,152.82,160.905,0,0,1.03479,158.273,-770.836,156.217,33.9789,0,1,53.7194,55.1126,331.636
0,0,0,0,0,1,0,1387.29,738.361,648.928,0,0,-183.631,179.55,22.8556,874.174,8177.52,18078.1,-22.8556,0,31.7995,171.208,187.393,0,0,0.899487,178.975,-794.041,196.393,20.9644,0,1,39.5669,35.7055,133.519
0,0,0,0,0,1,0,1280.69,533,747.691,0,0,-7.36099,53.6376,-445.606,825.147,6718.28,6459.9,445.606,0,31.5961,154.079,168.301,0,0,0.377791,160.127,-773.886,164.699,22.2922,0,1,43.9627,44.1397,248.01
0,0,0,0,0,1,0,1969.69,918.667,1051.02,0,0,-78.0073,11.7243,387.743,1907.63,8960.11,14298.3,-387.743,0,68.9653,212.112,233.986,0,0,1.33125,279.14,-867.845,284.978,13.4789,0,1,21.675,22.1808,91.3566
0,0,0,0,0,1,0,2827.62,873.611,1954.01,0,0,52.3201,-8.32906,-686.902,3293.03,9027.16,10469.5,686.902,0,157.334,213.207,260.894,0,0,0.95988,298.11,-883.811,332.908,7.72677,0,1,18.6279,19.0174,108.186
0,0,0,0,0,3,0,3476.46,2105.33,1371.12,0,0,34.2562,14.5349,27.3795,2335.6,9933.43,7781.98,-27.3795,0,74.4804,611.99,690.781,0,0,0.930069,245.334,-954.072,260.937,11.0031,0,1,27.9556,28.0664,105.111
0,0,0,0,0,2,0,2195.65,1221.03,974.618,0,0,-35.3138,42.8392,311.805,1802.25,6647.54,13477.7,-311.805,0,61.3228,357.428,394.697,0,0,1.8252,176.381,-866.558,209.624,16.2709,0,1,28.7511,29.303,114.336
0,0,0,0,0,2,0,3649.83,1505.94,2143.88,0,0,-15.3959,-127.923,10.0831,3064.23,8206.67,9306.09,-10.0831,0,102.774,411.698,447.756,0,0,17.6191,444.843,-1017.89,3388.43,7.47066,0,1,16.908,17.2915,65.2095
