image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1306.18,549.75,756.431,0,0,37.3803,-44.8643,-695.967,1083.83,10325.1,14651,695.967,0,47.9053,171.112,190.568,0,0,1.26914,199.145,-803.725,172.294,38.0892,0,1,44.7565,40.942,264.913
0,0,0,0,0,1,0,1654.35,550.778,1103.58,0,0,4.11982,-8.53674,-581.951,2169.2,11246.5,13923.8,581.951,0,86.5327,180.39,197.342,0,0,1.21511,218.575,-821.842,298.434,25.9944,0,1,19.9767,18.9849,123.053
0,0,0,0,0,1,0,3410.62,2378.67,1031.95,0,0,15.4959,77.3594,492.354,5589.25,11827.3,14528.8,-492.354,0,223.311,174.406,189.669,0,0,2.18508,254.641,-843.642,533.326,7.64504,0,1,8.48508,8.99197,41.3959
0,0,0,0,0,1,0,3534.96,1278.67,2256.29,0,0,90.7899,-7.89429,-455.21,4115.94,11850.7,13035,455.21,0,148.761,181.566,193.977,0,0,5.2906,308.846,-869.188,556.196,7.35741,0,1,10.1439,9.68208,56.0389
0,0,0,0,0,1,0,2038.85,1349.14,689.715,0,0,109.383,41.4389,656.757,2374.82,13115.1,12788.3,-656.757,0,111.165,167.776,177.964,0,0,2.20657,223.122,-818.786,248.782,17.0859,0,1,22.2121,24.082,135.988
0,0,0,0,0,2,0,3141.07,1835.89,1305.18,0,0,89.2656,57.9728,325.985,3353.34,12937.8,14153.4,-325.985,0,118.612,347.007,382.148,0,0,2.26734,208.327,-881.834,280.669,13.8582,0,1,16.6157,16.9862,69.4083
0,0,0,0,0,3,0,5795.65,2320.33,3475.31,0,0,-7.12645,84.5624,-246.432,7298.32,13132.9,11462.2,246.432,0,243.616,483.388,517.122,0,0,5.31869,260.725,-943.673,2086.48,6.08357,0,1,8.43084,8.11661,37.1344
0,0,0,0,0,3,0,5105.96,3054.11,2051.85,0,0,-59.4303,29.7511,-139.458,4084.41,9237.6,15662,139.458,0,136.166,563.624,587.426,0,0,6.14341,461.586,-1055.23,511.68,8.34827,0,1,15.3515,14.7988,60.4658
0,0,0,0,0,3,0,13023.3,3379.47,9643.84,0,0,35.3617,50.1332,-476.932,18879.4,16051.1,12582.2,476.932,0,689.656,467.25,507.408,0,0,14.6477,333.238,-984.933,1614.28,1.6609,0,1,3.87919,3.69444,21.3329
0,0,0,0,0,3,0,28423.5,12847.2,15576.4,0,0,11.439,82.0454,-46.0634,28068.7,7192.93,17484.8,46.0634,0,913.079,606.399,702.294,0,0,22.7315,2507.3,-2124.05,4332.11,0.619471,0,1,2.82227,2.74997,10.9235
1,0,0,0,1,1,0,3134.96,2117.42,1017.55,0,0,-6.01668,-35.5233,332.669,3286.05,13033.1,12667.8,-332.669,0,118.804,189.225,191.155,0,0,4.40574,345.978,-892.789,509.723,8.97003,0,1,12.7938,13.0906,51.5595
