image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1039.02,508.611,530.409,0,0,31.862,-3.55416,-444.052,636.08,10528,16978.2,444.052,0,22.9421,169.319,182.57,0,0,0.215324,151.668,-778.64,151.715,56.193,0,1,57.101,54.7325,322.596
0,0,0,0,0,1,0,1636.25,1147.53,488.72,0,0,1.32481,17.0026,506.434,2018.35,12038.9,14983.9,-506.434,0,81.9069,162.25,172.391,0,0,1.87904,121.978,-762.712,166.126,24.2652,0,1,21.0738,22.2576,107.961
0,0,0,0,0,2,0,3625.35,1963.61,1661.74,0,0,36.6268,77.576,107.925,3499.47,11214,17489.2,-107.925,0,114.86,349.601,380.14,0,0,1.8031,451.64,-1021.03,3181.42,10.8244,0,1,15.173,15.058,57.8935
1,0,0,0,1,2,0,7429.72,2589.22,4840.5,0,0,63.8079,-22.3546,-254.601,10614.1,10693.4,16997,254.601,0,354.872,358.759,375.731,0,0,6.71958,263.179,-917.993,992.137,3.3627,0,1,5.25993,5.08122,23.5148
1,0,0,0,1,2,0,1834.91,813.583,1021.32,0,0,326.482,-178.517,-406.548,1246.44,12009.8,15080.7,406.548,0,50.3941,318.011,344.398,0,0,4.21769,177.2,-854.391,2344.91,33.5124,0,1,37.1749,34.9221,184.704
2,0,0,0,2,3,0,8738.12,2321.2,6416.92,0,0,73.7952,46.209,-509.163,12304.2,11670.3,17718,509.163,0,457.162,521.324,546.439,0,0,6.68913,331.653,-989.13,856.594,3.23139,0,1,5.94158,5.65929,35.14
2,0,0,0,2,2,0,6536.76,1972.67,4564.09,0,0,41.9763,18.1241,-443.695,9526.26,11208.7,15969.7,443.695,0,341.939,345.377,370.086,0,0,7.74567,266.302,-915.172,816.323,4.04717,0,1,6.12005,5.85972,33.3298
4,0,0,0,4,1,0,4303.4,2589.94,1713.45,0,0,-24.2636,-56.1199,191.815,5306.28,11669.7,14958.3,-191.815,0,182.148,181.142,183.145,0,0,3.77432,411.484,-931.229,552.444,5.3462,0,1,7.7513,7.74657,30.0389
4,0,0,0,4,3,0,18656.3,9124.11,9532.2,0,0,102.931,-7.02782,24.4399,21388,11641.2,16685.6,-24.4399,0,697.385,580.282,596.849,0,0,9.46527,818.64,-1255.71,2245.75,1.07209,0,1,3.46149,3.40692,13.1892
5,0,0,0,5,1,0,1316.92,705.611,611.306,0,0,286.839,-319.833,-437.203,1117.18,11852,14827.3,437.203,0,53.7898,160.481,170.201,0,0,1.33803,165.151,-779.948,178.752,35.079,0,1,27.4134,33.0797,139.199
5,0,0,0,5,1,0,1583.31,791.5,791.811,0,0,101.275,-192.456,361.885,1343.34,11840.2,15292,-361.885,0,52.9817,172.916,186.15,0,0,1.06025,215.331,-812.585,228.638,27.0315,0,1,27.3408,30.1462,114.746
6,0,0,0,6,3,0,22651,9451.83,13199.2,0,0,16.5079,-31.7011,-61.9798,26892.5,12023.7,15328.7,61.9798,0,882.86,592.158,640.458,0,0,27.4485,1765.17,-1803.8,8232.94,0.82939,0,1,2.83539,2.76464,11.0574
7,0,0,0,7,2,0,10239.6,4886.92,5352.65,0,0,28.2253,-34.8801,41.3045,12015.4,11617.2,16713.5,-41.3045,0,395.164,354.997,383.882,0,0,15.9086,621.479,-1107.78,3611.62,2.07605,0,1,4.7945,4.72207,18.3217
9,0,0,0,9,1,0,2303.68,1565.97,737.708,0,0,39.6965,32.4446,410.341,2794.83,10618.8,17238.3,-410.341,0,104.353,195.5,196.746,0,0,1.67535,202.459,-818.656,304.479,15.1682,0,1,15.7549,16.4116,68.4469
9,0,0,0,9,3,0,10747.7,2253.5,8494.17,0,0,10.3972,1.89251,-584.897,18301.9,11141.6,16479.3,584.897,0,729.301,547.144,585.673,0,0,8.33795,342.795,-1003.51,1480.67,2.40901,0,1,4.51832,4.2969,26.87
9,0,0,0,9,3,0,19592.9,6845.19,12747.7,0,0,75.2704,-45.7995,-322.257,26485.6,11767.5,15638.8,322.257,0,907.292,535.491,582.016,0,0,25.9482,709.194,-1188.89,5096.27,0.977419,0,1,2.81834,2.7177,13.4467
11,0,0,0,11,2,0,6551.61,4495,2056.61,0,0,87.6416,16.9444,366.869,7917.96,11755.2,14589.2,-366.869,0,287.266,350.888,369.773,0,0,6.75872,420.697,-992.307,690.062,4.05018,0,1,7.59028,7.84395,31.7103
12,0,0,0,12,1,0,1848.61,1023.81,824.808,0,0,111.699,61.4498,341.805,2095.54,9855.99,18097.5,-341.805,0,74.8725,170.439,185.897,0,0,1.72901,178.103,-796,222.361,20.5843,0,1,18.9479,19.4422,79.5586
12,0,0,0,12,2,0,6401.11,2330.08,4071.03,0,0,17.4545,21.8923,-196.898,7048.03,10838.4,17347.5,196.898,0,232.57,354.799,387.904,0,0,1.81936,386.135,-979.219,803.506,4.27503,0,1,7.65183,7.40063,31.7623
12,0,0,0,12,3,0,29942,8611.22,21330.8,0,0,20.9876,-75.2322,-425.898,37516.4,11821.8,15766.9,425.898,0,1365.55,709.807,759.569,0,0,46.0036,1981.29,-1882.6,1,0.602615,0,1,2.37668,2.28843,12.3139
12,0,0,0,12,2,0,8724.89,3580,5144.89,0,0,109.645,-48.3555,-186.67,9097.96,12325.3,15246.6,186.67,0,301.612,400.601,443.666,0,0,9.87992,1676.53,-1779.94,2204.81,2.82849,0,1,6.35742,6.1566,26.1152
14,0,0,0,14,3,0,14668.7,6659.89,8008.83,0,0,90.2028,-27.5344,-85.1939,18750,12936.9,14633.7,85.1939,0,612.558,496.073,534.753,0,0,12.4704,321.879,-984.933,1698.48,1.43134,0,1,3.63055,3.53882,14.1751
14,0,0,0,14,3,0,8157.44,2370.5,5786.94,0,0,36.1876,41.3932,-590.259,12128.2,11017.1,17032,590.259,0,480.39,568.418,599.891,0,0,17.1114,534.597,-1102.65,2333.35,3.82039,0,1,6.65357,6.31404,41.5156
15,0,0,0,15,1,0,6392.31,4275.78,2116.54,0,0,42.3143,-4.71426,359.154,6229.3,11405.7,15301.7,-359.154,0,225.825,218.071,221.28,0,0,5.31829,803.661,-1139.86,1123.14,3.25195,0,1,7.71097,7.99004,31.5614
15,0,0,0,15,3,0,9728.79,6598.22,3130.57,0,0,88.6651,65.0133,270.649,10867.6,10569.9,17995.3,-270.649,0,374.187,611.93,611.262,0,0,4.89402,433.545,-1048.55,791.879,2.95345,0,1,6.89526,6.98345,26.9312
15,0,0,0,15,3,0,14100.3,5152.28,8948.05,0,0,18.0681,78.3632,-430.677,16885.6,11923.4,15810.7,430.677,0,601.537,671.023,675.728,0,0,9.48076,1072.81,-1378.96,8563.48,1.73904,0,1,4.636,4.4368,25.4833
16,0,0,0,16,2,0,6501.88,3495.64,3006.24,0,0,-5.33582,-56.9661,136.359,8493.76,11848.1,14169.6,-136.359,0,286.162,322.523,357.013,0,0,12.9508,276.278,-914.936,4707.7,3.9615,0,1,6.39457,6.34738,24.9672
18,0,0,0,18,2,0,11162.2,5161.22,6001.02,0,0,83.2502,-35.3898,-138.91,12811.1,10970,17404.8,138.91,0,420.825,440.952,444.537,0,0,12.8114,976.04,-1318.73,1853,1.99467,0,1,4.74191,4.61357,19.1209
19,0,0,0,19,2,0,4700.06,2166.64,2533.42,0,0,-12.4608,-18.2752,-123.153,6115.98,10769.7,15611.3,123.153,0,202.053,346.047,376.245,0,0,5.56212,313.783,-940.796,2808.31,6.93839,0,1,8.56471,8.31048,33.5161
19,0,0,0,19,2,0,4560.81,3169.75,1391.06,0,0,-100.57,13.2533,374.378,5409,9772.19,17356.2,-374.378,0,205.773,385.481,414.448,0,0,7.61914,466.379,-1024.81,399.774,7.81457,0,1,11.1647,11.243,46.343
21,0,0,0,21,1,0,3820.87,2507,1313.87,0,0,-52.5967,-56.7029,369.652,4579.67,11303.3,15551,-369.652,0,172.33,206.928,206.862,0,0,4.33069,477.779,-964.659,591.544,6.88414,0,1,9.85273,10.1355,40.1049
