image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,2066.33,1305.83,760.499,0,0,72.9914,-107.395,325.528,2557.27,4170.68,12641,-325.528,0,93.5609,178.737,199.413,0,0,2.71903,344.195,-893.815,324.156,17.7513,0,1,15.5066,16.1789,64.5325
0,0,0,0,0,1,0,3641,1787.94,1853.05,0,0,-35.7457,-12.2754,156.683,3636.56,10003.4,13335.4,-156.683,0,122.862,225.914,262.576,0,0,6.97819,492.936,-980.226,706.281,8.20013,0,1,12.1467,12.0567,47.7375
0,0,0,0,0,1,0,5434.03,2266.03,3168.01,0,0,29.1157,124.015,-179.118,5377.17,6287.04,14284.7,179.118,0,176.521,200.834,214.749,0,0,1.05414,885.622,-1198.53,1419.36,4.0231,0,1,7.7075,7.48257,31.924
0,0,0,0,0,1,0,5905.91,1929.56,3976.35,0,0,2.1231,-20.9362,-446.755,7621.7,8583.91,14725.7,446.755,0,277.769,197.837,200.993,0,0,2.31062,526.159,-993.848,1156.26,3.49143,0,1,5.91158,5.63721,31.9324
0,0,0,0,0,3,0,6292.89,3831.83,2461.06,0,0,86.716,58.7608,131.366,6116.26,2676.6,14646,-131.366,0,201.231,587.372,606.81,0,0,9.57006,486.565,-1077.7,643.396,5.98408,0,1,11.2719,11.1812,42.8963
0,0,0,0,0,2,0,4933.33,1496.5,3436.83,0,0,32.7826,53.967,-529.723,6416.19,9046.7,13861.3,529.723,0,242.76,411.656,471.108,0,0,2.18128,413.594,-1005.19,585.026,7.31647,0,1,10.1906,9.72529,60.7136
0,0,0,0,0,3,0,9546.15,3498.67,6047.48,0,0,43.3502,-93.696,-434.987,12501,1437,15292,434.987,0,458.819,593.732,627.155,0,0,10.9642,747.913,-1208.71,1377.4,3.04086,0,1,5.74533,5.56028,31.1319
0,0,0,0,0,3,0,7306.51,4706.33,2600.18,0,0,147.248,-43.4268,447.69,8754.85,1629.17,11984.9,-447.69,0,341.868,569.759,583.684,0,0,11.2036,478.944,-1066.83,826.196,4.54551,0,1,8.7246,9.15625,39.3176
0,0,0,0,0,2,0,8016.12,2693.67,5322.45,0,0,-8.94902,54.5149,-422.314,9523.81,7213.32,14551.6,422.314,0,339.952,388.883,399.462,0,0,6.30591,884.443,-1240.63,1730.37,3.10809,0,1,6.23261,5.94559,33.6814
0,0,0,0,0,3,0,11523,3441.33,8081.68,0,0,27.9105,37.8572,-406.766,13304.1,1353.75,13482.7,406.766,0,468.185,619.952,706.899,0,0,30.3893,2442.27,-2377.3,1,2.36257,0,1,5.73243,5.49853,29.9134
0,0,0,0,0,2,0,11824.6,6711.56,5113,0,0,-2.34307,-2.94769,389.56,15260.2,4640.77,14016.9,-389.56,0,567.341,393.913,434.622,0,0,6.92554,855.971,-1233.68,1755.24,1.77279,0,1,4.47774,4.63854,18.9424
0,0,0,0,0,3,0,32139.9,9881.36,22258.5,0,0,54.8853,8.41934,-366.82,49550.8,3596.64,13413.4,366.82,0,1711.97,588.768,612.382,0,0,32.114,1327.92,-1540.4,1,0.510741,0,1,1.76033,1.6982,8.77892
1,0,0,0,1,1,0,1946.13,1231.83,714.295,0,0,70.2556,-12.8843,525.406,1477.57,2100.92,15211.1,-525.406,0,60.7784,215.485,220.005,0,0,3.23295,360.56,-910.976,737.101,21.7866,0,1,32.7393,34.9358,174.238
1,0,0,0,1,1,0,2084.48,1116.89,967.592,0,0,-7.05532,-19.5318,189.525,1232.67,9481.3,13441.4,-189.525,0,41.8037,213.843,258.62,0,0,2.33009,267.41,-870.969,254.771,20.4661,0,1,33.7134,33.5846,134.214
1,0,0,0,1,1,0,5269.33,1753.89,3515.45,0,0,52.5022,58.2238,-337.511,5211.92,6362.35,14153.1,337.511,0,177.228,191.456,205.046,0,0,2.82552,597.956,-1030.99,1012.28,4.11625,0,1,7.96251,7.67862,39.2712
1,0,0,0,1,1,0,1795.86,968.056,827.809,0,0,205.75,81.1483,516.171,1308.57,12623.9,13735.5,-516.171,0,54.367,231.386,283.937,0,0,1.73729,261.404,-868.754,337.411,28.3986,0,1,37.7553,39.7614,205.276
1,0,0,0,1,3,0,28689,8869.5,19819.5,0,0,43.8896,-39.2746,-301.285,36656.7,4693.23,15434.9,301.285,0,1247.98,580.649,664.23,0,0,23.9345,1884.23,-1846.8,4655.01,0.600986,0,1,2.22952,2.14853,10.2839
2,0,0,0,2,1,0,2010.23,1016.31,993.927,0,0,61.2645,-181.932,85.7511,1797.2,4379.79,13110.3,-85.7511,0,63.13,189.637,200.915,0,0,2.23687,285.913,-857.487,308.748,19.042,0,1,20.2612,21.1086,76.4033
2,0,0,0,2,1,0,2244.37,1213.89,1030.48,0,0,262.675,-146.566,81.1536,1763.92,5066.59,13667.1,-81.1536,0,62.8479,191.427,205.137,0,0,3.72715,257.729,-845.855,348.829,15.9615,0,1,20.8163,20.6909,78.0493
2,0,0,0,2,1,0,6277.35,2278.81,3998.54,0,0,83.698,-3.03658,-273.134,6880.03,7712.81,14214.4,273.134,0,230.189,214.786,233.498,0,0,1.93184,619.915,-1046.59,1052.22,3.36972,0,1,6.46003,6.22818,29.1667
2,0,0,0,2,2,0,18793,8666.75,10126.3,0,0,61.3172,3.14419,14.4978,20891.7,4083.66,13912.1,-14.4978,0,679.983,447.937,497.13,0,0,9.54131,4553.69,-3849.62,1,0.968827,0,1,3.24897,3.19943,12.5062
2,0,0,0,2,2,0,7265.07,3119.78,4145.3,0,0,-130.242,142.18,-169.214,6993.26,6545.09,13871.8,169.214,0,243.214,394.207,435.613,0,0,6.87457,847.418,-1239.59,4205.92,3.73146,0,1,8.04569,7.47649,31.4108
3,0,0,0,3,1,0,6620.24,2552.64,4067.6,0,0,72.161,-37.4888,-193.788,8996.33,5553.17,13952.8,193.788,0,297.877,172.253,181.768,0,0,3.98765,408.615,-927.06,1334.31,2.81837,0,1,4.62444,4.48372,19.5291
3,0,0,0,3,2,0,3677.76,2222.72,1455.04,0,0,46.3562,-18.7361,-37.7798,2751.88,2618.27,14723.5,37.7798,0,89.8123,378.423,397.174,0,0,6.24814,387.735,-978.828,2767.89,11.0384,0,1,19.0702,18.7172,71.21
3,0,0,0,3,2,0,4410.62,1607.33,2803.29,0,0,162.779,-58.3012,-368.467,5193.26,1416.26,15256.6,368.467,0,182.428,416.672,423.315,0,0,6.33711,350.659,-969.639,579.072,8.55994,0,1,10.7378,10.3543,56.2531
3,0,0,0,3,3,0,7686.37,4866.17,2820.2,0,0,147.331,13.619,475.999,8767.46,1629.09,11927.9,-475.999,0,346.367,576.477,598.179,0,0,10.0113,626.423,-1151.16,785.32,4.22917,0,1,9.01773,9.5,42.96
4,0,0,0,4,1,0,2469.96,1345.08,1124.88,0,0,-41.8881,-1.70269,267.886,2726.15,5864.6,14311.8,-267.886,0,95.7284,176.079,192.429,0,0,1.60311,340.768,-886.183,334.034,12.9494,0,1,14.5136,14.6379,57.9704
4,0,0,0,4,3,0,4341.95,2401.67,1940.28,0,0,70.9532,26.8049,189.431,4108.4,2198.92,15072.8,-189.431,0,137.43,601.204,618.196,0,0,3.02699,264.632,-960.771,352.445,11.5969,0,1,16.8459,16.8682,64.6456
4,0,0,0,4,2,0,4189.29,2461.89,1727.4,0,0,63.7125,23.2894,291.446,4048.81,4969.48,13793.3,-291.446,0,140.929,370.465,399.468,0,0,1.95217,316.884,-943.206,440.532,8.7864,0,1,14.0796,14.3495,57.1094
4,0,0,0,4,3,0,7509.07,5388,2121.07,0,0,67.3075,6.7128,446.087,13675.3,2202.56,12428.2,-446.087,0,524.424,540.399,591.489,0,0,6.72457,356.7,-1008.99,1006.93,4.28791,0,1,5.74743,6.04557,26.4089
4,0,0,0,4,3,0,21089.7,6973.67,14116,0,0,41.6616,-2.30126,-300.758,24153.4,4695.46,15397.9,300.758,0,816.787,582.557,631.914,0,0,16.3279,1016.02,-1373.31,2649.47,0.911698,0,1,3.13488,3.02784,14.6388
5,0,0,0,5,1,0,1852.15,1250.56,601.59,0,0,28.1121,-46.9372,360.839,2503.29,2143.07,14455.7,-360.839,0,91.7587,178.129,201.935,0,0,0.37572,259.335,-846.998,344.449,21.465,0,1,16.2831,16.8375,70.1232
5,0,0,0,5,2,0,4533.37,2247,2286.37,0,0,-41.8377,38.9359,-526.032,3625.94,1423.5,15258,526.032,0,139.667,409.369,412.84,0,0,8.56606,501.349,-1038.51,3105.36,8.04912,0,1,16.2553,15.4202,99.8388
5,0,0,0,5,2,0,25147.9,10798.7,14349.2,0,0,-25.6928,56.1056,-116.307,28659.1,7032.68,13957.9,116.307,0,942.231,481.203,547.923,0,0,20.7589,2605.39,-2153.02,7942.71,0.67199,0,1,2.53158,2.44399,10.1112
5,0,0,0,5,2,0,12394.6,3799.28,8595.32,0,0,-56.2619,-42.4443,-381.612,15069.7,6668.49,13563,381.612,0,542.489,451.813,519.324,0,0,12.7552,3371.32,-2802.98,6926.34,1.78323,0,1,4.40722,4.20032,21.8164
6,0,0,0,6,1,0,1806.47,813.25,993.219,0,0,42.569,-10.5445,3.47787,2124.76,6767.04,12248.1,-3.47787,0,69.3337,161.405,176.619,0,0,1.34184,151.139,-777.603,219.092,20.6287,0,1,16.866,16.5998,62.8798
6,0,0,0,6,1,0,1990.68,928,1062.68,0,0,62.8631,-19.5473,-217.192,2095.72,5266.4,13046.6,217.192,0,69.4724,171.21,194.478,0,0,3.91506,246.386,-834.888,392.06,18.4675,0,1,17.4757,16.9311,73.4095
6,0,0,0,6,1,0,2372.46,1090.67,1281.79,0,0,-54.366,-60.009,-226.684,1963.72,9627.3,13284.5,226.684,0,67.2677,214.375,245.904,0,0,2.29039,306.045,-884.412,344.484,16.0967,0,1,20.259,19.4619,85.4476
6,0,0,0,6,1,0,4226.36,2062.83,2163.52,0,0,-20.9906,-34.4924,11.0233,5351.36,5745.01,13949.8,-11.0233,0,177.089,173.39,188.208,0,0,3.41089,325.604,-878.505,672.333,5.47125,0,1,7.39598,7.23087,28.109
6,0,0,0,6,1,0,3214.49,1556.5,1657.99,0,0,45.627,101.304,-67.1053,3163.35,1434.72,13517.9,67.1053,0,102.58,194.643,231.692,0,0,3.72173,338.147,-897.426,1102.31,9.21623,0,1,12.8156,12.5413,48.5884
6,0,0,0,6,1,0,7458.56,2510.75,4947.81,0,0,51.1141,49.7708,-268.026,9810.04,2416.14,13372.1,268.026,0,326.594,186.06,220.774,0,0,9.26748,284.994,-875.44,1156.58,2.51824,0,1,4.63629,4.4576,20.5467
6,0,0,0,6,2,0,2891.06,1313.78,1577.28,0,0,113.009,4.3794,96.7081,1851.1,12519.3,13516.2,-96.7081,0,60.7869,466.498,538.37,0,0,2.49123,318.027,-965.37,323.568,20.5932,0,1,32.4597,32.156,122.974
6,0,0,0,6,2,0,7596.52,3105.89,4490.63,0,0,20.6567,22.175,-213.102,5094.47,8762.75,14189.2,213.102,0,168.509,437.278,490.945,0,0,14.1312,1098.26,-1332.74,4731.38,3.71377,0,1,11.4482,11.0623,47.9195
6,0,0,0,6,2,0,4655.13,1417.61,3237.52,0,0,43.0227,40.1554,-313.177,5265.72,4496.72,13677.8,313.177,0,177.9,391.381,406.376,0,0,1.67732,379.602,-981.035,656.976,7.53836,0,1,10.4127,10.0437,50.5978
6,0,0,0,6,3,0,30573.8,9899.44,20674.4,0,0,64.7528,5.38195,-365.86,46569.5,3586.78,13416.5,365.86,0,1607.74,579.454,572.698,0,0,32.8792,895.368,-1295.82,1,0.538353,0,1,1.81719,1.75388,9.15205
7,0,0,0,7,1,0,11653.4,4753.67,6899.78,0,0,14.5146,73.0753,-218.768,12513.8,7189.86,13940.9,218.768,0,413.568,240.887,286.691,0,0,11.5968,1726.06,-1638.02,2236.59,1.50115,0,1,4.09263,3.93944,17.3054
