image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,3415.93,1527.08,1888.85,0,0,72.2303,-92.0851,-133.116,3471.98,10981,11145.4,133.116,0,115.773,222.838,245.521,0,0,2.90663,494.409,-991.102,490.426,8.86952,0,1,11.8938,11.6811,46.8238
0,0,0,0,0,1,0,2539.91,1285.17,1254.75,0,0,-67.1093,59.6511,-157.019,1629.82,6679.34,14053,157.019,0,54.514,207.926,235.902,0,0,1.56274,280.242,-864.594,289.584,13.9838,0,1,24.1096,23.1066,94.6914
0,0,0,0,0,1,0,6085.25,2394.5,3690.75,0,0,108.97,-29.7463,-473.174,5734.22,14201.1,9898.75,473.174,0,210.381,256.455,312.659,0,0,4.22467,917.066,-1211.23,1268.34,3.97357,0,1,9.14437,8.70227,49.2098
0,0,0,0,0,1,0,5222.71,1722.67,3500.04,0,0,7.53004,12.2171,-492.807,6163.11,10256.2,12028,492.807,0,229.503,252.804,286.373,0,0,5.9412,706.363,-1126.78,1076.24,4.89594,0,1,8.37314,7.97148,46.7285
0,0,0,0,0,3,0,3993.65,1650.67,2342.98,0,0,41.5051,-248.881,-220.627,3016.75,8643.22,11006.1,220.627,0,114.678,603.937,714.645,0,0,25.3701,514.153,-1096.17,15252.3,14.2905,0,1,20.0858,21.8689,82.5729
0,0,0,0,0,3,0,5455.38,1498.5,3956.88,0,0,41.3188,-60.0273,-642.036,7410.3,10222.4,8547.37,642.036,0,312.722,538.325,594.114,0,0,15.2427,219.832,-934.448,1921.78,7.35222,0,1,11.0367,10.2877,65.434
0,0,0,0,0,2,0,8636.48,4604.56,4031.93,0,0,110.616,-161.007,327.92,11112.5,13311.2,8648.35,-327.92,0,419.924,461.654,527.43,0,0,15.1156,1105.18,-1371.44,4958.19,3.14203,0,1,5.87456,6.27759,24.2937
0,0,0,0,0,2,0,7470.1,4247.78,3222.32,0,0,-32.5037,-14.2858,223.687,7469.67,12664.8,8008.18,-223.687,0,257.493,455.309,484.728,0,0,16.0463,542.684,-1078.35,6389.04,3.84739,0,1,8.43995,8.45456,32.9625
0,0,0,0,0,3,0,21480,12537.7,8942.29,0,0,-13.1188,-5.89727,224.26,32179.3,12250.7,6914.2,-224.26,0,1103.03,596.551,638,0,0,26.0987,721.676,-1205.13,3393.51,0.894507,0,1,2.58071,2.58768,10.1618
0,0,0,0,0,2,0,13908,5648,8259.95,0,0,-9.24424,-25.2645,-200.61,18362.3,11950.7,9894.26,200.61,0,613.276,420.502,458.401,0,0,13.205,391.431,-1005.73,1860.22,1.43858,0,1,3.46842,3.34525,14.5801
0,0,0,0,0,3,0,32475.6,12172,20303.6,0,0,38.3986,-33.0858,-287.231,36501.4,13383.4,9408.64,287.231,0,1236.46,851.462,1014.99,0,0,43.5358,2024.04,-1923.54,9043.2,0.590824,0,1,2.5728,2.47768,11.5887
0,0,0,0,0,3,0,17359.6,9890.67,7468.92,0,0,143.802,-25.2497,233.138,20403.8,13968.9,9006.04,-233.138,0,701.034,704.394,827.915,0,0,24.737,3433.93,-2864.78,1,1.35207,0,1,4.08695,4.1233,16.447
1,0,0,0,1,1,0,1347.04,945.972,401.067,0,0,-58.5539,-0.393691,586.361,1436.1,10322.3,9178.56,-586.361,0,64.3064,182.374,199.81,0,0,0.60697,166.563,-796.955,206.109,37.6509,0,1,33.1314,35.229,186.707
1,0,0,0,1,3,0,9669.26,4464.64,5204.62,0,0,-45.544,-63.8097,72.8145,12760.9,8236.81,11314.5,-72.8145,0,429.999,596.54,715.805,0,0,3.76058,479.755,-1083.27,9174.29,3.10763,0,1,5.65166,5.5556,21.703
1,0,0,0,1,2,0,18458.1,5239.3,13218.8,0,0,62.0014,-1.16648,-497.338,22352,10596.5,11745.3,497.338,0,829.541,544.912,636.754,0,0,22.1585,1528.85,-1634.95,3317.65,1.08916,0,1,3.66506,3.50535,20.1251
2,0,0,0,2,1,0,2119.88,1194.72,925.16,0,0,-74.7911,5.59645,328.13,1819.59,7969.99,13021.5,-328.13,0,66.5551,217.06,257.236,0,0,1.09734,285.386,-875.703,336.55,19.9465,0,1,23.8232,24.0962,101.273
2,0,0,0,2,1,0,7594.09,4426.89,3167.21,0,0,-21.9032,60.0599,185.756,7775.08,13246.4,8822.04,-185.756,0,262.481,275.894,307.826,0,0,2.19007,1283.29,-1415.19,1893.49,2.88455,0,1,6.64128,6.59883,26.1484
2,0,0,0,2,1,0,7654.36,3274.75,4379.61,0,0,-12.467,-29.1376,-178.401,7772.04,12940.9,8220.41,178.401,0,258.981,250.744,271.019,0,0,5.20332,1139.77,-1360.66,1050.03,2.70456,0,1,6.02146,5.81793,24.7574
2,0,0,0,2,2,0,5111.46,2329,2782.46,0,0,-89.9816,-198.006,15.5835,5933.78,10551.1,11251.3,-15.5835,0,216.467,471.454,516.859,0,0,5.80512,592.949,-1108.65,566.692,7.46011,0,1,9.63761,9.88915,35.3828
3,0,0,0,3,1,0,2958.53,2023.89,934.64,0,0,11.0507,-29.5864,343.806,2797.3,6995.94,12661.9,-343.806,0,101.331,206.202,212.921,0,0,1.76864,300.536,-871.926,376.057,10.4622,0,1,15.5339,15.952,63.8019
3,0,0,0,3,1,0,6218.83,2391.33,3827.5,0,0,41.2859,-4.23591,-395.649,6061.15,13183.2,9478.48,395.649,0,212.869,270.472,317.253,0,0,1.60518,923.599,-1240.17,1785.53,3.9138,0,1,8.34799,8.0513,42.7147
3,0,0,0,3,3,0,8644.6,3634.75,5009.85,0,0,73.2578,-23.7043,-199.588,8283.96,10980,11175.7,199.588,0,273.807,722.692,807.036,0,0,11.7412,554.194,-1128.86,798.847,4.14565,0,1,8.99055,8.71503,37.1476
3,0,0,0,3,3,0,31176,15729.3,15446.6,0,0,18.0809,1.50536,172.417,27516.4,13305.1,8584.52,-172.417,0,921.882,842.076,940.039,0,0,13.7479,4061.29,-2971.86,8444.92,0.614673,0,1,3.32197,3.3181,13.0891
