image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1471.83,583.5,888.33,0,0,85.8535,25.813,-520.067,785.7,14915,13396,520.067,0,33.5452,203.941,232.862,0,0,0.640673,217.723,-831.885,221.085,15.6783,0,1,62.1423,62.5831,396.099
0,0,0,0,0,1,0,1191.72,511.945,679.771,0,0,67.667,-69.5548,-271.772,729.774,14933.2,12701.9,271.772,0,26.8547,204.792,228.124,0,0,0.584234,213.691,-829.018,230.202,22.3515,0,1,51.3948,52.1412,264.002
0,0,0,0,0,1,0,2116.13,827.555,1288.57,0,0,-0.742046,-46.9363,-123.224,1784.57,15791.1,14159.6,123.224,0,61.6696,202.194,225.204,0,0,0.975225,199.22,-823.325,250.725,8.51919,0,1,20.6927,20.9263,93.7899
0,0,0,0,0,3,0,2194,1088.5,1105.5,0,0,116.618,-129.359,167.57,1394.51,12515.7,5162.55,-167.57,0,48.8703,567.738,641.103,0,0,1.02684,159.044,-904.558,174.516,16.7016,0,1,43.4306,44.7187,157.441
0,0,0,0,0,3,0,3691.92,1872.45,1819.48,0,0,141.151,53.8623,51.8462,2389.74,11800.3,3992.43,-51.8462,0,78.9653,580.376,658.39,0,0,2.24726,257.905,-956.092,272.602,6.81126,0,1,26.407,26.6497,103.363
0,0,0,0,0,3,0,4077.36,1971.22,2106.14,0,0,112.316,-52.1973,73.3215,3137.13,11829.2,3308.97,-73.3215,0,105.282,571.147,634.806,0,0,7.66385,288.583,-969.742,1698.61,5.64941,0,1,19.8044,20.0076,76.0933
0,0,0,0,0,3,0,5313.94,2587.45,2726.49,0,0,75.2536,-38.7115,36.5407,4644.96,13938.7,7440.46,-36.5407,0,155.067,586.516,666.7,0,0,16.6515,311.538,-985.633,2147.87,3.73123,0,1,13.756,13.9169,54.5984
0,0,0,0,0,3,0,11801.6,3752.86,8048.74,0,0,32.8376,-8.10081,-415.362,13433.6,16448.4,12147,415.362,0,531.765,571.699,625.269,0,0,10.7582,532.848,-1097.25,1016.4,1.07305,0,1,5.75352,5.78884,32.3476
1,0,0,0,1,1,0,2356.36,1310,1046.36,0,0,32.3686,-23.8352,158.352,2032.94,16350.2,14333.9,-158.352,0,68.387,206.421,230.662,0,0,1.90036,258.455,-856.898,305.601,7.27698,0,1,19.174,19.4289,70.2977
1,0,0,0,1,3,0,6140.83,2408.45,3732.38,0,0,9.2818,68.3023,224.602,3457.42,15583.7,18485.4,-224.602,0,116.968,628.691,725.988,0,0,2.29559,476.57,-1068.17,421.747,3.09546,0,1,19.8495,20.1105,72.6047
1,0,0,0,1,3,0,6625.16,1881.5,4743.66,0,0,13.0976,-80.7378,-466.682,9297.56,15678.6,15575.1,466.682,0,392.71,623.489,707.664,0,0,30.8626,251.281,-965.002,10283.2,2.71176,0,1,8.72925,8.86294,49.4342
2,0,0,0,2,2,0,2276.96,888,1388.96,0,0,-32.14,-47.4842,-279.635,1652.71,14144.8,8337.44,279.635,0,61.4532,396.818,454.116,0,0,1.59583,265.347,-923.889,2826.14,11.936,0,1,32.0164,32.3363,163.368
2,0,0,0,2,3,0,4903.77,2216.78,2687,0,0,89.0832,-82.8538,-363.362,4692.96,15800,14195.5,363.362,0,182.75,596.475,661.382,0,0,15.1318,256.033,-959.759,1970.37,4.27019,0,1,14.8181,14.9707,80.4009
2,0,0,0,2,3,0,6306.99,1309.33,4997.65,0,0,42.0372,-16.2262,-412.296,8902.98,14070.6,6431.08,412.296,0,351.894,552.489,621.29,0,0,6.20869,366.018,-1010.62,698.743,2.7237,0,1,8.3128,8.36136,46.8977
3,0,0,0,3,1,0,990.618,519,471.618,0,0,-15.0029,-42.9988,308.545,634.383,12153.9,5470.95,-308.545,0,22.5155,190.541,212.484,0,0,0.652084,189.153,-808.994,180.576,29.2356,0,1,58.0691,59.9374,217.235
3,0,0,0,3,1,0,1389.16,568,821.163,0,0,11.072,-34.4418,343.175,732.935,15187.2,16022.2,-343.175,0,26.275,205.791,237.397,0,0,0.123732,184.696,-816.785,188.934,17.4615,0,1,53.0257,55.0883,204.032
3,0,0,0,3,1,0,1531.59,914.722,616.872,0,0,25.3316,4.66521,-195.364,905.706,16357.2,15193.6,195.364,0,31.6635,197.189,219.728,0,0,0.782949,186.252,-812.165,230.242,14.2181,0,1,40.2517,40.8436,193.696
3,0,0,0,3,1,0,1271.19,670.417,600.777,0,0,-31.8082,35.2248,-334.503,895.613,13651,8156.05,334.503,0,33.7794,199.221,225.085,0,0,0.503171,194.157,-816.801,178.924,19.7103,0,1,43.878,44.0415,235.907
3,0,0,0,3,1,0,1408.5,518.222,890.278,0,0,91.165,2.3959,-424.625,1090.52,15699.2,10162.7,424.625,0,43.2282,185.636,207.041,0,0,0.855807,144.057,-785.903,162.187,15.7097,0,1,38.136,38.121,224.816
3,0,0,0,3,1,0,1408.32,554.25,854.069,0,0,123.338,-8.389,89.5328,821.531,13594.6,7212.76,-89.5328,0,27.349,198.468,226.753,0,0,0.641683,201.832,-821.95,220.069,16.5805,0,1,45.0659,45.5837,170.336
3,0,0,0,3,1,0,1346.86,577.5,769.356,0,0,45.9653,-84.5065,-144.232,941.797,15251,16664.4,144.232,0,33.0106,210.187,242.35,0,0,0.501954,197.665,-825.438,225.204,18.6816,0,1,39.2309,40.1691,179.326
3,0,0,0,3,1,0,1721.18,977.333,743.845,0,0,14.5396,84.9096,370.052,894.573,11729.6,4060.07,-370.052,0,32.043,195.375,222.931,0,0,0.978467,217.818,-828.907,209.857,11.7419,0,1,43.3063,45.2421,170.31
3,0,0,0,3,2,0,3455.09,1245,2210.09,0,0,48.7094,-7.71496,-173.371,2974.11,14952.2,11554.4,173.371,0,103.114,392.307,442.039,0,0,1.20738,237.792,-909.295,309.808,5.82685,0,1,17.5201,17.8223,82.41
4,0,0,0,4,1,0,1342.4,646.445,695.959,0,0,155.054,-69.5253,145.216,796.094,14155,8458.18,-145.216,0,27.2255,193.313,219.283,0,0,1.34277,231.753,-831.579,262.816,17.6128,0,1,45.4123,46.0927,166.769
4,0,0,0,4,1,0,1607.12,795.889,811.235,0,0,58.9335,-15.2032,376.727,932.52,15534.1,16200.4,-376.727,0,33.7685,202.311,236.516,0,0,0.29925,199.132,-823.839,229.125,13.5634,0,1,41.9897,44.1043,167.592
4,0,0,0,4,1,0,1488.28,686.611,801.666,0,0,11.2559,12.5093,52.3375,840.663,11535.5,3342.95,-52.3375,0,27.8767,197.223,219.501,0,0,1.36819,267.738,-850.481,269.032,14.9117,0,1,43.4847,43.9563,169.46
4,0,0,0,4,3,0,4204.88,1927.97,2276.91,0,0,71.7298,-53.2179,177.991,3782.21,13942.3,7454.97,-177.991,0,128.544,589.353,668.221,0,0,28.0834,240.116,-949.985,7804.49,5.51788,0,1,17.1607,17.4094,62.4694
