image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,2,0,4985.49,2478.67,2506.82,0,0,68.566,-8.07498,333.462,4278.33,10491.3,10173.1,-333.462,0,151.428,449.848,515.821,0,0,3.57942,264.176,-938.185,330.538,3.5256,0,1,13.8638,14.4456,52.9597
0,0,0,0,0,3,0,15551.8,7148.17,8403.66,0,0,7.03921,73.4772,146.883,15275.2,9467.2,12460.2,-146.883,0,507.976,689.767,782.49,0,0,14.8226,455.386,-1080.84,3083.76,0.790771,0,1,4.97456,5.00957,18.5556
0,0,0,0,0,3,0,126384,62097.1,64286.8,0,0,9.29126,47.04,164.526,119317,8379.36,8440.3,-164.526,0,3985.22,1641.94,1914.53,0,0,89.0023,14168.2,-8020.31,1,0.0692152,0,1,1.15924,1.16589,4.46224
0,0,0,0,0,3,0,118879,67039.3,51840,0,0,-27.6398,7.57867,290.705,123198,7922.84,14894.6,-290.705,0,4305.73,1854.72,1956.19,0,0,152.902,12752.9,-7256.03,1,0.0753777,0,1,1.17646,1.21159,4.46194
0,0,0,0,0,3,0,140855,49751.4,91104.1,0,0,13.8205,56.6235,-69.8123,130206,9361.73,4581.81,69.8123,0,4353.01,1727.85,2383.48,0,0,108.361,10665.5,-5881.26,1,0.0623913,0,1,1.11222,1.11717,4.85575
0,0,0,0,0,3,0,65351.1,33921.2,31429.9,0,0,-33.0186,66.2071,272.03,54289.6,7533.46,17204.5,-272.03,0,1876.42,1593.99,1735.07,0,0,11.9061,12939.6,-7141.39,1,0.152536,0,1,2.24453,2.29603,8.42885
0,0,0,0,0,2,0,65930,32584.6,33345.5,0,0,39.1963,26.268,233.581,54256.9,7757.31,16356.3,-233.581,0,1841.7,1372.8,1585.29,0,0,59.5087,8830.14,-5164.97,1,0.146215,0,1,2.131,2.17183,8.03139
2,0,0,0,2,1,0,22463.2,10021.3,12442,0,0,0.476071,-34.7911,58.9593,25045.7,7697.34,16022.6,-58.9593,0,838.968,544.982,640.819,0,0,1.45718,2991.2,-2323.93,5120.86,0.447857,0,1,2.87268,2.89428,11.579
2,0,0,0,2,1,0,18688.8,8995.8,9692.95,0,0,364.623,278.837,128.1,20509.1,7727.96,16301.1,-128.1,0,809.442,520.8,589.731,0,0,26.8045,3648.88,-2554.73,5084.19,0.557448,0,1,3.44182,3.22501,11.8347
2,0,0,0,2,1,0,19618.4,10019.3,9599.1,0,0,-246.534,236.534,148.707,17868.3,7648.28,16343.4,-148.707,0,710.102,542.626,639.809,0,0,28.5187,5106.72,-3371.02,8200.36,0.533102,0,1,4.10263,3.62107,13.3803
3,0,0,0,3,1,0,38319.2,21179.6,17139.6,0,0,-68.9473,-79.1186,304.246,46585.8,7865.46,14783.9,-304.246,0,1688.93,502.381,555.396,0,0,38.3201,6267.88,-3991.62,9092.36,0.227604,0,1,1.71759,1.78122,6.58693
3,0,0,0,3,3,0,5705.17,2630.5,3074.67,0,0,95.1884,-21.0659,205.237,4095.99,10464.6,10087.4,-205.237,0,139.121,662.849,755.803,0,0,17.6351,353.796,-1017.39,3567.61,3.59504,0,1,17.0281,17.2604,61.8975
3,0,0,0,3,3,0,25926.6,12343.4,13583.1,0,0,36.7199,-51.7993,100.459,29555.4,9437.52,12486.7,-100.459,0,992.762,688.223,791.513,0,0,32.3856,539.023,-1130.94,5178.48,0.396935,0,1,2.70351,2.736,10.5812
3,0,0,0,3,3,0,114350,54897.7,59452.1,0,0,-21.2513,76.0404,143.103,114531,8409.9,8411.3,-143.103,0,3822.01,1587.12,1867.64,0,0,89.8857,13847.9,-7661.3,1,0.0774599,0,1,1.1809,1.18724,4.59492
3,0,0,0,3,3,0,63620.5,33311.1,30309.4,0,0,0.823235,81.6785,284.423,55479.5,7499.62,17189.1,-284.423,0,1914.85,1457.07,1568.97,0,0,21.4858,9791.29,-5643.22,1,0.153859,0,1,2.14214,2.19981,8.03334
3,0,0,0,3,2,0,36521.2,18255,18266.2,0,0,-50.6051,36.3894,217.17,28606.5,7748.43,16346.2,-217.17,0,978.097,1237.99,1379.71,0,0,30.421,5933.51,-3747.24,1,0.303207,0,1,3.57187,3.61186,13.2677
3,0,0,0,3,2,0,113908,39854.1,74054.1,0,0,25.4384,69.1041,-59.4858,99829.1,9350.11,4569.33,59.4858,0,3323.78,1262.11,1776.95,0,0,97.1379,10004.7,-5589.11,1,0.0759686,0,1,1.25567,1.26317,5.4627
4,0,0,0,4,1,0,3391.4,1935.75,1455.65,0,0,62.9976,-66.6774,326.738,4262.35,9509.93,13883.3,-326.738,0,152.724,222.766,250.037,0,0,2.27383,270.37,-872.266,435.51,4.3307,0,1,10.0524,10.5103,38.1405
4,0,0,0,4,3,0,127020,71776.9,55242.8,0,0,-39.5918,-8.11701,298.769,135275,7934.79,14910.3,-298.769,0,4766.69,1787.23,1895.47,0,0,150.637,14464.8,-7745.32,1,0.0692572,0,1,1.07745,1.1114,4.10358
5,0,0,0,5,1,0,1639.96,919.75,720.208,0,0,132.101,69.7204,37.7207,1125.82,9934.28,10194,-37.7207,0,37.1261,227.603,259.039,0,0,1.06108,174.094,-820.721,185.204,14.0708,0,1,35.2765,35.6434,139.803
5,0,0,0,5,1,0,19738.5,9592,10146.5,0,0,339.941,328.488,151.403,20212.3,7752.64,16251.4,-151.403,0,812.399,520.757,579.225,0,0,29.898,3860.97,-2711.3,4482.76,0.517893,0,1,3.331,3.42905,11.7182
5,0,0,0,5,2,0,47574,22759.2,24814.8,0,0,-36.9241,36.4904,144.229,48355.6,7734.74,16050,-144.229,0,1622.81,1150.19,1289.51,0,0,21.5476,5721.68,-3632.32,11273.5,0.209874,0,1,2.15525,2.16788,8.22212
5,0,0,0,5,3,0,159199,54516.3,104682,0,0,38.4441,-65.9507,-121.5,152995,9337.11,4507,121.5,0,5291.32,1826.09,2518.03,0,0,193.344,21954,-10612.9,1,0.0545727,0,1,0.982377,0.996826,4.36565
6,0,0,0,6,2,0,2191.53,1149.22,1042.3,0,0,325.826,362.052,-65.6384,1153.12,9641.86,10099.1,65.6384,0,47.381,457.692,521.308,0,0,4.33767,199.671,-903.484,2903.18,14.1795,0,1,42.7956,46.7203,174.674
