image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
3000,0,0,0,0,1,0,1630.89,0,0,896.952,733.94,-120.982,-41.6297,670.012,1256.44,3081.68,17312.4,-670.012,0,60.3425,0,0,275.415,250.106,1.15482,194.32,-840.199,206.231,14.8684,0,1,46.3029,45.1741,186.969
3000,0,0,0,0,1,0,1458.99,0,0,791.267,667.725,-66.9742,5.98667,344.986,967.073,1547.32,18153,-344.986,0,37.2392,0,0,257.672,232.96,0.853967,239.955,-855.155,239,17.1279,0,1,37.2799,38.6992,210.242
3000,0,0,0,0,1,0,1344.46,0,0,858.262,486.2,56.8313,-107.63,-334.473,1038.09,535.309,17181,334.473,0,50.2215,0,0,244.172,213.607,1.17489,190.249,-824.756,217.596,18.7396,0,1,44.8192,56.2795,201.6
3000,0,0,0,0,1,0,1728.28,0,0,971.297,756.982,19.0893,104.696,240.625,1096,2842.92,18449,-240.625,0,40.1057,0,0,274.27,245.003,0.537661,218.916,-849.997,224.178,13.3607,0,1,33.098,34.6812,185.765
3000,0,0,0,0,1,0,2056.6,0,0,1235.93,820.664,-9.711,34.5184,48.9494,1379.93,4746.83,15657.2,-48.9494,0,50.8809,0,0,320.713,272.987,1.34369,224.032,-866.053,261.889,10.913,0,1,28.2598,30.3783,155.39
3000,0,0,0,0,3,0,11817.4,0,0,7226.59,4590.79,-17.1378,58.0459,451.874,14154.7,4556.88,17311.4,-451.874,0,558.074,0,0,877.495,783.629,5.37298,373.992,-1050.11,904.608,1.2391,0,1,5.58595,5.73299,30.2618
3000,0,0,0,0,3,0,4021.48,0,0,2172.27,1849.21,22.4245,7.07067,75.2246,3798.55,10044,12723.9,-75.2246,0,139.342,0,0,1033.93,909.092,1.96269,340.901,-1044.35,489.201,8.13932,0,1,18.3296,19.7864,101.258
3000,0,0,0,0,3,0,38574.6,0,0,21858,16716.6,13.1422,2.99409,126.467,40142.1,6796.47,13912.3,-126.467,0,1469.34,0,0,1167.55,995.043,29.178,1969.01,-1883.22,6078.74,0.263734,0,1,2.11839,2.26597,12.3205
3000,0,0,0,0,3,0,16728.3,0,0,8770.87,7957.48,10.5979,106.918,-299.268,17765.4,12227,13117.5,299.268,0,779.178,0,0,1186.81,1052.39,21.941,1322.81,-1540.95,7595.82,0.854059,0,1,6.17334,7.15446,29.2445
3001,0,0,0,1,1,0,1265.02,0,0,760.146,504.874,-207.631,-57.0412,716.053,1212.46,5536.89,15156.6,-716.053,0,65.1881,0,0,321.417,277.589,1.77936,197.849,-852.989,237.999,25.46,0,1,59.4633,53.0936,189.727
3001,0,0,0,1,1,0,1910.82,0,0,885.15,1025.67,-65.8402,-74.5571,-563.126,2739.94,4802.96,15568.9,563.126,0,174.662,0,0,308.015,265.326,1.71706,230.838,-868.714,281.374,12.0633,0,1,31.3066,41.1764,93.3334
3001,0,0,0,1,1,0,4113.69,0,0,1671.44,2442.26,25.5082,22.5675,-519.051,6988.77,12113.4,12511.1,519.051,0,384.992,0,0,399.43,335.995,1.49801,277.706,-919.955,332.274,4.04541,0,1,13.3281,16.7332,46.3169
3001,0,0,0,1,1,0,3875.1,0,0,1866.91,2008.19,104.653,-64.8692,-396.753,3002,18054.3,13782.8,396.753,0,148.883,0,0,411.923,337.765,3.48375,234.824,-896.301,276.227,4.49122,0,1,22.7763,28.349,97.4584
3001,0,0,0,1,3,0,3624.58,0,0,1826.36,1798.22,-5.35103,84.167,-66.5023,2734.23,1584.39,18272.2,66.5023,0,103.62,0,0,784.572,689.43,1.69531,229.05,-960.055,241.805,7.91599,0,1,23.9151,26.2384,131.403
3001,0,0,0,1,3,0,5316.03,0,0,2811.01,2505.02,192.373,-51.0394,-76.2925,4269.09,8097.59,13867.6,76.2925,0,166.342,0,0,1111.72,963.734,25.1264,219.321,-989.54,3329.78,5.23404,0,1,17.9622,19.891,99.4319
