image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1554.42,874.083,680.341,0,0,-169.219,-86.8202,-48.5238,1056.1,10235.6,12127,48.5238,0,36.9646,224.094,254.391,0,0,3.47774,272.591,-867.758,312.526,20.9791,0,1,37.2779,35.6947,142.303
0,0,0,0,0,1,0,2449.66,1341.17,1108.5,0,0,34.4063,-0.533829,460.832,2096.76,17729.8,14113.2,-460.832,0,74.9949,296.945,331.393,0,0,0.559634,250.651,-886.718,279.938,11.6818,0,1,24.4963,25.7314,108.819
0,0,0,0,0,1,0,2450.44,1155.47,1294.97,0,0,56.8574,-104.69,442.244,2020.36,17707.3,13526.5,-442.244,0,74.0238,279.813,323.081,0,0,2.69353,280.552,-896.953,295.416,11.3363,0,1,23.8378,25.4928,104.587
0,0,0,0,0,1,0,3151.01,1400.5,1750.51,0,0,24.6104,51.6823,-76.0087,3367.9,18035.7,14751.8,76.0087,0,107.856,297.854,321.501,0,0,0.694067,206.819,-864.687,325.033,7.60065,0,1,14.1943,14.0067,59.068
0,0,0,0,0,1,0,3199.01,1539.5,1659.51,0,0,-125.306,-34.9703,448.63,3353.13,3283.39,18095.2,-448.63,0,124.778,220.691,245.579,0,0,3.20472,252.749,-860.96,337.956,6.24357,0,1,13.4678,13.7884,56.8556
0,0,0,0,0,3,0,10884.3,5026,5858.25,0,0,-10.3335,-118.334,208.94,13280.9,14221.7,12355.9,-208.94,0,445.251,702.45,798.185,0,0,9.70276,590.179,-1151.29,875.16,1.77792,0,1,5.76388,5.88368,20.8066
0,0,0,0,0,2,0,2705.86,1612.5,1093.36,0,0,156.601,-208.676,199.23,2254.71,17903.7,12248.9,-199.23,0,81.7542,463.667,524.168,0,0,16.8341,244.44,-928.687,6419.68,13.7038,0,1,24.2861,26.7898,85.7911
0,0,0,0,0,2,0,4622.1,2588.5,2033.6,0,0,165.425,-129.181,250.664,4628.82,8815.37,13057.6,-250.664,0,159.614,504.039,581.204,0,0,7.779,457.845,-1044.55,642.579,5.82064,0,1,13.3608,13.7151,48.8212
0,0,0,0,0,2,0,11163,5719.53,5443.47,0,0,6.8387,-14.5586,116.064,14988.6,9467.4,14423.3,-116.064,0,476.995,552.324,619.03,0,0,6.82051,448.942,-1057.68,1227.33,1.50363,0,1,4.7321,4.68938,17.2027
0,0,0,0,0,3,0,37456.2,22769.7,14686.5,0,0,86.8911,85.1792,232.299,32536.3,7512.24,14619.6,-232.299,0,1044.34,1370.35,1358.3,0,0,8.94273,5762.6,-3899.47,1,0.38152,0,1,3.42897,3.4231,12.2668
0,0,0,0,0,3,0,32407.8,19276.3,13131.5,0,0,-17.7079,53.3892,383.395,35695.3,4557.45,17217.4,-383.395,0,1220.04,893.371,957.579,0,0,17.6418,2582.57,-2160.16,5370.97,0.402915,0,1,2.80003,2.85833,10.9426
0,0,0,0,0,2,0,50615.2,22607.1,28008.1,0,0,-42.9448,100.55,202.932,40789.7,12280.5,13222.6,-202.932,0,1313.5,1039.13,1274.37,0,0,10.694,8456.43,-4691.39,1,0.240048,0,1,2.56221,2.5437,9.44429
0,0,0,0,0,3,0,184989,93719.7,91269.8,0,0,-67.9666,56.8623,320.347,202521,15167.5,13858.4,-320.347,0,6805.27,2021.78,2339.57,0,0,190.85,41932.8,-20470.6,1,0.0564012,0,1,0.863592,0.863413,3.28733
1,0,0,0,1,2,0,4369.93,2989.61,1380.32,0,0,58.7652,-68.6433,361.344,3427.99,9415.48,13786.6,-361.344,0,118.254,545.227,597.681,0,0,6.25785,407.822,-1020.38,3532.46,6.64065,0,1,19.3384,19.9654,75.1468
1,0,0,0,1,2,0,3995.32,2417.92,1577.4,0,0,-76.5838,20.7154,531.823,3824.41,11524.6,15374.9,-531.823,0,146.172,587.992,651.119,0,0,2.56381,333.899,-996.183,440.675,8.21175,0,1,19.3055,20.3978,91.818
1,0,0,0,1,2,0,4052.73,2297,1755.73,0,0,52.5262,-31.0555,357.636,4050.49,10211.2,15426.7,-357.636,0,137.816,551.455,632.794,0,0,2.75654,287.305,-967.343,350.09,7.74402,0,1,16.7697,17.1833,65.7486
1,0,0,0,1,3,0,6300.54,3572.28,2728.27,0,0,-56.0232,-114.25,386.808,5805.75,9431.57,12450.5,-386.808,0,209.643,687.871,787.234,0,0,6.75851,368.088,-1032.03,9659.61,4.26249,0,1,12.7919,13.4284,51.7655
1,0,0,0,1,3,0,9546.79,5849.61,3697.18,0,0,-39.965,186.016,384.789,8003.27,12672.3,14716.2,-384.789,0,279.128,1010.12,1051.44,0,0,8.82082,431.763,-1095.3,3364.67,2.66822,0,1,11.4371,11.7985,45.0273
2,0,0,0,2,1,0,2067.28,1222.22,845.053,0,0,-129.444,-230.593,321.779,1974.54,10195.8,11777.3,-321.779,0,78.3152,200.627,231.909,0,0,2.55076,342.769,-896.042,352.505,12.0491,0,1,18.8665,21.3655,69.3185
2,0,0,0,2,1,0,1795.26,1005.08,790.182,0,0,-61.8,-130.12,398.746,1566.68,3022.5,16512.7,-398.746,0,57.536,205.089,230.415,0,0,1.47519,298.662,-870.977,295.509,15.3331,0,1,25.629,27.1202,104.64
2,0,0,0,2,1,0,1624.06,757.667,866.392,0,0,315.648,-229.139,164.44,1234.23,17744.6,12071.9,-164.44,0,49.6919,219.683,248.685,0,0,3.01683,240.07,-850.628,235.747,19.1475,0,1,30.2089,31.5768,97.7465
2,0,0,0,2,2,0,3021.16,1039.92,1981.25,0,0,-194.027,-77.7257,-116.717,2536.91,5029.84,15276,116.717,0,92.1897,448.076,488.926,0,0,3.98114,321.628,-961.805,362.634,10.8625,0,1,22.0229,20.4371,87.7812
