image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,3,0,132525,43147.2,89377.6,0,0,20.7837,63.5062,-189.44,129126,4025.51,8522.52,189.44,0,4291.84,1060.63,1395.91,0,0,105.471,13029.6,-7316.45,1,0.0756914,0,1,1.03223,1.00862,4.60379
0,0,0,0,0,3,0,158417,81137.5,77279.4,0,0,64.3032,-10.5219,145.64,177129,3192.47,12840.2,-145.64,0,5635.64,1291.04,1297.28,0,0,129.363,22063.7,-12956.9,1,0.0623213,0,1,0.801076,0.798208,3.08319
0,0,0,0,0,3,0,72032,37138.8,34893.2,0,0,-35.6424,84.56,231.734,86301.4,3687.17,10771.3,-231.734,0,2792.69,834.037,1007.46,0,0,47.274,8155.57,-5560.43,1,0.14695,0,1,1.28925,1.28079,4.89366
0,0,0,0,0,2,0,174961,70190,104771,0,0,89.6862,27.8054,-17.9712,157871,3068.39,16848.2,17.9712,0,5007.73,2263.98,2837.98,0,0,91.2295,27631.5,-13676.7,1,0.0620742,0,1,1.05584,1.03886,4.21619
1,0,0,0,1,3,0,4292.35,2536.33,1756.02,0,0,12.0813,-32.7898,306.777,4229.1,2356.48,6743.71,-306.777,0,141.128,597.162,674.824,0,0,15.9946,202.147,-933.684,4010.8,7.38938,0,1,16.5444,16.7096,61.5406
2,0,0,0,2,1,0,1210.66,601.638,609.017,0,0,14.41,-190.583,-98.0533,676.027,2847.6,2756.52,98.0533,0,24.1676,177.448,202.281,0,0,0.177043,175.127,-796.101,170.166,27.3094,0,1,49.3143,52.9468,204.342
2,0,0,0,2,3,0,272630,133696,138934,0,0,27.713,-29.6974,114.867,226613,2932.99,16807,-114.867,0,7222.24,3597.87,4157.95,0,0,195.297,48257.5,-24407.6,1,0.0396639,0,1,0.895681,0.889676,3.35783
3,0,0,0,3,1,0,4371.88,2511,1860.88,0,0,43.5154,-41.0513,482.594,4802.48,3015.87,14844.6,-482.594,0,175.989,255.93,302.979,0,0,4.19341,651.674,-1096.56,1179.59,4.24389,0,1,10.5048,11.1489,47.9574
3,0,0,0,3,1,0,26985.4,10000,16985.4,0,0,8.71622,13.0268,-286.584,30283.4,3840.19,10448.1,286.584,0,1063.17,345.682,361.607,0,0,22.6168,5590.89,-4070.1,8241.25,0.394432,0,1,2.28127,2.2421,11.374
3,0,0,0,3,2,0,2452.3,1052.25,1400.05,0,0,155.647,-32.9292,-206.368,1635.18,2805.05,5066.12,206.368,0,55.9265,381.822,438.857,0,0,2.16407,128.957,-851.422,166.103,14.1472,0,1,32.8472,32.1979,155.021
3,0,0,0,3,2,0,9278.67,5206.33,4072.33,0,0,-50.7246,148.91,341.827,10456.4,2814.04,14062.5,-341.827,0,354.922,503.719,610.458,0,0,7.16389,1114.85,-1396.82,2119.75,1.93339,0,1,6.61319,6.69753,25.8059
3,0,0,0,3,3,0,140627,50591.8,90035.6,0,0,53.8173,59.1849,-61.0896,121474,3992.47,8526.85,61.0896,0,3869.88,1185.49,1570.64,0,0,111.8,18768.2,-9506.42,1,0.0719104,0,1,1.08522,1.06784,4.49668
3,0,0,0,3,3,0,149955,80572.1,69382.7,0,0,82.7255,-42.9207,182.388,175024,3174.04,12872.6,-182.388,0,5646.06,1225.24,1213.36,0,0,140.519,22567.2,-13155.3,1,0.0657982,0,1,0.80013,0.801328,3.06542
4,0,0,0,4,1,0,1401.11,703.222,697.886,0,0,90.4513,-91.5626,527.14,955.337,2080.73,4236.54,-527.14,0,36.9672,185.811,215.064,0,0,0.762021,199.654,-815.079,212.372,22.0554,0,1,42.1949,45.8268,204.01
4,0,0,0,4,3,0,3490.61,1780.55,1710.05,0,0,-47.8219,-59.8485,325.734,3191.5,2416.38,6770.77,-325.734,0,109.171,601.522,679.563,0,0,14.0412,212.709,-938.228,3489.4,10.6664,0,1,21.5701,21.9263,81.6685
4,0,0,0,4,3,0,71466.2,36416.2,35050,0,0,-52.5494,18.4276,224.27,76449,3704.08,10738.8,-224.27,0,2487.97,920.156,1101.24,0,0,37.7996,10738.8,-6613.96,1,0.151088,0,1,1.45138,1.43921,5.45877
5,0,0,0,5,1,0,1579.85,649.084,930.765,0,0,62.4333,19.5989,-170.467,838.077,1812.68,3138.48,170.467,0,27.7101,181.896,203.961,0,0,1.15141,203.629,-814.09,200.003,17.506,0,1,44.1308,43.4276,200.496
5,0,0,0,5,1,0,1431.29,644,787.294,0,0,11.0219,-43.9621,-169.909,883.547,2258.85,4386.32,169.909,0,29.7005,192.178,215.105,0,0,0.641874,174.269,-803.083,206.583,21.5223,0,1,42.4151,41.7059,192.191
5,0,0,0,5,1,0,4222.78,2738.06,1484.72,0,0,-40.0824,-78.5282,443.706,6771.73,3000.78,14882,-443.706,0,247.535,236.239,275.575,0,0,2.08044,277.265,-887.829,579.117,4.27261,0,1,7.26305,7.67549,31.1621
5,0,0,0,5,2,0,1922.26,793.889,1128.37,0,0,127.782,-53.462,211.63,1168.39,2832.92,3014.16,-211.63,0,38.2254,357.749,408.3,0,0,0.836077,151.445,-855.44,156.722,20.6427,0,1,44.474,44.4581,158.871
5,0,0,0,5,3,0,289945,134220,155725,0,0,-31.0629,63.8364,214.309,277076,2893.07,16812.2,-214.309,0,8921.92,2848.91,3633.69,0,0,208.58,61964.4,-28482.5,1,0.035629,0,1,0.734117,0.727097,2.78485
6,0,0,0,6,1,0,1433.97,850.778,583.197,0,0,91.2521,-65.3161,-238.898,845.751,1981.24,4308.99,238.898,0,29.4642,190.688,213.293,0,0,0.610881,187.301,-809.211,193.778,21.3281,0,1,44.5873,44.0141,221.542
6,0,0,0,6,1,0,1149.85,497.667,652.186,0,0,50.1687,-20.9949,332.433,640.606,2219.7,3475.15,-332.433,0,21.5003,184.512,209.438,0,0,0.616842,197.989,-811.626,202.364,30.7209,0,1,59.9398,61.076,228.554
6,0,0,0,6,3,0,127107,71925.1,55181.8,0,0,-29.9033,9.06636,204.163,129042,3187.98,12919.3,-204.163,0,4165.03,1266.6,1273.75,0,0,105.205,20084.1,-11330.6,1,0.0799159,0,1,1.02842,1.02286,3.86654
6,0,0,0,6,3,0,115165,42421.8,72742.9,0,0,-49.1308,96.2986,-98.1179,120160,3898.04,8588.42,98.1179,0,3908.82,1038.8,1333.94,0,0,115.844,18575.1,-9765.02,1,0.0885132,0,1,1.05079,1.02961,4.46671
7,0,0,0,7,1,0,1194.96,664.833,530.13,0,0,2.44739,-3.60153,205.544,685.327,2958.25,5925,-205.544,0,22.0675,191.137,214.974,0,0,0.284105,161.956,-797.43,178.616,29.3874,0,1,56.1525,55.9296,198.337
7,0,0,0,7,1,0,1323.92,644.139,679.782,0,0,-115.763,108.921,-57.4138,1032.74,707.903,18050,57.4138,0,34.0432,187.16,208.069,0,0,0.969724,162.339,-795.241,187.805,24.0949,0,1,35.6407,34.6622,142.331
7,0,0,0,7,1,0,1149.23,629,520.234,0,0,4.14801,-44.4007,-125.052,618.792,3055.24,2610.34,125.052,0,20.4735,174.653,200.196,0,0,0.608462,157.173,-788.002,153.466,29.6146,0,1,57.5432,56.6855,246.867
7,0,0,0,7,1,0,1175.06,536.111,638.946,0,0,38.5032,13.6179,274.399,649.646,1836.61,3440.53,-274.399,0,21.2021,184.182,203.98,0,0,0.524231,205.455,-813.076,218.701,29.2624,0,1,58.7094,59.0956,213.27
7,0,0,0,7,1,0,1223.75,621.445,602.31,0,0,18.4304,-84.65,210.905,864.604,2646.2,4130.94,-210.905,0,28.4683,183.642,210.026,0,0,0.449046,200.035,-812.67,200.641,27.527,0,1,43.1281,43.5197,153.789
7,0,0,0,7,2,0,2238.03,1239.33,998.696,0,0,-51.0628,-40.8707,85.1292,1923.8,2419.62,6850.48,-85.1292,0,62.0639,397.263,441.325,0,0,1.32306,217.313,-897.508,2698.63,16.9105,0,1,27.9519,27.6595,100.647
7,0,0,0,7,3,0,59026.9,28591.6,30435.3,0,0,62.0028,44.7217,229.958,49804.7,3688.22,10712.5,-229.958,0,1598.58,930.827,1095.81,0,0,51.0248,8814.08,-5470.36,1,0.19094,0,1,2.08046,2.07378,7.73386
8,0,0,0,8,1,0,1172.18,679.583,492.596,0,0,159.885,-24.4846,55.7441,738.926,3392.96,4761.6,-55.7441,0,23.7153,179.965,203.092,0,0,0.79658,181.781,-801.966,194.558,29.0868,0,1,49.0773,48.4822,179.51
8,0,0,0,8,1,0,1304.51,535.583,768.925,0,0,46.8742,128.423,-630.948,1018.29,2913.83,2634.9,630.948,0,47.2411,179.09,200.22,0,0,1.35013,175.931,-796.864,180.4,23.9863,0,1,51.1481,50.2886,329.132
8,0,0,0,8,3,0,248642,110570,138072,0,0,-55.7739,88.6255,162.117,231374,2917.78,16787.4,-162.117,0,7414.67,2731.18,3542.52,0,0,172.974,53829.6,-24884.3,1,0.042436,0,1,0.831155,0.818897,3.12392
9,0,0,0,9,1,0,1515.22,659.75,855.472,0,0,111.889,-24.6951,-399.368,812.405,3046.19,5551.34,399.368,0,30.9153,187.397,215.279,0,0,0.823064,167.657,-798.898,170.614,19.3505,0,1,51.1266,49.9727,290.727
9,0,0,0,9,1,0,1375.06,705.639,669.423,0,0,-12.004,-55.6354,-325.949,936.802,2775.32,2720.27,325.949,0,34.4285,176.512,199.95,0,0,1.28918,141.562,-781.132,163.686,21.7851,0,1,40.4479,39.7252,215.437
9,0,0,0,9,1,0,31647.7,17319.2,14328.6,0,0,46.715,-42.7741,198.948,35049.3,3210.06,12872.5,-198.948,0,1133.57,370.149,378.646,0,0,20.807,4997.29,-3509.97,8636.37,0.330039,0,1,2.00192,2.00848,7.53509
9,0,0,0,9,3,0,9842.2,5380.78,4461.42,0,0,132.58,-45.3988,271.936,13851.3,854.32,3993,-271.936,0,460.507,554.811,633.642,0,0,31.5794,274.247,-969.588,8504.75,1.83029,0,1,5.1896,5.22384,19.2421
9,0,0,0,9,3,0,95690.3,31120.2,64570.2,0,0,77.3688,49.7496,-192.079,100552,4067.61,8536.28,192.079,0,3342.25,914.361,1145.72,0,0,90.3987,8839.7,-5018.26,1,0.107303,0,1,1.19236,1.16471,5.36681
10,0,0,0,10,1,0,1416.35,674.5,741.849,0,0,-9.07201,-71.0992,250.6,1073.83,2278.94,6782.02,-250.6,0,35.6494,202.563,226.437,0,0,0.8817,249.24,-845.756,271.246,22.7603,0,1,36.815,37.0598,132.656
10,0,0,0,10,3,0,5115.04,1369.58,3745.45,0,0,83.8165,-26.2755,-619.579,8187.33,2876.88,2690.91,619.579,0,382.45,540.527,612.197,0,0,26.73,207.763,-929.808,7982.82,5.11793,0,1,11.2613,11.0813,66.0648
10,0,0,0,10,3,0,169005,92012.9,76991.6,0,0,57.2273,32.0707,129.5,150558,3100.85,12995,-129.5,0,4752.31,1610.03,1564.29,0,0,167.144,26696.2,-13978.2,1,0.0595465,0,1,0.95712,0.949897,3.63896
10,0,0,0,10,3,0,57254.3,28709,28545.3,0,0,-1.96161,63.6079,196.062,64641.9,3653.49,10792.3,-196.062,0,2063.9,817.089,969.762,0,0,27.081,5348.52,-3849.73,1,0.192584,0,1,1.6009,1.58552,5.98638
11,0,0,0,11,3,0,178966,79516.9,99449.4,0,0,1.48511,5.21341,86.2318,140778,2959.22,16772.1,-86.2318,0,4461.12,2830.97,3452.97,0,0,95.7821,28233.8,-13982.9,1,0.0632905,0,1,1.24733,1.23203,4.65723
12,0,0,0,12,2,0,2755.87,1181.06,1574.82,0,0,79.7616,-92.5198,-25.1574,2123.3,2288.8,6803.44,25.1574,0,69.4867,390.087,438.19,0,0,13.2084,226.574,-901.366,2848.43,11.6299,0,1,24.7385,24.8406,96.8465
12,0,0,0,12,3,0,10301.9,5553.31,4748.59,0,0,-62.4652,55.2776,263.949,13695.6,851.985,3991.01,-263.949,0,450.408,547.776,617.943,0,0,11.8884,248.023,-954.461,8148.69,1.69145,0,1,5.26387,5.2301,19.2986
