image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1437.84,884.889,552.953,0,0,-125.524,-78.1697,-141.842,792.705,12461.8,13598.7,141.842,0,27.362,208.129,227.161,0,0,1.08773,172.049,-810.609,199.416,23.8435,0,1,47.7355,45.7329,208.271
0,0,0,0,0,1,0,1234.6,665.667,568.931,0,0,-168.779,24.6872,-253.229,842.935,11024.7,15074.9,253.229,0,31.1724,200.059,220.089,0,0,0.854009,232.843,-833.506,215.053,30.3183,0,1,46.4886,42.6315,213.272
0,0,0,0,0,1,0,1440.47,605.5,834.965,0,0,21.1629,8.71381,-474.292,1220.79,11624.3,15979.1,474.292,0,47.9146,204.351,230.278,0,0,0.10322,270.978,-860.685,295.939,23.7268,0,1,38.4713,37.8508,237.18
0,0,0,0,0,1,0,1697.82,767.889,929.932,0,0,235.823,-185.629,37.5071,1201.89,15850.6,12423.2,-37.5071,0,40.6055,198.204,220.776,0,0,1.54743,206.516,-823.176,227.991,17.4206,0,1,30.4958,31.2758,118.378
0,0,0,0,0,1,0,1961.89,928,1033.89,0,0,-8.53278,-13.8208,-39.0067,1317.45,12048.7,16692.4,39.0067,0,41.3535,209.807,232.079,0,0,0.628016,257.555,-855.335,292.916,14.1567,0,1,30.1387,29.6259,126.049
0,0,0,0,0,1,0,2343.75,983.916,1359.83,0,0,131.342,-142.738,-399.412,2256.54,10724.6,16920,399.412,0,87.4785,213.14,228.429,0,0,1.57605,342.959,-901.022,331.482,10.5365,0,1,19.2231,19.3282,108.033
0,0,0,0,0,2,0,1846.39,1161.44,684.943,0,0,-4.77671,60.873,307.146,1492.23,11354.1,14051.8,-307.146,0,48.1013,403.023,445.858,0,0,0.619171,212.659,-896.301,208.378,25.6968,0,1,38.6795,38.6557,142.105
0,0,0,0,0,3,0,4066.29,2433.94,1632.34,0,0,-1.61069,-38.7899,328.868,3398.82,14607.7,11092.1,-328.868,0,111.619,614.672,660.723,0,0,5.96951,246.999,-955.313,8215.26,8.65827,0,1,20.9571,21.105,77.3629
0,0,0,0,0,3,0,9063.4,2500.53,6562.88,0,0,62.0723,-42.8494,-346.482,8535.59,15432.3,13760.8,346.482,0,306.36,707.272,795.39,0,0,21.0888,924.622,-1338.03,4801.34,2.51356,0,1,9.47851,9.29995,50.8507
0,0,0,0,0,3,0,9833.34,4276.5,5556.84,0,0,43.46,61.2726,61.6715,10366.3,11602,17308.2,-61.6715,0,316.754,623.083,696.339,0,0,6.94251,476.674,-1081.9,900.083,2.04737,0,1,7.08145,6.95802,27.3875
0,0,0,0,0,3,0,56672,23292.3,33379.8,0,0,-36.4237,-9.65875,-27.1516,62016.9,17109.8,10174.7,27.1516,0,1954.72,684.955,813.154,0,0,66.012,3166.79,-2453.34,1,0.195726,0,1,1.54123,1.50471,6.60541
0,0,0,0,0,3,0,7987.73,2777.33,5210.4,0,0,47.6066,-4.63286,-525.121,8737.38,10512.2,17374.1,525.121,0,357.141,610.115,674.215,0,0,16.6067,352.155,-1012.07,2134.71,2.8003,0,1,10.0977,9.94573,63.7268
0,0,0,0,0,3,0,7745.13,1953.75,5791.38,0,0,14.316,-65.3468,-638.024,10477.3,13999.7,15559.7,638.024,0,487.111,647.665,737.003,0,0,31.0906,314.431,-1002.1,17031.3,3.08126,0,1,10.0275,9.86322,56.5135
0,0,0,0,0,3,0,39533.7,26015.7,13518.1,0,0,49.0957,-38.0157,482.23,46687.1,8438.24,17900.9,-482.23,0,1642.71,796.8,793.057,0,0,32.3474,2665.73,-2168.95,6192.76,0.310058,0,1,2.21748,2.32919,9.0005
1,0,0,0,1,1,0,1543.89,983.361,560.53,0,0,-46.0903,-39.6893,619.454,1390.89,12579.7,13856.3,-619.454,0,54.9032,210.142,231.656,0,0,0.559066,190.026,-821.713,204.162,21.301,0,1,33.9247,36.1562,173.36
1,0,0,0,1,3,0,7099.69,3540,3559.69,0,0,-51.0911,-49.8818,90.0203,7613.35,13472.9,12583.5,-90.0203,0,240.381,635.311,703.381,0,0,6.97039,494.405,-1095.05,564.195,3.47857,0,1,9.36057,9.16383,35.3341
1,0,0,0,1,2,0,2927.25,1166,1761.25,0,0,-93.5591,-10.1758,-539.487,3195.47,12429.8,14517.6,539.487,0,138.918,422.367,452.558,0,0,1.43228,276.369,-933.302,3193.62,11.6045,0,1,21.9435,20.9586,128.521
2,0,0,0,2,2,0,2125.02,1238.92,886.1,0,0,-81.2393,95.3533,636.152,2633.11,9752.86,15596.4,-636.152,0,106.159,374.557,412.319,0,0,1.53246,199.968,-882.716,240.014,18.7978,0,1,24.4704,25.9101,125.654
2,0,0,0,2,3,0,3921.44,1923.53,1997.91,0,0,-36.5135,10.9143,-17.2314,2715.66,12076.7,16766.4,17.2314,0,85.2164,631.719,702.2,0,0,6.5807,479.186,-1084.36,8798.21,9.54008,0,1,25.1535,24.7049,102.617
3,0,0,0,3,1,0,1466.31,830.333,635.976,0,0,-105.663,-42.2773,462.013,765.571,9579.9,14944.5,-462.013,0,27.7946,190.082,208.696,0,0,0.705972,235.467,-831.452,211.27,21.6172,0,1,52.7379,53.3927,219.268
3,0,0,0,3,1,0,1316.35,698.916,617.431,0,0,-10.1581,61.3876,592.486,1097.62,12543.8,14051.3,-592.486,0,41.5293,212.288,234.142,0,0,0.565183,186.421,-820.507,185.49,28.3596,0,1,42.6616,45.1159,215.754
3,0,0,0,3,1,0,2100.02,1192,908.016,0,0,-45.1023,28.689,180.192,2352.59,12973.5,13393.2,-180.192,0,74.0389,208.332,235.019,0,0,2.5242,180.662,-818.665,244.903,12.6571,0,1,17.8503,17.509,64.7598
3,0,0,0,3,1,0,2435.92,1584.81,851.111,0,0,14.9783,-48.7292,343.732,2338.34,14591.1,11102,-343.732,0,77.2412,204.548,216.187,0,0,1.86139,268.544,-856.599,323.751,9.59871,0,1,18.0583,18.3064,67.1653
3,0,0,0,3,3,0,8575.38,3437.89,5137.49,0,0,84.0359,3.07384,-26.7032,9138.18,11660.1,17267.7,26.7032,0,282.305,632.279,699.735,0,0,5.96476,371.146,-1026.24,716.479,2.55496,0,1,7.90772,7.79638,32.9392
3,0,0,0,3,2,0,3283.05,1756.94,1526.11,0,0,16.2831,-69.9359,384.483,3020.02,11727.8,13787.8,-384.483,0,102.202,416.14,460.464,0,0,14.5298,263.218,-926.67,3233.3,9.52707,0,1,19.7091,20.2381,77.0141
3,0,0,0,3,3,0,52322,25146.6,27175.4,0,0,50.6027,24.2305,129.841,55957.3,14160.8,13200.2,-129.841,0,1717.21,755.43,819.263,0,0,46.1169,2189.17,-1990.78,8293.63,0.217992,0,1,1.73356,1.70981,6.76019
3,0,0,0,3,3,0,57724.3,22765.9,34958.3,0,0,-9.41551,21.1423,-71.2328,69511.9,17082.8,10143.9,71.2328,0,2188.37,626.903,733.344,0,0,63.5082,1684.55,-1719.04,1,0.188018,0,1,1.37974,1.34842,6.11965
3,0,0,0,3,3,0,31539,20412.7,11126.4,0,0,-14.9302,-91.6005,523.178,43654.8,8403.58,17855.8,-523.178,0,1617.35,657.865,690.909,0,0,43.9104,1791.93,-1755.1,13991.3,0.395411,0,1,2.22738,2.38176,9.22751
4,0,0,0,4,1,0,1737.64,817.361,920.283,0,0,33.5745,59.5911,-412.709,1224.73,11019.7,15632.1,412.709,0,45.4802,194.698,213.659,0,0,0.289006,198.783,-818.066,211.166,16.4575,0,1,35.2978,34.531,209.01
4,0,0,0,4,1,0,1827,928.333,898.665,0,0,25.4394,-136.5,245.801,1669.53,13692.5,12176.7,-245.801,0,55.0087,207.399,225.176,0,0,0.420325,243.289,-846.583,276.378,15.7361,0,1,24.1207,24.5288,87.0904
4,0,0,0,4,1,0,1691.24,864.944,826.298,0,0,8.61022,-12.8081,351.623,994.177,12525,13928.1,-351.623,0,32.7361,216.873,239.603,0,0,1.19166,247.921,-851.793,258.9,18.6383,0,1,42.858,43.4272,162.03
4,0,0,0,4,1,0,2464.8,913.334,1551.46,0,0,27.7702,-86.4674,-489.278,2829.18,15071.8,13508.3,489.278,0,115.242,235.711,258.273,0,0,3.34149,520.849,-1011.57,1096.95,10.4251,0,1,17.9854,17.9055,107.538
4,0,0,0,4,3,0,4817.82,2343.33,2474.49,0,0,65.366,-111.177,85.3351,6003.94,8619.35,16296.3,-85.3351,0,189.459,549.941,597.848,0,0,24.7856,195.431,-921.973,7303.27,5.99289,0,1,10.8556,10.8647,41.2812
4,0,0,0,4,2,0,2423.12,1568.33,854.79,0,0,28.0293,-90.2554,586.718,2689.52,9742.28,15584.6,-586.718,0,103.491,368.673,410.034,0,0,11.9545,175.653,-872.022,2475.63,14.7883,0,1,22.584,24.4052,111.735
4,0,0,0,4,2,0,4775.26,1644.36,3130.9,0,0,41.5751,-26.9147,-523.753,6172.02,10518.3,17199,523.753,0,253.414,391.804,432.939,0,0,15.0367,286.417,-934.921,2947,4.89362,0,1,11.4551,11.2736,71.0914
4,0,0,0,4,2,0,3476.84,1375.11,2101.73,0,0,162.113,-87.9239,-453.31,3625.71,15924.4,12325.5,453.31,0,142.999,390.747,419.311,0,0,14.0172,218.414,-896.706,2938.19,8.17895,0,1,17.2128,17.0424,103.676
5,0,0,0,5,1,0,1179.55,463.166,716.38,0,0,-44.6524,25.1752,-126.573,628.7,10801.9,14580.9,126.573,0,20.3275,193.268,211.573,0,0,0.477451,224.879,-828.35,227.593,31.9428,0,1,59.248,58.1048,264.789
5,0,0,0,5,1,0,1302.9,860.111,442.785,0,0,-57.0899,6.80739,169.817,796.113,11801.2,13908.5,-169.817,0,25.155,204.616,224.893,0,0,1.3993,179.516,-811.887,184.773,28.0434,0,1,49.9904,49.0728,179.435
5,0,0,0,5,3,0,6661.26,3719.67,2941.6,0,0,-31.5759,-8.09116,382.165,8334.44,12960,13429.9,-382.165,0,280.372,618.487,694.335,0,0,8.85523,244.045,-960.67,478.303,3.81395,0,1,9.03113,9.19881,35.2023
6,0,0,0,6,1,0,1305.43,565.334,740.095,0,0,-66.4649,-20.1679,83.7789,747.541,11021.1,15613.2,-83.7789,0,23.5896,189.032,213.265,0,0,0.6947,188.703,-808.901,196.054,26.5943,0,1,50.5405,49.2645,188.282
6,0,0,0,6,1,0,1206.11,565,641.108,0,0,-14.114,-82.3844,-26.6643,630.431,9784.42,15379.3,26.6643,0,20.0918,187.692,201.235,0,0,0.0460097,180.863,-803.114,199.393,29.8049,0,1,57.2135,56.6118,237.696
6,0,0,0,6,1,0,2131.57,942.167,1189.4,0,0,-45.5141,59.4734,-125.25,1627.6,10408,17408.7,125.25,0,52.4913,190.666,214.037,0,0,1.69531,225.92,-831.741,275.017,11.6347,0,1,23.6254,23.113,104.851
6,0,0,0,6,1,0,1956.27,1157.67,798.599,0,0,50.9532,-50.6181,401.179,1860.66,16430.3,12189.5,-401.179,0,62.899,186.417,202.1,0,0,1.30216,211.41,-821.894,249.552,13.0592,0,1,21.8606,22.5294,86.6781
