image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,2928.26,746.389,2181.88,0,0,51.8154,84.9513,-609.807,4476.83,13074,14521.2,609.807,0,207.324,233.054,265.094,0,0,0.28258,292.48,-888.523,443.797,9.84422,0,1,12.9739,13.252,80.2448
0,0,0,0,0,1,0,2393.43,697.056,1696.38,0,0,96.9828,-91.3414,-379.331,1981.94,15002.6,13019.7,379.331,0,77.7626,226.684,260.939,0,0,4.15494,313.329,-893.118,342.889,13.5891,0,1,21.2225,21.9663,118.526
0,0,0,0,0,1,0,2614.82,925,1689.82,0,0,-71.1422,-103.226,-389.627,2007.74,6288.61,16485.8,389.627,0,82.3636,242.099,267.752,0,0,3.89435,389.557,-935.732,425.027,12.0797,0,1,20.7534,21.4388,115.033
0,0,0,0,0,2,0,3041.15,1545.14,1496.01,0,0,77.5556,-35.5356,267.221,2169.79,5547.77,17207.6,-267.221,0,75.1868,478.32,549.706,0,0,16.8984,259.81,-940.41,3593.37,15.5637,0,1,26.4142,27.3651,100.778
0,0,0,0,0,3,0,4681.86,2383.75,2298.11,0,0,-45.7489,67.4059,82.8005,4020.18,4782.87,17696.8,-82.8005,0,136.206,709.29,813.56,0,0,6.51593,303.874,-1001.54,2519.37,9.80935,0,1,16.9552,17.309,64.5299
0,0,0,0,0,2,0,4116.54,2278.67,1837.88,0,0,-77.4152,97.288,-87.6525,2229.09,3728.95,18456.4,87.6525,0,77.3927,470.803,520.801,0,0,3.56503,286.612,-950.368,333.505,8.90349,0,1,24.1366,24.5495,103.597
0,0,0,0,0,3,0,5600.14,2186.11,3414.03,0,0,217.215,-70.7788,66.6765,3892.3,16856.2,12801.8,-66.6765,0,134.156,601.799,695.272,0,0,7.36161,357.883,-1011.89,444.799,6.35603,0,1,15.9958,16.3255,61.4384
0,0,0,0,0,3,0,8639.99,4971.91,3668.08,0,0,-20.7732,-78.7053,459.741,8854.91,7126.45,16362.6,-459.741,0,341.554,782.646,892.378,0,0,9.36756,447.698,-1084.65,803.619,3.63936,0,1,8.82039,9.52937,39.9003
0,0,0,0,0,2,0,8329.38,3103.67,5225.71,0,0,-18.8536,-1.61899,-67.6723,7069.77,10183.9,14903.8,67.6723,0,241.538,545.53,655.398,0,0,12.8929,628.343,-1145,1047.74,3.11336,0,1,8.80629,8.99007,36.7924
0,0,0,0,0,3,0,20549.5,7853.5,12696,0,0,27.4373,-44.1494,-110.273,23175,8065.14,15933.2,110.273,0,798.124,768.492,910.301,0,0,35.6389,596.304,-1168.12,5040.54,0.927613,0,1,3.40323,3.48021,14.9025
