image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,2129.99,924.889,1205.1,0,0,77.4513,6.77928,62.1533,1595.1,6140.02,9072.7,-62.1533,0,53.3008,213.681,236.167,0,0,0.427285,194.689,-826.356,262.841,15.6695,0,1,23.6268,24.234,90.154
0,0,0,0,0,1,0,1960.39,851.667,1108.72,0,0,71.2143,-138.736,-99.8759,1578.35,14929.7,15337,99.8759,0,55.8529,214.513,244.373,0,0,1.39824,249.478,-855.015,317.511,18.3019,0,1,23.0243,23.944,99.8126
0,0,0,0,0,1,0,2143.85,812.278,1331.57,0,0,32.2958,5.73597,-332.508,1505.1,12600,12725.3,332.508,0,56.1816,211.636,239.301,0,0,2.16623,232.209,-845.166,229.42,15.5172,0,1,26.1808,27.055,143.969
0,0,0,0,0,1,0,3565.9,1957.22,1608.68,0,0,-50.737,10.5837,345.503,5024.41,15347.7,17654.9,-345.503,0,180.994,205.686,235.552,0,0,4.47093,306.559,-889.229,536.106,6.64878,0,1,8.27628,8.67026,32.991
0,0,0,0,0,1,0,5853.83,2848.06,3005.78,0,0,14.6687,-29.2366,101.54,6739.37,14098,15326.2,-101.54,0,227.68,207.284,240.108,0,0,3.89232,250.184,-862.789,727.115,3.15849,0,1,6.15991,6.29625,24.0277
0,0,0,0,0,3,0,7042.92,3102.08,3940.84,0,0,54.7831,-23.5277,-9.06316,8164.43,7149.59,9497.77,9.06316,0,275.149,648.681,732.24,0,0,2.81566,319.03,-1002.63,620.75,4.50011,0,1,8.1731,8.37381,32.81
0,0,0,0,0,3,0,8651.11,2530.14,6120.97,0,0,59.0892,-16.3541,-487.477,11703.6,15139.2,16201.5,487.477,0,488.943,646.259,749.411,0,0,2.59361,371.702,-1034.25,697.269,3.21871,0,1,7.10363,7.27239,41.8722
0,0,0,0,0,3,0,11971.3,6978.17,4993.17,0,0,43.1051,-14.3268,297.978,15719.7,8839,8600.36,-297.978,0,548.568,630.032,704.407,0,0,14.463,342.438,-1016.57,1187.66,1.86824,0,1,4.60547,4.81443,17.8419
0,0,0,0,0,3,0,121756,54129.3,67626.4,0,0,42.583,-41.3572,85.6272,133625,16340,17608.2,-85.6272,0,4508.13,1036.6,1292.95,0,0,101.586,12913.6,-7571.1,1,0.0999363,0,1,0.896457,0.91842,3.70085
0,0,0,0,0,3,0,54896.3,27157.2,27739.1,0,0,74.6796,-7.93459,122.872,68940.1,11077.3,11752,-122.872,0,2314.38,666.296,785.384,0,0,44.242,746.78,-1250.44,1,0.236423,0,1,1.32614,1.3598,5.38114
0,0,0,0,0,3,0,52628.9,13970,38658.9,0,0,0.912335,64.5475,-317.623,68329.3,9374.64,10199.2,317.623,0,2529.74,669.377,812.373,0,0,61.0739,1159.73,-1466.58,1,0.250111,0,1,1.42755,1.46439,7.14261
1,0,0,0,1,1,0,3603.67,1506.58,2097.08,0,0,14.9446,29.9029,-165.004,2722.4,12420,12602.4,165.004,0,94.241,208.052,239.03,0,0,3.72586,328.681,-892.887,319.497,6.58862,0,1,14.114,14.4491,64.603
1,0,0,0,1,3,0,5347.89,2220.56,3127.33,0,0,68.5511,-58.403,-3.51784,5429.64,14932.3,15454,3.51784,0,184.088,656.425,755.621,0,0,1.33034,398.421,-1042.51,409.434,7.32479,0,1,12.1328,12.421,48.1297
1,0,0,0,1,3,0,21556.7,10825,10731.7,0,0,35.4568,-37.2945,150.496,28586.6,13189,13656.5,-150.496,0,969.486,629.29,717.505,0,0,14.5348,441.569,-1074.36,2865.7,0.78656,0,1,2.65086,2.7218,10.3752
2,0,0,0,2,2,0,2677.05,1655.72,1021.33,0,0,22.7534,104.094,214.508,2686.96,6096.03,9074.08,-214.508,0,91.605,420.406,462.844,0,0,1.05435,198.514,-895.165,224.207,17.3639,0,1,19.9768,20.6206,74.6653
3,0,0,0,3,1,0,32281.8,15128.7,17153.1,0,0,54.719,-25.0462,136.813,32003.1,16327.8,17591.9,-136.813,0,1079.59,353.022,434.505,0,0,28.7154,5122.19,-3412.63,7360.28,0.394888,0,1,2.02876,2.08201,8.17981
3,0,0,0,3,3,0,7216.7,3102.55,4114.14,0,0,64.3845,-27.0815,-126.954,8598.28,7139.99,9501.32,126.954,0,295.303,633.78,714.668,0,0,5.1296,269.131,-976.071,599.58,4.2509,0,1,7.70201,7.90248,34.2883
