image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,2895.74,1487.31,1408.43,0,0,-252.423,-17.13,-2.58627,3367.27,12588.7,13044.2,2.58627,0,133.985,262.438,311.484,0,0,7.18107,501.631,-1002.08,626.294,8.52676,0,1,14.2224,11.6751,44.7189
0,0,0,0,0,1,0,13279.2,6317.67,6961.56,0,0,-28.817,14.52,50.7237,13919.7,13450.7,12815.2,-50.7237,0,479.5,368.424,424.927,0,0,20.3706,1125.29,-1330.48,2433.11,1.02,0,1,4.23879,4.07513,16.1397
0,0,0,0,0,1,0,8771.55,4241,4530.55,0,0,92.1853,-132.367,4.59436,7910.51,17178.6,12172.5,-4.59436,0,280.77,291.374,316.22,0,0,8.54638,1210.09,-1342.57,1438.88,1.63283,0,1,6.09783,5.94378,23.1839
0,0,0,0,0,3,0,24136.6,12535.8,11600.7,0,0,-26.3586,-63.9946,102.086,23716.7,15422,12301.6,-102.086,0,832.823,1007.44,1062.46,0,0,43.7243,1497.09,-1642.36,1,0.648712,0,1,3.82862,3.70949,14.1932
1,0,0,0,1,1,0,8137.59,4205,3932.59,0,0,158,-65.2912,-396.913,6373.47,17112.7,12302.9,396.913,0,244.866,346.847,348.838,0,0,8.77861,822.593,-1175.46,1140.04,1.92176,0,1,8.51241,7.96409,45.9172
1,0,0,0,1,2,0,25285.4,11610.4,13675,0,0,-51.8587,-60.2737,8.98454,28831.2,13177.6,12890,-8.98454,0,1005.96,666.915,787.598,0,0,29.0704,1820.32,-1791,9643.91,0.528432,0,1,2.7733,2.65768,10.701
2,0,0,0,2,1,0,1912.54,820.5,1092.04,0,0,-174.235,-15.6527,-152.029,1350.64,12411.8,13338.8,152.029,0,50.1374,270.587,316.389,0,0,2.57819,316.945,-914.558,365.796,17.4966,0,1,32.5067,29.4785,125.258
2,0,0,0,2,1,0,3343.61,1013.97,2329.64,0,0,-35.2369,-27.2643,-576.777,3703.77,11680.7,13646.5,576.777,0,162.191,260.605,286.042,0,0,3.06412,303.811,-899.401,400.22,6.55873,0,1,15.327,14.208,83.1037
2,0,0,0,2,1,0,8990.53,3965.17,5025.37,0,0,139.446,-131.75,-193.368,7338.95,17032.6,12171.9,193.368,0,266.196,315.489,343.414,0,0,12.6716,1596.53,-1546.38,2278.6,1.62913,0,1,6.72036,6.47081,28.8281
2,0,0,0,2,2,0,8977.95,3589.78,5388.17,0,0,26.1331,115.857,-122.526,8581.37,16751.2,13009.9,122.526,0,294.436,592.895,690.035,0,0,4.3096,790.221,-1237.85,4489.59,2.25512,0,1,7.97181,7.63318,31.7472
2,0,0,0,2,2,0,14082.4,5768.33,8314.02,0,0,49.3303,-67.3748,-150.722,12133.8,16530.6,12206.2,150.722,0,424.221,680.966,752.091,0,0,23.6759,1505.5,-1608.79,2330.05,1.2032,0,1,5.96398,5.70736,24.6086
3,0,0,0,3,1,0,3221.45,1525.5,1695.95,0,0,-264.017,-182.633,-252.64,2944.01,12008.1,13012.3,252.64,0,133.559,241.876,266.306,0,0,5.56358,506.043,-992.385,607.196,6.66326,0,1,14.4888,12.0628,53.498
3,0,0,0,3,2,0,4619.69,1791.78,2827.91,0,0,-185.103,-90.7431,-90.0348,3629.58,11633.1,13611.3,90.0348,0,136.679,510.736,550.498,0,0,5.49489,512.364,-1065.89,656.078,5.90631,0,1,16.1913,14.6755,59.1425
3,0,0,0,3,3,0,18580.6,9820.75,8759.83,0,0,33.5591,-66.4246,88.1664,16598.4,15362.1,12304,-88.1664,0,579.398,1079.56,1132.31,0,0,48.232,1334.6,-1554.68,6500.23,0.987492,0,1,5.4541,5.29435,20.0596
3,0,0,0,3,3,0,24214.6,9270,14944.6,0,0,23.9078,3.80045,-156.099,22894.3,17148.2,12233.8,156.099,0,791.434,990.582,1092.09,0,0,33.3564,1095.64,-1422.02,4450.76,0.647219,0,1,3.94651,3.76781,16.3631
3,0,0,0,3,2,0,27674,13071.9,14602.1,0,0,21.6049,-33.121,19.1741,23067.4,13400.2,13060.2,-19.1741,0,793.797,814.093,949.172,0,0,43.5158,1975.19,-1851.75,10432.7,0.500941,0,1,3.66215,3.51866,13.8566
6,0,0,0,6,3,0,21721.5,10080.3,11641.3,0,0,24.6562,-7.88092,14.3777,20838.7,15371,12344.1,-14.3777,0,714.048,1041.49,1114.4,0,0,22.5694,824.4,-1301.26,4833.32,0.77096,0,1,4.36498,4.21038,16.4221
6,0,0,0,6,3,0,34573.8,18258.3,16315.4,0,0,-76.4264,-96.1488,326.351,35386.7,13399.6,13024.5,-326.351,0,1375.04,1205.74,1338.39,0,0,76.4802,2288.75,-2037.65,1,0.424253,0,1,3.00009,3.00825,12.3972
7,0,0,0,7,1,0,2308.02,1385.92,922.098,0,0,-248.535,-154.446,278.442,1620.93,11499.2,13872.4,-278.442,0,71.295,251.161,264.475,0,0,2.84398,301.822,-891.239,348.23,11.604,0,1,27.1453,23.9206,92.1169
7,0,0,0,7,3,0,23098.7,6880,16218.7,0,0,97.0933,-30.4541,-267.492,27817.7,16482.8,12366.7,267.492,0,993.916,975.87,1112.07,0,0,30.4423,857.838,-1319.68,3015.64,0.693514,0,1,3.36571,3.19701,15.2139
8,0,0,0,8,1,0,5817.71,3688.36,2129.35,0,0,-151.498,-266.482,294.249,6910.36,15152.4,11911.9,-294.249,0,310.281,263.352,281.609,0,0,6.71865,1337.06,-1407.26,1605.38,2.80106,0,1,6.53772,7.34153,25.1569
8,0,0,0,8,3,0,11019,3773.44,7245.59,0,0,-102.041,-1.26058,-220.781,13159.5,12240.9,13225.7,220.781,0,475.117,796.323,900.23,0,0,13.7857,852.694,-1302.25,1144.12,1.91948,0,1,5.99334,5.64207,25.8631
9,0,0,0,9,1,0,6074.4,2412.92,3661.48,0,0,138.743,-59.5506,-224.801,5197.34,17033.3,12297.1,224.801,0,185.342,318.441,347.678,0,0,13.2306,873.661,-1200.91,1583.07,2.89476,0,1,9.45025,9.01126,41.6348
