image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1646.39,859.278,787.114,0,0,-73.4314,100.336,585.314,1193.02,11817.5,4044.64,-585.314,0,54.5596,207.206,228.201,0,0,1.3092,264.275,-856.659,268.153,18.2715,0,1,38.3247,41.0086,218.787
0,0,0,0,0,1,0,1689.71,957.334,732.374,0,0,119.978,-3.0871,521.704,1021.98,5801.42,12832.8,-521.704,0,43.7266,225.031,253.39,0,0,0.321302,284.205,-872.631,272.938,18.6876,0,1,44.136,46.4744,237.086
0,0,0,0,0,1,0,1221.86,668.667,553.189,0,0,24.3191,-108.169,389.004,773.872,8956.47,8891.58,-389.004,0,30.8495,207.838,236.999,0,0,1.5642,220.834,-837.458,218.631,31.1787,0,1,51.2604,52.7023,233.447
0,0,0,0,0,1,0,1776.41,978.611,797.802,0,0,49.5171,-33.1892,194.566,1402.34,9720.79,8619.22,-194.566,0,49.7412,213,236.641,0,0,0.936902,177.505,-818.248,206.972,16.416,0,1,28.4513,27.9491,106.891
0,0,0,0,0,2,0,2525.72,1366.14,1159.58,0,0,-9.54852,93.8836,-216.438,1318.22,5240.12,13229.3,216.438,0,46.1288,458.959,523.204,0,0,3.17801,233.917,-921.539,3076.04,15.8753,0,1,43.0975,41.1923,187.609
0,0,0,0,0,2,0,3105.43,1726.28,1379.15,0,0,6.66173,-60.9106,-17.2586,1861.63,6605.57,10719.4,17.2586,0,64.4036,438.05,488.157,0,0,3.72269,232.291,-915.421,3254.6,10.5633,0,1,29.4555,28.31,108.865
0,0,0,0,0,3,0,3347.96,1306.67,2041.3,0,0,58.7236,26.4475,-447.418,3489.15,5763.99,10632.1,447.418,0,134.917,660.032,728.97,0,0,2.83297,258.105,-968.11,297.658,12.6123,0,1,21.6307,20.3936,125.052
0,0,0,0,0,2,0,2376.91,1302.28,1074.63,0,0,-6.53132,38.4902,-320.459,1260.87,12441.5,3415.66,320.459,0,45.7807,423.951,458.211,0,0,1.86264,206.162,-897.189,229.891,16.2851,0,1,43.6662,41.1428,219.66
0,0,0,0,0,3,0,3462.85,1815.17,1647.68,0,0,40.8248,340.587,531.015,3174.44,9729.49,9133.65,-531.015,0,155.661,618.617,688.843,0,0,2.13941,236.848,-952.461,300.395,11.3221,0,1,21.446,25.6246,117.847
0,0,0,0,0,3,0,6818.43,3478,3340.43,0,0,80.2419,112.623,95.2193,5038.89,3571.29,13506.6,-95.2193,0,173.841,722.676,785.948,0,0,4.20859,295.979,-997.695,409.518,3.90096,0,1,14.4508,14.0121,52.5039
0,0,0,0,0,3,0,21231.5,8387,12844.5,0,0,32.589,-56.1483,-164.508,26339.6,1645.14,14464.9,164.508,0,920.937,773.098,805.62,0,0,50.3142,713.34,-1226.58,12963.2,0.694122,0,1,3.08943,2.94607,13.112
1,0,0,0,1,1,0,1074.68,683.778,390.906,0,0,35.4708,30.8291,486.468,701.781,5984.62,11121.1,-486.468,0,28.9262,221.791,250.396,0,0,0.80413,214.057,-835.438,231.04,41.1116,0,1,62.3605,64.9479,324.788
1,0,0,0,1,2,0,2766.78,1028.53,1738.25,0,0,-34.3217,-2.34979,-500.792,2307.74,10100.7,6910.65,500.792,0,94.3953,407.055,455.931,0,0,1.03914,189.073,-887.877,243.074,12.2533,0,1,26.8307,25.1911,153.982
2,0,0,0,2,1,0,1716.93,918.222,798.711,0,0,43.2912,-36.2106,286.661,1036.36,5187.28,12865.9,-286.661,0,38.1613,230.737,257.605,0,0,1.25264,211.994,-840.778,226.792,18.4551,0,1,40.2636,40.1,163.045
2,0,0,0,2,2,0,2428.08,925.972,1502.11,0,0,39.98,7.60912,-129.313,1887.11,14664.8,1670.12,129.313,0,64.903,415.408,446.24,0,0,2.02812,217.021,-899.708,277.613,15.402,0,1,28.1045,27.0014,113.22
3,0,0,0,3,1,0,1592.41,889.833,702.579,0,0,12.7779,34.6205,323.981,993.189,5513.86,11906.9,-323.981,0,36.9607,220.583,243.502,0,0,1.46949,222.497,-841.284,253.558,20.2578,0,1,41.8316,41.7279,174.611
3,0,0,0,3,1,0,1826.8,672.5,1154.3,0,0,38.8608,-60.0214,-75.3211,1202.69,5783.85,10619.9,75.3211,0,41.6169,212.777,236.281,0,0,0.385668,227.84,-840.925,267.221,15.6407,0,1,31.722,30.5613,120.89
3,0,0,0,3,1,0,2242.46,1294.89,947.572,0,0,-59.7225,-83.3461,353.479,2103.32,9731.34,8570.69,-353.479,0,82.2537,208.884,234.979,0,0,1.30055,205.361,-830.728,220.066,11.0152,0,1,19.4345,19.6191,84.0504
3,0,0,0,3,2,0,2150.93,1091.42,1059.51,0,0,114.94,-37.3968,-218.331,1838.37,10148.8,6945.7,218.331,0,64.9312,403.53,452.087,0,0,1.27491,171.23,-876.293,175.107,18.9842,0,1,28.8368,27.4461,125.419
3,0,0,0,3,3,0,3227.78,1446.33,1781.44,0,0,58.5245,103.473,-179.086,2096.58,9711.79,9469.46,179.086,0,72.447,620.602,684.471,0,0,2.16479,339.584,-1003.73,439.891,12.8183,0,1,31.2168,29.8945,132.003
3,0,0,0,3,2,0,1796.06,1063,733.06,0,0,256.781,-89.6404,-148.013,1137.13,15533.6,1767.37,148.013,0,41.8079,396.47,416.124,0,0,12.7587,164.444,-867.8,2789.01,25.2175,0,1,43.1811,40.6819,175.429
3,0,0,0,3,2,0,3239.02,1824.67,1414.35,0,0,-36.8148,-1.91989,172.871,2406.12,3589.65,13522.5,-172.871,0,84.9539,468.839,519.557,0,0,1.91528,225.195,-918.262,3304.16,10.3006,0,1,24.3857,23.8589,90.2529
3,0,0,0,3,2,0,8392.57,5064.86,3327.71,0,0,13.4072,-27.3247,344.855,10401.3,4131.57,12758.3,-344.855,0,394.311,460.721,509.053,0,0,2.12854,493.492,-1063.1,975.763,2.15156,0,1,6.28038,6.309,26.4243
4,0,0,0,4,1,0,1269.23,499.222,770.01,0,0,74.6686,11.8674,-94.2368,702.195,6932.32,11830.9,94.2368,0,24.0585,211.706,238.131,0,0,1.2599,166.056,-807.696,174.904,29.4111,0,1,54.4298,52.334,208.587
4,0,0,0,4,1,0,1341.61,691,650.61,0,0,-23.237,15.7948,79.7539,727.447,11471.3,4326.57,-79.7539,0,25.1226,205.678,223.571,0,0,0.18497,226.877,-835.655,225.413,25.7678,0,1,52.2854,50.4961,189.661
4,0,0,0,4,1,0,1254.46,770.556,483.908,0,0,-36.8694,-12.689,104.441,674.42,7734.69,9388.24,-104.441,0,23.502,210.07,230.831,0,0,0.438661,209.35,-829.056,197.569,29.5816,0,1,56.9306,55.1893,206.119
4,0,0,0,4,1,0,1260.83,699,561.826,0,0,-17.8103,117.112,608.132,893.648,12255.4,4323.94,-608.132,0,41.1908,204.837,227.543,0,0,0.148404,192.583,-818.681,210.447,28.8799,0,1,52.0478,56.4002,310.985
4,0,0,0,4,2,0,2554.82,1241.67,1313.15,0,0,-8.88527,-79.9931,-265.833,2140.76,6621.12,10738.5,265.833,0,77.7031,420.644,466.086,0,0,3.06625,161.61,-875.884,2909.33,14.3843,0,1,25.0552,23.9918,115.924
