image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,12600.9,7703.67,4897.22,0,0,-11.7662,6.32326,353.321,15258.2,10078.1,10454.8,-353.321,0,579.672,322.435,360.985,0,0,13.0353,1238.66,-1436.07,1931.94,1.04,0,1,3.95419,3.9782,16.6286
0,0,0,0,0,3,0,19245.1,8355.94,10889.1,0,0,7.62284,0.489687,-53.9558,17821.5,7295.44,12533.1,53.9558,0,610.409,976.273,1141.62,0,0,12.7179,664.666,-1217.88,1357.91,0.914349,0,1,4.9896,4.79177,18.8397
0,0,0,0,0,3,0,41049,16818.8,24230.2,0,0,23.2127,-74.6972,-132.444,45774.7,11128.8,8265.97,132.444,0,1600.32,796.181,915.273,0,0,44.9208,3586.02,-2695.54,1,0.294519,0,1,1.98781,1.90081,8.16755
0,0,0,0,0,3,0,61634.2,28323,33311.2,0,0,13.8124,-8.99723,22.3846,61963.5,8078.77,10963.6,-22.3846,0,2125.64,994.593,1169,0,0,39.9836,4363.29,-3219.58,1,0.187492,0,1,1.68792,1.62119,6.54904
1,0,0,0,1,3,0,26110,10099.7,16010.3,0,0,9.21011,26.9418,-144.361,25550.6,10254.5,10927.6,144.361,0,880.505,973.263,1125.16,0,0,11.537,1799,-1831.56,3317.4,0.582436,0,1,3.60543,3.42819,14.6794
2,0,0,0,2,3,0,6546.37,1982.33,4564.04,0,0,56.0596,-5.49842,-472.002,8052.01,13464.5,6420.35,472.002,0,317.789,636.385,700.753,0,0,7.7056,233.881,-956.261,480.824,3.85262,0,1,9.70503,9.17086,55.7402
2,0,0,0,2,3,0,9342.68,4943.67,4399.01,0,0,115.248,25.3934,222.243,8992.88,8766.85,11521.3,-222.243,0,321.39,924.238,1072.57,0,0,3.60044,1088.96,-1446.08,1,2.77842,0,1,9.5211,9.34974,36.7624
2,0,0,0,2,2,0,10139,5449.67,4689.37,0,0,71.6328,-23.4165,90.9731,12516.3,10586.9,9892.42,-90.9731,0,433.601,542.449,612.292,0,0,15.1167,710.515,-1202.51,1401.28,1.76719,0,1,5.41015,5.2351,20.0486
3,0,0,0,3,1,0,6094.02,3029.5,3064.52,0,0,18.2513,-19.6161,53.2059,5024.31,7186.12,12750.6,-53.2059,0,173.035,323.767,366.492,0,0,3.75011,348.839,-948.454,551.798,2.93182,0,1,10.0763,9.71001,37.3613
3,0,0,0,3,1,0,17984.4,8292.17,9692.27,0,0,14.7324,6.30903,33.6927,22306.5,7979.16,10750.9,-33.6927,0,764.414,299.613,352.181,0,0,15.1713,1043.64,-1346.9,3282.74,0.647651,0,1,2.66469,2.55986,10.3975
3,0,0,0,3,3,0,55322.5,23557,31765.5,0,0,55.2234,-17.9692,-29.9104,65366.8,11096.7,8209.24,29.9104,0,2239.98,796.114,912.157,0,0,41.6592,3525.23,-2679.15,1,0.202771,0,1,1.49021,1.43185,5.87345
4,0,0,0,4,3,0,14994,6049.5,8944.47,0,0,0.660198,-40.8086,-151.028,16781.2,7302.4,12574.4,151.028,0,584.791,921.465,1069.7,0,0,9.91804,429.732,-1098.94,1182.2,1.29606,0,1,5.13622,4.88213,20.951
4,0,0,0,4,3,0,19258.5,7145.36,12113.1,0,0,5.62871,43.0893,-160.541,20321.4,10258.1,10911.5,160.541,0,701.633,909.372,1039.68,0,0,11.6375,895.236,-1334.58,2008.49,0.877046,0,1,4.3121,4.09068,17.8103
4,0,0,0,4,3,0,38423.9,14132.9,24291,0,0,8.80418,23.0065,-394.42,44141.5,8083.78,11227.7,394.42,0,1662.04,1000.49,1122.05,0,0,39.4923,2956.21,-2412.39,1,0.343164,0,1,2.42902,2.27926,12.5129
4,0,0,0,4,3,0,13746.6,10332.5,3414.14,0,0,44.9694,-40.1617,631.886,20854.9,9922.72,10303.9,-631.886,0,981.3,840.863,960.293,0,0,10.6531,856.066,-1309.24,1516.66,1.40371,0,1,5.09697,5.56422,29.1063
5,0,0,0,5,1,0,3764.96,2170.67,1594.3,0,0,95.7496,8.71172,116.824,3713.88,10562.8,9860.29,-116.824,0,128.92,262.757,289.058,0,0,5.61629,416.395,-958.175,505.567,5.46155,0,1,12.2704,11.9008,44.6778
5,0,0,0,5,3,0,5627.57,1901.11,3726.46,0,0,-13.8297,-41.0295,-581.677,7141.78,13435.7,6455.88,581.677,0,313.116,634.057,698.603,0,0,6.1642,261.475,-969.46,2245.15,4.94866,0,1,12.3747,11.4475,67.5641
6,0,0,0,6,1,0,1560.95,822.445,738.503,0,0,182.714,-104.433,-235.355,845.771,12745.7,8394.39,235.355,0,30.9303,232.538,262.049,0,0,0.616703,212.386,-842.187,245.479,21.9716,0,1,46.3849,44.362,204.445
6,0,0,0,6,3,0,43379.5,17728.1,25651.4,0,0,29.0095,-34.9821,-87.9048,48952.7,11123,8226.25,87.9048,0,1687.17,771.808,875.049,0,0,54.7619,3059.72,-2436.33,1,0.271795,0,1,1.85784,1.77896,7.41872
7,0,0,0,7,3,0,8781.55,4313.19,4468.36,0,0,-50.9888,-60.4106,138.301,10269.5,7354.05,12495.4,-138.301,0,364.3,906.653,1040.04,0,0,39.1875,275.249,-1014.37,1,3.02979,0,1,8.10456,7.87423,29.9602
7,0,0,0,7,3,0,21480.8,9400.25,12080.5,0,0,75.1991,6.3394,-73.3053,21724.3,7721.31,11441.7,73.3053,0,743.666,933.414,1082.49,0,0,21.8715,903.426,-1347.72,2281.86,0.758506,0,1,4.07205,3.91336,15.5991
8,0,0,0,8,1,0,1971.16,779.25,1191.91,0,0,129.109,-100.661,-601.839,1861.56,12601.9,7601.1,601.839,0,83.5795,221.227,251.348,0,0,1.78921,246.695,-857.732,315.032,14.24,0,1,28.4375,26.7198,153.819
8,0,0,0,8,1,0,3913.89,1868.28,2045.62,0,0,2.7439,-70.8255,-48.8216,4334.75,8188.53,10334.6,48.8216,0,150.451,267.602,303.163,0,0,2.38326,322.9,-915.225,459.589,5.23612,0,1,10.4388,10.0387,39.5034
8,0,0,0,8,3,0,6222.02,2269.25,3952.77,0,0,-11.2293,-55.0423,-430.126,7368.35,13433.1,6469.89,430.126,0,288.414,635.02,703.485,0,0,6.77411,375.688,-1027.71,2389.77,4.19407,0,1,10.0848,9.50479,55.8454
8,0,0,0,8,2,0,8356.61,4355.67,4000.95,0,0,105.445,13.4612,87.6903,8181.71,10553.1,9954.23,-87.6903,0,282.82,559.015,614.953,0,0,13.4775,911.806,-1306.58,1204.45,2.40186,0,1,8.10299,7.82684,29.653
9,0,0,0,9,3,0,6776.83,3022.83,3754,0,0,130.658,0.0437739,-214.111,5070.45,12106.9,8191.23,214.111,0,178.155,795.022,934.542,0,0,13.1708,513.897,-1123.08,2447.27,4.32242,0,1,15.1294,14.5485,64.6674
9,0,0,0,9,3,0,34915,13746.8,21168.2,0,0,20.9165,-5.97445,-186.374,35896.7,11131.1,8295.93,186.374,0,1249.91,785.391,866.479,0,0,31.9402,2207.8,-1983.55,5553.74,0.359371,0,1,2.44238,2.32459,10.4398
10,0,0,0,10,1,0,4300.22,2504.3,1795.92,0,0,47.8,18.1661,237.222,4809.85,7353.95,12515.5,-237.222,0,171.982,297.886,346.024,0,0,2.85099,250.678,-890.579,431.124,4.83664,0,1,10.446,10.3251,40.9716
10,0,0,0,10,1,0,2989.53,1660.67,1328.87,0,0,48.0997,-158.386,267.487,2698.36,10018.3,10224.8,-267.487,0,103.127,271.013,305.562,0,0,2.80301,404.102,-951.697,514.89,8.1253,0,1,16.5242,16.879,65.9652
10,0,0,0,10,2,0,10022.5,3796,6226.5,0,0,48.5392,-8.72648,-450.957,11469.6,10116.5,11062,450.957,0,446.825,587.525,666.007,0,0,5.48721,410.216,-1039.34,944.046,1.87763,0,1,6.70448,6.34921,37.309
11,0,0,0,11,2,0,8403.62,3827.17,4576.45,0,0,-78.5507,-35.9955,-67.3653,9122.6,8269.82,10299.8,67.3653,0,319.306,531.531,613.29,0,0,8.65735,465.598,-1058.87,4509.35,2.34569,0,1,7.05246,6.70881,26.8845
11,0,0,0,11,3,0,9950.95,4471,5479.95,0,0,-51.3,39.3597,-136.76,10750.1,7156.98,12790.3,136.76,0,373.221,930.341,1054.58,0,0,9.23955,532.343,-1149.7,1,2.49437,0,1,7.75931,7.38658,31.4084
11,0,0,0,11,3,0,11806.5,3751.39,8055.14,0,0,63.1376,-18.8362,-464.724,15749.2,7634.68,11664.3,464.724,0,619.722,857.67,988.704,0,0,28.2151,310.43,-1028.13,3733.61,1.8073,0,1,5.97121,5.64396,33.2688
11,0,0,0,11,3,0,7066.25,2198.67,4867.59,0,0,-12.8566,-64.6436,-581.319,8563.6,13434.7,6479.49,581.319,0,377.623,637.51,697.772,0,0,7.66944,342.664,-1011.95,2531.48,3.39475,0,1,10.3445,9.61487,55.8149
12,0,0,0,12,1,0,2236.55,1300.89,935.657,0,0,84.4493,-218.036,391.095,1831.64,10080.6,10185.7,-391.095,0,78.8708,262.071,297.778,0,0,3.05353,368.06,-928.958,426.512,12.9317,0,1,23.4092,25.8452,104.712
12,0,0,0,12,2,0,5152.67,2616,2536.67,0,0,-11.9205,-56.1642,123.586,5468.92,10177,10714.7,-123.586,0,192.071,568.636,630.323,0,0,21.1721,224.318,-939.775,7591.26,5.33962,0,1,11.9345,11.5692,43.5249
12,0,0,0,12,3,0,41856.5,17387.8,24468.8,0,0,11.5336,-67.2252,-104.35,47503.1,11140.4,8258.5,104.35,0,1652.91,829.985,927.118,0,0,51.4125,3860.12,-2856.81,1,0.28946,0,1,1.93759,1.85518,7.81944
13,0,0,0,13,2,0,4419.79,2494.55,1925.24,0,0,81.2663,71.8263,155.874,4438.97,10577.3,9895.86,-155.874,0,154.681,547.927,600.024,0,0,6.94235,398.982,-1024.76,662.054,6.72039,0,1,14.5397,14.1698,53.1231
13,0,0,0,13,3,0,20497.7,9216.44,11281.3,0,0,60.0925,-32.5096,-50.1343,23778.4,8328.56,10296.3,50.1343,0,817.192,810.557,934.872,0,0,21.1008,717.775,-1233.25,2041.02,0.760754,0,1,3.52406,3.38752,13.4794
14,0,0,0,14,1,0,2266.74,1119.28,1147.46,0,0,-24.4626,-10.954,244.775,1509.33,9005.25,11853.8,-244.775,0,54.5679,270.433,320.931,0,0,1.37947,199.541,-854.788,235.848,13.1206,0,1,30.1836,29.7788,119.791
14,0,0,0,14,1,0,4844.54,3426.33,1418.21,0,0,12.8491,-4.38163,610.476,6294.83,10053.5,10366.8,-610.476,0,288.577,273.781,310.255,0,0,2.01148,529.944,-1031.35,694.331,3.80928,0,1,9.40264,10.1657,53.7968
14,0,0,0,14,2,0,8362.21,3445.31,4916.91,0,0,26.7479,24.9397,-286.938,6915.11,9940.94,11127,286.938,0,246.954,576.928,659.795,0,0,2.99323,595.175,-1133.82,913.423,2.47022,0,1,9.79181,9.32571,45.8549
