image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,2,0,4782.24,2186.72,2595.52,0,0,313.37,-135.944,-18.6087,2897.45,17648.2,6846.86,18.6087,0,99.4337,636.053,707.028,0,0,4.16439,474.121,-1070.25,458.125,6.78258,0,1,23.1438,21.9189,90.6322
0,0,0,0,0,3,0,17709.3,10827.4,6881.88,0,0,73.3461,-47.061,375.262,25181.7,8019.23,13468.9,-375.262,0,839.464,838.716,956.904,0,0,11.5803,658.075,-1205.14,1924.44,0.981281,0,1,3.72076,3.81113,14.4709
0,0,0,0,0,3,0,42877.2,23052,19825.2,0,0,21.3724,-4.47449,262.684,54698.9,9452.87,13623.7,-262.684,0,1737.94,985.622,1120.78,0,0,34.1869,1024.06,-1434.06,1,0.303139,0,1,1.98818,1.98026,7.43556
0,0,0,0,0,3,0,133421,45279,88142.1,0,0,80.1908,14.4955,-153.927,171120,15118.1,9459.74,153.927,0,5478.41,1061.81,1315.08,0,0,109.785,3759.91,-2821.47,1,0.0777075,0,1,0.821623,0.805405,3.71358
0,0,0,0,0,3,0,98267.1,34385.9,63881.2,0,0,120.162,31.4492,-102.251,102072,11229.2,12600.9,102.251,0,3201.57,1280.67,1674.09,0,0,109.381,5706.88,-3793.88,1,0.115838,0,1,1.29472,1.26833,5.69493
0,0,0,0,0,3,0,55269.1,19055.9,36213.2,0,0,-19.7866,110.771,-130.014,69919.9,7224.16,15284.9,130.014,0,2243.69,976.253,1208.81,0,0,48.2666,3252.3,-2739.68,1,0.220409,0,1,1.59627,1.56226,7.078
0,0,0,0,0,3,0,291678,123003,168675,0,0,-10.8534,36.5765,8.55012,359379,16294.7,8352.07,-8.55012,0,11135.4,1366.16,1705.98,0,0,304.616,5655.41,-3778.16,1,0.0334591,0,1,0.503468,0.489548,2.18464
0,0,0,0,0,3,0,128450,73052,55397.7,0,0,-3.80402,0.305404,282.094,166397,7602.93,14507.1,-282.094,0,5337.39,1043.79,1167.71,0,0,124.561,5343.45,-3653.11,1,0.0803725,0,1,0.843324,0.840351,3.24166
0,0,0,0,0,3,0,329384,177051,152332,0,0,26.9108,0.754504,283.326,363466,13394.9,11447.3,-283.326,0,11607.5,2251.16,2435.6,0,0,270.158,36494.2,-18281.6,1,0.030585,0,1,0.567071,0.567769,2.18243
1,0,0,0,1,3,0,12198,3191.72,9006.29,0,0,19.8498,54.663,-427.895,12670.5,3631.68,17314.8,427.895,0,477.204,905.196,1045.01,0,0,26.849,622.645,-1183.6,4101.21,1.82603,0,1,7.89068,7.71734,45.6422
