image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,9519.17,6050.94,3468.23,0,0,122.227,134.623,291.846,7744.75,15470.8,7267.13,-291.846,0,261.367,603.371,542.431,0,0,6.09548,863.733,-1244.13,1005.64,2.22269,0,1,8.7133,9.1273,31.7829
0,0,0,0,0,3,0,18070.4,10301.6,7768.79,0,0,-21.6094,26.7858,83.3655,22089.4,16601.5,3526.05,-83.3655,0,717.376,1028.62,1156.01,0,0,22.6641,1919.72,-1841.26,3346.27,1.17352,0,1,4.07478,4.1304,16.5738
0,0,0,0,0,3,0,47769.2,21464.5,26304.7,0,0,52.1373,-29.8865,-60.0549,41232.7,13665.8,8517.23,60.0549,0,1354.04,1513.62,1632.42,0,0,68.6685,5137.76,-3441.95,1,0.332376,0,1,2.64205,2.67212,11.9994
0,0,0,0,0,3,0,101944,50643.7,51300.7,0,0,71.3095,-16.4951,47.624,71686.4,10192.5,17385.9,-47.624,0,2324.46,2933.44,3192.79,0,0,113.214,17807.2,-9641,1,0.150247,0,1,2.12107,2.15319,8.84581
0,0,0,0,0,3,0,82571.4,31159.4,51411.9,0,0,33.3701,-20.3801,-122.503,82137.5,14770.1,5941.78,122.503,0,2725.88,1772.06,2371.15,0,0,92.2217,6029.13,-3882.48,1,0.17328,0,1,1.62633,1.63893,7.40473
0,0,0,0,0,2,0,83612.4,37004.6,46607.7,0,0,82.9066,28.5844,-107.381,69487.9,9884.78,18426.4,107.381,0,2273.64,2020.43,2165.64,0,0,82.5531,8734.87,-5348.68,1,0.17157,0,1,1.8789,1.89143,8.74702
0,0,0,0,0,3,0,72498.6,26084,46414.6,0,0,-29.8272,78.8501,-207.971,62233.4,12859.5,10283.6,207.971,0,2109.16,1623.75,2014.92,0,0,70.6668,15349.5,-8610.06,1,0.197688,0,1,1.99837,2.00495,9.50003
0,0,0,0,0,3,0,29219.3,15119.9,14099.4,0,0,24.0121,100.255,512.436,16991.7,12707,11742.5,-512.436,0,650.556,1258.44,1458.76,0,0,25.6881,10556.6,-6085.69,1,0.63287,0,1,6.37776,7.0015,30.1547
0,0,0,0,0,3,0,41651.3,20384.5,21266.7,0,0,37.2893,-69.5729,100.731,34035.3,12200.3,12405.8,-100.731,0,1122.77,1313.97,1551.54,0,0,54.4123,16856.7,-9858.62,1,0.387604,0,1,3.02759,3.11544,12.2933
0,0,0,0,0,3,0,108827,35397.2,73429.6,0,0,17.5107,53.2767,-232.852,108893,14292.5,6756.33,232.852,0,3699.17,2030.77,2903.74,0,0,121.895,6731.69,-4115.89,1,0.126993,0,1,1.41115,1.40884,6.59198
0,0,0,0,0,3,0,153696,93439.3,60256.8,0,0,-14.8111,-35.6492,304.816,162586,10476,16418.2,-304.816,0,5619.88,2785.74,2658.83,0,0,173.576,29348.7,-13562.6,1,0.0840989,0,1,1.05433,1.11214,3.98299
0,0,0,0,0,3,0,91351.2,47664.2,43687,0,0,-11.5946,9.68834,251.658,99294.4,11657,12820,-251.658,0,3328.96,1498.35,1682.41,0,0,126.05,17841.4,-9201.79,1,0.140799,0,1,1.30542,1.35528,5.09105
0,0,0,0,0,3,0,68011.9,22099.2,45912.6,0,0,-11.3624,202.563,-281.005,61195,11163.3,13416.7,281.005,0,2147.63,1131.68,1505.53,0,0,49.8393,14660,-7805.68,1,0.19429,0,1,1.85982,1.8713,9.00409
1,0,0,0,1,1,0,8441.06,5746.75,2694.31,0,0,322.451,-23.7003,265.298,7325.62,15566.6,7228.07,-265.298,0,269.074,561.17,507.947,0,0,12.0964,878.391,-1245.54,799.153,2.57907,0,1,8.69696,8.52876,30.0932
2,0,0,0,2,1,0,8913.17,5886.78,3026.39,0,0,140.171,48.0276,179.519,6502.3,15452.8,7255.03,-179.519,0,212.404,585.572,533.27,0,0,6.60578,710.641,-1165.96,928.532,2.43037,0,1,9.77547,10.0525,36.8892
2,0,0,0,2,3,0,27785.3,14656.3,13129,0,0,80.1219,64.1074,222.079,33196.7,17091.9,3587.42,-222.079,0,1089.18,1077.16,1179.36,0,0,28.445,2902.78,-2421.02,1,0.624955,0,1,2.95273,3.04639,11.3306
3,0,0,0,3,1,0,6745.06,3753.5,2991.56,0,0,-64.7698,11.0601,42.6372,8194.82,16644.7,3541.78,-42.6372,0,269.533,346.162,387.407,0,0,13.0709,1245.67,-1415.49,1543.39,2.96966,0,1,6.361,6.40242,26.6016
3,0,0,0,3,1,0,12477.3,5731,6746.27,0,0,91.4425,12.4266,222.336,9542.12,16291.1,4329.93,-222.336,0,314.945,421.271,483.188,0,0,17.4689,1611.12,-1626.76,2285.87,1.32313,0,1,6.24443,6.45437,23.9452
