image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,2186.65,1352.55,834.095,0,0,34.8369,-104.892,1.887,1235.97,13979.1,9381.75,-1.887,0,40.607,272.169,303.45,0,0,2.26099,317.369,-909.088,366.045,13.468,0,1,34.2366,34.9389,132.279
0,0,0,0,0,2,0,8797.01,4271.25,4525.76,0,0,162.574,1.92172,99.0532,8368.57,12667.1,9373.63,-99.0532,0,266.394,525.545,607.657,0,0,17.3515,940.191,-1314.34,1635.81,2.13864,0,1,7.75651,7.80583,28.608
0,0,0,0,0,3,0,62528.1,40884.2,21643.8,0,0,21.4883,4.66504,376.185,91765,11623.9,9370.88,-376.185,0,3187.72,862.144,935.247,0,0,78.1238,2064.37,-1921.96,1,0.174603,0,1,1.25011,1.30249,5.1042
0,0,0,0,0,3,0,44760.4,19307.3,25453.1,0,0,50.0424,25.9987,-11.5835,45097.9,10707.2,9645.62,11.5835,0,1437.11,829.515,970.656,0,0,35.8754,2208.37,-1986.3,6116.96,0.264023,0,1,2.0478,2.04802,8.26695
1,0,0,0,1,1,0,2469.45,1037.11,1432.34,0,0,-175.725,-227.118,298.959,1778.16,13992.3,9405.29,-298.959,0,74.2947,259.505,293.413,0,0,3.85105,336.461,-913.258,430.877,10.6637,0,1,23.0775,24.3418,82.5888
2,0,0,0,2,2,0,5250.48,2303,2947.49,0,0,-75.0223,-96.4328,152.094,5392.43,13792.9,8978.53,-152.094,0,182.871,515.13,565.73,0,0,7.10474,574.616,-1110.12,592.792,4.74637,0,1,11.2406,11.2932,40.4905
2,0,0,0,2,3,0,35859.6,12582.9,23276.7,0,0,176.354,-34.7274,-257.209,47173.8,12258.6,9311.59,257.209,0,1614.2,859.339,987.166,0,0,64.1907,4578.73,-3403.76,1,0.354443,0,1,2.0342,2.03437,9.79693
3,0,0,0,3,1,0,12402.5,5027,7375.51,0,0,-3.99984,30.4267,-39.2634,13704.9,10662.5,9641.19,39.2634,0,442.355,250.85,290.238,0,0,12.7821,956.631,-1240.35,2133.65,0.974662,0,1,3.69161,3.66368,15.122
3,0,0,0,3,3,0,45535.4,24659.6,20875.9,0,0,4.0537,-48.4983,261.938,52415.3,11641.4,9424.05,-261.938,0,1751.05,1022.91,1123.52,0,0,83.3053,3795.12,-2762.95,1,0.271682,0,1,1.98269,2.02296,7.6166
3,0,0,0,3,3,0,26255.1,13312.8,12942.3,0,0,-24.3942,-24.9956,-145.197,24987.6,15321.3,7722.82,145.197,0,834.653,960.381,1018.58,0,0,28.6963,2670.68,-2287.21,8471.5,0.556375,0,1,3.4731,3.47161,15.851
