image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,2198.98,917.805,1281.18,0,0,335.865,368.78,-39.6369,1913.53,5881.6,6934.28,39.6369,0,81.5513,272.193,308.915,0,0,1.96477,348.809,-927.841,407.425,14.9664,0,1,20.539,21.3705,73.3033
0,0,0,0,0,1,0,2976.52,1330.56,1645.97,0,0,170.319,144.709,-150.277,1688.32,3185.14,7553.11,150.277,0,58.5841,312.243,356.749,0,0,1.50956,399.519,-964.68,406.331,9.86272,0,1,27.4159,26.3453,114.101
0,0,0,0,0,1,0,2823.97,1210.22,1613.75,0,0,353.106,99.8199,-9.25713,1651.09,5864.36,5722.89,9.25713,0,62.2429,338.723,375.703,0,0,3.51136,289.62,-916.02,303.292,11.3006,0,1,29.3463,25.9961,100.005
0,0,0,0,0,1,0,3142.77,1351,1791.77,0,0,52.4424,78.5638,-495.908,2980.76,8829.66,3375.59,495.908,0,119.432,328.853,393.694,0,0,1.60366,338.998,-946.493,425.132,9.47625,0,1,19.2919,18.3091,110.235
0,0,0,0,0,2,0,7130.98,3973.22,3157.76,0,0,86.5871,329.014,-75.6377,4968.05,801.623,8750.47,75.6377,0,185.597,525.964,629.739,0,0,5.2991,1586.82,-1501.92,1338.51,3.32328,0,1,11.6696,12.2945,46.0414
0,0,0,0,0,2,0,5609.74,2683.89,2925.85,0,0,162.767,219.434,77.5778,4554.63,7238.98,6195.42,-77.5778,0,159.805,549.37,626.32,0,0,2.04857,514.42,-1077.54,583.126,4.99036,0,1,13.6052,13.3915,49.9779
0,0,0,0,0,3,0,23506.7,14316.9,9189.76,0,0,-22.7336,38.5012,416.572,36525.4,1207.01,7758.01,-416.572,0,1435.62,912.969,1099.79,0,0,14.464,1080.06,-1429.74,1,0.716448,0,1,2.78696,2.87059,12.2295
0,0,0,0,0,3,0,11146.9,3743,7403.93,0,0,257.414,314.95,202.938,8525.95,9512.9,1560.16,-202.938,0,338.617,1126.65,1353.71,0,0,11.5875,1032.77,-1402.62,889.582,2.61197,0,1,9.97338,10.3847,36.6685
1,0,0,0,1,1,0,2259.49,1327.22,932.266,0,0,125.299,214.431,-96.2113,1324.04,6388.24,5016.14,96.2113,0,46.0805,339.944,390.949,0,0,1.41486,309.713,-929.416,318.532,16.9148,0,1,35.7602,34.9265,143.75
1,0,0,0,1,1,0,2374.62,1034.22,1340.4,0,0,118.023,280.021,75.4585,2076.27,5606,7516.49,-75.4585,0,74.6898,264.134,300.424,0,0,1.33891,291.332,-896.576,389.49,12.8554,0,1,20.1948,20.4443,74.0946
