image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,1016.21,656.523,359.683,0,0,38.5441,18.2723,201.24,1118.79,9139.63,9455.97,-201.24,0,39.1693,90.0031,113.093,0,0,50.8618,-677.69,0,1,0,0,0
0,0,0,0,1,0,1470.15,1014.05,456.104,0,0,77.139,-4.12882,339.989,1851.46,10285.3,12439.1,-339.989,0,70.4777,79.8757,81.6103,0,0,109.057,-689.06,0,1,0,0,0
0,0,0,0,1,0,3158.04,2042.52,1115.52,0,0,95.1881,69.1373,259.774,3715.14,9181.67,6641.78,-259.774,0,132.555,79.3876,98.11,0,0,125.354,-713.681,0,1,0,0,0
0,0,0,0,1,0,3369.54,1582.48,1787.06,0,0,-16.4876,58.3921,54.8576,2821.61,4950.99,16126.8,-54.8576,0,93.9649,107.927,116.182,0,0,246.922,-794.053,0,1,0,0,0
0,0,0,0,1,0,1948.39,1585.96,362.426,0,0,125.603,62.2329,768.99,3051.99,9447.33,14445.2,-768.99,0,167.729,69.5218,77.8965,0,0,35.7436,-651.889,0,1,0,0,0
0,0,0,0,1,0,4768.67,2995.33,1773.34,0,0,33.3345,32.3945,247.298,6199.54,8651.39,5198.18,-247.298,0,221.469,100.895,108.297,0,0,91.1574,-719.854,0,1,0,0,0
0,0,0,0,1,0,4102.67,2832.65,1270.02,0,0,59.4367,37.6031,318.982,5592.17,8230.52,4107.38,-318.982,0,207.558,96.9904,111.477,0,0,123.646,-733.282,0,1,0,0,0
0,0,0,0,2,0,5763.59,2423.84,3339.75,0,0,77.606,-4.44499,45.9291,5842.85,9396.63,12636.8,-45.9291,0,195.015,175.288,202.723,0,0,237.561,-842.148,0,1,0,0,0
1,0,0,1,1,0,1483.76,687.285,796.478,0,0,155.815,50.2789,33.4554,1693.87,9811.88,9522.65,-33.4554,0,56.4548,73.1007,90.3209,0,0,63.5197,-666.097,0,1,0,0,0
1,0,0,1,2,0,3089.75,2181.83,907.926,0,0,-6.15003,-95.6528,395.469,3312.52,6322.31,2365.52,-395.469,0,137.405,182.597,172.688,0,0,171.42,-797.612,0,1,0,0,0
1,0,0,1,2,0,3637.19,2245.37,1391.82,0,0,134.604,68.4484,201.086,3549.37,6576.32,15425.9,-201.086,0,123.64,163.305,197.802,0,0,184.018,-802.625,0,1,0,0,0
1,0,0,1,2,0,6736.74,3014.54,3722.21,0,0,78.721,22.4038,34.705,7254.69,2980.67,15866.7,-34.705,0,240.157,182.47,224.245,0,0,378.861,-933.827,0,1,0,0,0
2,0,0,2,1,0,2602.57,1681.2,921.373,0,0,73.2395,-29.0538,285.463,2958.13,2492.7,2792.37,-285.463,0,110.017,89.2295,104.661,0,0,135.506,-723.413,0,1,0,0,0
2,0,0,2,1,0,1109.3,458.952,650.346,0,0,352.654,-158.617,-457.627,909.78,9713.73,10619.8,457.627,0,39.835,80.1717,90.6953,0,0,90.3336,-679.59,0,1,0,0,0
2,0,0,2,2,0,7592.38,4153.4,3438.97,0,0,132.558,30.699,191.055,9674.7,8354.78,7568.43,-191.055,0,337.944,193.42,245.725,0,0,222.617,-857.951,0,1,0,0,0
3,0,0,3,1,0,1270.71,900.153,370.557,0,0,40.2208,-88.1641,350.124,1423.48,6374.63,2555.41,-350.124,0,56.6782,91.3936,85.9879,0,0,56.6101,-669.299,0,1,0,0,0
3,0,0,3,1,0,1502.49,954.991,547.502,0,0,81.1995,9.06088,418.561,1624.73,4853.3,15189.2,-418.561,0,64.8795,88.5006,103.459,0,0,93.5705,-696.458,0,1,0,0,0
3,0,0,3,1,0,1164.36,475.169,689.193,0,0,54.928,-66.3436,-154.023,1326.4,9814.07,10034,154.023,0,44.8651,80.2652,90.9078,0,0,49.2302,-662.009,0,1,0,0,0
3,0,0,3,1,0,1441.27,993.005,448.269,0,0,27.0436,65.4855,403.484,1741.98,8065.54,13257.7,-403.484,0,68.0418,87.8173,107.672,0,0,46.5001,-674.697,0,1,0,0,0
