image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,982.679,440.158,542.521,0,0,-242.232,205.545,28.7109,1065.71,11789,1669.57,-28.7109,0,42.8946,41.8031,55.4501,0,0,265.895,-710.812,0,1,0,0,0
0,0,0,0,1,0,929.24,492.277,436.963,0,0,159.205,-137.942,-116.64,768.322,9512.42,2309.12,116.64,0,28.0981,51.4726,57.2996,0,0,222.481,-698.707,0,1,0,0,0
0,0,0,0,1,0,886.007,594.743,291.264,0,0,-63.2308,20.059,744.792,942.102,5096.42,12020.1,-744.792,0,54.4868,48.7896,60.1712,0,0,154.849,-669.98,0,1,0,0,0
0,0,0,0,1,0,1069.26,676.14,393.117,0,0,144.039,-88.2477,678.79,1189.05,10613.2,5220.13,-678.79,0,65.3769,58.0837,62.4436,0,0,255.753,-729.312,0,1,0,0,0
0,0,0,0,1,0,977.497,451.341,526.156,0,0,81.5211,43.8596,108.45,749.397,10280.9,3903.74,-108.45,0,26.4237,56.0904,71.4093,0,0,348.972,-781.928,0,1,0,0,0
0,0,0,0,1,0,1879.75,900.217,979.538,0,0,-41.7747,69.5456,40.0202,1907.29,11193.7,14734,-40.0202,0,66.1408,62.8584,72.1965,0,0,305.663,-768.688,0,1,0,0,0
0,0,0,0,1,0,1200.66,551.468,649.194,0,0,25.946,21.8985,-59.1172,1153.3,12803.8,10834,59.1172,0,39.2808,65.1285,73.7057,0,0,249.413,-741.298,0,1,0,0,0
0,0,0,0,1,0,1329.22,774.665,554.55,0,0,22.8266,-21.9622,225.049,1587.88,1358.83,13641.2,-225.049,0,59.6562,47.6147,59.2385,0,0,206.603,-699.282,0,1,0,0,0
0,0,0,0,1,0,2507.25,1378.88,1128.37,0,0,-11.1906,-25.7651,298.769,3224.95,10768.4,13941.1,-298.769,0,126.703,56.2235,70.9704,0,0,362.041,-795.453,0,1,0,0,0
0,0,0,0,2,0,2281.75,1489.4,792.35,0,0,-72.4024,-17.9238,741.15,3013.72,11816.5,11169.9,-741.15,0,174.863,114.227,146.568,0,0,280.092,-824.499,0,1,0,0,0
0,0,0,0,2,0,2482.62,1196.48,1286.13,0,0,-68.6262,0.94885,-11.9105,2646.97,10727.1,17171.1,11.9105,0,92.4913,114.679,127.755,0,0,357.072,-857.146,0,1,0,0,0
0,0,0,0,2,0,2506.03,393.004,2113.02,0,0,57.5027,-55.1911,-835.476,5583.35,10107.6,3410.65,835.476,0,291.184,105.958,110.49,0,0,243.227,-798.561,0,1,0,0,0
0,0,0,0,2,0,2560.16,752.585,1807.57,0,0,29.1717,7.06003,-155.029,3209.12,11320.2,16770.2,155.029,0,109.511,109.503,141.198,0,0,285.211,-819.329,0,1,0,0,0
