image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
1,0,0,1,1,0,3552.17,1923.23,1628.94,0,0,-22.6547,-13.7531,246.601,3510.61,9299.52,18172.7,-246.601,0,131.234,109.097,125.931,0,0,294.179,-824.069,0,1,0,0,0
1,0,0,1,1,0,2082.35,876.892,1205.46,0,0,-16.0567,-37.9515,-60.9547,2080.69,17681.6,10005.6,60.9547,0,72.9337,98.8878,112.849,0,0,94.4124,-710.289,0,1,0,0,0
4,0,0,4,2,0,4133.03,831.566,3301.47,0,0,-24.9282,0.2273,-570.877,5295.79,17591.7,10066.2,570.877,0,235.688,209.584,248.993,0,0,196.021,-837.953,0,1,0,0,0
5,0,0,5,1,0,1544.64,749.05,795.591,0,0,126.394,-30.1558,148.072,1294.63,12703.3,9603.09,-148.072,0,46.9298,91.955,102.354,0,0,80.3683,-689.765,0,1,0,0,0
8,0,0,8,1,0,1258.63,550.134,708.5,0,0,-56.8773,147.393,-287.065,1084.93,9235.05,15544.3,287.065,0,40.4453,98.8772,109.519,0,0,136.407,-723.792,0,1,0,0,0
9,0,0,9,1,0,1596.44,755.383,841.054,0,0,-25.4345,-56.2812,-206.682,1230.95,16210.6,9530.52,206.682,0,44.5802,72.5098,84.7064,0,0,237.508,-760.663,0,1,0,0,0
9,0,0,9,1,0,1676.84,898.624,778.214,0,0,8.21812,31.6763,113.354,1622.02,13808.4,9343.87,-113.354,0,57.3744,82.1648,94.8615,0,0,81.3061,-683.293,0,1,0,0,0
9,0,0,9,1,0,2185.09,1345.47,839.618,0,0,-12.3777,-32.7144,307.543,2261.16,15605.4,9309.57,-307.543,0,87.0259,69.2013,80.6739,0,0,126.01,-692.046,0,1,0,0,0
9,0,0,9,2,0,3797.85,2304.58,1493.27,0,0,68.3402,81.7192,232.663,3568.59,10392.8,14919.2,-232.663,0,131.359,192.462,208.201,0,0,138.603,-794.674,0,1,0,0,0
10,0,0,10,1,0,1921.69,1105.7,815.984,0,0,270.331,-111.092,112.612,1597.32,14237.1,9190.57,-112.612,0,62.4599,85.4494,88.3913,0,0,121.696,-701.941,0,1,0,0,0
11,0,0,11,1,0,1777.08,1052.48,724.605,0,0,53.9639,23.9358,258.307,1583.76,10407.2,13397.9,-258.307,0,58.8614,89.66,107.715,0,0,59.2039,-680.085,0,1,0,0,0
11,0,0,11,1,0,1541.82,1040.41,501.41,0,0,-17.6431,-59.4849,418.091,1501.37,11761.8,9829.8,-418.091,0,61.783,85.3627,98.9141,0,0,85.8929,-688.269,0,1,0,0,0
11,0,0,11,1,0,1355.67,719.525,636.143,0,0,-25.7098,-6.83268,59.2881,1429.17,12559.3,9579.76,-59.2881,0,50.3689,86.6971,96.9107,0,0,72.0804,-680.004,0,1,0,0,0
