image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,1170.4,571.525,598.879,0,0,34.3231,-252.646,271.392,1026.33,8354.33,6174.05,-271.392,0,46.9773,58.8023,80.7656,0,0,122.131,-675.877,0,1,0,0,0
0,0,0,0,1,0,1379.07,355.465,1023.6,0,0,126.243,1.97015,-777.71,2676.2,3130.53,688.86,777.71,0,153.563,79.8595,97.7117,0,0,61.1878,-677.19,0,1,0,0,0
0,0,0,0,1,0,3883.5,2165.44,1718.06,0,0,32.7996,24.6192,242.868,4268.83,8651.92,6784.99,-242.868,0,159.212,77.7626,88.9092,0,0,119.254,-707.829,0,1,0,0,0
0,0,0,0,1,0,3190.26,647.589,2542.67,0,0,44.7305,55.2821,-354.701,3361.05,5679.29,3102.8,354.701,0,128.225,70.1796,90.8239,0,0,119.829,-702.509,0,1,0,0,0
0,0,0,0,1,0,3136.52,650.644,2485.88,0,0,76.973,68.3902,-216.081,3576.59,1995.52,819.82,216.081,0,128.075,95.2998,122.569,0,0,197.287,-772.45,0,1,0,0,0
1,0,0,1,1,0,1211.42,646.588,564.827,0,0,177.376,-1.12052,143.081,1405.63,8309.96,17469.3,-143.081,0,51.6829,58.6364,58.2345,0,0,66.5257,-637.814,0,1,0,0,0
1,0,0,1,2,0,4052.11,1280.88,2771.23,0,0,88.1866,10.0147,-227.802,4661,9188.67,11931.5,227.802,0,168.403,162.239,194.131,0,0,112.668,-770.774,0,1,0,0,0
1,0,0,1,2,0,5713.43,3673.87,2039.57,0,0,33.1772,-4.71449,284.456,6847.34,7171.19,4149.69,-284.456,0,262.093,117.946,129.911,0,0,289.244,-830.626,0,1,0,0,0
2,0,0,2,1,0,2282.61,529.643,1752.97,0,0,160.736,21.8346,-304.668,2691.24,9708.26,10340.6,304.668,0,100.159,69.9165,79.7034,0,0,142.578,-705.374,0,1,0,0,0
2,0,0,2,1,0,2242.22,1340.38,901.843,0,0,131.144,50.5095,263.111,2552.55,8652.27,16430.7,-263.111,0,96.3022,66.3994,60.7152,0,0,150.689,-695,0,1,0,0,0
2,0,0,2,1,0,4882.33,3393.1,1489.23,0,0,59.9882,27.6178,430.725,4891.51,8624.73,6880.68,-430.725,0,202.377,98.4042,96.9451,0,0,343.152,-840.129,0,1,0,0,0
2,0,0,2,2,0,2863.5,2056.87,806.639,0,0,155.101,78.779,800.969,4263.02,5174.16,2980.61,-800.969,0,243.429,130.154,173.618,0,0,52.2306,-726.056,0,1,0,0,0
3,0,0,3,1,0,2925.87,995.285,1930.58,0,0,70.8948,-25.6517,-481.697,2516.76,9304.65,7822.16,481.697,0,105.205,74.439,89.5424,0,0,424.852,-855.466,0,1,0,0,0
3,0,0,3,2,0,3922.98,734.784,3188.2,0,0,58.7834,-64.1988,-437.312,5709.64,6652.14,4702.63,437.312,0,234.075,136.201,161.817,0,0,173.076,-800.43,0,1,0,0,0
3,0,0,3,2,0,3184.85,1802.34,1382.52,0,0,124.502,-4.88344,105.669,3262.07,7869.39,5432.83,-105.669,0,117.472,119.857,139.226,0,0,362.765,-862.721,0,1,0,0,0
3,0,0,3,2,0,3771.64,2300.78,1470.85,0,0,3.26498,98.4151,301.472,3114.19,8878.84,15297.2,-301.472,0,119.13,160.092,159.675,0,0,230.658,-818.859,0,1,0,0,0
4,0,0,4,1,0,994.403,716.26,278.143,0,0,85.9572,-48.29,834.046,1266.17,8894.83,8436.94,-834.046,0,75.8963,74.533,89.1648,0,0,34.2144,-650.544,0,1,0,0,0
