image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,1498.86,1081.47,417.388,0,0,11.3288,-92.0105,384.177,2072.47,5120.55,6901.62,-384.177,0,88.3159,71.6414,84.5178,0,0,195.192,-731.849,0,1,0,0,0
0,0,0,0,1,0,2364.73,1395.76,968.972,0,0,-18.6841,-63.6539,230.087,3474.57,16993.4,15360.6,-230.087,0,133.031,56.0772,65.4146,0,0,336.954,-790.508,0,1,0,0,0
0,0,0,0,1,0,2141.53,785.452,1356.08,0,0,-17.7307,48.5719,-410.11,2138.49,16104.2,13472,410.11,0,78.6989,71.8921,76.3849,0,0,344.466,-801.655,0,1,0,0,0
0,0,0,0,1,0,3166.6,1161.04,2005.56,0,0,-104.411,-57.7445,-150.977,4403.68,4446.77,8051.63,150.977,0,157.652,86.0789,92.4216,0,0,592.536,-953.855,0,1,0,0,0
0,0,0,0,1,0,2023.72,384.017,1639.7,0,0,39.7335,-35.5809,-745.899,3197.17,10816.2,10299.3,745.899,0,151.456,68.7089,94.4533,0,0,338.063,-809.388,0,1,0,0,0
0,0,0,0,1,0,2607.54,1349.44,1258.11,0,0,53.3273,-58.2183,108.793,3450.1,5078.55,2525.47,-108.793,0,124.454,70.2591,79.2461,0,0,301.785,-798.395,0,1,0,0,0
0,0,0,0,1,0,3816.86,1132.44,2684.41,0,0,-10.5705,-15.0226,-331.686,4815.9,5142.45,7811.53,331.686,0,172.713,88.3702,127.063,0,0,420.752,-868.348,0,1,0,0,0
0,0,0,0,1,0,3828.72,1616.2,2212.52,0,0,-58.6738,20.6387,-36.5703,4462.74,4795.79,3532.2,36.5703,0,154.407,83.3745,90.8913,0,0,650.319,-985.276,0,1,0,0,0
0,0,0,0,1,0,5825.46,4067.48,1757.98,0,0,-4.3901,59.9847,940.802,9388.63,4544.13,9019.5,-940.802,0,662.346,87.1754,105.248,0,0,1107.1,-1224.95,0,1,0,0,0
0,0,0,0,2,0,7868.57,2690.81,5177.76,0,0,72.6597,-37.1184,-270.886,11570.2,6934.33,8425.77,270.886,0,406.834,186.663,230.805,0,0,479.058,-985.831,0,1,0,0,0
