image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,2414.79,1334.69,1080.1,0,0,55.3882,50.1749,179.248,1732.51,13958.6,5871.23,-179.248,0,62.4421,113.652,124.486,0,0,224.908,-783.4,0,1,0,0,0
0,0,0,0,1,0,996.472,519.034,477.438,0,0,-133.108,182.167,-163.766,721.648,5166.3,903.424,163.766,0,27.1838,62.973,74.3294,0,0,84.003,-654.772,0,1,0,0,0
0,0,0,0,1,0,1726.3,606.098,1120.21,0,0,33.2313,31.602,-107.097,1782.03,17928.3,3225.17,107.097,0,61.7159,79.769,110.905,0,0,44.2166,-670.309,0,1,0,0,0
0,0,0,0,1,0,4316.8,2233.12,2083.68,0,0,27.2338,17.2658,194.468,5441.45,10730,6002.82,-194.468,0,197.438,76.5481,95.8903,0,0,294.218,-807.233,0,1,0,0,0
0,0,0,0,1,0,3426,744.922,2681.08,0,0,41.023,63.4074,-376.417,4525.89,7360.73,4871.09,376.417,0,171.606,65.0978,78.1593,0,0,219.866,-749.074,0,1,0,0,0
0,0,0,0,2,0,7939.25,4801.49,3137.75,0,0,5.68272,-30.5587,935.701,12442.4,6211.79,3879.47,-935.701,0,834.659,114.282,171.261,0,0,484.822,-954.23,0,1,0,0,0
1,0,0,1,1,0,1343.11,403.511,939.598,0,0,-27.1506,-44.0369,-444.475,1375.22,10389.6,8728.76,444.475,0,56.0585,63.2064,77.5531,0,0,72.6393,-655.884,0,1,0,0,0
1,0,0,1,1,0,1154.2,456.468,697.734,0,0,69.1971,17.277,-83.7683,1315.99,10095.9,10246.5,83.7683,0,45.4851,61.0434,75.0681,0,0,31.8342,-631.391,0,1,0,0,0
1,0,0,1,1,0,3585.45,936.361,2649.09,0,0,60.8129,3.91923,-267.48,4112.43,11189.8,5917.48,267.48,0,148.18,81.7914,105.86,0,0,121.133,-721.653,0,1,0,0,0
1,0,0,1,1,0,3316.42,1062.88,2253.54,0,0,43.9202,-12.7722,-164.101,4347.59,8048.66,9487.01,164.101,0,152.697,60.3848,70.8915,0,0,120.634,-690.699,0,1,0,0,0
1,0,0,1,1,0,1610.09,384.022,1226.06,0,0,-28.7992,-23.0953,-834.513,2566.94,10983.4,8707.82,834.513,0,154.335,68.1721,75.8826,0,0,105.486,-682.76,0,1,0,0,0
2,0,0,2,1,0,1130.71,516.586,614.124,0,0,66.6422,-45.2222,-47.8663,983.968,16710.7,3400.68,47.8663,0,34.306,83.1714,100.06,0,0,51.0855,-667.309,0,1,0,0,0
2,0,0,2,1,0,2830.16,1396.45,1433.71,0,0,9.53048,26.674,49.3526,3223.64,1964.27,16553.2,-49.3526,0,112.383,75.1358,89.5486,0,0,185.29,-737.371,0,1,0,0,0
2,0,0,2,1,0,2550.14,1090.39,1459.76,0,0,81.2572,83.5669,8.9618,3025.57,15807.8,5245.69,-8.9618,0,104.856,80.8728,100.296,0,0,101.147,-702.007,0,1,0,0,0
2,0,0,2,1,0,2859.85,829.378,2030.47,0,0,85.1656,-56.1519,-360.048,3772.2,9685.14,5188.03,360.048,0,144.014,74.6283,85.555,0,0,146.793,-722.046,0,1,0,0,0
2,0,0,2,2,0,2810.84,1678.89,1131.95,0,0,3.67732,123.171,279.761,2999.74,5522.96,2837.53,-279.761,0,113.113,135.153,163.128,0,0,116.695,-753.009,0,1,0,0,0
2,0,0,2,2,0,3570.34,1825.01,1745.33,0,0,31.818,-58.3436,221.302,4596.45,6777.79,2920.35,-221.302,0,170.828,136.344,172.816,0,0,127.637,-767.324,0,1,0,0,0
3,0,0,3,1,0,2415.55,680.111,1735.44,0,0,6.16502,58.2848,-625.953,3043.85,1770.26,17113.8,625.953,0,140.199,63.1073,76.0698,0,0,195.219,-727.505,0,1,0,0,0
3,0,0,3,1,0,3435.96,1136.34,2299.62,0,0,67.9257,-31.3343,-187.357,3619.42,8222.03,9406.88,187.357,0,128.175,68.1711,84.5278,0,0,339.08,-817.608,0,1,0,0,0
3,0,0,3,1,0,3666.67,1191.32,2475.35,0,0,81.3898,7.89244,-260.296,3627.93,6234.77,10551.9,260.296,0,130.322,99.5098,112.323,0,0,217.628,-777.241,0,1,0,0,0
3,0,0,3,1,0,1432.84,385.325,1047.52,0,0,41.1441,-72.2375,-727.549,1929.27,8446.2,10928.1,727.549,0,101.914,66.2503,74.7679,0,0,42.9409,-643.689,0,1,0,0,0
3,0,0,3,1,0,1961.01,561.959,1399.05,0,0,223.215,33.2093,-778.446,2148.87,17146.2,4013.08,778.446,0,117.644,90.2197,106.962,0,0,95.4509,-702.664,0,1,0,0,0
