image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,1895.11,755.061,1140.05,0,0,-14.5222,-29.2476,-7.61687,1741.88,18568.2,3187.33,7.61687,0,59.9602,67.3187,76.7262,0,0,365.271,-796.029,0,1,0,0,0
0,0,0,0,1,0,1461.31,405.22,1056.09,0,0,47.589,-17.1827,-315.261,1165.59,1827.52,18274.8,315.261,0,42.5107,91.1222,127.639,0,0,329.924,-819.987,0,1,0,0,0
0,0,0,0,1,0,1611.58,341.063,1270.52,0,0,70.5695,13.2208,-602.945,2218.69,11476.2,5217.35,602.945,0,98.7913,62.5455,77.9903,0,0,190.453,-715.917,0,1,0,0,0
0,0,0,0,1,0,3048.28,2126.68,921.594,0,0,-8.34407,74.5104,467.319,3355.79,17772.5,13544.7,-467.319,0,134.691,102.53,118.435,0,0,372.616,-849.702,0,1,0,0,0
0,0,0,0,1,0,2414.35,979.2,1435.15,0,0,68.1439,65.9389,-226.196,3109.79,6050.64,12467.7,226.196,0,107.189,68.9167,76.5158,0,0,347.801,-805.584,0,1,0,0,0
0,0,0,0,2,0,2744.87,492.414,2252.45,0,0,53.1507,-33.8268,-372.569,3467.68,2611.48,17403.3,372.569,0,131.213,129.679,169.041,0,0,308.72,-849.593,0,1,0,0,0
0,0,0,0,2,0,1929.06,871.705,1057.36,0,0,-210.728,-282.818,-0.400633,1690.28,4355.71,8967.54,0.400633,0,85.0979,119.877,130.584,0,0,531.552,-927.684,0,1,0,0,0
0,0,0,0,2,0,2188.99,1260.51,928.486,0,0,111.165,30.8977,427.698,2239.63,6106.31,14377.8,-427.698,0,87.3706,158.933,153.232,0,0,295.869,-841.935,0,1,0,0,0
0,0,0,0,2,0,6171.1,2206.92,3964.18,0,0,98.5462,8.1777,-123.203,6991.34,10362.6,10946.4,123.203,0,237.502,140.135,174.789,0,0,333.426,-869.67,0,1,0,0,0
1,0,0,1,1,0,837.366,569.465,267.901,0,0,184.18,-103.604,189.114,761.948,3763.42,7998.8,-189.114,0,28.1553,49.975,53.4743,0,0,194.577,-683.029,0,1,0,0,0
1,0,0,1,1,0,1372.32,886.365,485.953,0,0,-9.17814,19.1213,441.754,1297.13,16293,13600.1,-441.754,0,51.5058,72.2199,95.5876,0,0,271.169,-771.273,0,1,0,0,0
1,0,0,1,1,0,1294.2,757.799,536.397,0,0,150.595,-130.684,465.785,1315.32,3895.7,17105.4,-465.785,0,56.67,61.5664,72.9606,0,0,219.66,-723.509,0,1,0,0,0
1,0,0,1,1,0,2487.7,980.042,1507.66,0,0,-161.869,213.764,-14.2393,2014.81,11116.5,4523.36,14.2393,0,74.003,67.5548,80.71,0,0,636.261,-933.726,0,1,0,0,0
1,0,0,1,2,0,4172.64,2867.36,1305.27,0,0,84.0016,34.2322,425.864,4914.24,6232.16,12104.6,-425.864,0,190.977,139.315,154.063,0,0,636.914,-1020.52,0,1,0,0,0
1,0,0,1,2,0,1970.79,1245.21,725.58,0,0,94.5405,84.0262,297.201,2655.03,5037.34,15311.6,-297.201,0,94.8549,126.234,144.373,0,0,154.899,-763.673,0,1,0,0,0
2,0,0,2,1,0,1320.02,658.976,661.04,0,0,76.1428,-33.3615,85.9383,1596.08,6042.64,13751.3,-85.9383,0,54.7639,71.6009,73.6712,0,0,236.803,-739.589,0,1,0,0,0
2,0,0,2,1,0,1356.52,430.927,925.591,0,0,26.0656,-30.6803,-93.8334,1139.92,1849.04,18288.3,93.8334,0,39.175,84.8091,113.414,0,0,236.024,-763.333,0,1,0,0,0
2,0,0,2,1,0,1331.54,984.552,346.989,0,0,47.4712,-57.5435,494.471,1712.23,4492.27,8643.57,-494.471,0,71.7722,55.0676,55.6754,0,0,370.98,-782.371,0,1,0,0,0
2,0,0,2,1,0,1467.44,666.9,800.539,0,0,-157.656,-108.705,-51.3635,1383.97,14763.8,2378.58,51.3635,0,53.3449,55.333,66.4844,0,0,334.924,-764.24,0,1,0,0,0
2,0,0,2,2,0,2639.38,1427.14,1212.23,0,0,-35.1729,18.9932,139.388,2671.78,10397.6,11133,-139.388,0,92.5366,126.848,151.231,0,0,469.539,-920.355,0,1,0,0,0
2,0,0,2,2,0,4998.61,2413.04,2585.58,0,0,-12.5823,7.08952,71.5187,4778.55,10671.1,5026.1,-71.5187,0,163.19,130.279,159.847,0,0,799.466,-1085.07,0,1,0,0,0
2,0,0,2,2,0,5237.26,2783.14,2454.12,0,0,96.7384,-100.147,262.51,6785.13,495.402,17963,-262.51,0,252.566,165.531,210.938,0,0,487.044,-963.031,0,1,0,0,0
3,0,0,3,1,0,1460.77,702.493,758.281,0,0,69.7313,41.0186,92.0195,1480.88,17102.3,3413.13,-92.0195,0,49.8289,64.1192,81.2928,0,0,202.98,-722.417,0,1,0,0,0
3,0,0,3,1,0,1458.24,545.145,913.097,0,0,154.341,67.9816,-375.655,1637.56,3891.95,8419.36,375.655,0,60.6753,54.8416,60.6998,0,0,244.348,-723.676,0,1,0,0,0
3,0,0,3,1,0,1414.64,383.18,1031.46,0,0,-129.884,-116.707,-36.0776,1105.07,1807.61,18275.7,36.0776,0,41.8396,81.4584,111.186,0,0,204.822,-747.695,0,1,0,0,0
3,0,0,3,1,0,3572.2,1302.38,2269.82,0,0,16.2114,66.3416,-59.5355,4705.85,15379.4,2499.6,59.5355,0,157.778,64.2714,82.2415,0,0,275.429,-774.5,0,1,0,0,0
3,0,0,3,1,0,2990.33,1465.28,1525.06,0,0,13.7966,76.4695,106.535,3764.23,15974,13641.4,-106.535,0,126.872,63.7458,77.866,0,0,238.003,-750.746,0,1,0,0,0
3,0,0,3,1,0,3277.32,910.462,2366.85,0,0,-74.3702,-26.8819,-332.167,3579.45,9844.68,8810.29,332.167,0,136.819,62.1426,76.4745,0,0,455.733,-858.223,0,1,0,0,0
3,0,0,3,2,0,2026.44,663.865,1362.57,0,0,1.10044,11.7979,-209.934,1814.17,1380.56,6699.12,209.934,0,63.4164,91.6989,121.45,0,0,280.169,-803.621,0,1,0,0,0
3,0,0,3,2,0,2365.49,925.572,1439.92,0,0,-82.963,39.1262,3.22124,2836.65,16860.3,12790.6,-3.22124,0,98.3075,134.009,174.288,0,0,237.632,-815.121,0,1,0,0,0
3,0,0,3,2,0,5322.92,2779.91,2543,0,0,24.0542,-16.4033,140.045,5853.62,13003,2582.34,-140.045,0,202.197,124.597,135.647,0,0,692.102,-1018.1,0,1,0,0,0
3,0,0,3,2,0,5083.55,3175.39,1908.16,0,0,69.1092,-5.8628,324.459,6868.13,2990.28,7111.54,-324.459,0,252.778,107.188,105.177,0,0,647.597,-998.721,0,1,0,0,0
3,0,0,3,2,0,3314.69,1917.6,1397.09,0,0,-5.35108,311.527,441.848,2588.17,6222.82,12123.4,-441.848,0,108.618,146.947,164.773,0,0,493.057,-946.709,0,1,0,0,0
3,0,0,3,2,0,4890.07,3323.77,1566.3,0,0,144.162,6.39223,334.273,5711.64,3704.75,17757.8,-334.273,0,212.279,171.321,185.215,0,0,392.902,-908.546,0,1,0,0,0
4,0,0,4,1,0,2523.03,1200.86,1322.17,0,0,55.5113,-29.9902,121.423,2803.46,734.009,17892.9,-121.423,0,96.6614,83.8706,105.115,0,0,390.736,-841.571,0,1,0,0,0
4,0,0,4,1,0,2168.58,1167.49,1001.09,0,0,24.3211,113.861,123.41,2801.09,13891,13406.7,-123.41,0,94.3454,51.3571,61.5167,0,0,248.857,-733.274,0,1,0,0,0
4,0,0,4,1,0,3091.62,1264.65,1826.97,0,0,31.9325,33.1817,62.592,3780.2,14870.3,2335.38,-62.592,0,127.232,62.9193,82.5032,0,0,447.626,-861.235,0,1,0,0,0
4,0,0,4,2,0,2808.12,1370.57,1437.55,0,0,10.9778,53.5578,15.5496,2878.38,15779.4,13664.4,-15.5496,0,96.5577,129.617,157.603,0,0,305.949,-845.672,0,1,0,0,0
4,0,0,4,2,0,3613.15,1928.52,1684.62,0,0,97.6898,-10.4255,152.08,3383.17,10758.2,4944.93,-152.08,0,116.79,135.722,160.905,0,0,543.888,-954.97,0,1,0,0,0
4,0,0,4,2,0,6598.04,3218.78,3379.26,0,0,-0.418943,26.0411,335.662,5692.8,10856.3,12112.8,-335.662,0,210.476,153.53,184.035,0,0,1452.84,-1480.25,0,1,0,0,0
4,0,0,4,2,0,6468.71,3708.95,2759.76,0,0,79.5115,56.2,332.107,7096.56,12651.5,12970.9,-332.107,0,258.906,118.392,142.053,0,0,981.78,-1204.99,0,1,0,0,0
4,0,0,4,2,0,5481.79,2070.92,3410.87,0,0,46.228,52.5665,-14.5706,5109.42,9822.77,9224.29,14.5706,0,170.649,129.752,173.826,0,0,943.203,-1162.53,0,1,0,0,0
5,0,0,5,1,0,1232.24,409.302,822.938,0,0,48.0446,128.681,-150.831,1126.46,5182.53,14477.4,150.831,0,37.9606,63.2158,74.444,0,0,168.684,-698.11,0,1,0,0,0
5,0,0,5,1,0,1610.69,869.691,740.998,0,0,27.8801,-97.7286,131.027,1717.35,2932.82,7006.03,-131.027,0,61.3253,49.8416,47.2839,0,0,301.317,-735.897,0,1,0,0,0
5,0,0,5,1,0,1279.75,696.812,582.941,0,0,119.748,-132.817,352.293,1282.91,3926.54,17304.9,-352.293,0,51.1825,73.048,82.6044,0,0,219.077,-734.519,0,1,0,0,0
5,0,0,5,1,0,3142.5,1503.43,1639.06,0,0,10.1204,75.6179,17.3078,3441.98,18444.9,13247.5,-17.3078,0,115.143,104.41,130.775,0,0,355.139,-851.391,0,1,0,0,0
5,0,0,5,1,0,1889.6,988.67,900.927,0,0,-127.411,-137.004,-53.9451,1798.38,9799.03,8723.03,53.9451,0,69.0276,61.9646,68.0813,0,0,407.997,-815.004,0,1,0,0,0
5,0,0,5,2,0,3227.01,1413.46,1813.55,0,0,101.629,38.1484,-28.0938,3575.88,13715,13285,28.0938,0,119.691,104.924,132.767,0,0,353.201,-853.489,0,1,0,0,0
5,0,0,5,2,0,2689.87,582.988,2106.89,0,0,80.9902,-44.2575,-467.743,3191.7,1892.81,7149.94,467.743,0,129.071,94.441,127.744,0,0,275.763,-802.638,0,1,0,0,0
6,0,0,6,1,0,1301.66,660.049,641.614,0,0,-86.6229,62.051,151.725,1254.12,16863.9,12767.6,-151.725,0,44.1307,68.987,89.7962,0,0,224.887,-740.399,0,1,0,0,0
6,0,0,6,1,0,1088.01,612.827,475.183,0,0,27.4849,-52.9921,173.652,1184.85,13591.7,2421.55,-173.652,0,41.8093,47.4646,55.2815,0,0,216.476,-694.227,0,1,0,0,0
6,0,0,6,1,0,761.95,443.561,318.389,0,0,94.0944,-103.354,460.268,652.191,6123.38,10564.5,-460.268,0,27.2852,47.6236,56.3392,0,0,155.07,-662.369,0,1,0,0,0
6,0,0,6,1,0,1288.19,845.192,443.003,0,0,28.2746,-55.1345,337.189,1141.77,10235.5,11108.4,-337.189,0,43.1209,59.8757,69.3799,0,0,315.753,-773.247,0,1,0,0,0
6,0,0,6,1,0,1586.48,867.285,719.2,0,0,19.1985,-0.68525,227.457,1134.72,12218.4,12731.7,-227.457,0,40.0457,57.6221,69.8472,0,0,431.07,-829.303,0,1,0,0,0
6,0,0,6,1,0,2067.78,1252.83,814.948,0,0,29.8092,-45.5474,282.164,2459.49,6286.35,12085.7,-282.164,0,89.9467,73.336,74.8281,0,0,315.789,-783.622,0,1,0,0,0
6,0,0,6,2,0,2820.08,791.869,2028.21,0,0,-0.445213,31.6757,-326.418,3225.53,12040.6,3422.47,326.418,0,118.054,121.343,132.489,0,0,206.016,-782.621,0,1,0,0,0
6,0,0,6,2,0,5318.36,1073.86,4244.5,0,0,-8.1204,20.791,-280.04,6791.54,10568,11723.3,280.04,0,243.86,131.654,166.217,0,0,809.718,-1134.97,0,1,0,0,0
6,0,0,6,2,0,5876.93,2688.63,3188.29,0,0,133.638,-94.1928,380.931,5557.78,1050.64,17957.1,-380.931,0,220.594,174.222,235.411,0,0,815.641,-1125.67,0,1,0,0,0
7,0,0,7,2,0,3669.38,1809.62,1859.76,0,0,48.8141,-18.9693,115.735,4198.07,17616.7,2880.98,-115.735,0,144.097,125.976,153.762,0,0,358.149,-874.891,0,1,0,0,0
7,0,0,7,2,0,2062.19,1070.27,991.918,0,0,123.377,7.38299,240.327,2015.28,3824.22,7986.51,-240.327,0,71.3771,117.99,119.378,0,0,308.944,-820.153,0,1,0,0,0
7,0,0,7,2,0,2840.38,1911.09,929.291,0,0,131.51,-28.8787,481.657,3124.65,3125.26,17990.5,-481.657,0,128.982,174.166,206.978,0,0,445.081,-938.496,0,1,0,0,0
7,0,0,7,2,0,3612.19,1945.79,1666.4,0,0,7.97339,37.1837,134.859,4501.83,9663.65,8450.16,-134.859,0,153.6,112.02,122.65,0,0,302.942,-826.725,0,1,0,0,0
8,0,0,8,1,0,1210.64,724.193,486.444,0,0,106.462,-40.2282,424.844,1282.27,4531.97,16126.7,-424.844,0,50.8954,56.0335,63.1772,0,0,217.299,-710.859,0,1,0,0,0
8,0,0,8,1,0,1817.68,1076.46,741.218,0,0,104.214,-22.7574,227.537,2145.46,12626.8,2490.01,-227.537,0,76.1322,54.1879,59.2739,0,0,393.067,-796.871,0,1,0,0,0
8,0,0,8,1,0,1916.11,969.517,946.595,0,0,66.1514,-38.156,182.743,1815.24,920.749,17999.7,-182.743,0,63.7112,87.6082,115.436,0,0,460.299,-880.756,0,1,0,0,0
8,0,0,8,1,0,5620.8,2436.81,3183.99,0,0,34.8744,41.2764,84.6768,7619.26,15360.8,2425.97,-84.6768,0,256.583,67.9154,90.5238,0,0,302.8,-803.683,0,1,0,0,0
8,0,0,8,1,0,1877.39,779.504,1097.89,0,0,122.59,-48.0507,51.5384,1876.33,3923.7,16726.7,-51.5384,0,64.7075,66.2488,75.9936,0,0,285.354,-767.577,0,1,0,0,0
9,0,0,9,1,0,1077.35,557.851,519.501,0,0,-51.3229,39.9711,130.519,979.507,10117.7,10026.4,-130.519,0,33.8987,52.8458,61.8851,0,0,237.352,-716.088,0,1,0,0,0
9,0,0,9,1,0,1520.26,659.824,860.434,0,0,7.44268,-65.8496,26.7112,1943.12,13710.5,2335.72,-26.7112,0,67.5937,49.1356,56.7612,0,0,264.362,-722.559,0,1,0,0,0
