image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,1570.24,823.046,747.197,0,0,-79.8617,131.905,91.7155,1467.28,13896.5,13487.3,-91.7155,0,50.6971,71.7093,80.773,0,0,301.226,-771.934,0,1,0,0,0
0,0,0,0,1,0,1433.17,822.656,610.509,0,0,93.4173,1.95002,249.936,1890.44,7703.09,7498.49,-249.936,0,67.0913,61.7359,74.0949,0,0,272.062,-752.09,0,1,0,0,0
0,0,0,0,1,0,1884.82,955.727,929.097,0,0,-6.21262,100.885,192.5,2108.69,15007.1,14603.9,-192.5,0,72.7084,65.5307,79.7149,0,0,374.032,-803.542,0,1,0,0,0
0,0,0,0,1,0,1648.16,585.992,1062.17,0,0,149.127,-157.572,-896.146,2247.28,9325.11,15059.8,896.146,0,139.739,78.5797,85.4043,0,0,292.944,-782.349,0,1,0,0,0
0,0,0,0,1,0,2202.14,1020.91,1181.23,0,0,-40.6593,40.7266,33.8095,2207.69,12771.7,12295.5,-33.8095,0,75.2231,85.807,88.7166,0,0,271.567,-777.7,0,1,0,0,0
0,0,0,0,1,0,2283.14,1177.37,1105.77,0,0,-22.1302,-22.2101,99.311,2224.16,10483.3,5844.92,-99.311,0,77.0557,80.9966,95.1115,0,0,388.7,-835.365,0,1,0,0,0
0,0,0,0,1,0,4209.98,1638.24,2571.75,0,0,-5.02166,106.301,41.1576,5923.01,17571.8,15585.4,-41.1576,0,198.473,65.7581,95.5893,0,0,357.622,-838.223,0,1,0,0,0
0,0,0,0,1,0,3039.35,1502.33,1537.02,0,0,70.8211,21.0206,195.331,2790.78,10291.6,18039.2,-195.331,0,96.5966,79.4219,86.7822,0,0,801.223,-1020.92,0,1,0,0,0
0,0,0,0,2,0,2740.77,1698.06,1042.71,0,0,-23.4332,-83.7231,355.448,3350.57,17787.6,1860.14,-355.448,0,130.661,118.668,144.809,0,0,467.933,-912.278,0,1,0,0,0
0,0,0,0,2,0,4526.42,1357.76,3168.66,0,0,32.4786,-6.4467,-292.939,5303.26,13685.4,1881.56,292.939,0,191.17,142.083,163.305,0,0,399.371,-902.811,0,1,0,0,0
0,0,0,0,2,0,6605.17,4582.13,2023.04,0,0,48.9217,46.2089,491.885,9688.48,2714.4,5677.81,-491.885,0,394.467,112.691,129.284,0,0,518.085,-952.952,0,1,0,0,0
0,0,0,0,2,0,4604.91,3119.37,1485.53,0,0,123.278,47.6558,792.98,5892.92,10831.3,9031.82,-792.98,0,316.672,193.792,224.012,0,0,547.994,-1006.52,0,1,0,0,0
0,0,0,0,2,0,8220.53,3306.8,4913.72,0,0,11.0246,52.575,-66.4919,8334.55,9463.22,9322.97,66.4919,0,280.422,186.484,208.703,0,0,1434.37,-1516.52,0,1,0,0,0
0,0,0,0,2,0,6627.53,3043.6,3583.93,0,0,-28.174,84.0123,-23.5375,7591.58,10588,7909.88,23.5375,0,256.089,184.55,228.577,0,0,493.493,-985.108,0,1,0,0,0
1,0,0,1,1,0,1275.23,686.369,588.861,0,0,-37.6139,161.206,254.572,658.897,12669.9,11879,-254.572,0,23.4927,80.5424,94.0377,0,0,243.188,-754.555,0,1,0,0,0
1,0,0,1,1,0,1836.13,1097.14,738.994,0,0,54.1414,169.566,271.704,1798.99,13170.3,12462.8,-271.704,0,63.6464,73.57,83.4715,0,0,305.761,-776.277,0,1,0,0,0
1,0,0,1,1,0,949.678,472.345,477.333,0,0,-197.274,-33.492,133.407,922.05,17270.6,15626.5,-133.407,0,36.0998,70.5957,95.9581,0,0,262.877,-762.361,0,1,0,0,0
1,0,0,1,1,0,2887.15,1006.06,1881.08,0,0,42.5678,69.6242,-92.7336,4294.69,3214.2,7134.75,92.7336,0,143.904,73.8621,81.4743,0,0,256.204,-766.985,0,1,0,0,0
1,0,0,1,1,0,2401.61,1153.46,1248.15,0,0,113.581,-75.0038,33.1468,2337.74,15972.9,1456.66,-33.1468,0,81.415,64.0715,73.8484,0,0,1128.38,-1163.74,0,1,0,0,0
1,0,0,1,2,0,2298.25,843.022,1455.22,0,0,68.6758,7.29063,-215.243,1655.71,4273.68,6802.32,215.243,0,57.4823,150.618,160.395,0,0,625.335,-1025.99,0,1,0,0,0
1,0,0,1,2,0,8259.35,2367.48,5891.87,0,0,59.3905,44.2266,-122.437,9876.32,15336.3,1534.81,122.437,0,333.127,129.698,170.362,0,0,1299.49,-1344.3,0,1,0,0,0
2,0,0,2,1,0,1029.88,567.583,462.301,0,0,67.2019,27.7714,288.149,1149.2,4867.3,7077.91,-288.149,0,41.1753,64.4571,72.0211,0,0,206.518,-719.548,0,1,0,0,0
2,0,0,2,1,0,1687.99,979.322,708.67,0,0,-47.8425,53.7198,241.585,1869.53,9226.01,10407.4,-241.585,0,66.6175,82.9272,81.0105,0,0,254.925,-757.608,0,1,0,0,0
2,0,0,2,1,0,1607.51,445.494,1162.02,0,0,27.6844,-22.8855,-482.207,1673.51,16552.2,15122.5,482.207,0,68.5345,71.3045,87.2167,0,0,235.122,-748.277,0,1,0,0,0
2,0,0,2,1,0,2333.07,868.545,1464.53,0,0,-26.9086,22.0257,50.8792,2906.43,10389.4,5899.37,-50.8792,0,99.0884,71.8495,92.4926,0,0,308.098,-798.266,0,1,0,0,0
2,0,0,2,1,0,2310.54,1456.53,854.008,0,0,5.23525,44.1508,275.505,2530.3,3350.22,5581.18,-275.505,0,90.3356,70.6744,73.0211,0,0,354.032,-809.09,0,1,0,0,0
2,0,0,2,1,0,3180.99,1971.34,1209.65,0,0,112.986,60.8871,377.005,3264.29,9756.01,13262.3,-377.005,0,122.565,87.9628,94.2874,0,0,804.94,-1064.37,0,1,0,0,0
2,0,0,2,2,0,3848.73,1850.58,1998.15,0,0,37.316,9.84296,109.051,4147.27,6180.15,7391.91,-109.051,0,141.122,160.515,184.346,0,0,697.692,-1064.16,0,1,0,0,0
2,0,0,2,2,0,3332.12,1958.18,1373.94,0,0,57.0911,18.2724,313.208,3429.67,10404,7284.79,-313.208,0,124.709,153.326,180.05,0,0,590.509,-1000.33,0,1,0,0,0
2,0,0,2,2,0,3371.4,1580.34,1791.07,0,0,-42.2099,141.342,63.2187,3910.99,14253.6,13971.3,-63.2187,0,132.665,117.341,144.563,0,0,574.24,-972.805,0,1,0,0,0
3,0,0,3,1,0,1096.25,657.579,438.674,0,0,84.1544,9.56081,305.53,790.622,16791.8,15682.1,-305.53,0,28.7015,59.218,81.2893,0,0,252.066,-736.528,0,1,0,0,0
3,0,0,3,1,0,1307.9,647.254,660.642,0,0,-30.5776,80.569,117.066,1314.33,11676,10775.3,-117.066,0,44.8099,80.8344,94.0919,0,0,246.122,-763.571,0,1,0,0,0
3,0,0,3,1,0,2582.28,1055.86,1526.42,0,0,50.3302,-18.8015,-85.367,2507.41,3206.44,7124.48,85.367,0,85.5223,75.4703,84.7898,0,0,434.943,-856.536,0,1,0,0,0
3,0,0,3,1,0,963.886,554.412,409.474,0,0,29.7689,-8.40857,780.091,885.928,15859.3,15305.4,-780.091,0,47.4087,61.9212,76.0731,0,0,254.075,-738.866,0,1,0,0,0
3,0,0,3,1,0,2865.37,1530.9,1334.47,0,0,37.6356,-43.9844,356.859,2311.03,16246.2,1721.71,-356.859,0,87.8322,75.7154,94.8441,0,0,707.403,-957.241,0,1,0,0,0
3,0,0,3,1,0,3420.34,1489.3,1931.04,0,0,-121.866,85.4604,-326.883,2832.12,13543.7,12941.6,326.883,0,108.607,80.0853,88.593,0,0,683.656,-995.067,0,1,0,0,0
3,0,0,3,2,0,2572.33,1271.13,1301.2,0,0,77.3626,-44.332,86.2842,3410.42,8311.29,8827.74,-86.2842,0,117.513,126.617,137.613,0,0,346.541,-860.444,0,1,0,0,0
3,0,0,3,2,0,3684.87,1859.66,1825.21,0,0,67.1362,88.179,-93.7816,3866.12,11183.5,9583.44,93.7816,0,129.079,181.87,190.693,0,0,424.202,-934.037,0,1,0,0,0
3,0,0,3,2,0,5890.22,2270.48,3619.74,0,0,31.2041,85.7541,60.5251,6642.97,9936.49,17185,-60.5251,0,221.852,160.236,216.374,0,0,551.384,-992.193,0,1,0,0,0
4,0,0,4,1,0,1137.2,290.194,847.007,0,0,79.9726,40.7621,-398.227,1296.94,11466.8,3906.84,398.227,0,48.9037,60.8691,80.3779,0,0,156.407,-694.553,0,1,0,0,0
4,0,0,4,1,0,1084.82,675.853,408.966,0,0,-17.2643,67.7357,795.217,1228.47,15906.4,15624,-795.217,0,67.1128,66.0101,70.4824,0,0,243.358,-737.339,0,1,0,0,0
4,0,0,4,1,0,1110.69,535.901,574.785,0,0,-20.5642,202.645,-108.003,684.701,9988.25,11936.2,108.003,0,23.3701,70.9634,69.4364,0,0,245.514,-735.158,0,1,0,0,0
