image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,1075.27,0,0,0,0,101.371,-38.2935,-135.849,955.801,15393,14052.3,135.849,0,33.5894,60.9981,72.0137,0,0,66.354,-644.395,0,1,0,0,0
0,0,0,0,1,0,1259.01,0,0,0,0,71.8196,-67.4852,182.75,1245.26,8218.14,10035.2,-182.75,0,45.7961,82.7993,87.8632,0,0,142.165,-710.812,0,1,0,0,0
0,0,0,0,1,0,2267.17,0,0,0,0,-11.0467,-0.555505,-15.0792,3024.76,3070.44,11349.9,15.0792,0,105.232,74.7291,90.5389,0,0,131.588,-711.678,0,1,0,0,0
0,0,0,0,1,0,4118.42,0,0,0,0,42.6879,25.9811,-39.3758,4314.93,15451.6,17540.8,39.3758,0,148.82,80.5645,103.865,0,0,259.279,-794.596,0,1,0,0,0
0,0,0,0,2,0,3662.44,0,0,0,0,81.9164,-93.5421,207.125,4309.62,608.914,12133.7,-207.125,0,161.782,212.839,271.813,0,0,157.097,-820.097,0,1,0,0,0
1,0,0,1,1,0,1342.3,0,0,0,0,52.8075,-56.4503,-322.239,1407.55,15244.1,13873.1,322.239,0,52.6268,63.4482,80.053,0,0,68.1161,-655.653,0,1,0,0,0
2,0,0,2,2,0,1941.19,0,0,0,0,-31.6831,-37.727,-392.876,2015.17,15131.3,13755.6,392.876,0,79.319,114.171,149.27,0,0,71.5511,-716.478,0,1,0,0,0
3,0,0,3,1,0,1176.89,0,0,0,0,39.4315,-118.186,181.979,1148.48,15257.5,15711.2,-181.979,0,43.1464,69.582,80.9307,0,0,137.74,-697.851,0,1,0,0,0
3,0,0,3,1,0,2395.84,0,0,0,0,30.4063,-9.31848,50.392,2230.98,14477,11753.4,-50.392,0,77.954,62.4994,78.7904,0,0,123.736,-686.299,0,1,0,0,0
3,0,0,3,1,0,2432.16,0,0,0,0,-9.87834,-17.4718,-382.032,2411.56,3760.1,11268.1,382.032,0,93.3199,96.9488,100.4,0,0,187.077,-751.285,0,1,0,0,0
3,0,0,3,2,0,3062.23,0,0,0,0,132.141,-21.4761,-57.1271,3569.11,13585.8,10877.4,57.1271,0,124.694,123.469,133.918,0,0,174.218,-771.674,0,1,0,0,0
4,0,0,4,1,0,1178.63,0,0,0,0,82.8563,-146.288,316.313,1452.65,11661.3,9916.6,-316.313,0,59.197,51.6003,56.0202,0,0,142.152,-672.039,0,1,0,0,0
4,0,0,4,2,0,3675.2,0,0,0,0,-8.79904,-60.7759,-4.34009,4798.69,3068.19,11410.1,4.34009,0,169.052,131.347,152.799,0,0,192.665,-791.993,0,1,0,0,0
