image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,1466.26,0,0,0,0,-44.6448,82.7114,275.254,1503.07,3498.79,9095.46,-275.254,0,57.3677,74.5439,88.9845,0,0,65.8106,-667.545,0,1,0,0,0
0,0,0,0,1,0,965.725,0,0,0,0,175.504,-136.56,40.4018,958.891,14924.1,3294.64,-40.4018,0,36.5005,67.0322,81.0052,0,0,106.574,-675.907,0,1,0,0,0
0,0,0,0,1,0,3373.66,0,0,0,0,53.0615,-46.6013,232.195,4677.93,16033.4,3895.51,-232.195,0,176.813,74.5649,85.9615,0,0,115.03,-707.345,0,1,0,0,0
0,0,0,0,1,0,2541.35,0,0,0,0,3.61604,-24.0093,246.598,2674.77,12332.6,12952.4,-246.598,0,101.384,106,113.519,0,0,125.839,-732.71,0,1,0,0,0
0,0,0,0,2,0,2746.76,0,0,0,0,149.553,61.9442,-26.2951,2357.73,14456.6,11287.4,26.2951,0,82.6236,190.215,219.869,0,0,176.385,-809.009,0,1,0,0,0
0,0,0,0,2,0,5563.04,0,0,0,0,77.5681,18.9374,-302.856,7361.78,7817.63,14488.5,302.856,0,273.152,177.254,214.56,0,0,228.609,-847.537,0,1,0,0,0
1,0,0,1,1,0,1249.62,0,0,0,0,-20.4756,-108.383,169.246,1353.45,8409.13,2378.25,-169.246,0,51.8865,86.385,110.501,0,0,111.268,-705.548,0,1,0,0,0
1,0,0,1,1,0,1376.12,0,0,0,0,248.002,-73.6777,21.4595,1060.99,14654.2,3231.76,-21.4595,0,39.8507,78.37,87.661,0,0,85.943,-676.25,0,1,0,0,0
1,0,0,1,1,0,1829.72,0,0,0,0,-62.8804,56.2945,76.8359,1991.05,4207.86,6062.49,-76.8359,0,71.909,80.7278,92.8644,0,0,166.371,-726.789,0,1,0,0,0
1,0,0,1,1,0,1690.4,0,0,0,0,42.0597,58.8967,502.567,1959.5,4102.92,12573.4,-502.567,0,84.976,81.119,91.8357,0,0,89.0798,-686.598,0,1,0,0,0
1,0,0,1,2,0,6897.27,0,0,0,0,41.4254,11.413,41.7026,7697.98,13972.6,11732.7,-41.7026,0,271.702,202.456,227.577,0,0,125.885,-798.546,0,1,0,0,0
2,0,0,2,1,0,3389.11,0,0,0,0,48.5496,-7.28319,115.792,3294.83,3405.6,8889.38,-115.792,0,118.48,89.7321,122.552,0,0,255.555,-798.259,0,1,0,0,0
2,0,0,2,1,0,1662.48,0,0,0,0,90.6716,31.326,885.898,2019.49,15403.7,10429.8,-885.898,0,126.268,67.0501,90.3247,0,0,116.779,-690.609,0,1,0,0,0
3,0,0,3,1,0,1434.78,0,0,0,0,-13.9,9.07673,-37.1939,1405.72,7711.72,2951.62,37.1939,0,49.8205,93.5613,123.826,0,0,108.437,-713.077,0,1,0,0,0
3,0,0,3,1,0,1335.11,0,0,0,0,-13.7893,191.645,168.787,1459.11,11363.1,13625,-168.787,0,53.6003,82.6982,93.1024,0,0,124.418,-704.42,0,1,0,0,0
3,0,0,3,1,0,1714.1,0,0,0,0,58.9156,-25.71,266.633,1748.51,13264.2,2394.27,-266.633,0,66.6893,94.1904,100.037,0,0,177.612,-735.988,0,1,0,0,0
3,0,0,3,1,0,3103.77,0,0,0,0,42.9258,57.8848,387.384,3013.53,5187.64,13956.1,-387.384,0,120.812,90.5918,90.5978,0,0,161.064,-730.988,0,1,0,0,0
3,0,0,3,1,0,2320.9,0,0,0,0,84.6908,-124.942,-158.036,2004.84,6626.23,3381.71,158.036,0,74.8355,107.723,122.98,0,0,106.699,-721.277,0,1,0,0,0
3,0,0,3,1,0,2710.36,0,0,0,0,60.6166,19.0521,-335.406,3791.35,7834.58,14488.4,335.406,0,143.221,89.5203,107.309,0,0,184.297,-759.271,0,1,0,0,0
3,0,0,3,2,0,3584.4,0,0,0,0,173.827,116.683,-404.957,3653.39,4563.29,12910.4,404.957,0,144.053,175.7,208.46,0,0,155.822,-799.647,0,1,0,0,0
3,0,0,3,2,0,3784.52,0,0,0,0,40.4397,103.235,358.032,3651.54,12197.1,13121.2,-358.032,0,143.588,187.029,218.395,0,0,175.776,-812.245,0,1,0,0,0
4,0,0,4,1,0,4006.9,0,0,0,0,65.7078,36.3245,65.1834,4450.82,11974.5,2134.86,-65.1834,0,156.937,115.489,116.065,0,0,155.15,-755.363,0,1,0,0,0
4,0,0,4,2,0,4070.89,0,0,0,0,45.5442,-15.6068,518.658,4428.3,15350.1,10575.4,-518.658,0,196.823,179.242,213.032,0,0,190.262,-814.779,0,1,0,0,0
5,0,0,5,1,0,1673.94,0,0,0,0,53.7656,-27.3289,-617.855,2294.46,4584.66,12758.3,617.855,0,110.033,78.9215,97.012,0,0,47.1029,-667.03,0,1,0,0,0
5,0,0,5,1,0,2067.93,0,0,0,0,86.6658,-56.4123,154.741,2263.91,13433.9,2523.66,-154.741,0,83.6017,77.2255,84.2097,0,0,95.2646,-684.215,0,1,0,0,0
5,0,0,5,1,0,2640.37,0,0,0,0,26.9658,-17.7622,192.7,2426.79,15467.4,3471.91,-192.7,0,89.6137,85.5559,95.7697,0,0,226.569,-761.673,0,1,0,0,0
5,0,0,5,2,0,4173.91,0,0,0,0,15.5654,25.0927,116.732,4244.46,3635.96,10238.7,-116.732,0,152.043,163.296,194.092,0,0,241.768,-838.607,0,1,0,0,0
5,0,0,5,2,0,6150.96,0,0,0,0,132.878,15.29,10.6268,6761.86,13979.8,11728.8,-10.6268,0,238.333,198.993,217.205,0,0,156.895,-807.789,0,1,0,0,0
6,0,0,6,2,0,5894.25,0,0,0,0,-51.4502,56.5308,11.749,6516.63,3702.98,7049.15,-11.749,0,232.476,181.605,186.134,0,0,201.508,-824.696,0,1,0,0,0
6,0,0,6,2,0,3683.45,0,0,0,0,147.31,-77.8439,195.293,4054.4,15149.6,3137.23,-195.293,0,154.516,166.144,179.868,0,0,307.821,-859.232,0,1,0,0,0
6,0,0,6,2,0,3507.72,0,0,0,0,-16.4637,74.9346,177.144,4714.52,4852.27,5550.4,-177.144,0,171.775,157.643,197.068,0,0,106.977,-768.007,0,1,0,0,0
7,0,0,7,1,0,1599,0,0,0,0,134.263,-11.364,317.353,1910.31,16544.3,4748.48,-317.353,0,75.0211,85.5215,89.1784,0,0,82.9451,-684.495,0,1,0,0,0
7,0,0,7,1,0,1398.66,0,0,0,0,-29.772,122.218,127.924,1244.93,3385.23,8759.88,-127.924,0,44.9256,68.9863,91.7978,0,0,153.978,-711.397,0,1,0,0,0
7,0,0,7,1,0,2004.91,0,0,0,0,-30.2344,-10.2912,184.504,2250.59,5359.49,4550.03,-184.504,0,83.5264,79.9391,103.7,0,0,110.085,-702.609,0,1,0,0,0
7,0,0,7,1,0,1732.36,0,0,0,0,-12.5467,27.5776,178.125,1346.28,6526.09,3426.57,-178.125,0,49.2662,94.7725,106.306,0,0,79.1943,-695.122,0,1,0,0,0
7,0,0,7,1,0,5221.69,0,0,0,0,20.1227,29.351,-428.119,5666.2,9750.19,1944.45,428.119,0,227.991,110.314,115.636,0,0,374.502,-879.95,0,1,0,0,0
7,0,0,7,2,0,5636.78,0,0,0,0,11.73,-0.314617,-124.996,7445.25,3442.42,8290.27,124.996,0,264.831,149.738,182.051,0,0,140.762,-785.14,0,1,0,0,0
7,0,0,7,2,0,3353.12,0,0,0,0,22.0033,64.8781,923.487,5149.11,4715.12,13850.4,-923.487,0,337.873,149.02,166.16,0,0,279.83,-846.494,0,1,0,0,0
7,0,0,7,2,0,9455.81,0,0,0,0,66.5848,60.1164,124.744,12237.8,12664.4,2308.44,-124.744,0,436.04,213.417,255.534,0,0,203.901,-854.405,0,1,0,0,0
8,0,0,8,1,0,1264.86,0,0,0,0,-29.3265,138.239,152.548,1238.86,5259.9,14270.5,-152.548,0,45.0339,72.6892,75.7979,0,0,143.207,-697.568,0,1,0,0,0
8,0,0,8,1,0,1888.36,0,0,0,0,127.567,28.6218,128.743,1478.41,14873.3,3129.46,-128.743,0,53.208,82.1601,89.4177,0,0,100.909,-689.061,0,1,0,0,0
8,0,0,8,1,0,2466.06,0,0,0,0,48.9458,30.1655,508.272,2366.99,17123.1,6976.82,-508.272,0,103.41,86.772,102.361,0,0,130.093,-713.999,0,1,0,0,0
9,0,0,9,1,0,1617.32,0,0,0,0,121.695,10.9042,-165.768,1441.17,15273.9,3443.25,165.768,0,51.2719,74.3313,89.4004,0,0,97.2876,-680.916,0,1,0,0,0
9,0,0,9,1,0,2694.6,0,0,0,0,5.31627,-58.2982,275.031,3009.94,5422.63,4400.66,-275.031,0,116.89,73.6169,92.1638,0,0,129.805,-706.029,0,1,0,0,0
9,0,0,9,1,0,4744.85,0,0,0,0,46.4305,11.7972,-81.7368,4532.57,3407.72,8574.23,81.7368,0,159.198,96.3369,120.703,0,0,186.925,-767.557,0,1,0,0,0
9,0,0,9,2,0,5931.4,0,0,0,0,3.0894,-25.4495,127.924,7350.82,4832.72,5552.09,-127.924,0,267.608,157.665,206.859,0,0,117.131,-779.632,0,1,0,0,0
10,0,0,10,1,0,1606.06,0,0,0,0,50.2806,-73.2642,274.164,1622.94,10509.5,1553.61,-274.164,0,63.1994,89.4233,98.8266,0,0,69.3967,-681.418,0,1,0,0,0
10,0,0,10,1,0,2578.88,0,0,0,0,46.1948,-26.4556,209.281,2331.48,9625.43,1802.88,-209.281,0,86.7467,88.1582,101.012,0,0,145.192,-723.637,0,1,0,0,0
10,0,0,10,2,0,3035.33,0,0,0,0,90.7007,21.8637,-25.2446,2814.94,15897.1,9452.38,25.2446,0,98.4813,169.674,189.36,0,0,147.015,-784.874,0,1,0,0,0
10,0,0,10,2,0,4831.54,0,0,0,0,114.233,31.127,234.021,5507.85,16465.7,4607.3,-234.021,0,205.076,171.21,181.88,0,0,162.735,-800.903,0,1,0,0,0
10,0,0,10,2,0,10679.7,0,0,0,0,37.8719,57.4854,356.145,14305.4,5291.39,14055.2,-356.145,0,562.942,152.065,159.726,0,0,283.635,-861.523,0,1,0,0,0
11,0,0,11,1,0,2410.79,0,0,0,0,116.517,68.5606,-98.4822,2350.54,8765.58,14241.5,98.4822,0,82.1673,74.8197,100.925,0,0,114.072,-699.492,0,1,0,0,0
11,0,0,11,1,0,2751.22,0,0,0,0,10.4313,13.5199,156.043,2475.97,11437.6,1664.21,-156.043,0,89.8601,121.35,125.147,0,0,174.463,-765.726,0,1,0,0,0
11,0,0,11,1,0,3318.51,0,0,0,0,66.6374,18.6402,-346.443,4246.86,3288.82,8962.15,346.443,0,161.35,79.5219,98.025,0,0,109.861,-708.881,0,1,0,0,0
11,0,0,11,2,0,5275.9,0,0,0,0,74.7492,52.172,789.901,7621.36,16801.2,7448.27,-789.901,0,428.731,137.191,170.826,0,0,191.084,-805.513,0,1,0,0,0
12,0,0,12,1,0,1376.77,0,0,0,0,-28.2043,-164.87,172.458,1412.48,16114.7,4211.16,-172.458,0,56.5508,76.8534,85.8509,0,0,120.754,-695.385,0,1,0,0,0
12,0,0,12,1,0,1642.6,0,0,0,0,-71.9939,-38.603,396.865,1123.71,6486.84,3492.75,-396.865,0,47.2285,110.554,111.836,0,0,124.797,-724.287,0,1,0,0,0
12,0,0,12,1,0,2058.09,0,0,0,0,-31.8187,19.8277,-68.4537,1866.35,3485.97,8664.89,68.4537,0,66.422,78.3345,105.919,0,0,196.952,-748.47,0,1,0,0,0
12,0,0,12,2,0,7868.54,0,0,0,0,84.4426,-20.9348,-265.591,8068.5,3665.78,9692.55,265.591,0,296.991,198.687,228.846,0,0,587.818,-1049.74,0,1,0,0,0
12,0,0,12,2,0,4471.38,0,0,0,0,-28.2664,32.4595,-588.803,6401.49,5456.22,13784.1,588.803,0,302.017,162.293,172.244,0,0,180.062,-804.166,0,1,0,0,0
12,0,0,12,2,0,6968.39,0,0,0,0,99.3292,19.7713,-643.162,10936.8,13026.4,12711.2,643.162,0,531.511,173.353,184.418,0,0,391.555,-924.299,0,1,0,0,0
13,0,0,13,1,0,3917.53,0,0,0,0,53.0322,3.34014,13.7365,5001.93,4190.64,6214.13,-13.7365,0,176.09,90.1146,105.796,0,0,98.906,-712.91,0,1,0,0,0
13,0,0,13,1,0,1723.72,0,0,0,0,163.213,-24.1499,-941.862,3466.67,14048.1,11570.9,941.862,0,247.499,85.3615,92.9148,0,0,89.2127,-694.932,0,1,0,0,0
13,0,0,13,2,0,6450.29,0,0,0,0,49.4559,-24.4671,-101.239,7512.7,5279.8,4465.52,101.239,0,266.408,166.454,241.774,0,0,400.102,-941.162,0,1,0,0,0
14,0,0,14,1,0,2046.53,0,0,0,0,104.856,-41.9147,-424.183,2315.64,10652.4,1719.64,424.183,0,93.1559,108.003,118.997,0,0,236.794,-797.102,0,1,0,0,0
14,0,0,14,1,0,1982.56,0,0,0,0,34.8811,-9.5671,-145.769,1986.06,16446.3,5141.45,145.769,0,70.8009,96.6511,109.33,0,0,161.554,-740.453,0,1,0,0,0
14,0,0,14,2,0,4209.34,0,0,0,0,-15.7342,29.0734,194.915,5058.7,7220.1,14281,-194.915,0,186.239,172.13,202.901,0,0,179.923,-810.762,0,1,0,0,0
15,0,0,15,1,0,1730.23,0,0,0,0,53.2607,36.4809,136.054,1356.69,6558.97,14174.9,-136.054,0,48.6088,83.5833,96.0097,0,0,126.969,-707.407,0,1,0,0,0
15,0,0,15,1,0,2611.96,0,0,0,0,32.45,88.006,8.68611,2750.53,12303.8,13037.8,-8.68611,0,96.0979,92.0941,110.466,0,0,68.3599,-692.214,0,1,0,0,0
15,0,0,15,1,0,2387.5,0,0,0,0,68.7162,28.5893,360.009,2117.92,8714.69,14182.8,-360.009,0,83.8424,84.6011,101.782,0,0,209.891,-760.403,0,1,0,0,0
15,0,0,15,1,0,1820.83,0,0,0,0,83.6298,38.388,567.736,2100.74,4061.35,12593.9,-567.736,0,96.0646,73.7372,89.0852,0,0,38.3156,-654.959,0,1,0,0,0
15,0,0,15,1,0,4843.98,0,0,0,0,75.6156,51.4813,-34.8353,5364.52,16010.9,9916.21,34.8353,0,186.916,79.8041,87.025,0,0,260.894,-788.919,0,1,0,0,0
15,0,0,15,1,0,3057.9,0,0,0,0,-69.5099,53.5759,493.19,2877.09,4313.18,6163.89,-493.19,0,126.637,79.3104,100.798,0,0,389.442,-867.071,0,1,0,0,0
15,0,0,15,2,0,3018.78,0,0,0,0,127.873,59.7878,-215.074,3515.34,17142.9,6552.44,215.074,0,126,140.713,157.219,0,0,158.438,-775.778,0,1,0,0,0
15,0,0,15,2,0,4862.37,0,0,0,0,98.7541,42.7696,-829.683,8956.83,13027,12688.2,829.683,0,550.84,163.714,172.347,0,0,302.682,-865.412,0,1,0,0,0
15,0,0,15,2,0,4660.5,0,0,0,0,11.4762,-25.8661,60.3341,6146.44,14298.6,2690.5,-60.3341,0,220.295,159.7,187.273,0,0,93.0462,-763.036,0,1,0,0,0
15,0,0,15,2,0,5136.08,0,0,0,0,34.5626,87.4261,391.36,5346.51,15262.4,10571.1,-391.36,0,214.597,162.719,206.044,0,0,513.149,-976.98,0,1,0,0,0
16,0,0,16,1,0,2490.31,0,0,0,0,47.0741,-22.5808,-6.33569,2300.2,10611.4,1601.62,6.33569,0,81.3764,109.626,134.914,0,0,187.942,-770.208,0,1,0,0,0
16,0,0,16,1,0,2648.97,0,0,0,0,54.4259,5.39999,290.942,2939.07,6853.87,14206,-290.942,0,112.53,85.7072,108.574,0,0,128.965,-723.017,0,1,0,0,0
16,0,0,16,2,0,7376.32,0,0,0,0,63.6015,-26.5283,203.495,7936.23,12864.8,2296.4,-203.495,0,294.631,193.275,209.876,0,0,642.812,-1046.36,0,1,0,0,0
17,0,0,17,1,0,1377.84,0,0,0,0,65.383,37.1794,361.691,1487.75,3684.84,10917.4,-361.691,0,58.8678,78.9549,92.3551,0,0,46.1604,-661.685,0,1,0,0,0
17,0,0,17,1,0,5376.49,0,0,0,0,36.636,-11.3065,-190.764,7361.69,11510.1,1689.04,190.764,0,265.345,93.487,99.8303,0,0,156.736,-750.272,0,1,0,0,0
17,0,0,17,1,0,2665.41,0,0,0,0,119.751,130.416,142.818,1968.24,6887.24,14278.3,-142.818,0,70.729,89.4433,106.242,0,0,207.976,-757.582,0,1,0,0,0
17,0,0,17,1,0,2735.82,0,0,0,0,92.8484,-48.2526,-786.102,4636.23,9480.08,1923.36,786.102,0,272.087,94.4848,92.1407,0,0,154.142,-736.703,0,1,0,0,0
17,0,0,17,2,0,3473.56,0,0,0,0,-7.17831,-39.491,-17.745,3849.98,3461.33,8822.9,17.745,0,137.898,174.286,212.419,0,0,244.198,-847.882,0,1,0,0,0
18,0,0,18,1,0,1809.4,0,0,0,0,-15.5747,-11.0431,-5.72821,1524.9,6627.8,3366.5,5.72821,0,54.3397,85.5821,95.9395,0,0,117.482,-702.914,0,1,0,0,0
18,0,0,18,1,0,1404.1,0,0,0,0,169.85,54.6368,-208.121,1367.94,17100.9,6557.59,208.121,0,49.216,70.9325,83.6537,0,0,106.445,-679.744,0,1,0,0,0
18,0,0,18,1,0,2108.58,0,0,0,0,80.0038,-55.4459,36.9505,2536.15,14328.7,2720.08,-36.9505,0,91.0388,70.4877,82.4601,0,0,121.035,-695.99,0,1,0,0,0
18,0,0,18,1,0,3507.08,0,0,0,0,66.6268,42.9625,189.883,4187.93,12664.4,2325.6,-189.883,0,152.399,91.3817,94.7657,0,0,127.307,-721.661,0,1,0,0,0
18,0,0,18,2,0,2623.55,0,0,0,0,109.208,-132.572,-180.158,1918.56,10253.2,1810.3,180.158,0,72.3359,195.29,223.034,0,0,173.96,-812.048,0,1,0,0,0
19,0,0,19,1,0,2113.99,0,0,0,0,64.0773,-51.2823,-223.271,2494.42,15035.5,3110.67,223.271,0,91.4366,78.2058,87.2644,0,0,92.8744,-685.237,0,1,0,0,0
19,0,0,19,1,0,1854.98,0,0,0,0,125.143,47.2824,-826.466,3089.77,13296.7,12289,826.466,0,188.82,83.2242,91.1088,0,0,244.149,-777.604,0,1,0,0,0
19,0,0,19,1,0,5854.17,0,0,0,0,71.4406,94.8775,-194.198,7631.62,7231.62,14511.2,194.198,0,271.678,86.8759,102.805,0,0,198.338,-772.683,0,1,0,0,0
19,0,0,19,1,0,2396.48,0,0,0,0,53.7909,-32.2375,-266.586,2773.61,3597.74,7137.92,266.586,0,102.627,63.8431,71.9274,0,0,372.22,-832.659,0,1,0,0,0
