image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,2639.03,1438.13,1200.9,0,0,61.2687,-32.7267,368.338,2687.17,8623.45,9112.21,-368.338,0,102.33,85.2699,118.308,0,0,498.779,-917.98,0,1,0,0,0
0,0,0,0,1,0,3226.83,2303.54,923.291,0,0,26.6982,69.5744,323.489,3502.98,8559.33,11871.9,-323.489,0,127.259,118.828,117.388,0,0,273.972,-813.665,0,1,0,0,0
0,0,0,0,1,0,3554.01,901.002,2653,0,0,71.9344,80.4719,-283.581,3447.84,8612.79,15117.8,283.581,0,121.328,119.543,154.412,0,0,365.773,-867.804,0,1,0,0,0
0,0,0,0,1,0,3742.77,2402.6,1340.17,0,0,-58.8334,-57.6391,209.252,4882.3,16934.8,2031.44,-209.252,0,177.995,111.375,119.269,0,0,1279.45,-1273.06,0,1,0,0,0
0,0,0,0,1,0,6872,4384.92,2487.07,0,0,18.2257,39.982,323.915,10175.1,10146.8,8546.05,-323.915,0,371.655,91.3081,101.268,0,0,821.413,-1129.53,0,1,0,0,0
0,0,0,0,1,0,7580.69,4261.83,3318.86,0,0,59.2625,-44.9216,171.504,9668.92,14645.5,1821.34,-171.504,0,339.19,110.91,116.339,0,0,1454.97,-1368.12,0,1,0,0,0
0,0,0,0,1,0,7322.83,2632.44,4690.39,0,0,48.6187,-53.0458,-31.1808,6884.86,18307.7,2322.92,31.1808,0,236.931,143.714,187.189,0,0,1735.15,-1482.2,0,1,0,0,0
0,0,0,0,1,0,6875.84,4645.19,2230.64,0,0,68.667,42.2719,403.367,8690.87,17498.2,2227.6,-403.367,0,332.075,142.399,160.649,0,0,1023.31,-1234.05,0,1,0,0,0
0,0,0,0,2,0,3937.02,2740.06,1196.96,0,0,130.98,121.24,508.796,5354.14,8060.29,8366.1,-508.796,0,220.692,172.619,238.525,0,0,366.247,-912.684,0,1,0,0,0
0,0,0,0,2,0,2823.48,1678.2,1145.28,0,0,-52.9316,-110.716,277.251,3619.57,4987.43,5439.98,-277.251,0,138.785,151.105,174.538,0,0,285.585,-844.669,0,1,0,0,0
0,0,0,0,2,0,4493.67,2589.39,1904.28,0,0,75.3031,42.1991,256.986,4776.6,7326.45,6273.96,-256.986,0,168.335,206.474,216.216,0,0,553.827,-1017.12,0,1,0,0,0
0,0,0,0,2,0,3584.61,1844.11,1740.5,0,0,15.2216,58.4665,145.684,4097.84,10840.7,3987.82,-145.684,0,139.493,176.645,187.802,0,0,414.553,-922.125,0,1,0,0,0
0,0,0,0,2,0,5909.77,2702.28,3207.49,0,0,-5.87752,101.047,18.6403,6697.92,15993.7,13518.2,-18.6403,0,224.327,176.392,213.141,0,0,624.024,-1037.63,0,1,0,0,0
0,0,0,0,2,0,7048.53,1433.52,5615.01,0,0,157.544,-39.5723,-827.989,13274.3,9119.32,13066.7,827.989,0,736.347,154.352,179.593,0,0,726.236,-1063.35,0,1,0,0,0
1,0,0,1,1,0,1009.56,440.805,568.758,0,0,-67.6913,-1.23338,-173.554,1047.3,12700,2271.1,173.554,0,37.1691,85.4164,95.7783,0,0,190.381,-735.801,0,1,0,0,0
1,0,0,1,1,0,1514.36,901.603,612.754,0,0,36.9092,-30.7885,263.2,1494.32,10325.5,6840.4,-263.2,0,53.873,86.5719,95.9766,0,0,370.947,-828.586,0,1,0,0,0
1,0,0,1,1,0,5138.36,1730.62,3407.74,0,0,19.5252,-52.3637,-281.309,5856.66,15573.5,2026.16,281.309,0,213.566,96.6531,113.635,0,0,770.938,-1048.53,0,1,0,0,0
1,0,0,1,2,0,3799.86,1913.79,1886.07,0,0,34.1914,98.1359,134.575,4440.72,10328.3,4737.67,-134.575,0,149.831,161.373,184.622,0,0,485.911,-971.687,0,1,0,0,0
1,0,0,1,2,0,7116.72,1830.56,5286.16,0,0,16.7464,5.50046,-285.221,9890.59,13701.2,1869.61,285.221,0,355.193,203.033,212.222,0,0,769.439,-1139.38,0,1,0,0,0
1,0,0,1,2,0,8917.42,2018.41,6899,0,0,114.155,19.7002,-358.471,8828.9,8767.95,14981.2,358.471,0,325.504,237.389,283.635,0,0,1037.47,-1281.83,0,1,0,0,0
2,0,0,2,1,0,2276.56,1392.27,884.293,0,0,84.4349,-49.8649,302.797,2355.59,7514.7,6366.03,-302.797,0,87.0543,89.3854,102.551,0,0,333.057,-819.831,0,1,0,0,0
2,0,0,2,1,0,3204.6,1937.34,1267.26,0,0,-21.4405,-78.8407,202.787,3492.59,16897.4,2052.64,-202.787,0,126.841,99.3104,106.241,0,0,1033.26,-1153.45,0,1,0,0,0
2,0,0,2,1,0,1345.5,874.727,470.768,0,0,43.5182,-43.8186,791.915,1755.95,8049.06,8333.78,-791.915,0,95.672,82.2687,108.808,0,0,273.06,-790.18,0,1,0,0,0
2,0,0,2,1,0,3270.93,1141.62,2129.32,0,0,149.971,-12.8762,-200.198,3489.26,16035.2,2184.06,200.198,0,121.565,108.758,123.336,0,0,467.484,-905.483,0,1,0,0,0
2,0,0,2,1,0,4489.84,2111.63,2378.21,0,0,-5.5525,-10.5993,-3.37475,5114.45,17572.4,2379.16,3.37475,0,174.64,125.928,138.213,0,0,580.864,-979.608,0,1,0,0,0
2,0,0,2,2,0,7852.83,3697.36,4155.47,0,0,15.4335,62.0551,16.4211,10511.6,8866.67,13754.5,-16.4211,0,351.913,178.475,220.696,0,0,492.979,-978.614,0,1,0,0,0
2,0,0,2,2,0,5724.13,3173.54,2550.59,0,0,57.427,2.95482,141.074,8091.89,12476.2,1970.85,-141.074,0,277.288,179.254,189.124,0,0,378.269,-915.463,0,1,0,0,0
2,0,0,2,2,0,7826.17,3244.98,4581.19,0,0,21.7957,48.1544,-10.8418,10339.1,8860.3,9524.78,10.8418,0,346.516,158.564,216.722,0,0,419.37,-942.082,0,1,0,0,0
2,0,0,2,2,0,5266.29,3581.11,1685.19,0,0,153.479,138.378,782.853,7735.7,8531.24,10618.8,-782.853,0,414.128,179.524,232.19,0,0,588.154,-1038.4,0,1,0,0,0
2,0,0,2,2,0,5266.19,1378.38,3887.81,0,0,62.9825,-40.2612,-741.8,9248.43,10891.6,4481.31,741.8,0,474.094,179.264,184.082,0,0,421.085,-934.364,0,1,0,0,0
