image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,974.116,326.083,648.033,0,0,-65.9357,61.9625,-173.469,1107.13,9244.11,4576.47,173.469,0,38.2235,51.6168,77.783,0,0,0.485884,503.505,-774.986,413.059,17.6623,0,1,23.5965,22.784,65.2268
0,0,0,0,0,1,0,1968.3,277.937,1690.36,0,0,-54.9449,-7.23014,-676.816,3269.63,10516.1,8198.5,676.816,0,147.409,58.7226,63.6514,0,0,2.38093,183.972,-710.348,407.42,6.33869,0,1,10.9285,11.1445,58.7918
0,0,0,0,0,1,0,2359.14,1461.82,897.311,0,0,-30.0942,14.4973,249.084,2763.31,3681.62,10150.6,-249.084,0,104.755,77.8306,95.7194,0,0,2.15638,311.522,-803.224,558.921,5.61445,0,1,11.298,10.9175,38.2724
0,0,0,0,0,1,0,2760.2,994.81,1765.39,0,0,69.5804,57.8359,-176.136,3458.05,10588.9,12179.7,176.136,0,117.439,71.7152,86.1524,0,0,3.53785,367.01,-814.868,648.015,4.38988,0,1,9.05085,8.78585,26.5708
0,0,0,0,0,2,0,2295.58,574.665,1720.92,0,0,67.0542,-75.3769,-501.359,2889.51,9703.26,6884.99,501.359,0,113.395,113.691,147.73,0,0,6.84752,493.616,-969.337,1628.24,6.97414,0,1,13.0004,13.3372,73.7578
0,0,0,0,0,2,0,4039.24,1872.25,2166.99,0,0,17.7985,-4.40066,193.642,3951.18,15476.5,10268.2,-193.642,0,145.482,163.299,207.51,0,0,2.24422,625.665,-1025.66,776.015,3.58871,0,1,11.2046,10.8977,33.5127
0,0,0,0,0,2,0,4051.3,1692.65,2358.65,0,0,31.6941,-32.9155,-53.3094,4314.64,4310.67,10198,53.3094,0,148.855,181.027,211.058,0,0,5.45204,605.203,-1034.91,1705.39,3.66987,0,1,10.9311,10.4916,26.512
0,0,0,0,0,2,0,6733.91,2546.01,4187.9,0,0,-21.8781,-55.9567,-102.46,8801.46,1304.85,11602.7,102.46,0,306.523,154.078,183.887,0,0,4.89466,736.053,-1083.33,1287.03,1.72747,0,1,5.38115,5.18337,14.0143
0,0,0,0,0,2,0,3608.94,2374.82,1234.11,0,0,-78.7229,27.6037,788.103,6000.51,13500.6,10532.2,-788.103,0,364.837,127.24,150.02,0,0,3.74909,443.888,-922.41,571.637,3.73553,0,1,8.65893,8.88741,42.8185
0,0,0,0,0,2,0,7218.54,2279.19,4939.35,0,0,-34.6542,-10.8611,-298.75,9792,2205.83,10768.1,298.75,0,348.495,167.663,192.316,0,0,7.28746,450.287,-946.668,3028.77,1.60917,0,1,4.67946,4.67068,18.1759
1,0,0,0,1,1,0,1635.65,581.697,1053.95,0,0,4.1962,35.1142,-140.703,1777.14,11739.9,8945.68,140.703,0,60.4291,63.872,73.7298,0,0,1.63489,184.276,-708.064,268.636,8.55455,0,1,15.5603,15.0271,43.3561
1,0,0,0,1,1,0,2123.84,475.953,1647.89,0,0,28.3924,106.549,-538.752,2579.23,16650.2,10552,538.752,0,101.511,77.2865,92.9008,0,0,1.79648,242.01,-764.268,380.927,6.45331,0,1,13.0159,13.1092,80.2147
1,0,0,0,1,1,0,1382.08,530.809,851.273,0,0,13.0123,-70.6071,-397.541,1445.19,12421.9,9544.85,397.541,0,53.9212,72.2238,80.2311,0,0,0.189312,206.126,-732.918,282.691,11.4451,0,1,17.8202,18.3924,91.3359
1,0,0,0,1,1,0,2694.02,1509.52,1184.51,0,0,-47.9382,1.91968,344.734,3198.72,8831.35,1577.12,-344.734,0,129.545,84.6986,100.511,0,0,0.88831,505.158,-897.92,814.064,4.79578,0,1,9.71837,9.58003,43.3424
1,0,0,0,1,1,0,3055.54,1554.99,1500.54,0,0,190.314,112.217,287.194,2960.52,2375.63,18441.5,-287.194,0,116.623,81.8024,105.056,0,0,2.73435,330.992,-820.355,464.307,4.05036,0,1,10.5395,10.2292,40.0919
1,0,0,0,1,1,0,1994.92,1385.89,609.034,0,0,-18.066,20.2361,823.68,3055.13,708.896,13697.7,-823.68,0,189.594,93.4218,121.058,0,0,1.31383,268.503,-797.855,396.137,7.80573,0,1,14.5308,15.3291,68.2733
2,0,0,0,2,1,0,2204.54,1086.42,1118.12,0,0,7.68495,72.8635,17.0401,2324.21,15881.4,10289.6,-17.0401,0,79.6295,82.709,104.692,0,0,1.53131,256.98,-775.507,327.298,6.36308,0,1,14.6481,13.9525,35.1881
2,0,0,0,2,1,0,2088.47,901.729,1186.74,0,0,-17.8803,24.1683,-47.8034,2906.64,5939.28,10042.2,47.8034,0,99.4962,81.3257,94.4716,0,0,3.07603,287.566,-785.763,390.366,6.70071,0,1,11.4959,10.9404,28.0768
2,0,0,0,2,1,0,1949.62,882.696,1066.92,0,0,73.9905,1.80372,25.5451,2046.76,9597.63,7202.57,-25.5451,0,70.9888,69.1168,83.5622,0,0,1.28199,350.401,-809.638,496.92,6.96462,0,1,14.9592,14.2821,35.86
2,0,0,0,2,1,0,2344.59,621.482,1723.11,0,0,-20.2016,-60.2101,-241.43,3317.21,9000.99,10718.7,241.43,0,117.429,78.6172,99.9939,0,0,3.21127,459.931,-896.217,496.808,5.72226,0,1,9.36192,9.2406,30.914
2,0,0,0,2,1,0,1762.13,1172.73,589.394,0,0,0.400245,-69.028,804.478,2528.04,11250.3,9148.51,-804.478,0,155.458,64.3477,78.0644,0,0,0.880176,308.407,-783.174,345.261,7.80362,0,1,14.1536,15.2609,68.9326
2,0,0,0,2,2,0,5188.61,2877.44,2311.17,0,0,28.7273,-34.2933,25.4404,6107.97,1254.24,12469.2,-25.4404,0,213.438,179.607,207.133,0,0,3.62568,696.439,-1079.86,1023.86,2.56849,0,1,8.02664,7.68833,19.446
3,0,0,0,3,1,0,2974.02,1238.55,1735.47,0,0,48.1559,4.15773,-28.8001,3906.65,5182.41,9963.53,28.8001,0,133.947,72.4535,87.6245,0,0,5.42653,342.256,-825.382,986.06,3.9954,0,1,8.56399,8.21658,20.8671
