image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,1126.54,631.195,495.346,0,0,-119.881,40.5288,330.358,1156.31,1008.09,2130.65,-330.358,0,47.2427,68.6286,78.2793,0,0,240.997,-741.008,0,1,0,0,0
0,0,0,0,1,0,1552.47,688.284,864.191,0,0,11.5449,60.4948,44.1047,1687.76,2949.16,5170.08,-44.1047,0,58.1787,76.6946,91.6725,0,0,210.657,-739.348,0,1,0,0,0
0,0,0,0,1,0,2153.5,988.539,1164.96,0,0,70.0181,-70.7381,1.59172,2426.47,13055.8,10827.9,-1.59172,0,85.6021,87.2657,89.9036,0,0,489.853,-904.92,0,1,0,0,0
0,0,0,0,1,0,5099.15,2787.14,2312.01,0,0,-1.47484,-46.8693,290.281,6581.13,8982.26,7251.24,-290.281,0,258.608,61.8108,83.4842,0,0,303.419,-797.39,0,1,0,0,0
0,0,0,0,1,0,2059.29,1334.19,725.097,0,0,14.3477,-97.1968,338.702,2825.66,1959.45,2564.45,-338.702,0,116.802,86.2482,96.5793,0,0,237.724,-770.312,0,1,0,0,0
0,0,0,0,2,0,1964.38,1120.01,844.369,0,0,27.4828,-72.0209,109.745,2302.93,16256.4,12408.3,-109.745,0,83.4913,114.539,126.967,0,0,280.223,-809.251,0,1,0,0,0
0,0,0,0,2,0,2999.89,1042.33,1957.57,0,0,108.72,5.55133,-304.512,3892.86,16866,12824.1,304.512,0,137.238,122.039,129.895,0,0,268.917,-816.854,0,1,0,0,0
0,0,0,0,2,0,3859.05,1539.61,2319.44,0,0,56.2921,12.7739,-71.1167,5246.21,2016.2,3934.83,71.1167,0,178.778,155.766,179.484,0,0,291.439,-853.955,0,1,0,0,0
0,0,0,0,2,0,2966.53,843.915,2122.62,0,0,26.5033,-70.0961,-305.335,4137.44,17540.3,13393.2,305.335,0,148.664,130.897,140.911,0,0,455.966,-912.332,0,1,0,0,0
0,0,0,0,2,0,4666.4,2233.89,2432.51,0,0,-30.2531,-54.8821,99.0053,5443.57,9011.04,16930.9,-99.0053,0,196.294,213.455,240.926,0,0,573.824,-1027.44,0,1,0,0,0
0,0,0,0,2,0,3200.07,1764.97,1435.1,0,0,-42.7125,-11.4892,621.091,3876.8,5865.42,7511.93,-621.091,0,198.996,137.234,170.291,0,0,449.364,-923.55,0,1,0,0,0
0,0,0,0,2,0,3300.96,1028.13,2272.83,0,0,-24.2777,46.6022,-208.98,3638.24,4958.78,7157.77,208.98,0,125.131,152.501,180.399,0,0,237.749,-823.978,0,1,0,0,0
1,0,0,1,1,0,2240.07,1188.73,1051.34,0,0,-4.01984,29.1535,84.2197,2422.64,18064.3,14083.5,-84.2197,0,84.8275,86.1926,95.2054,0,0,373.213,-837.254,0,1,0,0,0
1,0,0,1,1,0,2541.8,1573.05,968.757,0,0,25.6626,35.8582,438.037,3100.61,11817.1,3319.6,-438.037,0,132.886,87.1259,93.6883,0,0,251.489,-775.014,0,1,0,0,0
2,0,0,2,1,0,2394.91,1536.53,858.38,0,0,15.1671,35.4453,268.399,3400.54,9163,12498.2,-268.399,0,129.264,87.7244,91.2089,0,0,246.495,-773.973,0,1,0,0,0
3,0,0,3,1,0,1078.74,723.48,355.256,0,0,-44.5754,31.8077,557.305,1037.73,8531.92,13982.2,-557.305,0,49.8852,73.1157,81.8509,0,0,300.257,-776.798,0,1,0,0,0
3,0,0,3,1,0,2406.02,1376.42,1029.59,0,0,-32.7102,-4.20025,166.816,3508.43,1118.3,1780.62,-166.816,0,128.179,78.6273,86.5115,0,0,287.146,-786.6,0,1,0,0,0
3,0,0,3,1,0,2527.15,987.227,1539.92,0,0,19.3463,30.2602,-22.4938,2624.18,9060.13,16747,22.4938,0,89.669,92.5454,107.772,0,0,365.564,-838.886,0,1,0,0,0
3,0,0,3,2,0,2791.57,1611.35,1180.21,0,0,-88.7231,-26.1224,178.366,3714.64,8970.82,12855.8,-178.366,0,139.262,143.85,152.778,0,0,288.336,-839.834,0,1,0,0,0
3,0,0,3,2,0,4161.33,1135.13,3026.2,0,0,6.83161,-20.2192,-317.874,5063.67,17757.4,18179.2,317.874,0,180.424,180.489,228.657,0,0,211.405,-831.464,0,1,0,0,0
3,0,0,3,2,0,5151.48,3436.64,1714.83,0,0,-15.3329,19.0571,366.51,7260.86,14522.8,11527.7,-366.51,0,296.163,146.95,168.218,0,0,538.181,-983.025,0,1,0,0,0
4,0,0,4,1,0,1461.31,831.3,630.005,0,0,-48.4709,-25.7239,196.053,1613,8831.88,14335.8,-196.053,0,60.2693,70.3273,83.2865,0,0,179.732,-717.038,0,1,0,0,0
4,0,0,4,1,0,3542.01,2024.51,1517.5,0,0,47.0169,72.5152,116.724,3764.99,9229.84,7033.16,-116.724,0,132.413,86.9677,96.3983,0,0,484.154,-906.821,0,1,0,0,0
4,0,0,4,2,0,5834.53,2685.3,3149.23,0,0,34.5356,30.3334,11.3847,7602.75,12104.3,3522.51,-11.3847,0,261.095,164.454,186.06,0,0,426.756,-933.515,0,1,0,0,0
5,0,0,5,1,0,2077.82,897.485,1180.34,0,0,34.3572,25.5669,-26.9858,2149.53,18223.3,14580.6,26.9858,0,73.422,84.3996,101.329,0,0,277.922,-785.887,0,1,0,0,0
5,0,0,5,1,0,3425.07,1385.68,2039.39,0,0,-39.9802,-34.6735,-101.406,4880.74,15534.3,11877.5,101.406,0,169.459,72.8679,74.3839,0,0,249.468,-763.176,0,1,0,0,0
5,0,0,5,2,0,5295.65,3728.01,1567.64,0,0,-11.0631,22.3374,721.748,8231.98,9880.06,6885.96,-721.748,0,459.31,124.429,161.574,0,0,502.861,-964.046,0,1,0,0,0
6,0,0,6,1,0,1098.81,752.48,346.326,0,0,-61.5495,-49.7556,378.231,1241.65,2134.04,2714.39,-378.231,0,52.3901,76.1095,91.3885,0,0,155.823,-711.701,0,1,0,0,0
6,0,0,6,1,0,1049.02,697.467,351.554,0,0,138.86,-3.02085,313.185,977.184,14862,11352.4,-313.185,0,38.98,69.8924,69.4785,0,0,175.462,-703.233,0,1,0,0,0
6,0,0,6,1,0,2281.77,1593.84,687.929,0,0,-0.0892913,-62.8983,449.35,3536.82,9079.57,12300.5,-449.35,0,156.724,66.9144,80.5238,0,0,252.63,-762.653,0,1,0,0,0
6,0,0,6,2,0,4425.45,2382.49,2042.96,0,0,101.363,43.9561,97.604,5309.64,18057.6,14167.4,-97.604,0,187.045,151.914,170.254,0,0,368.555,-892.437,0,1,0,0,0
6,0,0,6,2,0,3820.49,1234.42,2586.07,0,0,9.39063,-8.15257,-156.442,5513.03,8971.4,13824.8,156.442,0,189.019,162.616,180.766,0,0,216.476,-823.412,0,1,0,0,0
6,0,0,6,2,0,3307.66,2157.77,1149.9,0,0,-95.1069,-92.0433,265.927,4377.62,8681.14,16178.5,-265.927,0,176.092,169.361,189.944,0,0,339.387,-887.483,0,1,0,0,0
7,0,0,7,1,0,1979.27,1409.49,569.778,0,0,-195.487,-45.4804,312.401,2524.72,8485.45,16921.5,-312.401,0,109.136,88.3134,95.8107,0,0,365.255,-826.029,0,1,0,0,0
