image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,2414.79,0,0,0,0,55.3882,50.1749,179.248,1732.51,13958.6,5871.23,-179.248,0,62.4421,113.652,124.486,0,0,224.908,-783.4,0,1,0,0,0
0,0,0,0,1,0,996.472,0,0,0,0,-133.108,182.167,-163.766,721.648,5166.3,903.424,163.766,0,27.1838,62.973,74.3294,0,0,84.003,-654.772,0,1,0,0,0
0,0,0,0,1,0,4316.8,0,0,0,0,27.2338,17.2658,194.468,5441.45,10730,6002.82,-194.468,0,197.438,76.5481,95.8903,0,0,294.218,-807.233,0,1,0,0,0
0,0,0,0,1,0,3426,0,0,0,0,41.023,63.4074,-376.417,4525.89,7360.73,4871.09,376.417,0,171.606,65.0978,78.1593,0,0,219.866,-749.074,0,1,0,0,0
0,0,0,0,2,0,7939.25,0,0,0,0,5.68272,-30.5587,935.701,12442.4,6211.79,3879.47,-935.701,0,834.659,114.282,171.261,0,0,484.822,-954.23,0,1,0,0,0
1,0,0,1,1,0,1343.11,0,0,0,0,-27.1506,-44.0369,-444.475,1375.22,10389.6,8728.76,444.475,0,56.0585,63.2064,77.5531,0,0,72.6393,-655.884,0,1,0,0,0
1,0,0,1,1,0,3585.45,0,0,0,0,60.8129,3.91923,-267.48,4112.43,11189.8,5917.48,267.48,0,148.18,81.7914,105.86,0,0,121.133,-721.653,0,1,0,0,0
1,0,0,1,1,0,3316.42,0,0,0,0,43.9202,-12.7722,-164.101,4347.59,8048.66,9487.01,164.101,0,152.697,60.3848,70.8915,0,0,120.634,-690.699,0,1,0,0,0
2,0,0,2,1,0,2830.16,0,0,0,0,9.53048,26.674,49.3526,3223.64,1964.27,16553.2,-49.3526,0,112.383,75.1358,89.5486,0,0,185.29,-737.371,0,1,0,0,0
2,0,0,2,1,0,2550.14,0,0,0,0,81.2572,83.5669,8.9618,3025.57,15807.8,5245.69,-8.9618,0,104.856,80.8728,100.296,0,0,101.147,-702.007,0,1,0,0,0
2,0,0,2,2,0,2810.84,0,0,0,0,3.67732,123.171,279.761,2999.74,5522.96,2837.53,-279.761,0,113.113,135.153,163.128,0,0,116.695,-753.009,0,1,0,0,0
3,0,0,3,1,0,1187.33,0,0,0,0,26.1975,7.30789,241.15,772.59,4414.85,3841.6,-241.15,0,28.5649,65.3532,69.1655,0,0,78.4877,-651.921,0,1,0,0,0
3,0,0,3,1,0,3435.96,0,0,0,0,67.9257,-31.3343,-187.357,3619.42,8222.03,9406.88,187.357,0,128.175,68.1711,84.5278,0,0,339.08,-817.608,0,1,0,0,0
3,0,0,3,1,0,3666.67,0,0,0,0,81.3898,7.89244,-260.296,3627.93,6234.77,10551.9,260.296,0,130.322,99.5098,112.323,0,0,217.628,-777.241,0,1,0,0,0
3,0,0,3,1,0,1961.01,0,0,0,0,223.215,33.2093,-778.446,2148.87,17146.2,4013.08,778.446,0,117.644,90.2197,106.962,0,0,95.4509,-702.664,0,1,0,0,0
4,0,0,4,2,0,3143.17,0,0,0,0,21.9735,-22.0351,-1.83547,3960.09,12709,8410.69,1.83547,0,137.743,143.61,158.801,0,0,100.194,-748.94,0,1,0,0,0
5,0,0,5,1,0,1397.37,0,0,0,0,9.8815,123.959,284.209,1110.67,12425.1,5896.13,-284.209,0,41.9309,82.5737,94.5286,0,0,52.3414,-666.151,0,1,0,0,0
5,0,0,5,1,0,1525.37,0,0,0,0,11.4419,-10.0097,-224.489,1498.47,7883.76,9484.25,224.489,0,53.611,60.5945,75.9054,0,0,164.114,-697.4,0,1,0,0,0
5,0,0,5,1,0,2479.99,0,0,0,0,41.3404,40.8816,274.302,2133.76,14071.3,5880.52,-274.302,0,79.7365,99.3539,111.981,0,0,167.311,-746.499,0,1,0,0,0
5,0,0,5,1,0,1140.88,0,0,0,0,142.159,356.957,393.261,1074.79,8049.11,4774.92,-393.261,0,48.2336,72.3265,84.1989,0,0,59.4761,-658.618,0,1,0,0,0
5,0,0,5,2,0,3832.77,0,0,0,0,-54.8888,81.4327,116.445,4921.39,6568.43,4162.24,-116.445,0,176.668,144.428,157.663,0,0,172.92,-788.218,0,1,0,0,0
6,0,0,6,1,0,1237.02,0,0,0,0,23.2155,-6.63971,-469.734,1081.23,7674.6,4645.07,469.734,0,43.9912,74.7748,88.4121,0,0,29.9768,-646.175,0,1,0,0,0
6,0,0,6,1,0,1850.95,0,0,0,0,-48.0743,-30.1416,44.3081,2036.82,3896.98,12958.5,-44.3081,0,72.2403,59.5068,78.3883,0,0,173.335,-708.246,0,1,0,0,0
6,0,0,6,1,0,4355.92,0,0,0,0,37.7971,27.526,31.2825,4188.51,6179.67,10532.3,-31.2825,0,145.267,104.87,112.033,0,0,317.161,-826.49,0,1,0,0,0
6,0,0,6,1,0,2863.32,0,0,0,0,110.241,83.0009,75.3129,2585.95,16371,4654.12,-75.3129,0,90.9979,91.8232,112.1,0,0,229.897,-780.285,0,1,0,0,0
6,0,0,6,2,0,3940.28,0,0,0,0,-52.426,-7.27068,-129.265,4390.35,8638.46,5336.53,129.265,0,155.616,147.7,173.307,0,0,154.458,-782.348,0,1,0,0,0
7,0,0,7,1,0,1657.87,0,0,0,0,69.5021,35.3181,0.857078,1562.65,12069.4,5984.77,-0.857078,0,53.9907,77.6212,94.0925,0,0,85.0499,-683.007,0,1,0,0,0
7,0,0,7,2,0,2519.92,0,0,0,0,-76.0506,-119.491,72.9546,2379.27,10241.1,8606.83,-72.9546,0,88.4699,128.21,145.185,0,0,159.288,-768.081,0,1,0,0,0
7,0,0,7,2,0,3006.77,0,0,0,0,-78.1056,127.815,-130.549,3942.21,11230.1,5892.28,130.549,0,141.445,138.116,178.362,0,0,83.7321,-743.719,0,1,0,0,0
8,0,0,8,1,0,868.965,0,0,0,0,100.389,141.013,166.931,687.823,7202.67,4596.11,-166.931,0,25.0073,60.5566,73.0771,0,0,60.2172,-640.77,0,1,0,0,0
8,0,0,8,1,0,889.996,0,0,0,0,-55.9996,97.9064,101.025,711.581,7951.2,4639.21,-101.025,0,25.4953,61.2103,77.1723,0,0,46.7109,-637.238,0,1,0,0,0
8,0,0,8,1,0,1037.54,0,0,0,0,-10.6951,-56.799,-786.87,1590.47,8892.8,9234.97,786.87,0,90.5674,57.2109,67.8727,0,0,87.73,-654.589,0,1,0,0,0
8,0,0,8,1,0,4134.75,0,0,0,0,-33.0141,15.2206,200.23,4792.99,9309.87,5610.11,-200.23,0,175.675,69.4542,78.716,0,0,245.187,-767.184,0,1,0,0,0
8,0,0,8,2,0,2836.46,0,0,0,0,38.3403,56.2732,-346.9,3102.17,5290.92,2016.22,346.9,0,115.66,157.452,183.922,0,0,70.0572,-741.976,0,1,0,0,0
9,0,0,9,1,0,1387.79,0,0,0,0,-76.3473,77.6263,-300.776,1295.67,7675.48,4758.18,300.776,0,48.5265,66.3368,85.2311,0,0,82.6067,-666.793,0,1,0,0,0
9,0,0,9,1,0,2463.4,0,0,0,0,-34.1186,21.2744,-136.172,1888.68,6547.66,10242.5,136.172,0,66.4735,95.802,108.588,0,0,103.186,-707.25,0,1,0,0,0
9,0,0,9,1,0,2340.54,0,0,0,0,84.2774,-64.3821,371.992,2263.67,5738.43,11019,-371.992,0,90.642,93.0048,104.855,0,0,255.005,-786.705,0,1,0,0,0
9,0,0,9,1,0,1198.52,0,0,0,0,-148.794,214.653,31.1916,1006.44,2517.35,15773.1,-31.1916,0,38.3835,69.5328,73.9119,0,0,183.463,-712.525,0,1,0,0,0
