image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,2114.22,0,0,0,0,80.8548,58.7974,207.414,2103.97,11959.3,9020.68,-207.414,0,76.9626,83.2298,89.3052,0,0,0,74.4009,-678.394,0,0,0,1,0,0,0
0,0,0,0,0,1,0,1693.9,0,0,0,0,8.39334,-11.7232,-146.687,1622.6,11242.3,8795.13,146.687,0,58.1441,77.0338,90.473,0,0,0,65.9777,-669.842,0,0,0,1,0,0,0
0,0,0,0,0,1,0,2338.34,0,0,0,0,69.0091,67.4227,219.82,2115.4,14339.7,17795.5,-219.82,0,77.6664,77.7428,83.361,0,0,0,198.382,-732.112,0,0,0,1,0,0,0
0,0,0,0,0,1,0,2624.72,0,0,0,0,68.5048,1.10807,-86.97,3037.54,6445.04,8880.99,86.97,0,106.817,55.7087,66.9198,0,0,0,119.96,-681.583,0,0,0,1,0,0,0
0,0,0,0,0,1,0,3235.26,0,0,0,0,111.529,32.6197,96.3484,2536.35,14692,16547.3,-96.3484,0,90.3041,90.7541,95.1955,0,0,0,142.86,-723.177,0,0,0,1,0,0,0
0,0,0,0,0,1,0,2650.14,0,0,0,0,37.3828,-14.4725,-2.77136,3049.94,13581.8,10179.5,2.77136,0,107.787,75.8152,86.2847,0,0,0,250.223,-767.643,0,0,0,1,0,0,0
1,0,0,0,1,1,0,3039.79,0,0,0,0,94.8418,31.9311,214.994,2493.58,14708.7,16844.1,-214.994,0,91.8952,94.076,93.3991,0,0,0,244.446,-774.732,0,0,0,1,0,0,0
1,0,0,0,1,1,0,5333.09,0,0,0,0,21.8078,29.3344,131.614,6113.59,9649.81,8260.63,-131.614,0,219.473,83.2234,91.6273,0,0,0,221.686,-772.283,0,0,0,1,0,0,0
1,0,0,0,1,1,0,5851.14,0,0,0,0,20.0604,35.63,-161.213,6096.46,8269.9,8353.02,161.213,0,216.897,80.8222,107.394,0,0,0,255.186,-792.353,0,0,0,1,0,0,0
2,0,0,0,2,2,0,3173.42,0,0,0,0,-66.8254,36.9671,-25.6533,4213.93,3422.29,18418.1,25.6533,0,151.322,112.714,138.081,0,0,0,259.827,-819.35,0,0,0,1,0,0,0
3,0,0,0,3,1,0,1596.41,0,0,0,0,59.4392,13.3008,-55.5922,1306.96,12079.4,9066.18,55.5922,0,45.791,68.9972,78.436,0,0,0,119.79,-683.18,0,0,0,1,0,0,0
