image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,1432.2,0,0,0,0,-65.0689,45.1376,282.304,1483.01,6381.23,5086.74,-282.304,0,57.3275,45.2734,51.0059,0,0,132.928,-654.263,0,1,0,0,0
0,0,0,0,1,0,971.019,0,0,0,0,-65.5785,-28.2292,270.261,987.822,5493.53,6344.39,-270.261,0,38.5454,36.9595,44.1967,0,0,63.0442,-600.072,0,1,0,0,0
0,0,0,0,1,0,1353.57,0,0,0,0,23.1129,116.359,125.155,1394.42,5799.6,12713.3,-125.155,0,49.7576,42.472,49.834,0,0,121.47,-649.481,0,1,0,0,0
0,0,0,0,1,0,2101.07,0,0,0,0,-23.4205,-8.63559,78.4254,2374.78,8905.52,3660.17,-78.4254,0,85.6278,48.3357,53.9284,0,0,174.415,-687.589,0,1,0,0,0
0,0,0,0,1,0,2199.68,0,0,0,0,69.2825,86.5352,157.277,2544.81,11378.8,14124.8,-157.277,0,91.3533,39.8445,43.8033,0,0,167.64,-677.358,0,1,0,0,0
0,0,0,0,1,0,2312.33,0,0,0,0,15.05,47.661,474.299,2709.9,16367.5,9623.96,-474.299,0,115.484,43.5147,50.3473,0,0,77.3711,-631.532,0,1,0,0,0
0,0,0,0,2,0,1771.6,0,0,0,0,26.6374,-75.0101,171.842,2054.14,10928,2640.95,-171.842,0,76.863,77.8285,97.7625,0,0,199.047,-743.905,0,1,0,0,0
0,0,0,0,2,0,3083.42,0,0,0,0,5.71126,-15.1469,223.26,2805.99,9468.53,3469.3,-223.26,0,105.012,105.377,119.942,0,0,246.334,-791.357,0,1,0,0,0
0,0,0,0,2,0,1727.98,0,0,0,0,29.7937,-27.7419,-516.268,2544.92,8260.17,13647,516.268,0,110.363,77.0933,94.8748,0,0,47.4096,-666.644,0,1,0,0,0
1,0,0,1,1,0,1383.28,0,0,0,0,-27.1976,-38.0369,343.888,1700.81,6145.98,5071.23,-343.888,0,68.3767,32.362,38.3797,0,0,58.0905,-592.648,0,1,0,0,0
1,0,0,1,1,0,3788.56,0,0,0,0,87.2117,-54.9623,-361.84,5791.21,11755.6,2028.76,361.84,0,225.23,36.7394,38.4941,0,0,73.0622,-634.718,0,1,0,0,0
1,0,0,1,1,0,3773.18,0,0,0,0,39.2383,8.19438,-189.178,5035.1,7461.2,4235.48,189.178,0,180.623,40.9661,50.8095,0,0,144.291,-679.591,0,1,0,0,0
1,0,0,1,2,0,3863.1,0,0,0,0,57.5112,-1.38793,558.226,4601.74,13561.7,12633.7,-558.226,0,210.207,82.5242,92.3129,0,0,90.0496,-698.65,0,1,0,0,0
2,0,0,2,1,0,1888.53,0,0,0,0,-54.4988,-17.6362,106.229,2217.09,9331.36,3471.79,-106.229,0,81.3049,42.7185,48.6032,0,0,115.767,-646.321,0,1,0,0,0
2,0,0,2,2,0,2295.47,0,0,0,0,-18.2178,-30.0879,247.225,2429.32,6334.38,5063.28,-247.225,0,92.6315,74.5255,85.5307,0,0,184.747,-730.206,0,1,0,0,0
3,0,0,3,1,0,1077.09,0,0,0,0,57.0612,-28.5288,-475.428,1212.95,8726.35,13845.1,475.428,0,50.5873,35.4614,41.5912,0,0,33.9112,-580.76,0,1,0,0,0
3,0,0,3,1,0,1043.64,0,0,0,0,10.1909,77.8172,179.04,1122.05,14003.8,11271.5,-179.04,0,40.6978,40.3826,51.7905,0,0,25.666,-592.314,0,1,0,0,0
3,0,0,3,1,0,1346.33,0,0,0,0,70.4803,46.6685,-367.951,1580.14,12364.5,13375.2,367.951,0,60.6199,35.5446,43.4846,0,0,79.5122,-611.521,0,1,0,0,0
3,0,0,3,2,0,1999.69,0,0,0,0,19.3247,80.8073,-594.727,2144.91,5112.56,7419.63,594.727,0,100.124,79.0699,102.499,0,0,233.042,-767.108,0,1,0,0,0
4,0,0,4,1,0,1776.76,0,0,0,0,-37.6578,-27.2401,245.548,2185.6,6945.96,4369.6,-245.548,0,83.5822,31.6838,35.7853,0,0,133.285,-633.894,0,1,0,0,0
4,0,0,4,1,0,1971.33,0,0,0,0,40.1884,27.8497,-360.613,2758.96,18513.5,7077.83,360.613,0,105.932,54.3622,55.3479,0,0,114.363,-668.564,0,1,0,0,0
4,0,0,4,2,0,3103.54,0,0,0,0,78.8201,27.0744,816.669,4448.19,12060,13690.8,-816.669,0,257.958,68.9006,90.8831,0,0,172.495,-732.972,0,1,0,0,0
5,0,0,5,1,0,1159.67,0,0,0,0,145.775,146.356,232.286,1091.15,10907.5,14262.4,-232.286,0,40.6794,38.708,42.795,0,0,127.957,-635.388,0,1,0,0,0
