image-ID,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,chisq,log-likelihood,fiducial,valid,driftx,drifty,driftz
0,0,0,0,1,0,1570.24,823.046,747.197,0,0,-79.8617,131.905,91.7155,1467.28,13896.5,13487.3,-91.7155,0,50.6971,71.7093,80.773,0,0,301.226,-771.934,0,1,0,0,0
0,0,0,0,1,0,1884.82,955.727,929.097,0,0,-6.21262,100.885,192.5,2108.69,15007.1,14603.9,-192.5,0,72.7084,65.5307,79.7149,0,0,374.032,-803.542,0,1,0,0,0
0,0,0,0,1,0,2202.14,1020.91,1181.23,0,0,-40.6593,40.7266,33.8095,2207.69,12771.7,12295.5,-33.8095,0,75.2231,85.807,88.7166,0,0,271.567,-777.7,0,1,0,0,0
0,0,0,0,1,0,2283.14,1177.37,1105.77,0,0,-22.1302,-22.2101,99.311,2224.16,10483.3,5844.92,-99.311,0,77.0557,80.9966,95.1115,0,0,388.7,-835.365,0,1,0,0,0
0,0,0,0,1,0,3039.35,1502.33,1537.02,0,0,70.8211,21.0206,195.331,2790.78,10291.6,18039.2,-195.331,0,96.5966,79.4219,86.7822,0,0,801.223,-1020.92,0,1,0,0,0
0,0,0,0,2,0,2740.77,1698.06,1042.71,0,0,-23.4332,-83.7231,355.448,3350.57,17787.6,1860.14,-355.448,0,130.661,118.668,144.809,0,0,467.933,-912.278,0,1,0,0,0
0,0,0,0,2,0,4526.42,1357.76,3168.66,0,0,32.4786,-6.4467,-292.939,5303.26,13685.4,1881.56,292.939,0,191.17,142.083,163.305,0,0,399.371,-902.811,0,1,0,0,0
0,0,0,0,2,0,4604.91,3119.37,1485.53,0,0,123.278,47.6558,792.98,5892.92,10831.3,9031.82,-792.98,0,316.672,193.792,224.012,0,0,547.994,-1006.52,0,1,0,0,0
0,0,0,0,2,0,6627.53,3043.6,3583.93,0,0,-28.174,84.0123,-23.5375,7591.58,10588,7909.88,23.5375,0,256.089,184.55,228.577,0,0,493.493,-985.108,0,1,0,0,0
1,0,0,1,1,0,2401.61,1153.46,1248.15,0,0,113.581,-75.0038,33.1468,2337.74,15972.9,1456.66,-33.1468,0,81.415,64.0715,73.8484,0,0,1128.38,-1163.74,0,1,0,0,0
1,0,0,1,2,0,8259.35,2367.48,5891.87,0,0,59.3905,44.2266,-122.437,9876.32,15336.3,1534.81,122.437,0,333.127,129.698,170.362,0,0,1299.49,-1344.3,0,1,0,0,0
2,0,0,2,1,0,1687.99,979.322,708.67,0,0,-47.8425,53.7198,241.585,1869.53,9226.01,10407.4,-241.585,0,66.6175,82.9272,81.0105,0,0,254.925,-757.608,0,1,0,0,0
2,0,0,2,1,0,1559.33,926.763,632.567,0,0,72.7292,-49.352,184.783,1812.54,8315.92,7155.03,-184.783,0,63.9381,50.8597,55.8636,0,0,192.122,-689.948,0,1,0,0,0
2,0,0,2,1,0,2333.07,868.545,1464.53,0,0,-26.9086,22.0257,50.8792,2906.43,10389.4,5899.37,-50.8792,0,99.0884,71.8495,92.4926,0,0,308.098,-798.266,0,1,0,0,0
2,0,0,2,1,0,3180.99,1971.34,1209.65,0,0,112.986,60.8871,377.005,3264.29,9756.01,13262.3,-377.005,0,122.565,87.9628,94.2874,0,0,804.94,-1064.37,0,1,0,0,0
2,0,0,2,2,0,3332.12,1958.18,1373.94,0,0,57.0911,18.2724,313.208,3429.67,10404,7284.79,-313.208,0,124.709,153.326,180.05,0,0,590.509,-1000.33,0,1,0,0,0
2,0,0,2,2,0,3371.4,1580.34,1791.07,0,0,-42.2099,141.342,63.2187,3910.99,14253.6,13971.3,-63.2187,0,132.665,117.341,144.563,0,0,574.24,-972.805,0,1,0,0,0
3,0,0,3,1,0,1307.9,647.254,660.642,0,0,-30.5776,80.569,117.066,1314.33,11676,10775.3,-117.066,0,44.8099,80.8344,94.0919,0,0,246.122,-763.571,0,1,0,0,0
3,0,0,3,1,0,963.886,554.412,409.474,0,0,29.7689,-8.40857,780.091,885.928,15859.3,15305.4,-780.091,0,47.4087,61.9212,76.0731,0,0,254.075,-738.866,0,1,0,0,0
