image-ID,time-point,cycle,z-step,frame,accum,probe,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,stdev,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,llr,accuracy,fiducial,valid,precisionx,precisiony,precisionz
0,0,0,0,0,1,0,1527.68,992.666,535.011,0,0,27.9393,-9.63812,135.573,1116.96,7867.26,9483.88,-135.573,0,36.7892,273.641,314.233,0,0,1.08349,248.881,-878.204,277.162,20.4052,0,1,39.4112,39.7089,142.117
0,0,0,0,0,1,0,1927.28,997.806,929.472,0,0,132.623,-128.385,369.467,1163.39,9933.76,5358.96,-369.467,0,43.8329,245.628,288.517,0,0,1.22276,231.179,-860.351,275.738,12.7589,0,1,36.282,38.5779,151.08
0,0,0,0,0,1,0,2548.03,962.25,1585.78,0,0,-61.3631,64.7014,40.9382,2664.91,5193.24,11482,-40.9382,0,87.7069,215.412,237.697,0,0,2.54562,336.246,-898.52,383.845,7.28312,0,1,14.8989,14.7266,56.9051
0,0,0,0,0,1,0,4070.93,2233.11,1837.82,0,0,-1.0284,56.0245,315.568,3614.48,8389.68,7543.11,-315.568,0,126.32,290.21,330.412,0,0,2.35552,588.977,-1056.14,845.395,4.17582,0,1,13.5678,13.9074,52.5451
0,0,0,0,0,1,0,3582.53,1824.33,1758.19,0,0,0.555702,132.286,367.429,2739.94,6710.36,11118.4,-367.429,0,98.9809,273.867,315.942,0,0,2.45023,398.187,-956.402,563.408,4.95136,0,1,17.3727,18.0357,71.4277
0,0,0,0,0,1,0,14469,6859.42,7609.57,0,0,8.31353,44.1036,35.5819,15429.3,6702.61,10219.7,-35.5819,0,500.845,305.097,335.067,0,0,15.2707,466.401,-1007.46,1976.91,0.718699,0,1,3.5435,3.51245,14.048
0,0,0,0,0,1,0,5859.03,3460.67,2398.36,0,0,17.5481,10.9564,343.792,5971.67,8765.86,6897.34,-343.792,0,211.794,299.423,335.215,0,0,7.99713,863.122,-1201.68,1099.49,2.44231,0,1,8.66484,8.97886,34.0773
0,0,0,0,0,3,0,7317.7,3548.75,3768.95,0,0,-52.8869,-69.1446,-1.19426,6803.29,7158.57,9049.93,1.19426,0,227.484,812.991,900.127,0,0,21.8273,677.487,-1202.07,3650.33,3.00557,0,1,10.9033,10.8307,42.6077
0,0,0,0,0,3,0,14814.8,10175.5,4639.34,0,0,13.1679,17.0561,433.044,17210.2,7783.34,8272.9,-433.044,0,643.763,871.364,941.888,0,0,10.396,1024.21,-1385.72,1833.19,1.02433,0,1,5.30753,5.58891,22.9993
1,0,0,0,1,1,0,1676.56,854.75,821.813,0,0,86.1058,-54.4152,-102.981,875.935,10177.7,5284.99,102.981,0,29.1007,248.37,289.641,0,0,0.493349,225.426,-856.015,246.058,16.2608,0,1,47.0336,46.314,192.461
1,0,0,0,1,1,0,13002.8,6141,6861.82,0,0,11.1036,-25.7556,-1.93366,12769.8,6699.82,10092.1,1.93366,0,417.806,317.057,338.946,0,0,8.98937,918.685,-1232.93,1954.06,0.829025,0,1,4.15698,4.12217,16.7271
1,0,0,0,1,1,0,5497.79,2626.39,2871.41,0,0,54.7716,67.4831,206.17,4202,6261.39,12170.1,-206.17,0,139.872,278.887,333.684,0,0,3.10974,550.33,-1029.68,676.488,2.63425,0,1,11.3622,11.5308,42.1721
1,0,0,0,1,1,0,3063.74,1645,1418.74,0,0,11.3249,111.016,448.104,2373.84,8081.26,9165.84,-448.104,0,89.8674,285.406,333.864,0,0,1.44376,355.326,-939.762,426.565,6.53415,0,1,21.0345,22.2521,97.9482
2,0,0,0,2,1,0,1780.29,818.055,962.237,0,0,187.371,-100.54,-238.041,992.77,9681.63,5528.49,238.041,0,35.2739,251.233,289.802,0,0,1.52034,260.661,-875.315,249.003,14.7354,0,1,41.602,40.9845,192.305
2,0,0,0,2,1,0,1736.29,922,814.292,0,0,63.0077,-25.0749,-29.0172,989.678,10398.1,4762.2,29.0172,0,32.3238,239.905,280.887,0,0,0.933532,272.247,-878.373,281.134,14.9639,0,1,41.1796,40.8742,160.285
2,0,0,0,2,1,0,4734.44,2613,2121.44,0,0,-45.3687,12.7473,23.3721,3922.69,6460.22,10448.4,-23.3721,0,128.881,299.204,316.238,0,0,3.80783,448.122,-983.307,560.18,3.30399,0,1,11.7884,11.7125,45.7025
2,0,0,0,2,1,0,4316.99,2126.56,2190.44,0,0,192.809,48.4195,-70.4328,3920.57,8393.22,9129.75,70.4328,0,129.284,277.572,326.088,0,0,4.76996,535.022,-1035.9,714.891,3.75718,0,1,11.7574,11.504,47.1521
2,0,0,0,2,1,0,3491.55,1369.11,2122.44,0,0,162.437,31.4432,-673.6,3694.31,7732.76,9344.11,673.6,0,173.971,300.741,345.123,0,0,2.72679,426.101,-980.301,490.605,5.43639,0,1,19.3871,17.8934,113.855
2,0,0,0,2,2,0,11317.3,4318.95,6998.31,0,0,52.7248,17.2455,-227.108,13706.2,6164.75,11924.2,227.108,0,466.951,540.084,611.265,0,0,8.27961,474.379,-1065.01,1259.15,1.22871,0,1,4.9632,4.86981,22.9169
2,0,0,0,2,2,0,9119.23,4333.7,4785.53,0,0,8.29304,81.0403,271.325,8500.33,6209.18,12847.4,-271.325,0,290.881,483.96,575.313,0,0,0.840697,803.133,-1218.94,1179.89,1.61999,0,1,7.57059,7.7354,28.8368
